gene_id,H_value,p_value,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster1_penetrance,cluster2_mean,cluster2_sd,cluster2_sem,cluster2_penetrance,cluster3_mean,cluster3_sd,cluster3_sem,cluster3_penetrance,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,cluster1_cluster3_differential,cluster3_cluster1_differential,cluster1_cluster3_sd,cluster3_cluster1_sd,cluster2_cluster3_differential,cluster3_cluster2_differential,cluster2_cluster3_sd,cluster3_cluster2_sd,limma_test,C1_vs_C2,C1_vs_C3,C2_vs_C3
CEACAM21,15.7801567801568,2.42817630500714e-05,0.000767869923897326,-0.273269163243444,0.375591235155463,0.10038097995907,0.357142857142857,-0.329401736226548,0.499917543297949,0.150730810657777,0.272727272727273,0.514294822770385,0.38659631956002,0.116563176119356,0.909090909090909,0.0561325729831034,-0.0561325729831034,0.625288994004102,0.625288994004102,-0.787563986013829,0.787563986013829,0.539004165311326,0.539004165311326,-0.843696558996933,0.843696558996933,0.63196065098581,0.63196065098581,limma_multi(mod_F),FALSE,TRUE,TRUE
GAS7,11.4621504621505,0.00628584472855819,0.0400431590115559,0.835033524243557,0.553288905179296,0.147872679934584,0.928571428571429,-0.0212909878500956,1.48489588550762,0.44771295499739,0.545454545454545,1.34625194655746,0.638922850581885,0.192642487760402,1,0.856324512093653,-0.856324512093653,1.58462752828289,1.58462752828289,-0.511218422313899,0.511218422313899,0.845192890167792,0.845192890167792,-1.36754293440755,1.36754293440755,1.61652039881751,1.61652039881751,limma_multi(mod_F),TRUE,TRUE,TRUE
TRAPPC6A,8.71223821223821,0.0055616469910365,0.0367284173044026,-0.184734481991756,0.618720212654035,0.165359932430237,0.357142857142857,0.387762227435271,0.499363129676762,0.150563648661401,0.818181818181818,-0.257459691423583,0.220853695518038,0.0665898946906118,0.0909090909090909,-0.572496709427027,0.572496709427027,0.795096369522101,0.795096369522101,0.0727252094318277,-0.0727252094318277,0.656955901389605,0.656955901389605,0.645221918858854,-0.645221918858854,0.546021876946836,0.546021876946836,limma_multi(mod_F),TRUE,FALSE,TRUE
MATK,9.26910026910026,0.00412588099823033,0.0298826218413423,0.128122831213481,0.597354642668984,0.159649743661865,0.785714285714286,0.022558038938814,0.61848258369022,0.186479515406367,0.454545454545455,1.02496971968693,0.978574522261552,0.295051319976623,0.909090909090909,0.105564792274667,-0.105564792274667,0.85985654352707,0.85985654352707,-0.896846888473448,0.896846888473448,1.14649058641474,1.14649058641474,-1.00241168074811,1.00241168074811,1.15763932291001,1.15763932291001,limma_multi(mod_F),FALSE,TRUE,TRUE
CD79B,12.545162045162,0.000836720487224813,0.00963093505317091,-0.35639213197962,1.21728514430527,0.325333139428572,0.357142857142857,-1.24664088319967,0.965575781582838,0.291132052196766,0,0.655707585565675,1.01295921354855,0.305418694479456,0.727272727272727,0.89024875122005,-0.89024875122005,1.55374377312529,1.55374377312529,-1.01209971754529,1.01209971754529,1.58362542631116,1.58362542631116,-1.90234846876534,1.90234846876534,1.39943665747764,1.39943665747764,limma_multi(mod_F),TRUE,TRUE,TRUE
RPUSD1,14.4124254124254,7.67305720749378e-05,0.0017371813216417,-0.138357176789926,0.390883085418507,0.10446789885151,0.285714285714286,0.548291082977954,0.399460026762131,0.12044172977412,0.818181818181818,-0.178125385715235,0.389032751727942,0.117297788058279,0.454545454545455,-0.68664825976788,0.68664825976788,0.558889881324662,0.558889881324662,0.0397682089253096,-0.0397682089253096,0.551485329254828,0.551485329254828,0.726416468693189,-0.726416468693189,0.557597341186108,0.557597341186108,limma_multi(mod_F),TRUE,FALSE,TRUE
PSMB1,11.9142389142389,0.0011667320493316,0.0122093730909407,-0.0713594453013699,0.296712568901154,0.0792997696555482,0.357142857142857,0.414904040563532,0.316532887534902,0.0954382565237303,0.909090909090909,-0.056039472219756,0.373586388236362,0.112640534233096,0.454545454545455,-0.486263485864902,0.486263485864902,0.433856447958429,0.433856447958429,-0.0153199730816139,0.0153199730816139,0.477079802569143,0.477079802569143,0.470943512783288,-0.470943512783288,0.489652793688214,0.489652793688214,limma_multi(mod_F),TRUE,FALSE,TRUE
CDKL5,9.77974727974728,0.00460719966584017,0.0322641231812362,0.546774838464804,0.391435336834917,0.104615494250908,1,-0.122641757056275,0.535542799120699,0.161472229441821,0.363636363636364,0.414623208463194,0.546004862538369,0.164626660249941,0.818181818181818,0.669416595521079,-0.669416595521079,0.663345846910266,0.663345846910266,0.13215163000161,-0.13215163000161,0.671820610608671,0.671820610608671,-0.537264965519469,0.537264965519469,0.764805465203784,0.764805465203784,limma_multi(mod_F),TRUE,FALSE,TRUE
TFAP2B,13.0042622778174,0.00809971771216585,0.0483787769391815,0.538767501976376,0.672282954168104,0.179675177247521,0.785714285714286,-0.559485731930217,0.83557406308013,0.251935059253595,0.0909090909090909,1.00746137434006,1.77577198795178,0.53541539975087,0.818181818181818,1.09825323390659,-1.09825323390659,1.0724497122743,1.0724497122743,-0.468693872363684,0.468693872363684,1.89877079281814,1.89877079281814,-1.56694710627028,1.56694710627028,1.96253666668586,1.96253666668586,limma_multi(mod_F),TRUE,TRUE,TRUE
DLEC1,11.4677664677665,0.00765403929588772,0.0463979528205733,0.273520180351143,0.45525559713148,0.121672176276942,0.642857142857143,-0.195858832640622,0.225143578376129,0.0678833430392358,0.272727272727273,0.302458784604013,0.457000644796718,0.137790878885564,0.727272727272727,0.469379012991765,-0.469379012991765,0.507885114571739,0.507885114571739,-0.02893860425287,0.02893860425287,0.645063755038335,0.645063755038335,-0.498317617244635,0.498317617244635,0.509449919254704,0.509449919254704,limma_multi(mod_F),TRUE,FALSE,TRUE
AASS,18.5599040599041,4.38665502637786e-06,0.00020577399941918,0.445913642227186,0.547057286209768,0.146207209709663,0.714285714285714,-0.704024021948092,0.588021898273077,0.177295273189484,0.181818181818182,0.727873131943292,0.69535885839057,0.209658584357399,0.909090909090909,1.14993766417528,-1.14993766417528,0.803144711271803,0.803144711271803,-0.281959489716106,0.281959489716106,0.884757377102577,0.884757377102577,-1.43189715389138,1.43189715389138,0.910655640069785,0.910655640069785,limma_multi(mod_F),TRUE,TRUE,TRUE
PLEKHG6,12.2989352989353,0.000823291648485934,0.00952299514235561,0.136529930766272,0.528759980588995,0.141317049085804,0.571428571428571,0.883331247837943,0.576763005089549,0.173900589167261,0.909090909090909,-0.22236532978182,0.81697051865523,0.246325879560131,0.272727272727273,-0.746801317071671,0.746801317071671,0.782459379848182,0.782459379848182,0.358895260548092,-0.358895260548092,0.973153608339542,0.973153608339542,1.10569657761976,-1.10569657761976,1.00004819503448,1.00004819503448,limma_multi(mod_F),TRUE,TRUE,TRUE
PKD1,12.6925821925822,0.000285589023618761,0.00450553421601679,0.285806667791453,0.439018017407125,0.117332500554159,0.785714285714286,-0.435928178864341,0.77815476216679,0.234622488630499,0.272727272727273,0.604244276644481,0.411430517490014,0.124050968528739,1,0.721734846655795,-0.721734846655795,0.893454897289693,0.893454897289693,-0.318437608853028,0.318437608853028,0.601674239377243,0.601674239377243,-1.04017245550882,1.04017245550882,0.880227189198877,0.880227189198877,limma_multi(mod_F),TRUE,TRUE,TRUE
TENM1,15.3993656960959,0.000747293978608761,0.00896330844411464,0.142948860154952,0.275128362981638,0.0735311479758048,0.785714285714286,-0.134219048055814,0.130328385135393,0.039295486638821,0.181818181818182,0.324296391987899,0.308990610541795,0.0931641744463608,0.909090909090909,0.277167908210766,-0.277167908210766,0.304435714213946,0.304435714213946,-0.181347531832947,0.181347531832947,0.413727946264145,0.413727946264145,-0.458515440043713,0.458515440043713,0.335351584721156,0.335351584721156,limma_multi(mod_F),TRUE,TRUE,TRUE
MASP2,10.1760851760852,0.00418394539197306,0.0302492583330736,0.141024145916336,0.393234993190505,0.105096472643518,0.642857142857143,-0.298968492722388,0.368773578322948,0.111189417444905,0.363636363636364,0.317680816645979,0.503110893141541,0.151693641862826,0.818181818181818,0.439992638638724,-0.439992638638724,0.539098981578196,0.539098981578196,-0.176656670729643,0.176656670729643,0.638556442820222,0.638556442820222,-0.616649309368367,0.616649309368367,0.623790447880368,0.623790447880368,limma_multi(mod_F),TRUE,TRUE,TRUE
