gene_id,H_value,p_value,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster1_penetrance,cluster2_mean,cluster2_sd,cluster2_sem,cluster2_penetrance,cluster3_mean,cluster3_sd,cluster3_sem,cluster3_penetrance,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,cluster1_cluster3_differential,cluster3_cluster1_differential,cluster1_cluster3_sd,cluster3_cluster1_sd,cluster2_cluster3_differential,cluster3_cluster2_differential,cluster2_cluster3_sd,cluster3_cluster2_sd,limma_test
CASP10,17.2569907569907,6.2819189814994e-06,0.000269899327166071,0.351925712474061,0.68551496261285,0.183211580257459,0.571428571428571,-0.877058969723331,0.818682050897712,0.24684192594785,0.0909090909090909,0.675009799230836,0.456601768675974,0.137670613210078,0.909090909090909,1.22898468219739,-1.22898468219739,1.06778793045631,1.06778793045631,-0.323084086756775,0.323084086756775,0.823660087125827,0.823660087125827,-1.55206876895417,1.55206876895417,0.9374035820393,0.9374035820393,limma_multi(mod_F)
CFLAR,12.2437697437697,0.00019940051755992,0.00349215012375635,0.390825284156765,0.321239792002534,0.0858549457622861,0.928571428571429,-0.19330827175515,0.583148874227586,0.175826001157369,0.363636363636364,0.64913032661252,0.384489405255672,0.115927917554542,0.909090909090909,0.584133555911915,-0.584133555911915,0.66577594840812,0.66577594840812,-0.258305042455754,0.258305042455754,0.501026053933018,0.501026053933018,-0.842438598367669,0.842438598367669,0.698494604321867,0.698494604321867,limma_multi(mod_F)
TFPI,12.7044577044577,0.000467702118373919,0.00647135776083625,0.74087228419416,1.11531890987347,0.298081516981194,0.714285714285714,-0.691069594238714,1.15448291462819,0.348089695881601,0.272727272727273,0.967715263813208,0.5347002742771,0.161218198643387,1,1.43194187843287,-1.43194187843287,1.60523115808588,1.60523115808588,-0.226842979619048,0.226842979619048,1.23686727421876,1.23686727421876,-1.65878485805192,1.65878485805192,1.27229524226117,1.27229524226117,limma_multi(mod_F)
NDUFAF7,0.302737802737809,0.704887874353824,0.848898950864091,0.143595420168252,0.346289221110204,0.0925496872947992,0.642857142857143,0.0903526169387808,0.397307125282593,0.119792605554281,0.636363636363636,0.218319152812154,0.336487511082831,0.101454801900209,0.818181818181818,0.0532428032294716,-0.0532428032294716,0.527038116702606,0.527038116702606,-0.0747237326439016,0.0747237326439016,0.482845803307671,0.482845803307671,-0.127966535873373,0.127966535873373,0.520650359564878,0.520650359564878,limma_multi(mod_F)
RBM5,10.3694278694279,0.00248936746000488,0.0207915744113159,0.144683964058102,0.4433709350366,0.118495866725754,0.642857142857143,-0.288856642312272,0.533916587419105,0.160981908165105,0.363636363636364,0.540128234316769,0.595365633300409,0.179509492611798,0.909090909090909,0.433540606370373,-0.433540606370373,0.694006274003695,0.694006274003695,-0.395444270258667,0.395444270258667,0.742319354018488,0.742319354018488,-0.828984876629041,0.828984876629041,0.799704420168139,0.799704420168139,limma_multi(mod_F)
MTMR7,10.4007254007254,0.00391595331748505,0.0288159681338134,-0.129667102712315,0.285245940876335,0.0762351844090872,0.357142857142857,-0.31864110214133,0.359154507519373,0.108289158473331,0.181818181818182,0.153085126562607,0.268473151108035,0.0809477007736128,0.636363636363636,0.188973999429014,-0.188973999429014,0.458647148751531,0.458647148751531,-0.282752229274922,0.282752229274922,0.391718112489458,0.391718112489458,-0.471726228703936,0.471726228703936,0.448408065424075,0.448408065424075,limma_multi(mod_F)
SLC7A2,0.892827892827896,0.719351250587825,0.858627301820431,-0.0990003787213993,0.940483682056482,0.251354836864785,0.428571428571429,-0.483618022960267,2.7589232481498,0.831846658136498,0.363636363636364,0.101295962241778,1.17237315575722,0.353483806539235,0.636363636363636,0.384617644238867,-0.384617644238867,2.91481852700918,2.91481852700918,-0.200296340963177,0.200296340963177,1.50298648448835,1.50298648448835,-0.584913985202045,0.584913985202045,2.99768515783789,2.99768515783789,limma_multi(mod_F)
ARF5,8.09465309465311,0.01610466620623,0.0790694635087032,-0.138789157437901,0.483412655370023,0.129197466630375,0.285714285714286,0.406196965214195,0.564914363365773,0.170328089269706,0.818181818181818,-0.176703249735084,0.517198912886207,0.155941339638478,0.363636363636364,-0.544986122652096,0.544986122652096,0.743515993983219,0.743515993983219,0.0379140922971832,-0.0379140922971832,0.707942448835052,0.707942448835052,0.582900214949279,-0.582900214949279,0.765913150055299,0.765913150055299,limma_multi(mod_F)
SARM1,6.51076401076402,0.0344548565234585,0.13488655525727,0.394152473768715,0.449545677602123,0.120146136092306,0.857142857142857,-0.163110676237368,0.807087739123118,0.243346109415239,0.272727272727273,0.457098734931168,0.538234203202733,0.162283718305397,0.818181818181818,0.557263150006083,-0.557263150006083,0.923840860155914,0.923840860155914,-0.0629462611624526,0.0629462611624526,0.701275533401838,0.701275533401838,-0.620209411168536,0.620209411168536,0.970096220042191,0.970096220042191,limma_multi(mod_F)
POLDIP2,9.27401427401428,0.00835822001885682,0.0493515218305707,0.115500750088088,0.487469792116158,0.130281782035756,0.642857142857143,0.549064580892748,0.415360793963819,0.125235991472919,0.818181818181818,-0.124574950267997,0.554039970000689,0.167049336304732,0.363636363636364,-0.43356383080466,0.43356383080466,0.640430626522518,0.640430626522518,0.240075700356085,-0.240075700356085,0.73796143976778,0.73796143976778,0.673639531160745,-0.673639531160745,0.692448465606371,0.692448465606371,limma_multi(mod_F)
