gene_id,H_value,p_value,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster1_penetrance,cluster2_mean,cluster2_sd,cluster2_sem,cluster2_penetrance,cluster3_mean,cluster3_sd,cluster3_sem,cluster3_penetrance,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,cluster1_cluster3_differential,cluster3_cluster1_differential,cluster1_cluster3_sd,cluster3_cluster1_sd,cluster2_cluster3_differential,cluster3_cluster2_differential,cluster2_cluster3_sd,cluster3_cluster2_sd,limma_test,Dys-CIM_(C2)_vs_C1_Fun-CIM,Dys-CIM_(C2)_vs_C3_Fun-CIM
PSMC4,9.03094653094651,0.00436129873097161,0.0310874784206318,-0.145946179029134,0.408345431496081,0.109134907150907,0.428571428571429,0.386499568091687,0.342390149100038,0.103234514225333,0.909090909090909,-0.149955041177282,0.499674071703613,0.150657401210002,0.363636363636364,-0.532445747120821,0.532445747120821,0.532894929253851,0.532894929253851,0.004008862148148,-0.004008862148148,0.645306260125058,0.645306260125058,0.536454609268969,-0.536454609268969,0.605726994720901,0.605726994720901,limma_multi(mod_F),TRUE,TRUE
SLC25A39,11.0414765414765,0.0037561269568,0.028010719762771,-0.250139616239077,0.543005701448771,0.145124378134726,0.357142857142857,0.328255522728078,0.380695129760386,0.11478390044826,0.818181818181818,-0.314040904653658,0.441688361285153,0.133174051695435,0.0909090909090909,-0.578395138967155,0.578395138967155,0.663162102075465,0.663162102075465,0.0639012884145806,-0.0639012884145806,0.699959856206508,0.699959856206508,0.642296427381735,-0.642296427381735,0.58311010136855,0.58311010136855,limma_multi(mod_F),TRUE,TRUE
TACC3,11.0739440739441,0.00160867964979767,0.0153095936442283,-1.03905948232199,0.953466489977922,0.25482463823338,0.0714285714285714,0.230597252191744,0.469834864000397,0.141660541574271,0.818181818181818,-0.404306028841863,0.858914874463434,0.258972578677311,0.272727272727273,-1.26965673451374,1.26965673451374,1.06294080124017,1.06294080124017,-0.634753453480131,0.634753453480131,1.28328995518759,1.28328995518759,0.634903281033607,-0.634903281033607,0.979019693879959,0.979019693879959,limma_multi(mod_F),TRUE,TRUE
MNAT1,12.3682578682579,0.00194468197801931,0.0173593636822686,0.0503893080472756,0.520827220755121,0.13919692984081,0.5,0.634081460426904,0.431284289905377,0.130037106144636,1,-0.131996210954547,0.513179121978195,0.154729327076882,0.363636363636364,-0.583692152379629,0.583692152379629,0.676215300476622,0.676215300476622,0.182385519001823,-0.182385519001823,0.731172896867639,0.731172896867639,0.766077671381451,-0.766077671381451,0.670342412468058,0.670342412468058,limma_multi(mod_F),TRUE,TRUE
RTF2,10.54446004446,0.00452318413752808,0.0318762437087088,0.119429993668077,0.278562647575007,0.0744489991413093,0.714285714285714,0.556040347815678,0.417530910542271,0.125890306240378,1,0.11186311125583,0.323305033063599,0.0974801352277641,0.636363636363636,-0.436610354147602,0.436610354147602,0.501925502323059,0.501925502323059,0.00756688241224711,-0.00756688241224711,0.426759057347647,0.426759057347647,0.444177236559849,-0.444177236559849,0.528070265838281,0.528070265838281,limma_multi(mod_F),TRUE,TRUE
GLRX2,10.5832455832456,0.00302474817171231,0.0239749088976036,-0.263369853160389,0.50768034086833,0.135683278394993,0.285714285714286,0.35925959356798,0.549682492313244,0.165735507348223,0.727272727272727,-0.353569440083141,0.440857467343072,0.132923527745757,0.181818181818182,-0.622629446728369,0.622629446728369,0.748258091075454,0.748258091075454,0.0901995869227516,-0.0901995869227516,0.672379829424062,0.672379829424062,0.712829033651121,-0.712829033651121,0.704631924388789,0.704631924388789,limma_multi(mod_F),TRUE,TRUE
STRAP,12.3322218322218,0.00093459196988784,0.0104283901450143,-0.140697571485285,0.338764409023263,0.0905385966712858,0.357142857142857,0.476993426225076,0.322826320419876,0.0973357979348886,0.909090909090909,-0.111682734607043,0.547381091576635,0.165041608917715,0.454545454545455,-0.617690997710361,0.617690997710361,0.467951020916417,0.467951020916417,-0.0290148368782419,0.0290148368782419,0.643729278685154,0.643729278685154,0.588676160832119,-0.588676160832119,0.635486343339859,0.635486343339859,limma_multi(mod_F),TRUE,TRUE
DEPDC1,8.36492336492337,0.00546153420655697,0.0362827081491096,-0.736813992351997,0.939718317345454,0.2511502845416,0.214285714285714,0.281243566861789,0.948719608059064,0.286049724653177,0.636363636363636,-0.956682890017638,0.811187761857481,0.244582312782676,0.181818181818182,-1.01805755921379,1.01805755921379,1.33534243198901,1.33534243198901,0.219868897665641,-0.219868897665641,1.24140891769873,1.24140891769873,1.23792645687943,-1.23792645687943,1.24823654797602,1.24823654797602,limma_multi(mod_F),TRUE,TRUE
TOMM34,10.8875043875044,0.000948015019652362,0.010517150370092,0.0645783955328202,0.390919163225668,0.104477541051058,0.714285714285714,0.746428002869603,0.620196189242251,0.186996186920436,0.909090909090909,0.0626773832827563,0.331347985631308,0.0999051766708292,0.454545454545455,-0.681849607336782,0.681849607336782,0.733117388504505,0.733117388504505,0.00190101225006398,-0.00190101225006398,0.512454173325754,0.512454173325754,0.683750619586846,-0.683750619586846,0.703160579620711,0.703160579620711,limma_multi(mod_F),TRUE,TRUE
MIPEP,9.01971451971451,0.00327426385271866,0.025410978014716,-0.14022576845018,0.582745455233324,0.155745274084479,0.428571428571429,0.565530862982802,0.469271163946194,0.141490579612989,0.818181818181818,0.0390117137037711,0.369666353445918,0.111458599272638,0.454545454545455,-0.705756631432982,0.705756631432982,0.748202974403677,0.748202974403677,-0.179237482153951,0.179237482153951,0.69010541112579,0.69010541112579,0.526519149279031,-0.526519149279031,0.597384832567264,0.597384832567264,limma_multi(mod_F),TRUE,TRUE
HMGB3,12.9228384228384,0.000373019515868108,0.00546131548630152,-0.830296651758242,0.885237178062172,0.236589587595946,0.142857142857143,0.560099669992838,0.75826467715401,0.22862540235453,0.727272727272727,-0.804464488482585,0.924153130068481,0.278642652842697,0.272727272727273,-1.39039632175108,1.39039632175108,1.16559434712208,1.16559434712208,-0.0258321632756565,0.0258321632756565,1.27972804503099,1.27972804503099,1.36456415847542,-1.36456415847542,1.1954180559264,1.1954180559264,limma_multi(mod_F),TRUE,TRUE
DEPDC1B,9.20644670644671,0.00514062326981122,0.0348563656364076,-0.786944699941648,0.968681518655662,0.258891025693526,0.142857142857143,0.321043239415123,0.890708258139494,0.268558644538157,0.636363636363636,-0.891235688395126,0.884935041907906,0.266817954349632,0.181818181818182,-1.10798793935677,1.10798793935677,1.31594266049206,1.31594266049206,0.104290988453478,-0.104290988453478,1.31204188690056,1.31204188690056,1.21227892781025,-1.21227892781025,1.2555760548507,1.2555760548507,limma_multi(mod_F),TRUE,TRUE
