gene,endpoint,n_patients,n_events,coefficient,hazard_ratio,conf_low,conf_high,p_value,ph_p_value,model_status,warning_text,signature_direction,signature_r_rb,signature_correlation_p_value,signature_correlation_padj,fdr_all_genes,fdr_within_signature,association_direction,fdr_supported,nominal_p_below_0_05,expected_survival_direction,observed_survival_direction,direction_concordant
CALM2,RFS,20,6,0.9763751981879747,2.654815599380748,0.9748208356198086,7.230093581487809,0.0561235020286492,0.688657546595059,converged,NA,Dys-CIM,-0.411,0.00116310660873932,0.0112764604139971,0.1937503648121899,0.07545701610540795,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
INTS13,RFS,20,6,0.9008777130480892,2.4617628845927415,0.9739574600926839,6.222321557434006,0.05688566307125708,0.2781273814041296,converged,NA,Dys-CIM,-0.414,1.9685752696268e-4,0.00322683987495536,0.19592480699658543,0.07622678851548449,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
TYRO3,RFS,20,6,0.8801255566300578,2.411202429863825,0.9704655581166944,5.990833068886838,0.05803920718997454,0.153929551737644,converged,NA,Dys-CIM,-0.378,0.00190662208511306,0.0159554163964725,0.19943402749037656,0.07751415711086301,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
CLIC2,RFS,20,6,-1.0397904194023009,0.3535287669654034,0.11989074890454185,1.0424706677876443,0.05948691505936841,0.6861844216214725,converged,NA,Fun-CIM,0.654,4.6094026239338603e-10,4.88596678136989e-7,0.20393546574751067,0.4872182038351683,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
NBPF11,RFS,20,6,-1.0304606578625084,0.3568425403794251,0.12211217836939692,1.04278377738247,0.059647025943617496,0.16175911601862852,converged,NA,Fun-CIM,0.458,3.80763691657606e-5,3.5717656031598e-4,0.20401211413971712,0.4872182038351683,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
HTR1F,RFS,20,6,-1.889058658474153,0.15121408595858873,0.021108839815378807,1.0832286374939797,0.060055626608042055,0.49631517207682385,converged,NA,Fun-CIM,0.401,0.00203904288655389,0.00716481367871974,0.20493636637444765,0.4872182038351683,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
SMAP2,RFS,20,6,0.9875706690054608,2.6847045079659093,0.954361048311714,7.552318179627037,0.061283757602436845,0.9545880761395368,converged,NA,Fun-CIM,0.491,7.55761331083557e-6,1.2649058067609e-4,0.2086465402510551,0.4905554841774928,Higher change associated with higher relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Detrimental,FALSE
ANKRD12,RFS,20,6,-1.1169255304895722,0.32728447554252005,0.10128717919029534,1.0575388591866866,0.06197476558251344,0.14975175950945618,converged,NA,Fun-CIM,0.347,0.00344466092992096,0.0107182208974057,0.2105152014396844,0.4905554841774928,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
SSR2,RFS,20,6,0.8859872730431652,2.425377719899187,0.9542598850290032,6.164418285281469,0.06266092043205596,0.37260103348240853,converged,NA,Dys-CIM,-0.348,0.0031011424930993,0.0230951595504819,0.21206179589799143,0.08340956958174335,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
ZNF592,RFS,20,6,1.02955242340137,2.7998124236998856,0.9460992642011851,8.285546669907674,0.06290382582580685,0.764275396277123,converged,NA,Fun-CIM,0.391,9.3791694564921e-4,0.00390901164765989,0.21206179589799143,0.4905554841774928,Higher change associated with higher relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Detrimental,FALSE
RPS7,RFS,20,6,0.8561943026047162,2.3541843107417466,0.9542178586480782,5.80809059347797,0.06313300786710078,0.2570345364206215,converged,NA,Dys-CIM,-0.462,3.5550129726148e-4,0.00479959903460846,0.21206179589799143,0.0836389621321282,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
IQCN,RFS,20,6,-0.990332635864202,0.37145311184288327,0.13066272139957003,1.0559814828578613,0.06320003795982652,0.02875172026026547,converged,NA,Fun-CIM,0.423,1.1006785679563e-4,7.7608821421314e-4,0.21206179589799143,0.4905554841774928,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
PCCB,RFS,20,6,0.8638698147193409,2.3723234053059215,0.9534338771655316,5.902788304621135,0.0632493643984253,0.6809820735786185,converged,NA,Dys-CIM,-0.501,1.2527954566952e-4,0.00237136282874456,0.21206179589799143,0.0836389621321282,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
ZNF211,RFS,20,6,-0.9806515413467993,0.3750666477962176,0.13317830032931546,1.056290626485239,0.06341066910569652,0.07155167662561424,converged,NA,Fun-CIM,0.496,3.49857944478366e-5,3.4127247344822e-4,0.21206179589799143,0.4905554841774928,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
EBF2,RFS,20,6,-1.4550191730334354,0.23339588895106975,0.050216158173822995,1.0847831248001851,0.06343239404646199,0.7891231551234643,converged,NA,Fun-CIM,0.472,1.78951421636954e-5,2.1154852074554e-4,0.21206179589799143,0.4905554841774928,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
