"","gene_id","NEO11 _Patient_11_T1_B_Rep1","NEO11 _Patient_11_T4_S_Rep1","NEO15 _Patient_15_T1_B_Rep1","NEO15 _Patient_15_T4_S_Rep1","NEO16 _Patient_16_T1_B_Rep1","NEO16 _Patient_16_T4_S_Rep1","NEO18 _Patient_18_T1_B_Rep1","NEO18 _Patient_18_T4_S_Rep1","NEO19 _Patient_19_T1_B_Rep1","NEO19 _Patient_19_T4_S_Rep1","NEO21 _Patient_21_T1_B_Rep1","NEO21 _Patient_21_T4_S_Rep1","NEO22 _Patient_22_T1_B_Rep1","NEO22 _Patient_22_T4_S_Rep1","NEO27 _Patient_27_T1_B_Rep1","NEO27 _Patient_27_T4_S_Rep1","NEO3 _Patient_3_T1_B_Rep1","NEO3 _Patient_3_T4_S_Rep1","NEO33 _Patient_33_T1_B_Rep1","NEO33 _Patient_33_T4_S_Rep1","NEO34 _Patient_34_T1_B_Rep1","NEO34 _Patient_34_T4_S_Rep1","NEO42 _Patient_42_T1_B_Rep1","NEO42 _Patient_42_T4_S_Rep1","NEO43 _Patient_43_T1_B_Rep1","NEO43 _Patient_43_T4_S_Rep1","NEO45 _Patient_45_T1_B_Rep1","NEO45 _Patient_45_T4_S_Rep1","NEO46 _Patient_46_T1_B_Rep1","NEO46 _Patient_46_T4_S_Rep1","NEO47 _Patient_47_T1_B_Rep1","NEO47 _Patient_47_T4_S_Rep1","NEO49 _Patient_49_T1_B_Rep1","NEO49 _Patient_49_T4_S_Rep1","NEO51 _Patient_51_T1_B_Rep1","NEO51 _Patient_51_T4_S_Rep1","NEO8 _Patient_8_T1_B_Rep1","NEO8 _Patient_8_T4_S_Rep1"
"22358","LOC107984368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22359","LOC107984355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22360","LINC02753",0,0,0,0,0,0,0,0,0.186880831347234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22361","LOC105369371",0,0,0,0,0,0,0.129546799921592,0,0.110550333874241,0,0,0,0.0518453812006779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22362","LINC02584",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22363","ANO1",3.29425313644451,0.125280793268448,3.20053574060489,0.68329221852398,0.396159489073155,2.8676988209975,2.40190347160796,1.73205207330029,4.48349335128439,0.693230455580099,1.97709671249695,2.13881446890228,1.92827556161193,1.19723635491871,2.8676988209975,0.575118667348548,0.662205499653617,0.297367523217659,3.67694435910691,3.03491998434916,2.36345145707171,2.84839759952819,4.39985467357243,3.36765063062196,0.100614406045824,1.64570165857883,1.81229284487327,2.70597790168252,0.98353177631614,2.72049737048235,0.653426951688062,4.03826057517535,1.32653734813995,0.922350103690782,1.47974793436622,1.67807190511264,3.0241423458978,1.50994914630431
"22364","LOC105369372",0,0,0,0.0386468812218827,0,0,0,0,0,0,0,0,0,0.0404997117214158,0,0,0,0,0,0,0.0649380205124491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466447159709201,0,0
"22365","LOC101928473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22366","FADD",3.75060650483559,3.69932952567316,3.43869206618509,3.92409988564074,3.84899843040002,4.30669970727279,4.3819754785573,3.87676249078156,4.08151006812092,4.40735275114004,3.06263982828646,2.82273014794452,3.43095427138573,3.52857131887076,4.30669970727279,4.17712050284652,2.6259717913609,4.01346225980656,3.34468649246552,3.25293029640542,2.63505782972521,3.75808993420181,5.69571548860997,4.65306001710456,5.22766407255439,3.95419631038688,5.37503943134692,4.55274593674845,3.5197934862411,5.2637856138908,3.83390207666916,5.06824086131282,3.94485844580754,2.88244741643173,4.15946772926677,4.22804904788446,3.61706334388818,4.66049513188851
"22367","PPFIA1",3.1822155573981,3.18205660901025,3.98458935036246,2.61917821605907,2.88713530046191,3.75808993420181,2.84579110371371,2.53356334821451,3.98093926608551,3.18142064028014,3.01346225980656,2.72465027173297,2.56144834178548,2.85099939471647,3.75808993420181,2.84458651552164,3.07741392423814,3.04019107183829,3.37503943134692,2.72027846523333,2.98513606736801,3.46597446450407,4.50969584193339,4.12267271882414,4.08491465976794,3.30392683648069,4.53729606709084,4.08236196955747,3.81044310384517,4.13586316536868,2.87950973461667,4.61235249875266,3.19014073136449,2.73400503372005,3.12961273813047,3.09609314639378,3.92219784839637,3.15801380658977
"22368","MIR548K",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22369","LOC107984346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515207819035821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22370","LOC105369373",0,0,0,0,0,0.235114320376357,0.272142661964176,0.138552375152649,0,0,0,0,0.216237552053823,0,0.235114320376357,0.313361959392219,0,0,0.139076515046112,0,0.306728867059771,0.199248306840202,0.500802053057158,0,0,0.337539842197424,0.54616598502792,0.235849576507563,0,0,0,0.249263286061193,0,0,0,0.225398337340744,0.218347209278499,0.202511756210103
"22371","LOC107984347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456526495698914,0,0.0212522895759224,0.042546286840852,0,0,0,0,0
"22372","CTTN",5.79415589787641,4.63691458035588,5.53977919169849,4.96855160336395,4.84849775538515,6.34056226902641,5.57591736111815,5.07852444538908,6.02547181462118,6.01279212197263,4.4369613378336,5.27388882366849,4.76924279514054,5.27090264916713,6.34056226902641,5.16832111573972,4.53356334821451,4.35966172233388,5.5270077606372,5.52512925120397,4.92552476974757,5.58014548442338,6.65176927141799,6.37225564844579,5.8522485895654,5.03782146543497,6.13811817761461,5.67863534782274,5.40087943628218,7.23266075679027,4.0071955014042,6.83541884047548,5.05093696522523,4.63749432520631,6.09254574154357,5.0241423458978,6.05593312860741,5.59275601044103
"22373","SHANK2",0.271186601597253,0.0648000942376293,0.0970983466387591,0.161565256397032,0.0123741557800683,0.0917472180638173,0.121744855388424,0.111245029156913,0.417704019333249,0.141301987625258,0.0720371807728801,0.0346242332378717,0.0605454945187893,0.138683427979272,0.0917472180638173,0.0635167479342737,0.15665548884686,0.0460719157864109,0.47653722581771,0.847756437341811,0.519340607655982,0.469573445304352,0.337996463515016,0.481402282763246,0.299127408412377,0.0688771408503078,0.181675061414897,0.304978235803961,0.0696746733706568,0.452279135134776,0,0.280837568611771,0.190425227369271,0.238542314279151,0.101851743504901,0.123825089406096,0.0491288734628371,0.223669671388246
"22374","SHANK2-AS1",0.0947765568955973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499373949528086,0,0.0583026401097315,0,0.100614406045824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22375","SHANK2-AS3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22376","MIR3664",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22377","ACTE1P",0,0,0,0,0,0,0,0.0518036274913663,0,0,0,0,0,0,0,0,0,0,0.0519706350786212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22378","DHCR7",3.68481873755322,3.1947174628936,2.70442935207648,2.79639009733101,4.23266075679027,3.70487196445635,3.18316888014704,4.20554891117303,4.56559717585422,4.90448409790142,2.70730390824728,2.90746755824004,2.73595535401226,3.16349873228288,3.70487196445635,5.36422222109353,2.25035527176305,2.95865710767711,4.11186596386756,3.76447355099267,3.52606881166759,3.84799690655495,6.41886457739032,6.68229237143083,7.00225245173138,6.01189812036949,5.70542503904273,5.43929068104202,4.41886457739032,7.96173907260414,2.50639883152745,4.16430358309365,5.37260391520448,3.3769848882563,6.2861418728343,3.6507645591169,2.81557542886257,3.74092756031863
"22379","NADSYN1",4.00090140274153,2.4630992673481,4.03826057517535,3.20414071678023,3.41332328089906,4.33342373372519,4.28762004411207,3.63807383718072,3.49825086752783,3.95233356636969,2.76765479823735,3.23327453899093,3.30012372456901,4.01970191444255,4.33342373372519,3.78031009904338,3.0164963198962,3.66106547980695,4.36876834909033,4.28835856219366,3.94673086014031,3.29248729162076,5.1906148602095,3.97269265400426,5.08151006812092,3.23388806017428,4.96208624985064,4.22265002245148,3.9136075118231,4.83592407425437,4.37295209791183,4.46988597627446,4.01256867350306,3.13668357769724,3.99909803370561,4.33628338786443,4.02680005934372,3.87872534148011
"22380","MIR6754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22381","KRTAP5-7",0.818032474658094,0.0682167803600466,1.58111017522555,0.108424091893027,0.999206299439844,1.42277121932047,0,0.420078115979374,0.25906152925887,0.346077534535597,0.56530470802725,0.67581593117227,0.445196982381709,0.726656862685687,1.42277121932047,0.266996371986216,0.976216975669518,0.424492170889205,1.70531444108638,1.60454581636871,1.70088355602827,0.869950347658999,2.63621857887536,1.06073915785768,2.17248751551013,0.102510327327549,1.10902617649837,1.13158948432814,0.476329837757138,0.424814620890374,0.474254315832642,0.922654566083151,0.399225792120938,0.416299305479879,0.957840326706233,0.732312620820647,1.00288250853312,0.881273061429249
"22382","KRTAP5-8",0.175045486110914,0,1.0820212693455,0.127514425810835,0.147306698780294,0.303459301828336,0,0.180657107560076,0.302055788098619,0,0.278579550458423,0.138945497923841,0.279768421593595,0.255561158900354,0.303576199696641,0,0.0997395600423873,0,1.26603689399532,0.609093023624062,0.896930551752872,0.371837617330421,2.53704751940466,0.48078212440398,0.969822789672908,0,0.383496944155365,0.666847467450384,0,0.345169250856654,0.157302466318974,0.321350901424617,0.323888827147044,0.337996463515016,0.266516712754505,0,0.405229979762559,0.262312877916334
