"","gene_id","NEO11 _Patient_11_T1_B_Rep1","NEO11 _Patient_11_T4_S_Rep1","NEO15 _Patient_15_T1_B_Rep1","NEO15 _Patient_15_T4_S_Rep1","NEO16 _Patient_16_T1_B_Rep1","NEO16 _Patient_16_T4_S_Rep1","NEO18 _Patient_18_T1_B_Rep1","NEO18 _Patient_18_T4_S_Rep1","NEO19 _Patient_19_T1_B_Rep1","NEO19 _Patient_19_T4_S_Rep1","NEO21 _Patient_21_T1_B_Rep1","NEO21 _Patient_21_T4_S_Rep1","NEO22 _Patient_22_T1_B_Rep1","NEO22 _Patient_22_T4_S_Rep1","NEO27 _Patient_27_T1_B_Rep1","NEO27 _Patient_27_T4_S_Rep1","NEO3 _Patient_3_T1_B_Rep1","NEO3 _Patient_3_T4_S_Rep1","NEO33 _Patient_33_T1_B_Rep1","NEO33 _Patient_33_T4_S_Rep1","NEO34 _Patient_34_T1_B_Rep1","NEO34 _Patient_34_T4_S_Rep1","NEO42 _Patient_42_T1_B_Rep1","NEO42 _Patient_42_T4_S_Rep1","NEO43 _Patient_43_T1_B_Rep1","NEO43 _Patient_43_T4_S_Rep1","NEO45 _Patient_45_T1_B_Rep1","NEO45 _Patient_45_T4_S_Rep1","NEO46 _Patient_46_T1_B_Rep1","NEO46 _Patient_46_T4_S_Rep1","NEO47 _Patient_47_T1_B_Rep1","NEO47 _Patient_47_T4_S_Rep1","NEO49 _Patient_49_T1_B_Rep1","NEO49 _Patient_49_T4_S_Rep1","NEO51 _Patient_51_T1_B_Rep1","NEO51 _Patient_51_T4_S_Rep1","NEO8 _Patient_8_T1_B_Rep1","NEO8 _Patient_8_T4_S_Rep1"
"34264","RAB4B-EGLN2",14.01,3.601,12.7,18.41,5.813,17.63,13.37,8.517,18.31,15.89,10.37,6.095,9.524,34.22,17.63,12.15,5.478,9.856,33.35,11.32,11.47,23.07,25.69,15.01,16.28,12.37,22.67,23.75,19.65,15.57,15.19,14.09,15.49,3.843,8.354,15.35,13.62,17.21
"34265","RAB4B",5.542,1.641,6.853,3.496,3.957,6.584,8.005,3.751,5.476,6.729,6.243,3.513,4.266,13.48,6.584,4.923,2.342,8.904,5.406,4.511,4.407,9.517,14.6,6.066,8.984,6.597,16.66,16.1,7.104,8.429,9.422,7.27,8.748,2.902,4.148,6.405,4.752,5.199
"34266","EGLN2",15.11,3.769,12.74,21.83,5.402,19.21,13,9.02,20.79,16.9,10.06,5.996,10.01,36.93,19.21,13.04,5.854,8.011,40.06,12.19,12.48,24.67,25.46,16.17,16.22,12.49,20.51,22.11,21.54,15.6,14.65,14.3,15.33,3.457,8.621,16.44,15.02,19.4
"34267","CYP2T1P",0,0,0,0,0,0.108,0.06336,0.03077,0,0,0.0655,0,0.04935,0,0.108,0,0,0,0.06174,0.1938,0,0,0.19,0,0.07369,0.04022,0,0,0,0,0,0,0,0.03045,0,0,0,0
"34268","CYP2A6",0,0,0.2506,0,0,0,0.9243,0,0,0,0,0,0,0.7826,0,0,0,0,0.09007,0.0707,0.1582,3.165,0.09237,0,0.215,0,0,0,0,0,0,0.04197,0.08467,0,0,0,0.07273,0.2683
"34269","CYP2A7",0,0,0,0,0,0,0,0,0,0,0,0,0,0.07642,0,0,0.01411,0,0.02639,0.02071,0,0,0,0,0.03149,0,0,0.02317,0,0,0,0.0123,0,0,0,0.02205,0,0.01965
"34270","CYP2G1P",0.1218,0,0.05858,0,0,0,0,0.06295,0.2198,0.2273,0,0.1431,0.05049,0.1372,0,0,0.06756,0,0.1895,0.1487,0.03699,0,0,0,0,0.04115,0.1437,0,0.07286,0,0,0.08831,0,0.1246,0.2872,0,0,0.04705
"34271","LOC107985299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34272","CYP2B7P",0.4204,0,7.936,7.112,0,1.049,0.4475,11.16,0.2845,0,0.05782,0.0823,0.08714,41.04,1.049,0.06536,1.487,0,121.1,0.8984,1.851,3.471,0.0559,0,0.7156,0,0,0,0.2515,0,0.09381,0.254,0,0,0.04131,0,0.04401,0.8932
"34273","CYP2B6",0,0,0,0.03566,0,0,0,0.02574,0,0,0,0,0,0.1496,0,0,0,0,0.1291,0,0,0,0,0,0.1233,0,0,0.04534,0,0,0,0,0,0,0,0,0,0
"34274","CYP2A13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05277,0,0,0,0,0,0,0.07912,0,0,0,0,0,0,0,0,0,0
"34275","CYP2F1",0,0,0,0,0,0,0,0,0,0.0696,0,0,0,0.04202,0,0,0,0,0,0.09111,0.03398,0,0,0.04288,0,0,0,0.05095,0,0,0,0,0,0.02862,0,0,0,0
"34276","CYP2S1",0.4098,0.2861,0.7884,0.2935,0.2439,2.337,0.6855,0.1513,0.5282,1.165,0.3543,0.2292,0.09708,0.1759,2.337,0.2184,0.2923,0.7351,0.3036,0.09533,0.03556,0.7557,5.979,1.077,7.103,0.2769,9.117,2.132,0.5604,3.434,0.3658,2.037,1.655,0.4192,0.5983,2.284,0.3432,0.4071
"34277","AXL",2.478,0.2647,2.172,0.4492,0.8884,3.357,1.536,0.4215,3.226,2.965,1.07,1.105,0.9881,0.5182,3.357,1.385,0.835,1.526,0.9433,0.9192,0.9523,0.381,3.403,1.49,3.145,0.5085,2.997,4.826,4.09,1.117,0.9238,3.092,1.682,0.4652,2.416,2.392,1.313,0.6784
"34278","HNRNPUL1",35.35,7.991,45.26,19.74,18.93,35.12,34.18,20.97,40.66,80.44,20.03,25.49,18.14,25.68,35.12,15.33,12.93,25.35,26.89,28.25,16.61,31.07,100.1,32.53,76.32,24.98,55.18,92.21,37.87,70.59,28.81,31.24,85.14,15.84,23.41,55.51,35.24,25.63
"34279","LOC105372401",0,0,0,0,0.04006,0,0,0,0,0,0,0,0.03987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04689,0,0,0,0.04028,0
"34280","CCDC97",9.212,1.407,12,3.055,2.828,6.246,7.673,3.909,13.36,10.57,2.65,2.962,3.296,4.297,6.246,3.558,1.883,3.45,6.806,7.737,5.202,5.449,11.9,6.266,18.61,4.018,11.13,7.741,7.27,6.939,5.569,7.281,13.96,1.488,5.437,9.47,8.853,4.695
"34281","TGFB1",21.76,1.562,55.44,4.997,11.95,62.61,28.19,12.47,29.25,19.68,7.407,9.467,12.71,9.78,62.61,6.493,8.595,13.11,29.29,19.41,16.22,14.81,88.43,38.06,74.42,12.33,121.9,40.33,56.54,45.75,53.9,45.1,36.86,5.536,15.46,59.54,39.86,14.73
"34282","B9D2",1.864,0.3922,1.227,1.545,2.697,3.115,1.357,0.6591,1.239,2.074,0.6476,0.6913,1.301,2.284,3.115,1.342,0.8161,1.693,2.238,1.597,1.311,4.245,2.817,1.428,2.064,1.06,2.662,1.25,1.526,3.184,1.576,1.422,1.53,1.304,1.234,1.615,1.397,1.591
"34283","TMEM91",2.437,0.4237,2.141,2.049,3.09,3.269,1.466,0.6025,1.339,2.109,0.8746,0.8299,1.494,2.308,3.269,1.45,0.8817,1.663,2.968,2.502,2.574,4.908,3.382,1.868,2.755,1.074,3.251,1.737,1.395,4.217,1.608,1.588,1.757,1.518,1.333,1.929,1.598,2.129
"34284","EXOSC5",27.58,14.23,13.12,34.12,32.04,18.07,25.12,30.57,35.67,79.67,21.75,17.04,19.06,34.41,18.07,39.07,12.92,24.05,28.45,22.08,18.24,24.43,27.38,40.86,88.4,45.76,24.04,41.86,28.78,37.87,16.82,33.7,90.54,22.81,30.71,40.38,27.85,28.06
"34285","BCKDHA",14.05,0.507,6.079,6.475,2.925,12.58,9.624,9.755,9.663,24.35,3.671,2.956,6.405,7.647,12.58,5.295,1.266,3.169,12.29,11.43,11.78,11.2,14.01,12.92,25.76,8.541,16.36,13.91,17.01,15.26,8.071,14.17,16.61,3.637,8.97,13.01,8.97,8.613
"34286","B3GNT8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03899,0,0,0,0,0,0,0,0,0.0573,0,0,0,0,0,0,0,0,0
"34287","DMAC2",17.47,4.523,13.7,15.97,12.47,17.06,15.75,10.49,17.87,13.42,20.72,13.11,11.62,20.64,17.06,18.4,8.362,20.87,13.3,12.09,9.628,20.7,19.88,22.17,30.16,18.87,17.65,22.24,18.9,18.88,14.55,12.69,18.71,6.8,11.37,13.84,15.84,14.74
"34288","ERICH4",0.08783,0,0.4224,0,0.07318,0,0.09349,0.0908,0,0.1093,0,0.06878,0,0,0,0,0,0,0.1367,0.07151,0,0.2668,0.1869,0.06731,0.2175,0.1187,0,0,0.2102,0,0,0.04246,0,0.08985,0.06904,0,0,0
"34289","LOC107985329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
