Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
NEO21 _Patient_21_T1_B_Rep1,0.00134206686247158,0.0321901787642301,0.0235500686945048,0.0750259590529355,0,0.208525542678491,0,0,0,0.039818858760574,0,0.053133987458543,0,0.00528104360862069,0.0744744096498845,0.280917787509601,0.0121961733220382,0.00253687521616905,0.151603287537302,0.0164579950730904,0.00479833874902987,0.0181474270625149,0,0.638165209872654,0.803552819457509
NEO21 _Patient_21_T4_S_Rep1,0.00692394564147441,0.0381369252542759,0.00661197147918339,0.0978560353845263,0,0.178352307188779,0.011731393587069,0,0,0.0514901612788503,0,0.0396612050915011,0.025711272759946,0.0103236666568562,0.0544335439069719,0.273411266592307,0.0143933854107391,0.00353449343815803,0.164452307660358,0.00554063378341526,0,0.0174354848855894,0,0.660058448501974,0.794769851181992
NEO22 _Patient_22_T1_B_Rep1,0,0.0207388762706617,0.00253870506785578,0.0881831776778991,0,0.108905123573285,0,0.0045121070990503,0,0.103299555565441,0,0.0648019189532324,0,0.0897850627656546,0.064059732319536,0.339650423275992,0.0230863774036282,0,0.043516107835697,0.0344575182160887,0,0.0124653139759787,0,0.747396673528544,0.728500762120154
NEO22 _Patient_22_T4_S_Rep1,0.00131419026989916,0.0274816451404065,0.0024834260319613,0.119867955953635,0,0.11528264081746,0,0.0123935092401331,0,0.126290983725909,0,0.0723385253655703,0,0,0.121637684545501,0.272674195924904,0.00774311159392275,0,0.063269694510391,0.0415306172901191,0,0.0156918195901889,0,0.70286526304188,0.749254808133173
NEO27 _Patient_27_T1_B_Rep1,0,0.0167474796560385,0.00613901458160249,0.0887609763341632,0,0.0825141673142951,0,0,0,0.0703505589324506,0,0.0984614818629317,0,0.0373482728847957,0.0592922432188855,0.334276559298094,0.0147448263855743,0,0.167290735692907,0,0,0.0240736838382616,0,0.72917226166518,0.745532305059591
NEO27 _Patient_27_T4_S_Rep1,0.013545694740961,0.075775008789755,0,0.120832773749418,0,0.126070494843647,0.0462148795707933,0,0,0.112133384156583,0,0.0441215852763228,0,0,0.136161405931382,0.258904015267033,0.00218866878822483,0,0.0425084006549174,0,0,0.0215436882309625,0,0.713890792114606,0.747810241344677
NEO3 _Patient_3_T1_B_Rep1,0.00591247011799487,3.71859741669405e-05,0.00261451104353394,0.111481851147459,0,0.132338787199037,0,0.0060907650542157,0,0.111649994711756,0,0.0697505950878116,0,0,0.073305217251227,0.2889588654421,0.0133640148946573,0.000698012904581213,0.149927740282629,0.0129835233023029,0.00695981164297263,0.0139266539435543,0,0.641026362164692,0.792859107925729
NEO3 _Patient_3_T4_S_Rep1,0,0.0115903507965273,0.00501315235948923,0.231570405560964,0,0,0.174544064620522,0.00197304034962494,0,0.155776381838749,0,0.105865612351371,0,0.0151304644849462,0.0821304023454379,0.187133001981707,0.0045364727894,0,0,0.0150730024529412,0,0.00966364806831885,0,0.733921619195635,0.709115654063087
NEO33 _Patient_33_T1_B_Rep1,0.0340135902350372,0.0449840686044024,0,0.0894944458115791,0,0.129028157464807,0,0.0669057009604021,0.00163132520194833,0.0467003589453512,0,0.115063013728572,0.00110540825912239,0.0372636202435036,0.125789195923684,0.226675229685626,0.0164845367092926,0,0,0.0375067150287669,0,0.0273546331979049,0,0.725133482607692,0.736225891265485
NEO33 _Patient_33_T4_S_Rep1,0.00456079423796171,0.180700795949776,0.0146665851721312,0.0769521424736917,0.0113885130096176,0,0,0.076090105029786,0.0334117269681898,0.0846176768805635,0,0.136675713018908,0,0.00237540014130399,0.0566878876423025,0.252942775523499,0,0.0143511086759885,0,0.0385836911764012,0,0.0159950840998802,0,0.644005735335555,0.785042471879692
NEO34 _Patient_34_T1_B_Rep1,0.00588130917798908,0.037071090618385,0.00446959258572465,0.0791646274835696,0,0.0646126791592016,0,0.0733023727495268,0,0.038796954782897,0,0.111016378179556,0.00557273109118816,0,0.17855088937462,0.273719304455591,0.0148640532565565,0,0.087072604747603,0,0,0.025905412337591,0,0.638880178056917,0.787333685043004
NEO34 _Patient_34_T4_S_Rep1,0,0.0523620555471885,0,0.0959195164844919,0,0.11140883381505,0,0.00257091074201949,0,0.000242534278139492,0.0227900781499446,0.0467844129179727,0.0162403641367477,0,0.0811594537682491,0.284932310762097,0.0311767576161913,0,0.221565052319901,0,0,0.0328477194620086,0,0.689225175830458,0.778310876568805
NEO42 _Patient_42_T1_B_Rep1,0.0113267279243767,0.0229522667130437,0.00229865726961464,0.0502492277184837,0,0.186103626145776,0.00828698719057661,0.0199092178088517,0,0.00690176977873724,0.00985730627668423,0.0057851140992841,0,0.294443375443655,0.0498859219458684,0.222461249199571,0.0166644078197951,0,0.081548609676708,0.00286085965953813,0,0.00846467532943594,0,0.836547686307039,0.666032039137738
