gene_id,H_value,p_value,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster2_mean,cluster2_sd,cluster2_sem,cluster1_penetrance,cluster2_penetrance,limma_test,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd
ABCA9,43,0.794400278633367,1,-0.325634105675547,1.2011079060443,0.400369302014765,-0.496226926603407,1.5723166732667,0.497210189058154,0.333333333333333,0.5,limma_2grp(mod_t),0.17059282092786,-0.17059282092786,1.97859544197256,1.97859544197256
ABCA9-AS1,45,1,1,0,0,0,0,0,0,0,0,limma_2grp(mod_t),0,0,0,0
ABCB1,28,0.298378706895665,0.744952101064093,-1.00081182119286,1.10061362664294,0.366871208880981,-0.364895508213888,1.44965643009862,0.458421614382031,0.111111111111111,0.6,limma_2grp(mod_t),-0.635916312978972,0.635916312978972,1.82012475409748,1.82012475409748
ABCB10,14,0.019159676844305,0.132965688622432,-0.38089303903217,0.587711687432936,0.195903895810979,0.242329053293632,0.467267675192411,0.147763013057978,0.444444444444444,0.8,limma_2grp(mod_t),-0.623222092325802,0.623222092325802,0.750828947114447,0.750828947114447
ABCB11,32,0.921222605456435,1,-0.0271158373117014,0.0961737279426978,0.0320579093142326,-0.0394942415016266,0.359565954941693,0.113704738666923,0.333333333333333,0.6,limma_2grp(mod_t),0.0123784041899252,-0.0123784041899252,0.37220567150371,0.37220567150371
ABCB4,2,0.000282734397616657,0.00960950038525325,-0.370580392735889,0.223021220746972,0.0743404069156574,0.137477276199618,0.262594025297642,0.0830395219892424,0,0.7,limma_2grp(mod_t),-0.508057668935507,0.508057668935507,0.344520082180253,0.344520082180253
ABCB5,42,0.401154580838869,0.83173517135005,-0.262990241719043,0.657407360070255,0.219135786690085,-0.057639701531588,0.360705993603911,0.114065250546249,0.222222222222222,0.5,limma_2grp(mod_t),-0.205350540187455,0.205350540187455,0.749862154596648,0.749862154596648
ABCB6,12,0.002869283256919,0.0376423561242621,-0.891779646089336,0.925179883850752,0.308393294616917,0.390739264029681,0.686495153116936,0.217088828651556,0.111111111111111,0.7,limma_2grp(mod_t),-1.28251891011902,1.28251891011902,1.15205616735259,1.15205616735259
ABCB7,35,0.313323075881777,0.76170191090116,-0.440612397634137,0.493808697593856,0.164602899197952,-0.0515226088556772,1.02538589255927,0.324255490109199,0.111111111111111,0.4,limma_2grp(mod_t),-0.38908978877846,0.38908978877846,1.13809633093114,1.13809633093114
ABCB8,9,0.00143270767491945,0.0244221554432423,-0.317109993701613,0.271257154225395,0.0904190514084651,0.2639174773531,0.383113800483562,0.121151221257137,0.222222222222222,0.8,limma_2grp(mod_t),-0.581027471054713,0.581027471054713,0.469421588595389,0.469421588595389
ABCB9,35,0.509958658425178,0.975073818096725,-0.00547074792056956,0.074592963802947,0.024864321267649,0.0239435565009153,0.1110168116048,0.035106598324098,0.555555555555556,0.5,limma_2grp(mod_t),-0.0294143044214849,0.0294143044214849,0.133749178344405,0.133749178344405
ABCC1,9,0.000958653731514161,0.0191676531073461,-0.845967441738843,0.913284572681123,0.304428190893708,0.542444258160279,0.60037962905194,0.189856708857113,0.222222222222222,0.9,limma_2grp(mod_t),-1.38841169989912,1.38841169989912,1.09295215342571,1.09295215342571
ABCC10,7,0.000151660418642772,0.00690304112085293,-0.640324746282775,0.54892353809107,0.182974512697023,0.387783457782151,0.375918942089787,0.118876007260466,0.222222222222222,0.9,limma_2grp(mod_t),-1.02810820406493,1.02810820406493,0.665306021085277,0.665306021085277
ABCC11,33,0.296970082971562,0.744952101064093,-0.287492479307953,0.903830140355798,0.301276713451933,0.205481893535723,1.08277985140916,0.342405053499163,0.222222222222222,0.6,limma_2grp(mod_t),-0.492974372843676,0.492974372843676,1.4104329580782,1.4104329580782
ABCC12,28,0.0923702261790549,0.390251375010758,-0.0778493183992985,0.123674992057454,0.0412249973524848,0.0614450307646065,0.203976441573066,0.0645030144387148,0.111111111111111,0.4,limma_2grp(mod_t),-0.139294349163905,0.139294349163905,0.238541175433554,0.238541175433554
ABCC13,51,0.719354853304109,1,0.182863397167051,0.496330542434105,0.165443514144702,0.108883215400597,0.389562513172842,0.123190483264553,0.333333333333333,0.3,limma_2grp(mod_t),0.073980181766454,-0.073980181766454,0.630954007057942,0.630954007057942
ABCC2,30,0.309701058591295,0.75588621874091,-0.364855543486793,0.998177295868305,0.332725765289435,-0.0257706217239452,0.250498608225509,0.0792146152694798,0.111111111111111,0.6,limma_2grp(mod_t),-0.339084921762848,0.339084921762848,1.02912947033397,1.02912947033397
ABCC3,27,0.145654888045061,0.52077828341995,-0.334637925373597,0.732687730351344,0.244229243450448,0.18708007554387,0.762737637052393,0.24119881902204,0.222222222222222,0.6,limma_2grp(mod_t),-0.521718000917467,0.521718000917467,1.05763888600206,1.05763888600206
ABCC4,37,0.667747985402506,1,0.123505798637912,0.761625616258104,0.253875205419368,0.262830461018002,0.635816549397487,0.201062847012502,0.555555555555556,0.6,limma_2grp(mod_t),-0.13932466238009,0.13932466238009,0.992137220261524,0.992137220261524
ABCC5,9,0.00135113312159115,0.0236448296278451,-0.766264610555175,0.812541556702361,0.270847185567454,0.489829295198615,0.625199252776108,0.197705363020785,0.222222222222222,0.8,limma_2grp(mod_t),-1.25609390575379,1.25609390575379,1.02523065065384,1.02523065065384
ABCC5-AS1,40.5,0.354936101629212,0.764460721255485,0,0,0,0.0316029858519577,0.0999374161542632,0.0316029858519577,0,0.1,limma_2grp(mod_t),-0.0316029858519577,0.0316029858519577,0.0999374161542632,0.0999374161542632
ABCC6,31,0.275270499023823,0.744952101064093,-0.0785068883501777,0.211796451951122,0.0705988173170408,0.0275415378806104,0.200419480282261,0.063378204515915,0.333333333333333,0.6,limma_2grp(mod_t),-0.106048426230788,0.106048426230788,0.291591675353902,0.291591675353902
ABCC6P1,38,0.246127634047886,0.711027238407108,-0.375335577646603,0.858753453153805,0.286251151051268,-0.026237336407716,0.329262212161063,0.104121853785455,0.333333333333333,0.4,limma_2grp(mod_t),-0.349098241238887,0.349098241238887,0.919712508157186,0.919712508157186
ABCC6P2,45,1,1,0,0,0,0,0,0,0,0,limma_2grp(mod_t),0,0,0,0
