scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"NKI.NEO","Fun","Fun_only",0.3,"PTGER4",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,57.6221554280792,9.15979191471913e-12,4.14022594545305e-08,"YES",6.74657531376685,7.56877546045749e-12,3.42108650812679e-08,"YES",0.711,1,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"NFAM1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,40.7036302893575,3.09566378675311e-08,1.41337376930546e-06,"YES",5.57068240064518,1.26871755342832e-08,6.6094449125086e-07,"YES",0.688,86,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"LINC02693",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,40.52801170353,3.36588412268333e-08,1.49154865044399e-06,"YES",5.57019829885394,1.27224784186255e-08,6.6094449125086e-07,"YES",0.685,87,FALSE,FALSE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"CBX7",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,40.9333053569715,2.774661501413e-08,1.30640312358195e-06,"YES",5.56821718856801,1.28679458473619e-08,6.6094449125086e-07,"YES",0.641,88,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"VASH1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,40.9655814589819,2.73229577190375e-08,1.29999756726368e-06,"YES",5.56255605795702,1.32925795079704e-08,6.75083813213778e-07,"YES",0.691,89,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"CIITA",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,40.4327256446092,3.52221705622127e-08,1.51623058039239e-06,"YES",5.55868333561163,1.35908670726843e-08,6.82563546317034e-07,"YES",0.653,90,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"PCDHGA6",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,41.6725132816111,1.95032463869743e-08,1.06130137227861e-06,"YES",5.55350369889519,1.39999868755774e-08,6.91522701518949e-07,"YES",0.695,91,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"SEMA6B",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,40.2517701304095,3.83931800396018e-08,1.60977673493081e-06,"YES",5.55256696803099,1.40752408273768e-08,6.91522701518949e-07,"YES",0.681,92,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"LYSMD4",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,41.4318150363139,2.18762894354622e-08,1.13656124423321e-06,"YES",5.5354083703132,1.552520160791e-08,7.54558185674765e-07,"YES",0.615,93,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"TNFRSF10B",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,40.0373139875826,4.25219032914466e-08,1.74726366252126e-06,"YES",5.52406036509666,1.65626784101866e-08,7.88034804358351e-07,"YES",0.682,94,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"RAPGEF2",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,39.9078691254799,4.52253472818629e-08,1.79912980907177e-06,"YES",5.52455256483952,1.65163166039505e-08,7.88034804358351e-07,"YES",0.656,95,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"CNTNAP1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,39.6796173574038,5.0416686145662e-08,1.94772155024267e-06,"YES",5.51551948718532,1.73875603364316e-08,8.18664299173653e-07,"YES",0.667,96,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"CD40",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,40.0175622064725,4.29237476824143e-08,1.74788594166228e-06,"YES",5.51251719110486,1.76868813379287e-08,8.24172202550902e-07,"YES",0.644,97,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"ARAP1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,41.2190416155217,2.42127420333669e-08,1.20265487901998e-06,"YES",5.50106282065833,1.88754331500389e-08,8.70581202430366e-07,"YES",0.691,98,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"MYO1F",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,39.8324130566438,4.68796462360216e-08,1.8425739216245e-06,"YES",5.48995999551848,2.01012393859531e-08,9.04974888066072e-07,"YES",0.682,99,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"ZNF154",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,39.55755421825,5.34325901554766e-08,1.97963366805536e-06,"YES",5.48890385343884,2.02217840032463e-08,9.04974888066072e-07,"YES",0.649,100,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"APOL2",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,39.6220323615476,5.1817717463232e-08,1.97716887670984e-06,"YES",5.48996763831739,2.01003696063641e-08,9.04974888066072e-07,"YES",0.647,101,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"DDR2",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,39.5909730511598,5.25894369199607e-08,1.97963366805536e-06,"YES",5.48701618340588,2.04389848152878e-08,9.0572756240295e-07,"YES",0.647,102,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"NDST2",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,44.1854296717883,5.87125373065357e-09,6.32054052489626e-07,"YES",5.47656166516881,2.16834845906882e-08,9.25028563138766e-07,"YES",0.688,103,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"ADPRH",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,39.9316432545182,4.47162862083121e-08,1.79912980907177e-06,"YES",5.47482022272567,2.18978000566035e-08,9.25028563138766e-07,"YES",0.684,104,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"VENTX",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,39.6124827694299,5.20537823735555e-08,1.97716887670984e-06,"YES",5.47890454317337,2.13983577753234e-08,9.25028563138766e-07,"YES",0.68,105,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"HECA",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,39.2477008806025,6.19212608156968e-08,2.2390727910956e-06,"YES",5.47846346027908,2.14517580500842e-08,9.25028563138766e-07,"YES",0.664,106,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"SYNE1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,40.2479180045444,3.84636918965768e-08,1.60977673493081e-06,"YES",5.47588987627461,2.17659181287601e-08,9.25028563138766e-07,"YES",0.621,107,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"BTN3A3",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,39.7965852304318,4.76861349776135e-08,1.85811491464494e-06,"YES",5.4656783175878,2.30569976160355e-08,9.64978048374819e-07,"YES",0.629,108,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"FNBP1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,39.0704599001401,6.73685190355645e-08,2.3398522796614e-06,"YES",5.46240387845328,2.34864943908815e-08,9.6830452310322e-07,"YES",0.66,109,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"CAMK1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,39.2292178215115,6.24681558855354e-08,2.24092114763984e-06,"YES",5.46181214465747,2.35649330843704e-08,9.6830452310322e-07,"YES",0.648,110,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"VSIR",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,39.029040102929,6.87088983851143e-08,2.34041362004342e-06,"YES",5.4577309159415,2.41128878916592e-08,9.81894173606301e-07,"YES",0.667,111,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"XPC",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,38.9964251085694,6.9783038062087e-08,2.34041362004342e-06,"YES",5.45191472452871,2.49151757625879e-08,1.00550530756158e-06,"YES",0.669,112,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"SLC36A1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,40.459320034335,3.47786982846196e-08,1.51623058039239e-06,"YES",5.44797301533451,2.54735426366889e-08,1.01894170546755e-06,"YES",0.686,113,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"CHKB",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,40.24827576574,3.84571377613126e-08,1.60977673493081e-06,"YES",5.44331471272567,2.61490646871786e-08,1.03678747707059e-06,"YES",0.685,114,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"FAM78A",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,38.8323533953455,7.54459647436755e-08,2.48916613606871e-06,"YES",5.44038816580922,2.6582302662036e-08,1.04480006984698e-06,"YES",0.666,115,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"PTPRE",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,38.9928518052635,6.99017342269604e-08,2.34041362004342e-06,"YES",5.43481712880701,2.74263294087063e-08,1.06868111144269e-06,"YES",0.642,116,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"ADAMTS10",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,38.7206567237181,7.95611409341083e-08,2.55047061717851e-06,"YES",5.42830070345288,2.84465636920471e-08,1.09896126400045e-06,"YES",0.667,117,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"FRMD4B",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,39.0565939671488,6.78143027954963e-08,2.3398522796614e-06,"YES",5.41974291786874,2.98424002354351e-08,1.11477395920799e-06,"YES",0.677,118,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"IGDCC4",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,38.6760551925979,8.12662381096583e-08,2.57459652238877e-06,"YES",5.42244570508143,2.9394537084509e-08,1.11477395920799e-06,"YES",0.667,119,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"INPP4A",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,38.6018586999185,8.41838546425305e-08,2.57459652238877e-06,"YES",5.42041275318374,2.97307933698818e-08,1.11477395920799e-06,"YES",0.664,120,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"ARHGAP31",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,38.6134973708767,8.37193748054951e-08,2.57459652238877e-06,"YES",5.42149802624276,2.95508249031281e-08,1.11477395920799e-06,"YES",0.654,121,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"DNAH1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,38.5670553772062,8.55881861264011e-08,2.59636645161969e-06,"YES",5.41632694263624,3.04179080822186e-08,1.12695856173465e-06,"YES",0.664,122,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"MICAL1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,39.3293627220061,5.95615662528132e-08,2.18140589738136e-06,"YES",5.40761368980963,3.19350000764847e-08,1.17354634427407e-06,"YES",0.68,123,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"DAB2",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,41.9725571274594,1.69015583940534e-08,9.92143427806769e-07,"YES",5.4034192075799,3.26912061013851e-08,1.19164719014726e-06,"YES",0.562,124,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"P2RY1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,38.8105656946628,7.62316568042043e-08,2.49686296199278e-06,"YES",5.39502760091108,3.42565099212753e-08,1.23871539875332e-06,"YES",0.675,125,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"IL17RA",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,41.1048390590675,2.55678165049665e-08,1.22943117662179e-06,"YES",5.38791134225322,3.56405984694013e-08,1.27853575461662e-06,"YES",0.683,126,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"ZFP36L1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,38.6133163185572,8.37265806927474e-08,2.57459652238877e-06,"YES",5.37148571437517,3.90452778376193e-08,1.38964295926015e-06,"YES",0.674,127,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"C1RL",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,42.4482440129661,1.34680754885404e-08,9.36549249356966e-07,"YES",5.36773404688984,3.98660034935826e-08,1.40405791243792e-06,"YES",0.68,128,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"GUSBP11",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,38.0563938288547,1.09094016689791e-07,3.14079589450864e-06,"YES",5.36446053108954,4.05957551154508e-08,1.40405791243792e-06,"YES",0.664,129,FALSE,FALSE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"CD93",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,37.9751183155901,1.13388130561612e-07,3.18331894495954e-06,"YES",5.36402937901931,4.06928288781786e-08,1.40405791243792e-06,"YES",0.647,130,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"IL16",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,38.7288575041958,7.92515344790425e-08,2.55047061717851e-06,"YES",5.36612343588819,4.02234486216814e-08,1.40405791243792e-06,"YES",0.618,131,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"SHOX2",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,38.4797531683019,8.92145372154943e-08,2.68833138809356e-06,"YES",5.36233597502269,4.10762780635928e-08,1.40499138561036e-06,"YES",0.673,132,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"KAT2B",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,38.5989347469312,8.43009480782165e-08,2.57459652238877e-06,"YES",5.36117335810141,4.13415606827828e-08,1.40499138561036e-06,"YES",0.619,133,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"RNF125",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,39.5628091483118,5.32991209624381e-08,1.97963366805536e-06,"YES",5.35519604137429,4.27318521266979e-08,1.44140277322892e-06,"YES",0.593,134,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"STAT2",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,37.8049229716532,1.22934017452073e-07,3.38566304804552e-06,"YES",5.3518149564393,4.35382091166693e-08,1.45772374227663e-06,"YES",0.649,135,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"SERPINB9",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,37.673397559476,1.3085642804558e-07,3.47663582243452e-06,"YES",5.34048614714451,4.63488306017562e-08,1.51809213275317e-06,"YES",0.648,136,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"MIAT",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,37.7936874053026,1.23591682063609e-07,3.38566304804552e-06,"YES",5.34086077836582,4.62531402189687e-08,1.51809213275317e-06,"YES",0.639,137,FALSE,FALSE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"MBNL1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,38.0272790219583,1.10613300841501e-07,3.16438050508597e-06,"YES",5.34065723702107,4.63051061242391e-08,1.51809213275317e-06,"YES",0.628,138,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"RANBP10",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,40.5296927132295,3.36318920125221e-08,1.49154865044399e-06,"YES",5.33608693131866,4.74869405132387e-08,1.52907994018857e-06,"YES",0.679,139,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"GOLGA6L5P",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,37.699025825798,1.29273768558619e-07,3.47663582243452e-06,"YES",5.33533363995338,4.76845163788715e-08,1.52907994018857e-06,"YES",0.66,140,FALSE,FALSE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"ABCA1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,37.6055359631359,1.35141121968438e-07,3.53085474738346e-06,"YES",5.3352778714691,4.76991751253515e-08,1.52907994018857e-06,"YES",0.652,141,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"PCDHGA11",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,39.3194244472604,5.98438786007276e-08,2.18140589738136e-06,"YES",5.32010123713627,5.18547627905494e-08,1.65058822403721e-06,"YES",0.676,142,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"LZTS1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,37.5177323240213,1.40893175848407e-07,3.59795002731524e-06,"YES",5.31066372363275,5.46133543674561e-08,1.72624029189442e-06,"YES",0.661,143,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.NEO","Fun","Fun_only",0.3,"C1R",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,38.2839611904839,9.79141883040133e-08,2.87384500736455e-06,"YES",5.30918149452428,5.50593181952272e-08,1.72825082112796e-06,"YES",0.672,144,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
