scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"NKI.TNBCCL","Fun","Fun_only",0.3,"TTC7A",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.427745075522,0.000647537962240803,0.00248392125443396,"YES",3.45206235803431,0.000278159570365986,0.00157137565538427,"YES",0.4,548,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"RAB37",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",21.4250866628475,0.000260767074418242,0.00127183941203989,"YES",3.44883909047457,0.00028150104421434,0.0015843775585869,"YES",0.454,549,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"CWC25",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.5645279879899,0.000608592628640325,0.00240114709562808,"YES",3.44826840453934,0.000282096540083104,0.00158492402378846,"YES",0.409,550,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"ATF7IP2",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",20.402981258926,0.000415742795858988,0.00180101989257534,"YES",3.44586988865439,0.000284612178634226,0.00159623761562053,"YES",0.436,551,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"PSAP",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.3683275913396,0.000665214395773709,0.00253525453332724,"YES",3.44534365431756,0.000285166896969089,0.00159653297951004,"YES",0.398,552,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"CYP46A1",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.4111601327482,0.000652424614150709,0.0024996509313244,"YES",3.44017082473305,0.000290673566434065,0.0016245025329707,"YES",0.404,553,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"ZNF493",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",20.3375793290818,0.000428308677491829,0.00184806186489012,"YES",3.4389480724877,0.000291989619396323,0.00162899471873738,"YES",0.435,554,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"ALDH1A2",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.538142022177,0.000615920426376361,0.00240929852160606,"YES",3.43836565951231,0.000292618421227652,0.00162960229369537,"YES",0.411,555,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"CD8A",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.4321637737899,0.000646242140648717,0.00248194445321609,"YES",3.43336875564055,0.00029806536539476,0.00165418475035836,"YES",0.407,556,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"NNAT",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",21.6259817643747,0.000237868862495282,0.00119687180812499,"YES",3.4321206584106,0.000299440524599152,0.00165892137321482,"YES",0.456,557,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
