"Method","Cell_Type","cluster","n_candidates","n_pairs","n_dropped","n_zero_delta","n_nonzero_delta","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","note","FDR"
"consensus_tme","T cell regulatory (Tregs)","Fun-CIM",25,25,0,0,25,-0.029042668422956,0.13163201107847,0.00563219589419004,0.171859175552181,0.034674864317146,0.148691507959238,0.45121347001298,NA,0.580131604302403
"consensus_tme","cytotoxicity score","Fun-CIM",25,25,0,0,25,-0.127709777736029,0.117378511233422,-0.098229790090551,0.179770804229673,0.0294799876454782,0.149792397986815,0.628155653709986,NA,0.706675110423735
"consensus_tme","immune score","Fun-CIM",25,25,0,0,25,0.00792241870085873,0.0923580084584513,0.0492805565863709,0.13490742992815,0.0413581378855122,0.10827982019118,0.0714254294896295,NA,0.128565773081333
"epic","B cell","Dys-CIM",11,11,0,0,11,0.0193771989337506,0.0215909125242113,0.00282453366572313,0.00344477445615305,-0.0165526652680275,0.0200330821756131,0.00385729282994253,NA,0.0154291713197701
"epic","Cancer associated fibroblast","Dys-CIM",11,11,0,0,11,0.113732523669697,0.143072285637926,0.157809102788883,0.310488951453002,0.0440765791191865,0.19546331163612,0.689083746544796,NA,0.689083746544796
"epic","Endothelial cell","Dys-CIM",11,11,0,0,11,0.0232422129592655,0.0237988332197878,0.0113172889795045,0.00904739504392994,-0.011924923979761,0.0171338744601443,0.0233763900464205,NA,0.046752780092841
"epic","Macrophage","Dys-CIM",11,11,0,0,11,0.0364709195133684,0.0589183524007623,0.00867161983539744,0.00453947940742427,-0.027799299677971,0.0618594667393477,0.0144832770523174,NA,0.0386220721395131
"epic","NK cell","Dys-CIM",11,11,0,0,11,0.00218835991850015,0.00641899666050944,0.00173048446920069,0.00474264765922067,-0.000457875449299462,0.00193900319254836,0.624834867127387,NA,0.689083746544796
"epic","T cell CD4+","Dys-CIM",11,11,0,0,11,0.0431617187035612,0.0194697712902265,0.0200667909320894,0.00939161018091044,-0.0230949277714717,0.020883157913778,0.00385729282994253,NA,0.0154291713197701
"epic","T cell CD8+","Dys-CIM",11,11,0,0,11,0.0228739513490432,0.01044424558722,0.0141030028743679,0.00833151399548738,-0.00877094847467533,0.0107742182201613,0.0293825411093689,NA,0.0470120657749903
"epic","uncharacterized cell","Dys-CIM",11,11,0,0,11,0.738953114952814,0.202447763905897,0.783477176454834,0.296693521878479,0.0445240615020196,0.137789732611804,0.266402424640499,NA,0.355203232853999
"epic","B cell","Fun-CIM",25,25,0,0,25,0.00745692563257635,0.0104945135681271,0.00412437662250261,0.0078811434577633,-0.00333254901007374,0.00870657204745489,0.100730671039206,NA,0.201461342078412
"epic","Cancer associated fibroblast","Fun-CIM",25,25,0,0,25,0.264351001841413,0.260753825100029,0.573970296340061,0.345517594813083,0.309619294498649,0.295025908249562,0.0000484577252569755,NA,0.000193830901027902
"epic","Endothelial cell","Fun-CIM",25,25,0,0,25,0.0360490876083338,0.0358619249486561,0.0592007741672527,0.109983579458586,0.0231516865589189,0.103773239888679,0.978533980727415,NA,0.978533980727415
"epic","Macrophage","Fun-CIM",25,25,0,0,25,0.012314955685695,0.00840553199505289,0.0291354687942999,0.0874708718814977,0.0168205131086049,0.083637281618509,0.346324791594039,NA,0.461766388792051
"epic","NK cell","Fun-CIM",25,25,0,0,25,0.00011936228253069,0.000250772072873136,0.000807088022384816,0.00350353205100052,0.000687725739854126,0.00334502181874421,0.647370988319675,NA,0.739852558079628
"epic","T cell CD4+","Fun-CIM",25,25,0,0,25,0.038991600872538,0.0265538724815319,0.0305844015389877,0.0314839812190134,-0.00840719933355031,0.027952073811712,0.138905234802083,NA,0.222248375683332
"epic","T cell CD8+","Fun-CIM",25,25,0,0,25,0.0117066402312366,0.0105094452127611,0.00542817253869218,0.0113299378894983,-0.00627846769254439,0.00853156682895628,0.00472473171731758,NA,0.0125992845795135
"epic","uncharacterized cell","Fun-CIM",25,25,0,0,25,0.629010425845677,0.237079714934626,0.296749421975819,0.316457392657076,-0.332261003869858,0.289086279705769,0.0000269903587863338,NA,0.000193830901027902
"estimate","ESTIMATEScore","Dys-CIM",11,11,0,0,11,2318.20464145057,1158.10383949853,693.320817570712,1130.33853788799,-1624.88382387986,955.584570302213,0.00509932237899739,NA,0.00679909650532985
"estimate","ImmuneScore","Dys-CIM",11,11,0,0,11,1767.46865871973,753.261347865681,765.237171521056,449.022499179602,-1002.23148719867,659.56841103945,0.00509932237899739,NA,0.00679909650532985
"estimate","StromalScore","Dys-CIM",11,11,0,0,11,550.735982730842,536.483984397391,-71.9163539503442,811.644858617859,-622.652336681187,563.063010314039,0.0144832770523174,NA,0.0144832770523174
"estimate","TumorPurity","Dys-CIM",11,11,0,0,11,0.577639199887204,0.132922188593435,0.751334219075286,0.114818044853206,0.173695019188081,0.0991660609089238,0.00509932237899739,NA,0.00679909650532985
"estimate","ESTIMATEScore","Fun-CIM",25,25,0,0,25,1207.66104080613,1087.57821796447,2065.38249840118,1370.58569766759,857.721457595044,1213.67509662534,0.00164330586388204,NA,0.00240152777824142
"estimate","ImmuneScore","Fun-CIM",25,25,0,0,25,756.925409035075,663.714112774433,1056.62729388795,951.458509622423,299.701884852875,781.443817253837,0.100730671039206,NA,0.100730671039206
"estimate","StromalScore","Fun-CIM",25,25,0,0,25,450.735631771057,638.659963940806,1008.75520451323,582.627430600242,558.019572742169,546.861523972384,0.0000543617014074554,NA,0.000217446805629821
"estimate","TumorPurity","Fun-CIM",25,25,0,0,25,0.70038598924924,0.105693765233262,0.603781794048212,0.161615596063957,-0.0966041952010287,0.140666714725167,0.00180114583368107,NA,0.00240152777824142
"mcp_counter","B cell","Dys-CIM",11,11,0,0,11,7.05380681818182,7.20373340952532,2.20443181818182,2.76194966880488,-4.849375,8.37129215962954,0.0366712945648324,NA,0.124979101701096
"mcp_counter","Cancer associated fibroblast","Dys-CIM",11,11,0,0,11,360.269545454545,254.54306832202,576.928522727273,994.978851590704,216.658977272727,867.34741772744,0.755657737671463,NA,0.755657737671463
"mcp_counter","Endothelial cell","Dys-CIM",11,11,0,0,11,6.70778409090909,4.60195207912526,5.52873579545455,3.1949833108659,-1.17904829545455,2.69803047148675,0.197326044882155,NA,0.271323311712963
"mcp_counter","Macrophage/Monocyte","Dys-CIM",11,11,0,0,11,27.6578571428571,17.0711589339136,16.1833766233766,8.69271250079751,-11.4744805194805,17.9902671875285,0.0829604137452953,NA,0.152094091866375
"mcp_counter","Monocyte","Dys-CIM",11,11,0,0,11,27.6578571428571,17.0711589339136,16.1833766233766,8.69271250079751,-11.4744805194805,17.9902671875285,0.0829604137452953,NA,0.152094091866375
"mcp_counter","Myeloid dendritic cell","Dys-CIM",11,11,0,0,11,8.3994696969697,7.91740397682998,4.21265151515152,3.78410041449348,-4.18681818181818,8.48923176423931,0.306556273379373,NA,0.3746798896859
"mcp_counter","NK cell","Dys-CIM",11,11,0,0,11,0.375909090909091,0.280993127645661,0.273068181818182,0.397708421631179,-0.102840909090909,0.142225987548306,0.045446946073126,NA,0.124979101701096
"mcp_counter","Neutrophil","Dys-CIM",11,11,0,0,11,5.95168831168831,2.50853728565943,5.38762987012987,3.9329428026085,-0.564058441558442,2.10732271794559,0.350528908982333,NA,0.385581799880567
"mcp_counter","T cell","Dys-CIM",11,11,0,0,11,6.14957792207792,2.97701571576174,2.58464285714286,1.15497860877797,-3.56493506493507,3.02358048080967,0.00385729282994253,NA,0.0280462730844856
"mcp_counter","T cell CD8+","Dys-CIM",11,11,0,0,11,7.59590909090909,6.10441226416672,3.35,2.12884945451763,-4.24590909090909,5.53691693010732,0.00509932237899739,NA,0.0280462730844856
"mcp_counter","cytotoxicity score","Dys-CIM",11,11,0,0,11,7.05837662337662,6.68232853136638,5.39766233766234,8.18755846273509,-1.66071428571429,3.26817623734819,0.142368182702515,NA,0.223721429961095
"mcp_counter","B cell","Fun-CIM",25,25,0,0,25,3.702275,4.16652368197373,2.51325,2.82517812629797,-1.189025,3.75562718890351,0.419547030252253,NA,0.461501733277479
"mcp_counter","Cancer associated fibroblast","Fun-CIM",25,25,0,0,25,834.07625,887.585890070869,1890.2732,1649.17202087741,1056.19695,1290.70509179499,0.00014831462356524,NA,0.00075053875739647
"mcp_counter","Endothelial cell","Fun-CIM",25,25,0,0,25,8.30651875,4.18538530309162,13.8527125,13.176769305347,5.54619375,12.0446885510514,0.00215938408226768,NA,0.00593830622623613
"mcp_counter","Macrophage/Monocyte","Fun-CIM",25,25,0,0,25,12.1284285714286,6.77283320020677,21.0410571428571,22.6652521209026,8.91262857142857,19.4368438792952,0.0071304167510328,NA,0.0130724307102268
"mcp_counter","Monocyte","Fun-CIM",25,25,0,0,25,12.1284285714286,6.77283320020677,21.0410571428571,22.6652521209026,8.91262857142857,19.4368438792952,0.0071304167510328,NA,0.0130724307102268
"mcp_counter","Myeloid dendritic cell","Fun-CIM",25,25,0,0,25,2.41473333333333,1.78490096467667,5.25876666666667,3.601762365367,2.84403333333333,3.6152513686234,0.00014831462356524,NA,0.00075053875739647
"mcp_counter","NK cell","Fun-CIM",25,25,0,0,25,0.25245,0.11484306547415,0.34745,0.240837495458556,0.095,0.239628686830445,0.161765184977887,NA,0.25420243353668
"mcp_counter","Neutrophil","Fun-CIM",25,25,0,0,25,8.03264285714286,4.28163034831661,10.6472714285714,4.13250569063895,2.61462857142857,2.53194142207041,0.000204692388380856,NA,0.00075053875739647
"mcp_counter","T cell","Fun-CIM",25,25,0,0,25,3.29565714285714,2.03014560421654,4.35331428571429,4.21405747152306,1.05765714285714,3.84231531501737,0.467540508522352,NA,0.467540508522352
"mcp_counter","T cell CD8+","Fun-CIM",25,25,0,0,25,3.2276,3.21868442328021,5.5328,7.35429991569558,2.3052,6.0996681057251,0.225967837200517,NA,0.310705776150711
"mcp_counter","cytotoxicity score","Fun-CIM",25,25,0,0,25,2.83908571428571,2.21865159569078,4.38342857142857,5.91324551972355,1.54434285714286,4.90784393567469,0.294008063111738,NA,0.35934318824768
