"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","Fun-CIM_n","Dys-CIM_n","Fun-CIM_mean","Dys-CIM_mean","Fun-CIM_sd","Dys-CIM_sd"
"timer","Macrophage","Biopsy","wilcox_rank_sum",0.0378377833018414,0.0984694119662379,2,NA,25,11,0.0465923962657568,0.038110115617313,0.0311367020059556,0.0795421047939025
"timer","Myeloid dendritic cell","Biopsy","wilcox_rank_sum",0.00818550393779792,0.0310187517642868,2,NA,25,11,0.463922371857138,0.526349028103039,0.062895393507924,0.0719649386452868
"timer","Neutrophil","Biopsy","wilcox_rank_sum",0.017808005291388,0.0534240158741641,2,NA,25,11,0.117406863440656,0.131426715391355,0.0148777346394176,0.0233083411899462
"timer","T cell CD4+","Biopsy","wilcox_rank_sum",0.287058482382502,0.436652339398736,2,NA,25,11,0.114191242574768,0.126184239665368,0.0230289284417264,0.0353209991766167
"timer","T cell CD8+","Biopsy","wilcox_rank_sum",0.917942744258585,0.948687238085428,2,NA,25,11,0.202482573806725,0.201590198732194,0.0211977291532482,0.0222130201390754
"xcell","B cell","Biopsy","wilcox_rank_sum",0.061630200433477,0.143141110684205,2,NA,25,11,0.0255003649805614,0.101535870706712,0.0402978585035201,0.129312319654907
"xcell","B cell memory","Biopsy","wilcox_rank_sum",0.307684021996524,0.458343094836201,2,NA,25,11,0.00621875885065605,0.0311537396984106,0.0178974416430997,0.0541578072077812
"xcell","B cell naive","Biopsy","wilcox_rank_sum",0.913279826641099,0.948687238085428,2,NA,25,11,0.001523055887412,0.00350240207841751,0.00534531765850277,0.011354100249201
"xcell","B cell plasma","Biopsy","wilcox_rank_sum",0.0119838709796166,0.0398542056337387,2,NA,25,11,0.0084982930615934,0.0337579115505797,0.0149766328231585,0.0403587276160827
"xcell","Cancer associated fibroblast","Biopsy","wilcox_rank_sum",0.149201745949782,0.266343612604569,2,NA,25,11,0.0694555031652866,0.0341151339182139,0.0612312204669057,0.0278351438398915
"xcell","Class-switched memory B cell","Biopsy","wilcox_rank_sum",0.302267340181617,0.453401010272425,2,NA,25,11,0.0223108174040655,0.0426771864272712,0.0222762652477705,0.0416567903747515
"xcell","Common lymphoid progenitor","Biopsy","wilcox_rank_sum",0.705608807329843,0.81503477210292,2,NA,25,11,0.0101546587668067,0.008250663749513,0.0100181866107812,0.00817321163953562
"xcell","Common myeloid progenitor","Biopsy","wilcox_rank_sum",0.030773290996928,0.0852183442991853,2,NA,25,11,0.00807946027340697,0.000877354147832005,0.0109577131839657,0.00201561139600976
"xcell","Endothelial cell","Biopsy","wilcox_rank_sum",0.159019309574177,0.281542384164117,2,NA,25,11,0.0304006125650779,0.0191835187654726,0.0363659687069433,0.038029220517562
"xcell","Eosinophil","Biopsy","wilcox_rank_sum",0.385498712876488,0.51719081975976,2,NA,25,11,0.00314902094343526,0.00422706528275579,0.00499915239215796,0.0104544192042184
"xcell","Granulocyte-monocyte progenitor","Biopsy","wilcox_rank_sum",0.335765881094171,0.484221666618256,2,NA,25,11,0.00243377572466787,0.00109826874926603,0.00745036598724681,0.00364254536028833
"xcell","Hematopoietic stem cell","Biopsy","wilcox_rank_sum",0.102818211581728,0.213545516362051,2,NA,25,11,0.149067255813483,0.0902685667876781,0.10578579872802,0.0929423560347986
"xcell","Macrophage","Biopsy","wilcox_rank_sum",0.00665357799256156,0.0276379393537173,2,NA,25,11,0.0169290115389046,0.0527505661717588,0.0222607635801268,0.05672828566624
"xcell","Macrophage M1","Biopsy","wilcox_rank_sum",0.00279284894384148,0.015468086458199,2,NA,25,11,0.0173705264305999,0.0523037029714511,0.0237022932353516,0.0360721748146199
"xcell","Macrophage M2","Biopsy","wilcox_rank_sum",0.49162771319063,0.62835258017264,2,NA,25,11,0.00503879018452434,0.0165626179110699,0.00751444167062132,0.0441866842631735
"xcell","Mast cell","Biopsy","wilcox_rank_sum",0.042747584263079,0.107366025590989,2,NA,25,11,0.0178323020596864,0.0119331743348348,0.0111232393008614,0.0154325796183235
"xcell","Monocyte","Biopsy","wilcox_rank_sum",0.184420649503086,0.311209846036458,2,NA,25,11,0.000805479309553676,0.00529372892232717,0.00249622253486458,0.00963964981406912
