"Method","Cell_Type","cluster","n_pairs","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","FDR","zscore_delta"
"consensus_tme","cytotoxicity score","Dys-CIM",11,0.104455680332559,0.113478430606282,-0.0276056456096623,0.118157400278954,-0.132061325942221,0.123987086097018,0.00385729282994253,0.00834434571108664,-0.926489312852431
"consensus_tme","immune score","Fun-CIM",25,0.00792241870085873,0.0923580084584513,0.0492805565863709,0.13490742992815,0.0413581378855122,0.10827982019118,0.0714254294896295,0.128565773081333,0.8541102490019
"consensus_tme","immune score","Dys-CIM",11,0.166870264634267,0.102803071822571,0.0311674869728498,0.0634429079536001,-0.135702777661417,0.093642960084686,0.00509932237899739,0.00834434571108664,-0.963878237905011
"epic","B cell","Fun-CIM",25,0.00745692563257635,0.0104945135681271,0.00412437662250261,0.0078811434577633,-0.00333254901007374,0.00870657204745489,0.100730671039206,0.201461342078412,-0.0279709407527685
"epic","B cell","Dys-CIM",11,0.0193771989337506,0.0215909125242113,0.00282453366572313,0.00344477445615305,-0.0165526652680275,0.0200330821756131,0.00385729282994253,0.0154291713197701,-0.138930775845412
"epic","Cancer associated fibroblast","Fun-CIM",25,0.264351001841413,0.260753825100029,0.573970296340061,0.345517594813083,0.309619294498649,0.295025908249562,0.0000484577252569755,0.000193830901027902,2.59871435233418
"epic","Cancer associated fibroblast","Dys-CIM",11,0.113732523669697,0.143072285637926,0.157809102788883,0.310488951453002,0.0440765791191865,0.19546331163612,0.689083746544796,0.689083746544796,0.36994606212864
"epic","Endothelial cell","Fun-CIM",25,0.0360490876083338,0.0358619249486561,0.0592007741672527,0.109983579458586,0.0231516865589189,0.103773239888679,0.978533980727415,0.978533980727415,0.194318058371738
"epic","Endothelial cell","Dys-CIM",11,0.0232422129592655,0.0237988332197878,0.0113172889795045,0.00904739504392994,-0.011924923979761,0.0171338744601443,0.0233763900464205,0.046752780092841,-0.100088953263971
"epic","Macrophage","Fun-CIM",25,0.012314955685695,0.00840553199505289,0.0291354687942999,0.0874708718814977,0.0168205131086049,0.083637281618509,0.346324791594039,0.461766388792051,0.14117889164413
"epic","Macrophage","Dys-CIM",11,0.0364709195133684,0.0589183524007623,0.00867161983539744,0.00453947940742427,-0.027799299677971,0.0618594667393477,0.0144832770523174,0.0386220721395131,-0.233326670338684
"epic","NK cell","Fun-CIM",25,0.00011936228253069,0.000250772072873136,0.000807088022384816,0.00350353205100052,0.000687725739854126,0.00334502181874421,0.647370988319675,0.739852558079628,0.00577225897217573
"epic","NK cell","Dys-CIM",11,0.00218835991850015,0.00641899666050944,0.00173048446920069,0.00474264765922067,-0.000457875449299462,0.00193900319254836,0.624834867127387,0.689083746544796,-0.00384306638125609
"epic","T cell CD4+","Fun-CIM",25,0.038991600872538,0.0265538724815319,0.0305844015389877,0.0314839812190134,-0.00840719933355031,0.027952073811712,0.138905234802083,0.222248375683332,-0.0705637857821773
"epic","T cell CD4+","Dys-CIM",11,0.0431617187035612,0.0194697712902265,0.0200667909320894,0.00939161018091044,-0.0230949277714717,0.020883157913778,0.00385729282994253,0.0154291713197701,-0.193841667274088
"epic","T cell CD8+","Fun-CIM",25,0.0117066402312366,0.0105094452127611,0.00542817253869218,0.0113299378894983,-0.00627846769254439,0.00853156682895628,0.00472473171731758,0.0125992845795135,-0.0526967937502124
"epic","T cell CD8+","Dys-CIM",11,0.0228739513490432,0.01044424558722,0.0141030028743679,0.00833151399548738,-0.00877094847467533,0.0107742182201613,0.0293825411093689,0.0470120657749903,-0.0736168258558636
