Category,gene,METABRIC_OS_HR,METABRIC_OS_CI_lower,METABRIC_OS_CI_upper,METABRIC_OS_p_value,METABRIC_OS_p_adj_BH,SCANB_OS_HR,SCANB_OS_CI_lower,SCANB_OS_CI_upper,SCANB_OS_p_value,SCANB_OS_p_adj_BH,METABRIC_DSS_HR,METABRIC_DSS_CI_lower,METABRIC_DSS_CI_upper,METABRIC_DSS_p_value,METABRIC_DSS_p_adj_BH,METABRIC_RFI_HR,METABRIC_RFI_CI_lower,METABRIC_RFI_CI_upper,METABRIC_RFI_p_value,METABRIC_RFI_p_adj_BH,SCANB_RFI_HR,SCANB_RFI_CI_lower,SCANB_RFI_CI_upper,SCANB_RFI_p_value,SCANB_RFI_p_adj_BH,SCANB_DRFI_HR,SCANB_DRFI_CI_lower,SCANB_DRFI_CI_upper,SCANB_DRFI_p_value,SCANB_DRFI_p_adj_BH
Fun-CIM,PTPN22,0.9041,0.7841,1.0425,0.1652,0.3133,0.8118,0.7132,0.9239,0.001586,0.006269,0.9249,0.7985,1.0713,0.2977,0.5064,0.8723,0.756,1.0066,0.06144,0.222,0.8519,0.7391,0.982,0.02707,0.0754,0.7788,0.6662,0.9105,0.001709,0.008343
Fun-CIM,PTPRC,0.7808,0.6716,0.9077,0.001282,0.1226,0.7944,0.6982,0.904,0.0004791,0.003254,0.7983,0.6816,0.9351,0.00523,0.1687,0.7675,0.6588,0.8942,0.0006883,0.05678,0.8069,0.6989,0.9316,0.003424,0.01722,0.7395,0.6312,0.8663,0.0001872,0.001636
Fun-CIM,PTPRE,0.8472,0.7422,0.9671,0.01409,0.1286,0.7795,0.6916,0.8786,0.00004498,0.001041,0.8386,0.7289,0.9648,0.01388,0.194,0.8716,0.7633,0.9952,0.04218,0.2047,0.8557,0.7467,0.9807,0.02507,0.07301,0.8266,0.7126,0.9589,0.01191,0.02951
Fun-CIM,RAB8B,0.8867,0.773,1.0171,0.08588,0.2115,0.7911,0.6931,0.9028,0.0005096,0.003254,0.9047,0.783,1.0454,0.1745,0.3897,0.8771,0.7638,1.0073,0.06325,0.222,0.9009,0.7792,1.0415,0.1585,0.2506,0.8297,0.7057,0.9755,0.02377,0.05227
Fun-CIM,RGS1,0.8983,0.7838,1.0297,0.1235,0.2601,0.8713,0.7694,0.9867,0.0299,0.05909,0.9106,0.7886,1.0514,0.2017,0.3917,0.8918,0.7767,1.0239,0.1042,0.2606,1.0209,0.8842,1.1788,0.778,0.8387,0.9711,0.8302,1.136,0.7141,0.7903
Fun-CIM,RNF125,0.8691,0.7595,0.9945,0.04127,0.1572,0.8072,0.7082,0.9201,0.001335,0.005991,0.875,0.7588,1.009,0.06634,0.2807,0.8994,0.7865,1.0285,0.1213,0.281,0.8558,0.7415,0.9877,0.03321,0.08193,0.815,0.6962,0.954,0.0109,0.02752
Fun-CIM,RORA,0.862,0.7521,0.988,0.03291,0.1419,0.8116,0.7217,0.9128,0.0004964,0.003254,0.861,0.7457,0.9941,0.04125,0.2763,0.8757,0.7632,1.0049,0.05865,0.222,0.9885,0.8666,1.1275,0.8628,0.8951,0.9661,0.8368,1.1153,0.6375,0.7199
Fun-CIM,RPS6KA3,0.8255,0.7139,0.9545,0.009656,0.1226,0.8878,0.783,1.0066,0.06333,0.1095,0.8064,0.6915,0.9406,0.006127,0.1687,0.812,0.7026,0.9384,0.004779,0.1711,0.9425,0.8192,1.0844,0.408,0.517,0.8749,0.7504,1.0202,0.0882,0.1421
Fun-CIM,SAMHD1,0.8988,0.7845,1.0299,0.1246,0.2601,0.817,0.7209,0.926,0.001558,0.006269,0.9043,0.7842,1.0429,0.1669,0.3897,0.8929,0.7792,1.0232,0.1033,0.2606,0.8509,0.7411,0.9771,0.02208,0.06664,0.7884,0.6776,0.9173,0.002087,0.00866
Fun-CIM,SCARF1,0.9185,0.8006,1.0536,0.2247,0.3708,1.0559,0.9237,1.207,0.4252,0.5035,0.9378,0.812,1.0832,0.3825,0.589,0.9465,0.8255,1.0851,0.4303,0.5751,1.0432,0.8955,1.2152,0.5872,0.6864,1.0279,0.8699,1.2147,0.7463,0.8097
Fun-CIM,SCIMP,NA,NA,NA,NA,NA,0.8718,0.769,0.9883,0.03206,0.06188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8922,0.7771,1.0244,0.1058,0.1792,0.8461,0.727,0.9846,0.03069,0.06367
Fun-CIM,SERPING1,0.9205,0.8084,1.0483,0.2117,0.3601,0.9141,0.8158,1.0242,0.1215,0.1868,0.9224,0.8035,1.0589,0.2512,0.4471,0.9474,0.8302,1.0811,0.4226,0.5715,0.9436,0.8289,1.0742,0.38,0.4982,0.9456,0.8208,1.0895,0.4393,0.5362
Fun-CIM,SESN1,0.8971,0.7727,1.0416,0.1542,0.3028,0.7779,0.6844,0.8841,0.0001204,0.001538,0.9264,0.7934,1.0816,0.3331,0.5496,0.9557,0.8271,1.1044,0.5395,0.686,0.8367,0.7248,0.9659,0.01496,0.05155,0.8244,0.7047,0.9644,0.01581,0.03697
Fun-CIM,SGK1,0.876,0.7665,1.0012,0.05204,0.1814,0.9787,0.8638,1.1088,0.7349,0.7821,0.8849,0.7675,1.0202,0.09211,0.2992,0.9298,0.8126,1.0638,0.2893,0.4576,1.1211,0.9776,1.2855,0.1018,0.1743,1.0768,0.9263,1.2519,0.3353,0.4349
Fun-CIM,SKAP2,0.9258,0.813,1.0543,0.2448,0.3866,0.9151,0.8073,1.0373,0.1653,0.2429,0.9334,0.8136,1.0709,0.3258,0.543,0.9417,0.8261,1.0735,0.3689,0.5386,0.9838,0.8574,1.1287,0.8153,0.8675,0.9447,0.8127,1.0981,0.4586,0.5557
Fun-CIM,SLAMF1,0.8513,0.7368,0.9836,0.0289,0.1336,0.7816,0.6883,0.8876,0.0001451,0.001712,0.8607,0.7399,1.0012,0.05178,0.2763,0.854,0.7401,0.9855,0.03076,0.1983,0.7559,0.6554,0.8719,0.0001217,0.002249,0.6903,0.5894,0.8086,0.000004355,0.0001513
Fun-CIM,SLAMF6,0.9123,0.7963,1.0453,0.1863,0.3377,0.8036,0.7091,0.9106,0.0006075,0.003735,0.9326,0.8084,1.076,0.3389,0.5513,0.9172,0.8009,1.0505,0.2118,0.3761,0.764,0.665,0.8778,0.0001452,0.002249,0.7156,0.6143,0.8337,0.0000176,0.0002845
Fun-CIM,SLAMF7,0.9082,0.7896,1.0446,0.1774,0.3289,0.8504,0.7506,0.9635,0.011,0.02808,0.9123,0.7879,1.0564,0.22,0.4126,0.8711,0.7567,1.0029,0.05488,0.222,0.7856,0.6826,0.9042,0.0007699,0.006726,0.728,0.6237,0.8498,0.00005743,0.0005958
Fun-CIM,SLAMF8,0.919,0.8,1.0556,0.232,0.3716,0.9592,0.8415,1.0933,0.5328,0.5976,0.943,0.8144,1.0919,0.4327,0.6263,0.8898,0.774,1.0229,0.1006,0.2606,0.9046,0.7828,1.0452,0.1739,0.2648,0.8598,0.7346,1.0065,0.06018,0.1051
Fun-CIM,SLC12A6,0.8398,0.7363,0.9578,0.009238,0.1226,0.9211,0.8137,1.0427,0.1939,0.2824,0.8372,0.7284,0.9624,0.01246,0.194,0.8614,0.7556,0.9821,0.0257,0.1983,1.0114,0.8794,1.1631,0.8739,0.9011,0.9897,0.8498,1.1527,0.8943,0.9107
Fun-CIM,SLFN11,0.8737,0.7671,0.9952,0.04218,0.1572,0.9332,0.8281,1.0516,0.2567,0.3464,0.8707,0.7585,0.9994,0.04907,0.2763,0.8771,0.7686,1.0008,0.05138,0.222,1.0124,0.8845,1.1588,0.8582,0.8951,0.9469,0.8179,1.0962,0.4651,0.5595
Fun-CIM,STAB1,1.0213,0.8954,1.1649,0.7534,0.8376,1.2074,1.0527,1.3849,0.007065,0.01955,1.0355,0.9027,1.1879,0.6183,0.7584,1.0598,0.9327,1.2042,0.3727,0.5395,1.1229,0.9596,1.3141,0.1483,0.2413,1.1473,0.9648,1.3643,0.12,0.1862
Fun-CIM,STAT4,0.8695,0.7594,0.9955,0.04287,0.1572,0.7855,0.6978,0.8842,0.00006393,0.001041,0.8834,0.7663,1.0183,0.08725,0.2938,0.8707,0.761,0.9962,0.04383,0.2066,0.8057,0.7064,0.9189,0.001281,0.009666,0.7628,0.661,0.8803,0.0002111,0.001752
Fun-CIM,STAT5A,0.8858,0.7693,1.0198,0.09157,0.2162,0.9115,0.8058,1.0311,0.1406,0.2122,0.9024,0.7785,1.046,0.1727,0.3897,0.8884,0.7727,1.0215,0.09663,0.2588,0.7999,0.6977,0.9171,0.001374,0.009915,0.786,0.6763,0.9135,0.001698,0.008343
