gene,direction,meta_scope_used,rho_threshold,k_datasets,n_scope_datasets,k_concordant,direction_concordant,fisher_padj,stouffer_padj,mean_abs_rrb,r_rb,correlation_p_value,correlation_padj,directional_correlation_strength,passes_fisher,passes_stouffer,passes_k_mode,passes_effect_floor,passes_correlation_threshold,selected_for_analysis,in_expression_matrix
ELP4,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00290730117677874,0.00322166149318464,0.442,-0.442,1.9451541090926e-4,0.00322166149318464,0.442,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EMILIN2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.57220209442257e-5,1.42593292290802e-5,0.567,0.567,2.39536081644962e-7,1.42593292290802e-5,0.567,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EML5,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.6864382532391e-4,2.0977706724898e-4,0.472,0.472,1.76663243288092e-5,2.0977706724898e-4,0.472,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EMP3,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00526757496739032,0.00483318106595637,0.39,0.39,0.00124325223646299,0.00483318106595637,0.39,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ENDOD1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0334355331387249,0.0427819199973055,0.321,-0.321,0.00678053071655408,0.0427819199973055,0.321,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ENO1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.7166735320248e-4,3.0652553280585e-4,0.506,-0.506,5.5907172650124e-6,3.0652553280585e-4,0.506,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ENO4,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,6.6923758749635e-4,4.956226444244e-4,0.469,0.469,5.90694912694495e-5,4.956226444244e-4,0.469,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ENOPH1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00178562087549965,0.00141275769311936,0.437,-0.437,6.26411429968018e-5,0.00141275769311936,0.437,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ENPEP,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00419595916550695,0.0032271600024928,0.394,0.394,0.00070165231957674005,0.0032271600024928,0.394,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ENTHD1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.6072567653644e-4,1.5563007801604e-4,0.492,0.492,1.06200399149316e-5,1.5563007801604e-4,0.492,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EPB41L3,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.0605608051221e-4,1.6650054293744e-4,0.476,0.476,1.21995680831525e-5,1.6650054293744e-4,0.476,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EPCIP-AS1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00154948993570737,0.00179094205317827,0.446,0.446,3.350976483148e-4,0.00179094205317827,0.446,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EPHB6,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00113408714330596,6.8216125535779e-4,0.428,0.428,8.96677373394832e-5,6.8216125535779e-4,0.428,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EPPIN,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0236274641021681,0.0208656272875942,0.31,0.31,0.00778196036575055,0.0208656272875942,0.31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EPSTI1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00113408714330596,0.00119282473023182,0.457,0.457,1.913020793768e-4,0.00119282473023182,0.457,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EQTN,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00796252922414657,0.00668671890040046,0.365,0.365,0.00187985116256541,0.00668671890040046,0.365,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ERG,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00128396062530309,0.00110548121954059,0.448,0.448,1.7381780181455e-4,0.00110548121954059,0.448,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ERVFRD-1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.228917117353e-4,5.7282136415204e-4,0.515,0.515,7.14320598824342e-5,5.7282136415204e-4,0.515,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ESD,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0324087762270402,0.0389272727732223,0.321,-0.321,0.0059982275656852,0.0389272727732223,0.321,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ESRRB,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00462480043805277,0.00618996991575997,0.399,0.399,0.00168884232733534,0.00618996991575997,0.399,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ETFA,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00328578346031453,0.00876403183259732,0.439,-0.439,8.4057538017049e-4,0.00876403183259732,0.439,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ETV4,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00724195933983813,0.0101728397043456,0.404,-0.404,0.00101408496423823,0.0101728397043456,0.404,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EVX1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0131167683577134,0.0109185001891111,0.339,0.339,0.0035227613817698,0.0109185001891111,0.339,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EXOSC7,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00297260855247864,0.00273373132095541,0.431,-0.431,1.5473950873332e-4,0.00273373132095541,0.431,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
F13A1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00561392408418462,0.0040919141247012,0.376,0.376,9.9852998766293e-4,0.0040919141247012,0.376,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
F8,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00472990186363148,0.00735206939527139,0.397,0.397,0.00213163773032711,0.00735206939527139,0.397,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
F9,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0219705330884024,0.0200029054497248,0.314,0.314,0.00742246177065261,0.0200029054497248,0.314,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FABP1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0228782317279706,0.0227524508902572,0.314,0.314,0.00855005623077274,0.0227524508902572,0.314,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FADS3,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00709167946648702,0.0115651779196201,0.406,-0.406,0.00119652312438836,0.0115651779196201,0.406,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FAM111A,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.1169231447129e-4,7.1748634918867e-4,0.523,0.523,9.63417204728189e-5,7.1748634918867e-4,0.523,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FAM117A,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,4.8248240145646e-4,0.00113064514072119,0.487,0.487,1.7884103955432e-4,0.00113064514072119,0.487,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FAM124B,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00333159800729744,0.0027650572885742,0.409,0.409,5.8286256964343e-4,0.0027650572885742,0.409,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FAM13B,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0131038136523892,0.010341111354562,0.336,0.336,0.00330070063675486,0.010341111354562,0.336,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FAM156A,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00957536428647984,0.0074983381809334004,0.353,0.353,0.00218583631878153,0.0074983381809334004,0.353,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FAM161B,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,5.5678256149519e-4,0.0022146127660676,0.473,0.473,4.3526194301643e-4,0.0022146127660676,0.473,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FAM162B,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,6.67386061186e-4,4.7266658920869e-4,0.467,0.467,5.44500040627807e-5,4.7266658920869e-4,0.467,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FAM167B,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0140237376348416,0.0132677969195661,0.34,0.34,0.00458403479773875,0.0132677969195661,0.34,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FAM193B,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.5232539941561e-4,1.8877579514226e-4,0.465,0.465,1.50889605655081e-5,1.8877579514226e-4,0.465,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FAM217A,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00439662954141845,0.00757505790063621,0.4,0.4,0.00221772921556362,0.00757505790063621,0.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FAM43A,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00219960872407001,0.00236474437728765,0.431,0.431,4.7188857051753e-4,0.00236474437728765,0.431,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FARS2,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00131287640339887,0.00310936275201285,0.479,-0.479,1.8188328088853e-4,0.00310936275201285,0.479,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FARSB,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,8.4630775281416e-4,8.60961358761e-4,0.493,-0.493,2.97816822212927e-5,8.60961358761e-4,0.493,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FAT2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,4.1142392031288e-4,0.001457514837656,0.487,0.487,2.5162756159532e-4,0.001457514837656,0.487,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FBLN1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00157531206638184,0.00268969096672858,0.444,0.444,5.5823774781159e-4,0.00268969096672858,0.444,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FBLN7,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.31682946431786e-5,2.19488058608755e-5,0.574,0.574,5.21682844039414e-7,2.19488058608755e-5,0.574,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FBP1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,7.3137546394513e-4,0.00265291891116677,0.464,0.464,5.4977156052166e-4,0.00265291891116677,0.464,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FBXO22,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0104769408516386,0.0124135956617892,0.382,-0.382,0.0013155288484349,0.0124135956617892,0.382,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FBXO39,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0117385998891402,0.0140044066230756,0.353,0.353,0.00487511890935368,0.0140044066230756,0.353,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FBXO48,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00106244014540981,7.7725672231628e-4,0.452,0.452,1.104779995242e-4,7.7725672231628e-4,0.452,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
