signature,gene,present
Dys-CIM,RCN2,TRUE
Dys-CIM,RHOC,TRUE
Dys-CIM,RIPPLY2,TRUE
Dys-CIM,RITA1,TRUE
Dys-CIM,RNASEH1,TRUE
Dys-CIM,RNF208,TRUE
Dys-CIM,RPL14,TRUE
Dys-CIM,RPL37A,TRUE
Dys-CIM,RPL38,TRUE
Dys-CIM,RPL4,TRUE
Dys-CIM,RPL7,TRUE
Dys-CIM,RPLP0,TRUE
Dys-CIM,RPN1,TRUE
Dys-CIM,RPS10-NUDT3,TRUE
Dys-CIM,RPS14,TRUE
Dys-CIM,RPS16,TRUE
Dys-CIM,RPS18,TRUE
Dys-CIM,RPS18P9,TRUE
Dys-CIM,RPS5,TRUE
Dys-CIM,RPS7,TRUE
Dys-CIM,RPUSD3,TRUE
Dys-CIM,RTN4IP1,TRUE
Dys-CIM,S100A14,TRUE
Dys-CIM,S100A16,TRUE
Dys-CIM,SAAL1,TRUE
Dys-CIM,SENP3-EIF4A1,TRUE
Dys-CIM,SET,TRUE
Dys-CIM,SFXN2,TRUE
Dys-CIM,SFXN4,TRUE
Dys-CIM,SH3BP4,TRUE
Dys-CIM,SHPK,TRUE
Dys-CIM,SINHCAF,TRUE
Dys-CIM,SLC19A2,TRUE
Dys-CIM,SLC25A13,TRUE
Dys-CIM,SLC25A15,TRUE
Dys-CIM,SLC25A3,TRUE
Dys-CIM,SLC30A9,TRUE
Dys-CIM,SLC35B2,TRUE
Dys-CIM,SLC37A4,TRUE
Dys-CIM,SLURP1,TRUE
Dys-CIM,SMS,TRUE
Dys-CIM,SMYD2,TRUE
Dys-CIM,SNHG16,TRUE
Dys-CIM,SNORA11,TRUE
Dys-CIM,SNX7,TRUE
Dys-CIM,SORD,TRUE
Dys-CIM,SPATC1L,TRUE
Dys-CIM,SPRR1B,TRUE
Dys-CIM,SRD5A3,TRUE
Dys-CIM,SRP72,TRUE
Dys-CIM,SRPK1,TRUE
Dys-CIM,SRSF9,TRUE
Dys-CIM,SSR2,TRUE
Dys-CIM,STAU2,TRUE
Dys-CIM,STRAP,TRUE
Dys-CIM,SUCLG2,TRUE
Dys-CIM,SULT1E1,TRUE
Dys-CIM,SYNGR2,TRUE
Dys-CIM,TATDN1,TRUE
Dys-CIM,TBC1D7,TRUE
Dys-CIM,TBCA,TRUE
Dys-CIM,TBCB,TRUE
Dys-CIM,TBL3,TRUE
Dys-CIM,TBRG4,TRUE
Dys-CIM,TCEA1,TRUE
Dys-CIM,TDP1,TRUE
Dys-CIM,TESMIN,TRUE
Dys-CIM,TFB1M,TRUE
Dys-CIM,TFB2M,TRUE
Dys-CIM,THOC7,TRUE
Dys-CIM,TIPRL,TRUE
Dys-CIM,TMED3,TRUE
Dys-CIM,TMEM102,TRUE
Dys-CIM,TMEM147,TRUE
Dys-CIM,TOM1L1,TRUE
Dys-CIM,TOP1MT,TRUE
Dys-CIM,TPD52,TRUE
Dys-CIM,TPM3,TRUE
Dys-CIM,TRAP1,TRUE
Dys-CIM,TRIM37,TRUE
Dys-CIM,TSPAN17,TRUE
Dys-CIM,TTLL12,TRUE
Dys-CIM,TUBB,TRUE
Dys-CIM,TWF1,TRUE
Dys-CIM,TXNL1,TRUE
Dys-CIM,TYRO3,TRUE
Dys-CIM,UBE2F,TRUE
Dys-CIM,UBE2N,TRUE
Dys-CIM,UBL4A,TRUE
Dys-CIM,UCHL3,TRUE
Dys-CIM,UCHL5,TRUE
Dys-CIM,UGT2B7,TRUE
Dys-CIM,UPK1A-AS1,TRUE
Dys-CIM,UQCRC2,TRUE
Dys-CIM,USP14,TRUE
Dys-CIM,UTP18,TRUE
Dys-CIM,VAPA,TRUE
Dys-CIM,VDAC1,TRUE
Dys-CIM,VDAC2,TRUE
Dys-CIM,VPS28,TRUE
Dys-CIM,VPS35,TRUE
Dys-CIM,VRK2,TRUE
Dys-CIM,VTA1,TRUE
Dys-CIM,WDR12,TRUE
Dys-CIM,WDR54,TRUE
Dys-CIM,XPO5,TRUE
Dys-CIM,XRCC5,TRUE
Dys-CIM,YIF1A,TRUE
Dys-CIM,YWHAE,TRUE
Dys-CIM,YWHAQ,TRUE
Dys-CIM,YWHAZ,TRUE
Dys-CIM,ZFAND1,TRUE
Dys-CIM,ZNF581,TRUE
Dys-CIM,ZRANB3,TRUE
Dys-CIM,ZW10,TRUE
Fun-CIM,A2M,TRUE
Fun-CIM,ABCA5,TRUE
Fun-CIM,ABCC3,TRUE
Fun-CIM,ABHD6,TRUE
Fun-CIM,ABO,TRUE
Fun-CIM,ACSM5,TRUE
Fun-CIM,ACTA2,TRUE
Fun-CIM,ACY3,TRUE
Fun-CIM,ADA2,TRUE
Fun-CIM,ADAD2,TRUE
Fun-CIM,ADAMDEC1,TRUE
Fun-CIM,ADAMTSL3,TRUE
Fun-CIM,ADAP2,TRUE
Fun-CIM,ADGRG5,TRUE
Fun-CIM,ADGRG7,TRUE
Fun-CIM,ADGRL4,TRUE
Fun-CIM,ADH1C,TRUE
Fun-CIM,ADH4,TRUE
Fun-CIM,ADH6,TRUE
Fun-CIM,ADHFE1,TRUE
Fun-CIM,ADPGK-AS1,TRUE
Fun-CIM,AGAP5,TRUE
Fun-CIM,AGTR2,TRUE
Fun-CIM,AIF1,TRUE
Fun-CIM,AIM2,TRUE
Fun-CIM,AKAP17A,TRUE
Fun-CIM,AKAP5,TRUE
Fun-CIM,AKAP9,TRUE
Fun-CIM,AKNA,TRUE
Fun-CIM,AKNAD1,TRUE
Fun-CIM,ALAS2,TRUE
Fun-CIM,ALDH1A1,TRUE
Fun-CIM,ALDH1A2,TRUE
Fun-CIM,ALDOB,TRUE
Fun-CIM,ALK,TRUE
Fun-CIM,ALKAL2,TRUE
Fun-CIM,ALPL,TRUE
Fun-CIM,AMPD1,TRUE
Fun-CIM,AMY2B,TRUE
Fun-CIM,ANGPTL1,TRUE
Fun-CIM,ANKDD1B,TRUE
Fun-CIM,ANKHD1-EIF4EBP3,TRUE
Fun-CIM,ANKRD12,TRUE
Fun-CIM,ANKRD20A5P,TRUE
Fun-CIM,ANKRD53,TRUE
Fun-CIM,ANKRD55,TRUE
Fun-CIM,AP3B2,TRUE
Fun-CIM,APOB,TRUE
Fun-CIM,APOBEC3F,TRUE
Fun-CIM,APOBEC3G,TRUE
Fun-CIM,APOBEC3H,TRUE
Fun-CIM,APOC1,TRUE
Fun-CIM,APOD,TRUE
Fun-CIM,APOL1,TRUE
Fun-CIM,APOL2,TRUE
Fun-CIM,APOL3,TRUE
Fun-CIM,APOL6,TRUE
Fun-CIM,AQP9,TRUE
Fun-CIM,ARAP3,TRUE
Fun-CIM,ARHGAP15,TRUE
Fun-CIM,ARHGAP20,TRUE
Fun-CIM,ARHGAP23,TRUE
Fun-CIM,ARHGAP6,TRUE
Fun-CIM,ARHGEF18,TRUE
Fun-CIM,ARMH1,TRUE
Fun-CIM,ARSA,TRUE
Fun-CIM,ASIP,TRUE
Fun-CIM,ASPHD2,TRUE
Fun-CIM,ATF7,TRUE
Fun-CIM,ATF7IP2,TRUE
Fun-CIM,ATG14,TRUE
Fun-CIM,ATG4A,TRUE
Fun-CIM,ATOH8,TRUE
Fun-CIM,ATP2B2,TRUE
Fun-CIM,ATP8B4,TRUE
Fun-CIM,AVPR1A,TRUE
Fun-CIM,AVPR2,TRUE
Fun-CIM,B3GNT9,TRUE
Fun-CIM,BANK1,TRUE
Fun-CIM,BASP1-AS1,TRUE
Fun-CIM,BATF,TRUE
Fun-CIM,BATF3,TRUE
Fun-CIM,BCL6,TRUE
Fun-CIM,BDP1,TRUE
Fun-CIM,BHLHE22,TRUE
Fun-CIM,BHMT2,TRUE
Fun-CIM,BICRA,TRUE
Fun-CIM,BLNK,TRUE
Fun-CIM,BMAL1,TRUE
Fun-CIM,BMP3,TRUE
Fun-CIM,BOD1L1,TRUE
Fun-CIM,BOLL,TRUE
Fun-CIM,BORCS7,TRUE
Fun-CIM,BST1,TRUE
Fun-CIM,BTG2,TRUE
Fun-CIM,BTLA,TRUE
Fun-CIM,BTN2A2,TRUE
Fun-CIM,BTNL8,TRUE
Fun-CIM,C1QB,TRUE
Fun-CIM,C1QTNF2,TRUE
Fun-CIM,C1QTNF7,TRUE
Fun-CIM,C3,TRUE
Fun-CIM,C4BPA,TRUE
Fun-CIM,C5AR1,TRUE
Fun-CIM,CA11,TRUE
Fun-CIM,CA4,TRUE
Fun-CIM,CACNA1E,TRUE
Fun-CIM,CACNA1G,TRUE
Fun-CIM,CACNB2,TRUE
Fun-CIM,CALHM5,TRUE
Fun-CIM,CALML4,TRUE
Fun-CIM,CAPN3,TRUE
Fun-CIM,CAPN6,TRUE
Fun-CIM,CARD16,TRUE
Fun-CIM,CARD8-AS1,TRUE
Fun-CIM,CARINH,TRUE
Fun-CIM,CASC15,TRUE
Fun-CIM,CASP1,TRUE
Fun-CIM,CASP7,TRUE
Fun-CIM,CASQ1,TRUE
Fun-CIM,CASS4,TRUE
Fun-CIM,CAVIN2,TRUE
Fun-CIM,CCDC136,TRUE
Fun-CIM,CCDC142,TRUE
Fun-CIM,CCDC144A,TRUE
Fun-CIM,CCDC146,TRUE
Fun-CIM,CCDC159,TRUE
Fun-CIM,CCDC178,TRUE
Fun-CIM,CCDC8,TRUE
Fun-CIM,CCDC81,TRUE
Fun-CIM,CCDC85A,TRUE
Fun-CIM,CCDC88B,TRUE
Fun-CIM,CCKAR,TRUE
Fun-CIM,CCL19,TRUE
Fun-CIM,CCL21,TRUE
Fun-CIM,CCL3,TRUE
Fun-CIM,CCL3L3,TRUE
Fun-CIM,CCL4L2,TRUE
Fun-CIM,CCL7,TRUE
Fun-CIM,CCM2L,TRUE
Fun-CIM,CCR2,TRUE
Fun-CIM,CCR7,TRUE
Fun-CIM,CD101,TRUE
Fun-CIM,CD14,TRUE
Fun-CIM,CD160,TRUE
Fun-CIM,CD1C,TRUE
Fun-CIM,CD1D,TRUE
Fun-CIM,CD2,TRUE
Fun-CIM,CD244,TRUE
Fun-CIM,CD28,TRUE
Fun-CIM,CD300LB,TRUE
Fun-CIM,CD300LF,TRUE
Fun-CIM,CD37,TRUE
Fun-CIM,CD38,TRUE
Fun-CIM,CD3G,TRUE
Fun-CIM,CD4,TRUE
Fun-CIM,CD48,TRUE
Fun-CIM,CD5,TRUE
Fun-CIM,CD53,TRUE
Fun-CIM,CD8A,TRUE
Fun-CIM,CD8B,TRUE
Fun-CIM,CDH23,TRUE
Fun-CIM,CDIP1,TRUE
Fun-CIM,CDK11A,TRUE
Fun-CIM,CDK5RAP3,TRUE
Fun-CIM,CDKN1A,TRUE
Fun-CIM,CEBPA,TRUE
Fun-CIM,CEBPD,TRUE
Fun-CIM,CELF6,TRUE
Fun-CIM,CENATAC,TRUE
Fun-CIM,CENPT,TRUE
Fun-CIM,CEP126,TRUE
Fun-CIM,CEP162,TRUE
Fun-CIM,CEP164,TRUE
Fun-CIM,CFAP210,TRUE
Fun-CIM,CFAP44,TRUE
Fun-CIM,CFB,TRUE
Fun-CIM,CFI,TRUE
Fun-CIM,CFTR,TRUE
Fun-CIM,CGNL1,TRUE
Fun-CIM,CH25H,TRUE
Fun-CIM,CHD2,TRUE
Fun-CIM,CHD3,TRUE
Fun-CIM,CHRM5,TRUE
Fun-CIM,CHRNA1,TRUE
Fun-CIM,CHRNA7,TRUE
Fun-CIM,CHST13,TRUE
Fun-CIM,CHST9,TRUE
Fun-CIM,CILP,TRUE
Fun-CIM,CLC,TRUE
Fun-CIM,CLDN15,TRUE
Fun-CIM,CLDN18,TRUE
Fun-CIM,CLEC7A,TRUE
Fun-CIM,CLEC9A,TRUE
Fun-CIM,CLIC2,TRUE
Fun-CIM,CLIC5,TRUE
Fun-CIM,CLK1,TRUE
Fun-CIM,CLK4,TRUE
Fun-CIM,CLLU1,TRUE
Fun-CIM,CLNK,TRUE
Fun-CIM,CNR2,TRUE
Fun-CIM,CNTLN,TRUE
Fun-CIM,CNTRL,TRUE
Fun-CIM,COL14A1,TRUE
Fun-CIM,COL16A1,TRUE
Fun-CIM,COL17A1,TRUE
Fun-CIM,COL24A1,TRUE
Fun-CIM,COL4A3,TRUE
Fun-CIM,COL5A3,TRUE
Fun-CIM,COL6A5,TRUE
Fun-CIM,COL6A6,TRUE
Fun-CIM,COL7A1,TRUE
Fun-CIM,COL9A1,TRUE
Fun-CIM,COLCA1,TRUE
Fun-CIM,COLQ,TRUE
Fun-CIM,COPZ2,TRUE
Fun-CIM,COQ10A,TRUE
Fun-CIM,CP,TRUE
Fun-CIM,CPPED1,TRUE
Fun-CIM,CRACDL,TRUE
Fun-CIM,CRHBP,TRUE
Fun-CIM,CRISP2,TRUE
Fun-CIM,CRISP3,TRUE
Fun-CIM,CSAD,TRUE
Fun-CIM,CSMD2,TRUE
Fun-CIM,CTLA4,TRUE
Fun-CIM,CTSG,TRUE
Fun-CIM,CUBN,TRUE
Fun-CIM,CWC25,TRUE
Fun-CIM,CXCL12,TRUE
Fun-CIM,CXCL9,TRUE
Fun-CIM,CXCR3,TRUE
Fun-CIM,CXXC1,TRUE
