analysis,sig_mode,group,group_members,cim,rho_threshold,gene
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CHKB-CPT1B"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CHST11"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CIC"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CLCN6"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CLN8"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CNTNAP1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"COL5A1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"COL5A3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"COL6A2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CPD"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CPT1C"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CREB3L2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CRTAP"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CRTC3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CRY2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CSF1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CSGALNACT1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CTC1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CUL9"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"CYP1B1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DAPK1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DCHS1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DDB2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DENND1C"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DENND3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DENND4B"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DEPP1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DISC1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DMXL2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DNAH1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DNM1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DOCK4"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DOK3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DPYD"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DSE"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DST"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DTX2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DTX2P1-UPK3BP1-PMS2P11"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DUSP18"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"DYSF"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"EDEM1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"EEF1AKMT3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"EEF2K"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"EHBP1L1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"EHD3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"EIF4G3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"EMILIN1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"EML4"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ENG"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ENGASE"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ENTPD4"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"EP400"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"EP400P1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ERAP1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ERN1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ETV6"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"EVC"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"EXOC8"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"EXOG"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"EXTL3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FAM124A"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FAM193B"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FAM20A"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FAM78A"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FBLN7"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FBXO10"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FBXO11"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FBXO31"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FCGRT"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FCHSD1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FERMT3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FES"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FHIP1B"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FHIP2B"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FMNL1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FMNL3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FNBP1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FNBP4"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FNDC3B"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FOXN3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FOXO3B"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"FRMD4B"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GABBR1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GADD45G"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GAL3ST4"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GAS6"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GAS6-AS1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GIPC3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GIT2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GLG1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GLI2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GNB4"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GNE"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GNPTAB"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GOLGA6L4"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GOLGA6L5P"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GPR132"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GPR162"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GPRIN3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GPSM3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GRASLND"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GTPBP1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"GUSBP11"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"H6PD"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"HDAC10"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"HDAC4"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"HDAC7"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"HECA"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"HECW2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"HERC1"
