scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"WDR25",3,3,"YES",1,"NO","YES","Dys","YES","Fun","YES","Fun",9.53108495455056,0.145839018075328,0.366466187237043,"NO",0.126917062955348,0.449503020783572,0.999999999998396,"NO",0.386
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"TBC1D12",3,2,"NO",1,"NO","YES","Fun","NO",NA,"YES","Dys",6.81587816008127,0.14594406770245,0.366623394528221,"NO",-1.05630564474837,0.854585701052709,0.999999999998396,"NO",0.349
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"RBMS1",3,3,"YES",1,"NO","YES","Fun","YES","Fun","YES","Dys",9.52583978084045,0.146092885078635,0.366890426467854,"NO",-2.79519976562681,0.997406617300602,0.999999999998396,"NO",0.506
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"SEPTIN3",3,2,"NO",1,"NO","YES","Dys","NO",NA,"YES","Fun",6.8069313308774,0.146449622510312,0.367679311213699,"NO",-0.00600357112473383,0.50239506396755,0.999999999998396,"NO",0.476
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"SEC22C",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.80521907365554,0.146546558558844,0.367719049901184,"NO",-0.981789882546966,0.836898313220498,0.999999999998396,"NO",0.453
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"RBBP4",3,2,"NO",1,"NO","YES","Dys","YES","Fun","NO",NA,6.80514630681017,0.146550679407831,0.367719049901184,"NO",0.213300244450861,0.415546391448372,0.999999999998396,"NO",0.397
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"STAU1",3,2,"NO",1,"NO","YES","Dys","YES","Fun","NO",NA,6.80176745851777,0.146742143117147,0.368092428185425,"NO",-0.218391105288508,0.586437802378585,0.999999999998396,"NO",0.465
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"BRSK2",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.79770182931107,0.146972826416803,0.368563940468059,"NO",-0.173188935458182,0.568748539775511,0.999999999998396,"NO",0.347
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"SCRN2",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.79552167697573,0.147096664388467,0.368609062666309,"NO",-2.42635711012769,0.992374372600565,0.999999999998396,"NO",0.582
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"PTMS",3,2,"NO",1,"NO","YES","Dys","NO",NA,"YES","Fun",6.79517954718393,0.147116106844912,0.368609062666309,"NO",0.149644096592542,0.440522707912472,0.999999999998396,"NO",0.452
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"ZNF510",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.79512912744595,0.147118972282161,0.368609062666309,"NO",-0.220720361192883,0.587344911753713,0.999999999998396,"NO",0.354
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"JAM3",3,3,"YES",1,"NO","YES","Fun","YES","Fun","YES","Dys",9.50370374659426,0.147168534375185,0.368626207002459,"NO",-3.53234373770523,0.999794053212314,0.999999999998396,"NO",0.528
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"NLRP10",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.79259099950971,0.147263284186926,0.368756494268424,"NO",-0.113750474858742,0.545282200496858,0.999999999998396,"NO",0.338
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"MIF4GD-DT",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.79076259521365,0.147367322997975,0.368909959428352,"NO",-1.29495295628288,0.902331770724942,0.999999999998396,"NO",0.487
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"UGGT1",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.78784239956524,0.147533625517056,0.36906671000898,"NO",-2.11786395077787,0.982906704297879,0.999999999998396,"NO",0.56
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"ATP6V1F",3,2,"NO",1,"NO","YES","Dys","NO",NA,"YES","Fun",6.7874713136163,0.147554770796995,0.36906671000898,"NO",0.463196111411335,0.32161190163878,0.999999999998396,"NO",0.397
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"CDKL5",3,2,"NO",1,"NO","YES","Fun","NO",NA,"YES","Dys",6.78741023960525,0.147558251191445,0.36906671000898,"NO",-2.073436206594,0.980934148850854,0.999999999998396,"NO",0.432
