"","gene_id","H_value","p_value","stat_test_adj_p","cluster1_mean","cluster1_sd","cluster1_sem","cluster2_mean","cluster2_sd","cluster2_sem","cluster1_penetrance","cluster2_penetrance","cluster1_cluster2_pval","cluster1_cluster2_differential","cluster2_cluster1_differential","cluster1_cluster2_sd","cluster2_cluster1_sd"
"4491","DLX2",145,0.00779587502430415,0.0645357364037438,0.336397325664483,0.537780774104299,0.14372795756374,-0.138221606457686,0.178415835564162,0.0494836494985645,0.785714285714286,0.153846153846154,NA,0.474618932122169,-0.474618932122169,0.566604245815611,0.566604245815611
"4492","LCT",155,0.00186155657768544,0.0286908290340523,0.038298732647564,0.0373888731241865,0.00999259666487616,-0.00109337378613084,0.0127420509227033,0.0035340090735677,0.857142857142857,0.153846153846154,NA,0.0393921064336948,-0.0393921064336948,0.0395004771517165,0.0395004771517165
"4493","DARS1",23,0.000527661865661596,0.01390890318326,-0.42666034771521,0.33407486711482,0.089285263876835,0.0469414700958118,0.195840116093751,0.0543162754129878,0.142857142857143,0.538461538461538,NA,-0.473601817811022,0.473601817811022,0.387245875264539,0.387245875264539
"4494","SRSF7",62,0.169385541147555,0.373542738895916,-0.153879141457402,0.441093146993896,0.117887102264648,-0.0202341669351662,0.353467722975552,0.0980343076469119,0.214285714285714,0.692307692307692,NA,-0.133644974522236,0.133644974522236,0.565245606361076,0.565245606361076
"4495","SDC1",158,0.00066117268163304,0.0160073671196843,0.438445039616099,0.571115397066512,0.152637010295303,-0.112844003869356,0.410595074260487,0.113878584130702,0.714285714285714,0.153846153846154,NA,0.551289043485455,-0.551289043485455,0.703392573015535,0.703392573015535
"4496","PLCL1",132,0.0492743683246784,0.180463918517094,0.086778441797254,0.400368565209844,0.107002999960678,-0.0200720780646408,0.0804901410784687,0.0223239485252115,0.714285714285714,0.461538461538462,NA,0.106850519861895,-0.106850519861895,0.408379297735599,0.408379297735599
"4497","SLC1A4",129,0.0682643095376976,0.21627807892166,-0.0289839459582857,0.488398129694205,0.130529890689779,-0.154737826696368,0.250728895978189,0.0695396838992184,0.642857142857143,0.153846153846154,NA,0.125753880738082,-0.125753880738082,0.548997005790777,0.548997005790777
"4498","SOS1",58,0.115874126920028,0.288783753751943,-0.494444477022607,0.827799356382401,0.221238684041066,-0.0667699179120556,0.323540647248549,0.0897340302578038,0.285714285714286,0.615384615384615,NA,-0.427674559110551,0.427674559110551,0.888780245532678,0.888780245532678
"4499","KYNU",27,0.0020439879536381,0.0300525704196137,-0.634161305134525,0.36916185835356,0.098662656730271,-0.124644483293509,0.257041736187178,0.0712905507505507,0,0.0769230769230769,NA,-0.509516821841016,0.509516821841016,0.44983433817926,0.44983433817926
"4500","LINC02566",104,0.326496163834524,0.534709839918087,0.0265805332224136,0.0545970479753744,0.0145916748466508,0.0075085228174171,0.0270723640211887,0.0075085228174171,0.214285714285714,0.0769230769230769,NA,0.0190720104049965,-0.0190720104049965,0.0609405492371138,0.0609405492371138
