Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
2661_B,0.139574962946102,0,0,0.0710004757466208,0,0.102610779154075,0,0.0792798550675028,0.0510106632906594,0,0.0139660639784052,0.0402098683804652,0.0701342222296873,0,0.0258296338410563,0.342625073310108,0.0243381397161758,0.00497716551581942,0.030261877075053,0.00302502993241559,0,0.00115618981585376,0.027,0.187298409900123,1.00743563411822
2661_S,0.0127611838018798,0.000538839954644862,0.0030018173072064,0.0300072287830438,0,0.0634213122034105,0,0.0787087858189857,0.0214476305993391,0,0.016549790091303,0.0142093062836095,0,0.163161918927242,0.0325283226157606,0.459934508979783,0.00874818587154547,0,0.086293049272691,0,0,0.00868811948955461,0,0.611191956488915,0.800207855209134
2677_B,0.0695757571071287,0.00732337168819398,0.000169599828234841,0.0968676570668756,0,0.24632727505531,0,0.0513163665025247,0.0296192098109459,0,0,0.0309838162386633,0.0180474436872897,0,0.0450897099822975,0.248490922127307,0.0110723708364815,0,0.137564204256094,0.00151392135706455,0,0.00603837445558913,0,0.755725737702337,0.735113092862356
2677_S,0.0524735222212745,0,0.00276893123934081,0.0276875904365319,0,0.135027840289368,0,0.0443834692172509,0.00283468682979814,0,0.00290524766863124,0.0151579803161881,0.0756199669863761,0,0.0493482087855937,0.506255932510854,0,0,0,0.0569320613432414,0,0.0286045621555514,0,0.733742696936546,0.727453172064281
2691_B,0.004655708903668,0.00373511038682598,0,0.0922174583640155,0,0.135262435814943,0,0.0346714314555167,0.019674210044359,0,0.0091904209524682,0.0175193786824343,0,0.114498665721371,0.0421996870214224,0.489311503059009,0,0,0.0300612746623558,0.00700271493161127,0,0,0,0.722392610640724,0.728194038067581
2691_S,0.0283468961674963,0,0.00438185503020549,0.137964413762874,0,0.0996065978854603,0.0066593327837887,0.0441658516242932,0.0397334056587462,0,0.0111616738245795,0.0234034913300785,0.00601574526075633,0.0422739223473959,0.075206944809427,0.309581556623727,0.00303578584188873,0,0.168462527049283,0,0,0,0,0.76376480113649,0.729960152688096
2739_B,0.0406419380334604,0,0.063598399224908,0.0638333451734106,0,0.126024786476207,0,0.0472596911208695,0.0196228698256917,0,0,0.0138387305238961,0.0323862306093518,0.0192521730888924,0.0487028244260586,0.414603247346588,0.0110130981020873,0,0.0747622429560892,0.0221507414868464,0,0.0023096816056431,0,0.421812837219305,0.906030056011391
2739_S,0.0441079419096697,0,0.0602334763872628,0.0565536376339825,0,0.131697719489392,0,0.0714154139393523,0.00403989059651168,0,0,0.0625782990475915,0.0250198355080542,0.04109475187841,0.0256316501153411,0.349178898925867,0.00263351057743559,0,0.120572170573161,0,0,0.00524280341796823,0,0.55622297121806,0.843950621291191
2789_B,0.0346691906597661,0,0,0.153000293460809,0,0.200221959536381,0,0.12431755862337,0.0376553608477063,0,0.00886797145546859,0.00477591812687141,0.00422931742427538,0.0698381983292791,0.0901837954267099,0.197924847115374,0.0088313791568914,0,0.0531448760901463,0.0123393337469514,0,0,0,0.70483452844303,0.749739924013959
2789_S,0.0421152128995093,0,0,0.189122798208101,0,0.227551534079932,0.0201635233900411,0.0469400055906643,0.0361144372486047,0,0,0.0280115210440817,0.00646386354600147,0.0520952480788656,0.0839190407852528,0.182539055648396,0.0103440332580471,0,0.0746197262225024,0,0,0,0,0.78512657847819,0.699760756245919
2817_B,0.00228083773451165,0.0112408411228536,0,0.139420383239025,0,0.213912410798277,0,0.0470560857172264,0.0340699575856458,0,0.00606242229086036,0.0116093698388761,0,0.0757790994855008,0.0525207881319993,0.356413193711047,0.000399589650767733,0,0.0446263478599355,0,0,0.00460867283347358,0,0.382924386561273,0.926117626417361
2817_S,0.0517719387379869,0,0,0.125621857842294,0,0.204942612535512,0,0.0516978574856204,0,0,0,0.0857802372836057,0.0480587620704405,0,0.1231500557476,0.192598520926808,0.0177128017894567,0,0.098665355580675,0,0,0,0,0.580994611756032,0.823437335725233
2852_B,0.0182911663029745,0,0.00283825663743899,0.112175465195494,0,0.170288995275652,0.00105220459824634,0.0405418215512584,0.00977920884508261,0,0.00379610254420986,0.016865701802275,0.0115372686350481,0,0.0611796359223122,0.247515237170224,0.00933404539187305,0,0.292329029094354,0,0,0.00247586103355642,0,0.735839933850467,0.737725741058436
2852_S,0.0113926389461977,0.0031485206009276,0.0162224855022185,0.0481714174916461,0,0.12778555239285,0.00443664724863577,0.0667245240462657,0,0,0.0172705778792975,0.0268925616044607,0.0173898818875105,0,0.0169839368252981,0.213719875493072,0.0156699934246962,0.00986160330663002,0.404329783350293,0,0,0,0,0.710483970164728,0.740018785227444
2976_B,0.0352331811201088,0,0.0133998017098187,0.0940196142045518,0,0.174027659358122,0,0.102536480783833,0.0622165375994479,0,0.0108766945964456,0.0105014351517698,0.00158520209942664,0.0556386387791812,0.0701260661420728,0.305265225226863,0.00246269096010421,0,0.0546349226688147,0,0,0.0074758495994396,0,0.765627430934198,0.722005561092855
2976_S,0.043887768720001,0,0.00882912533599925,0.129297944025169,0,0.165761058030549,0.00932598805216408,0.08101436624018,0.0180974489251842,0,0,0.0157269660987552,0,0.126239680298464,0.0739767514897059,0.264195324952023,0.00174051851405968,0,0.0581085981936875,0,0,0.00379846112405775,0,0.829843891880888,0.681229814752168
3001_B,0.210133464173104,0.0208493951058189,0,0.107052787949337,0,0.143948055579088,0,0.0634626887681635,0.00508484263247223,0.00563254250604686,0,0,0,0.10460983081975,0.0390340347412049,0.214603517588349,0,0,0.0855888401366653,0,0,0,0.046,0.155001657606581,1.02060299013147
3001_S,0.0780759412837568,0,0.0329849199717399,0.0959844649777154,0,0.116520493333473,0,0.0725726036312445,0,0,0,0.0489850479180417,0.0209711232274437,0,0.044060245001886,0.246928248520488,0,0,0.235282711625801,0.000859644780914315,0,0.00677455572749466,0,0.537186559247592,0.852677042331479
3036_B,0.0216574488193242,0.0659295810722727,0,0.0874658867833746,0,0.169596586239278,0,0.0454053428099436,0.0404907531070175,0,0,0.0205553967923986,0.00656442186315976,0.0646999984661534,0.0342273929260068,0.266367648586706,0.00236925554296957,0,0.16957684521288,0,0,0.00509344177851524,0,0.56437800323979,0.839711851036686
3036_S,0.00398087941458109,0.0372055327732241,0.00643366655414105,0.0732325098167685,0,0.134850893018271,0.00219092138696847,0.055616578055716,0,0,0,0.0203672226635271,0.00869468179847353,0.0360593681710788,0.0232790674340123,0.359909216300509,0.00901747925988866,0.00297549908310444,0.219276119089165,0,0,0.00691036518057113,0,0.753500931056187,0.734807127338284
3065_B,0.0333305291953136,0,0.00183856079335465,0.07531506460471,0,0.229081851060473,0,0.0585979132833986,0.0460675030826257,0,0.0145339724658672,0.00933276619834473,0.0937623318817446,0,0.0603404477118068,0.312386982270389,0.00517914191850307,0,0.0545341332677211,0,0,0.00569880226574788,0,0.738489938463501,0.741930914216002
3065_S,0.0399510773702737,0,0.0206756399526936,0.0882575815356907,0,0.183970584524454,0,0.0482574624259512,0.0001884263303193,0,0,0.0390150035614616,0.0392415187245841,0,0.018490854822707,0.399727210156142,0,0,0.112074690880092,0.00615697927668711,0,0.0039929704389428,0,0.606312330769693,0.815411634998108
3067_B,0.034541644400588,0,0.0168557115589821,0.0950284630533054,0,0.165477806273143,0,0.0498309907939397,0.0310625863561631,0,0.0197257006962919,0,0.0334831289512083,0,0.0450812824250741,0.420119943884955,0,0,0.0835165257253118,0,0,0.0052762158810375,0,0.645802753857132,0.793152262649925
3067_S,0.0386018772728928,0,0.0154262320603312,0.0584810543019059,0,0.096983762968698,0,0.0355377240344292,0.00391571985801917,0,0,0.0472043273761688,0.0471905578983312,0,0.0274209608046764,0.481266154279639,0,0,0.122910084189898,0.0215416076325195,0,0.00351993732249175,0,0.545671626780195,0.84320265938592
3130_B,0.0310257890260207,0,0.00444046517638832,0.109773906402268,0,0.204933254153285,0,0.0707317225488763,0.0601987890185813,0,0.00855505877503288,0.0194140522461046,0.0144393640034782,0.0626344291788962,0.135961685088121,0.175439348733947,0.0152310899458375,0,0.087221045703163,0,0,0,0,0.804671285512458,0.689798305080004
3130_S,0.0585413556708217,0,0.0267901620755248,0.0613385536955999,0,0.113592856743836,0.00999047243939285,0.0502233822322302,0.00356811500078081,0,0.0170531001243156,0.00713403380839493,0.00987689062730518,0.0241116711279334,0.0718656720886382,0.330969814174655,0.0102281373659129,0,0.203997327266461,0,0,0.000718455558197192,0,0.667707113405216,0.78767021172632
3161_B,0.00381941273930597,0.00416552381706611,0.0219203204262955,0.0249787275386525,0,0.0807123923213013,0,0.0306417169685436,0.00704405360416214,0,0.00663859427567678,0.0147214697307383,0,0.0947487727936656,0.0149907738539034,0.383131752942416,0,0,0.306201347896964,0,0,0.00628514109130854,0,0.653115050225493,0.777269409462616
3161_S,0.00924767751111548,0.00479562852112605,0.0112396270803707,0.0454810724533278,0,0.0891270421607653,0,0.0785059857844853,0.00332194908819018,0,0,0.0407017413629382,0.0262871933368932,0,0.0236967587575021,0.408966192417578,0.00391189490501574,0,0.246583225062863,0,0,0.00813401155782885,0,0.500720951746188,0.867180349263063
97_B,0.00712966388749958,0.00990959457450831,0,0.0344678817651715,0,0.000228829457186255,0,0.060826524933619,0.0287913365170092,0,0.0329644494236709,0,0.02431367074524,0.138254633582751,0.0263399842130881,0.58437668033834,0,0,0.0404585498900764,0,0,0.0119382006718394,0,0.708780483561159,0.723901280741062
97_S,0.00684152683930676,0,0.00760405547288794,0.0313261424221785,0,0.0294080835086319,0,0.125942014281458,0,0,0.0289967314456619,0.0143808501489421,0.0191111716299575,0.283434570436881,0,0.340107705307777,0,0.0144907930714277,0.0378687656983228,0.0579420032839905,0,0.00254558645257756,0,0.75436970201052,0.697673961864206
OB_0139_B,0.00252915715478361,0.0145189669320689,0.0161062287587977,0.124928832690065,0,0.134386255241922,0.0303978452225411,0.0661855275153422,0.0147642540723131,0.0234117036735027,0,0.037455658292476,0.0162973966088446,0.133707848434639,0.13838706364189,0.238147935027996,0.00329338535985219,0,0.00336903038539825,0.00211291098756647,0,0,0,0.667927455661453,0.768842043680336
OB_0139_S,0.012843141185327,0.0056653345217338,0.000899483916376535,0.135427065834893,0,0.084200127830647,0.0385120913852154,0.0488693953333784,0.0141775194875853,0.0331504688399829,0,0.00882502674155646,0,0.120604184673381,0.0731746657715305,0.384728907655475,0.00486914274853111,0,0.0277219495773566,0,0,0.0063314944970293,0,0.79097113557595,0.694086534834688
OB_0157_B,0.0156546326965885,0,0.0227495923589962,0.14873090736578,0,0.130391463734621,0.0223606038769023,0.0690731870219791,0.00577961383352897,0.0155178303761669,0,0.0164152865408855,0.00610946672550762,0.10938679808742,0.120169622768708,0.281448738147809,0.00580141640254514,0,0.0294134607300442,0,0,0.000997379332517475,0,0.796496625578161,0.693704194579818
OB_0157_S,0.0119549560029223,0,0.00771836051286871,0.160669494209127,0,0.10955218136204,0.0192677981709227,0.0668730837221855,0.0165417999239451,0.0177135880290993,0,0.02894121322302,0.014594053905221,0.0414379697631256,0.0818341975862908,0.315774257630687,0.0407250243620108,0.00523568789773922,0.0575950200035116,0,0.00171642508967309,0.00185488860560942,0,0.76093088721028,0.726141724381353
