Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
2691_S,0.0455158110065518,0,0.0087951999140747,0.165128488768799,0,0.131189801823428,0,0.0310549725199006,0.0300059896335648,0,0,0.028085376952805,0.00409174090741361,0.0269458255049359,0.0752037369399663,0.30154801496438,0.00109050812258544,0,0.151344532941595,0,0,0,0.003,0.365417047374229,0.931742000490654
2739_B,0.0636758300368286,0,0.031270901763762,0.0439258557570429,0,0.155098898664851,0,0.0584745582760772,0.0177508755552299,0,0,0.0329937846663599,0.00722360475725409,0,0.0537779259922094,0.474274177747703,0.00343362988818485,0,0.0580999568944973,0,0,0,0.446,0.0365781231007117,1.07692163076987
2739_S,0.0728397433817855,0,0.0795997923517015,0.0612239641603514,0,0.0963912977191669,0,0.0764846833744066,0,0,0,0.0675163181079784,0.00641886671870476,0,0.0174128671369974,0.387104864459541,0,0,0.130646379098586,0,0,0.00436122349078012,0.141,0.103280158132803,1.03972911011688
2789_B,0.0303318061947027,0,0.000359484875149399,0.182067925398727,0,0.224988895635563,0,0.136070598234755,0.0174259051568918,0,0,0.0270466675256071,0,0.0526426020553572,0.0845176080356474,0.222031051913794,0,0,0.0225174549738055,0,0,0,0.01,0.267211253175146,0.987575271886117
2789_S,0.0338401646337973,0,0.00277945318006319,0.185633335899716,0,0.222536530632367,0,0.0882011736527254,0.0322382608818479,0,0,0.0548485234313086,0.00880590124669015,0.0346500764971873,0.0875979320612836,0.140185981894985,0.00969430988239223,0,0.098988356105636,0,0,0,0.002,0.414503204045629,0.911064111536716
2817_B,0.0058177276962584,0,0,0.165606589125687,0,0.210761851339316,0,0.0470585762260129,0.0409523565442105,0,0.0148209607811051,0,0.00151008531005381,0.00144647091880431,0.0351206080192091,0.44671465003308,0,0,0.0217313228674417,0,0,0.00845880113882148,0.05,0.161353573357958,1.03580239305227
2817_S,0.0524564779668151,0,0,0.0997503740634117,0,0.236398055819771,0,0.0606733831272332,0.0309363460577855,0,0,0.0672109737630594,0.0290149298700464,0,0.110884118374665,0.188373747399916,0.0169743569436273,0,0.10732723661367,0,0,0,0.00900000000000001,0.270457416331066,0.977620239253814
2852_B,0.0152594938208946,0,0.00312533096616786,0.17144750830951,0,0.0908245362217152,0,0.0161501647396741,0.00813325423466035,0,0,0.0315922012249364,0.0144257961277968,0.0170426078512347,0.10622106508826,0.179780066351931,0.0163384457633003,0,0.326303757783722,0,0,0.00335577151619648,0.002,0.416407036461025,0.909618423839844
2852_S,0.0439683013642266,0,0.0577290169590357,0.0301027635437761,0,0.0842363578053469,0,0.0340944226484358,0,0,0,0.0269447071458329,0,0,0.0217167379351725,0.254488846855927,0.019910520975655,0,0.426808324766592,0,0,0,0.002,0.422398302550481,0.909012757451024
2976_B,0.0124266608699288,0,0.0204940740575377,0.0873031092477222,0,0.195747796757998,0,0.113390857641318,0.0673335086902129,0,0,0.0417489004869388,0.00291773564264727,0.0617993702993713,0.0786817540566682,0.25037697365573,0.000149980524483601,0,0.0636122775927962,0,0,0.0040170004766473,0.004,0.344930619929416,0.942973210516448
2976_S,0.0657226982051461,0,0.0133303284872435,0.098347435208184,0,0.135298303539235,0,0.0723711412857534,0.0362748688011353,0,0,0.0155404268035835,0,0.191219870980784,0.0592315299595674,0.270085660990023,0,0,0.0425777357393452,0,0,0,0,0.479405200447835,0.877517813502902
3001_B,0.284119597093783,0,0,0.0917600041370714,0,0.118913316283261,0,0.104974185966994,0.00586383259499601,0,0,0.00818313612330484,0,0.109002946935188,0.029549573096582,0.169915810613905,0,0,0.0777175971549144,0,0,0,0.465,0.0333672407468855,1.07307086388293
3001_S,0.0477638740336567,0,0.07125696528093,0.104301874991799,0,0.03745955534305,0,0.105369020305528,0,0,0,0.0664843603262302,0.0066589132411177,0,0.0424356871705523,0.236989131601012,0,0,0.272362609883911,0,0,0.00891800782221348,0.0600000000000001,0.149798512557412,1.02371939030633
3036_B,0.046356352585102,0.0347157213610127,0,0.119929589411175,0,0.0846526679735681,0,0.0413544445756149,0.0717304703487745,0,0.00881402360446554,0,0.013735586215883,0.156887243567296,0.052562515648185,0.20326963375925,0.00478138235102592,0,0.161210368598647,0,0,0,0.073,0.134628039656429,1.02828640917747
3036_S,0.00388224615397092,0.031177620351091,0.00810524123829285,0.0592874127467822,0,0.139908540764242,0,0.0458274800297782,0.00655894699030363,0,0,0.0243100754859993,0,0.0221006613678096,0.0203687052378071,0.373326887335686,0.0142324931385589,0,0.247536395775213,0,0,0.00337729338446623,0.005,0.338990694967941,0.945266631325903
3065_B,0.0216589866272321,0,0.00226659375912246,0.0709208023265924,0,0.218380328608428,0,0.0650831310114911,0.0133696665564999,0,0.00386578038812648,0.0157572164937822,0.136721573174821,0,0.0726397073486457,0.331703406415536,0.00180152079217018,0,0.0458312864975529,0,0,0,0.003,0.367055894399972,0.931762644254538
3065_S,0.0492401733880209,0,0.0408060761710881,0.071017080884874,0,0.178581953750886,0,0.0511934585955692,0,0,0,0.0613386402988684,0.0434676690932864,0,0.0103114836925006,0.379185528269829,0,0,0.112462718628531,0,0,0.00239521722654594,0.04,0.172754081372237,1.01376156677791
3067_B,0.0694082861530498,0,0.023219871585603,0.0865844021706431,0,0.160352584661238,0,0.0379924562862161,0.0363253278618448,0,0.00732649278023915,0.000452341913253766,0.0436621418773416,0,0.0421682412106456,0.425503600685877,0,0,0.063589733174428,0,0,0.00341451963962006,0.00700000000000001,0.296681305753956,0.963090383693382
3067_S,0.0678822609313893,0,0.0313461225380905,0.038501090188252,0,0.0975899491439165,0,0.026353987799518,0,0,0,0.0584628093783676,0.0442357533731675,0,0.0235159978667257,0.477037711214973,0,0,0.115417787600137,0.0148878471194255,0,0.0047686828460371,0.035,0.184899086249256,1.0149040540878
3130_B,0.0218058949069185,0,0,0.118577195742006,0,0.288683594151511,0,0.0580146207633343,0.0420056118838021,0,0,0.0533549514444861,0.0176324502719045,0.0103307197920916,0.191942871855089,0.129878595067378,0.017006217152218,0,0.0507672769692607,0,0,0,0.005,0.3405825453533,0.956935021159797
3130_S,0.0899904242102816,0,0.0740843227448508,0.047262007102457,0,0.104601652791049,0,0.0337262171242708,0.0113731908925411,0,0.0129982843078859,0.000750003188826314,0.000605808947856525,0,0.0848166959212871,0.298892155887345,0.0118812423392632,0,0.228720918212417,0,0,0.000297076329668511,0.035,0.184375715318992,1.00718824922357
3161_B,0,0.00155664056908956,0.00530377518378723,0.014497672567395,0,0.0146579653631865,0,0.0307529128583655,0.0134010287762706,0,0,0.0279497420811191,0,0.20007724932874,0.00887143126776575,0.386678390964693,0,0,0.29309905505492,0,0,0.00315413598466762,0,0.567603439098885,0.824508147809513
3161_S,0.00512250442696718,0,0,0.0352975904831523,0,0.367204875409008,0,0.0318166183841133,0.0204717530424825,0,0.0171930572026168,0.0425368115315568,0.0545864125345112,0.0177030582198816,0.010519102193888,0.163961274916018,0,0,0.233586941655804,0,0,0,0.152,0.0971316780823174,1.0566911233959
97_B,0,0,0,0.0228656574107844,0,0.0302341038886888,0,0.0588771464467299,0.00277535782859044,0,0.0431284109238227,0,0,0.100584054178919,0.0194775971918773,0.663562477843402,0,0,0.0343070214148306,0,0,0.0241881728723549,0.003,0.384277840187745,0.941563009920061
97_S,0,0.00289126139649636,0.0012455507009073,0.0126711836614703,0,0.0296488614530095,0,0.130862939330172,0,0,0.00224130955110436,0,0,0.265606678466276,0.00666069383045126,0.408816466311126,0,0,0.0806827184353474,0.0385893537217665,0,0.0200829831418731,0.00600000000000001,0.313051282235161,0.975814797976
OB_0139_B,0.00542207823258669,0.000795340691457367,0.0299494205147342,0.126182515763988,0,0.182075292713714,0.0405735618121854,0.0580462784261414,0.00567381822999614,0.00908887148416743,0,0.0286833960075473,0.012955564836881,0.102668625170729,0.173317776965319,0.219862088423231,0,0,0.004705370727323,0,0,0,0.002,0.42031581204458,0.908943163698162
OB_0139_S,0.00948722482597122,0,0.00035151871324635,0.12763749275127,0,0.136443855056521,0.0276455571999741,0.0345523753486973,0.0112098420245243,0.00403738409869989,0,0.00361049528144099,0.0278717413703221,0.109701817827527,0.0811461827149509,0.406104298021379,0,0,0.0202002147654761,0,0,0,0.002,0.429568146933967,0.903253860792559
