scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"NKI.NEO","Fun","Fun_only",0.3,"NOTCH2",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,29.8616668999094,5.22227719010378e-06,3.67301741394258e-05,"YES",4.28843884453989,8.99666622459971e-06,4.87589104738498e-05,"YES",0.586,834,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"SBNO2",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,29.9192823123517,5.08315692044548e-06,3.61255806295811e-05,"YES",4.28797098350705,9.01563202779142e-06,4.87648848783806e-05,"YES",0.586,835,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"ADAM12",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.8629465733036,2.11882914232668e-05,9.90393766630462e-05,"YES",4.28787947545361,9.01934596423145e-06,4.87648848783806e-05,"YES",0.533,836,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"WDFY4",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.8552209095101,2.1264603154696e-05,9.92933948958946e-05,"YES",4.28687552489621,9.06018803166034e-06,4.88105481562631e-05,"YES",0.533,837,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"RILPL2",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.8663773665498,2.11544904850727e-05,9.90261682355222e-05,"YES",4.28718730224042,9.04748568264238e-06,4.88105481562631e-05,"YES",0.532,838,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"TNFRSF10D",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.9723438394039,2.01364815405172e-05,9.57300767065752e-05,"YES",4.28702357312548,9.05415417347464e-06,4.88105481562631e-05,"YES",0.526,839,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"ZNF337",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.7550111728811,2.22795639763054e-05,0.00010349807725889,"YES",4.28631646300494,9.08300773967565e-06,4.88359455706016e-05,"YES",0.548,840,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"EGFL6",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,27.5068413990787,1.56984946588678e-05,7.99968386224156e-05,"YES",4.28623075211329,9.08651111169821e-06,4.88359455706016e-05,"YES",0.505,841,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"PLEKHG2",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.8523681249652,2.12928511274682e-05,9.93226905017091e-05,"YES",4.28319786438185,9.21131024840288e-06,4.93892316996216e-05,"YES",0.559,842,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"CSF1R",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.7553161903472,2.22764027007324e-05,0.00010349807725889,"YES",4.28340313263896,9.20281248592528e-06,4.93892316996216e-05,"YES",0.552,843,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"CERT1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.7354461930404,2.24832750250661e-05,0.000104244369452134,"YES",4.28267368467471,9.23304434062953e-06,4.94471095019496e-05,"YES",0.54,844,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"FMNL2",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,27.2684703376571,1.75427199730103e-05,8.70396205027513e-05,"YES",4.28228928831803,9.24901362596136e-06,4.94740137152016e-05,"YES",0.511,845,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"TRAPPC10",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,30.6199593615975,3.65943238011322e-06,2.85675895649599e-05,"YES",4.27990472379546,9.34866689586645e-06,4.98889898102908e-05,"YES",0.586,846,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"SMAP2",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.8729105370102,2.10902724482341e-05,9.90261682355222e-05,"YES",4.28015713880203,9.33807002252618e-06,4.98889898102908e-05,"YES",0.527,847,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"MEF2D",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,30.5572995754863,3.76864375663573e-06,2.9160780373e-05,"YES",4.27877628988688,9.3961809767333e-06,5.00834174703237e-05,"YES",0.586,848,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"SLC6A6",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,27.5639191163889,1.52863227126675e-05,7.84269905349118e-05,"YES",4.27764515987023,9.44403937389333e-06,5.02792202237902e-05,"YES",0.574,849,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"RASA4",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,27.2112604192164,1.80164897098514e-05,8.84090832939496e-05,"YES",4.27644072718152,9.4952544302344e-06,5.0491244084127e-05,"YES",0.569,850,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"LRRC25",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.659636150357,2.32902549166678e-05,0.000107310858535513,"YES",4.27618399302556,9.50620546805134e-06,5.0491244084127e-05,"YES",0.542,851,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"HOXA4",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.865456561434,2.11635571936979e-05,9.90261682355222e-05,"YES",4.27543066229906,9.538408394953e-06,5.06028238793281e-05,"YES",0.561,852,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"RENBP",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,29.52890472603,6.10321541688701e-06,4.06217521673379e-05,"YES",4.27406288848891,9.59714292713987e-06,5.08547315717142e-05,"YES",0.584,853,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"DOK2",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.6540733249695,2.33505916790091e-05,0.000107479301821916,"YES",4.27270131736009,9.65595312860103e-06,5.11064498141413e-05,"YES",0.537,854,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"SELPLG",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.6154763703603,2.37735328208438e-05,0.00010909275974641,"YES",4.2715881378627,9.70428943489651e-06,5.13022084745406e-05,"YES",0.542,855,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"TGFB1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,31.2049521950746,2.7803763803908e-06,2.38468714219477e-05,"YES",4.27007597773231,9.77031946320027e-06,5.14558006652163e-05,"YES",0.585,856,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"FBXO11",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.9550443922235,2.02992840126821e-05,9.63789535055917e-05,"YES",4.27028442953497,9.76119184172236e-06,5.14558006652163e-05,"YES",0.564,857,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"ZNF589",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,26.6880380602673,2.29846037781205e-05,0.000106227412144279,"YES",4.27021066325375,9.76442096745341e-06,5.14558006652163e-05,"YES",0.555,858,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"IGSF10",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,27.5241362892354,1.55724502109994e-05,7.94441026565656e-05,"YES",4.26988066954287,9.77887893173027e-06,5.14558006652163e-05,"YES",0.498,859,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"HPS4",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,28.828120975489,8.47169140011727e-06,5.1060337749681e-05,"YES",4.26613976868936,9.94421048977924e-06,5.22649202486072e-05,"YES",0.582,860,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.NEO","Fun","Fun_only",0.3,"SIK3",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,27.7096881480768,1.42818927872546e-05,7.50629713934779e-05,"YES",4.26477575662843,1.00051534773334e-05,5.25241506591716e-05,"YES",0.575,861,TRUE,TRUE,"NKI.NEO | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
