family,dataset,GeneSet,analysis_pool,standalone,n_genes,test,p_value,direction
"zscore","tnbc_cl","REACTOME_CELLULAR_RESPONSE_TO_MITOCHONDRIAL_STRESS","Figure 4F TNBC cell-line immune/stress pathways",FALSE,9,"Fry",0.0186172130756136,"Up"
"zscore","tnbc_cl","WP_MOLECULAR_PATHWAY_FOR_OXIDATIVE_STRESS","Figure 4F TNBC cell-line immune/stress pathways",FALSE,48,"Fry",0.769289318885828,"Up"
"zscore","tnbc_cl","WP_OXIDATIVE_STRESS_RESPONSE","Figure 4F TNBC cell-line immune/stress pathways",FALSE,33,"Fry",0.0108848547086725,"Down"
"icd","nki_smc","Apoptosis","Five a priori ICD programs",FALSE,20,"Fry",0.709931987059326,"Down"
"icd","nki_smc","Necroptosis","Five a priori ICD programs",FALSE,8,"Fry",0.0218037862228626,"Down"
"icd","nki_smc","Pyroptosis","Five a priori ICD programs",FALSE,12,"Fry",0.00258414292125562,"Down"
"icd","nki_smc","PANoptosis","Five a priori ICD programs",FALSE,9,"Fry",0.0160978631539407,"Down"
"icd","nki_smc","Ferroptosis","Five a priori ICD programs",FALSE,5,"Fry",0.00673044652089034,"Down"
"icd","nki_smc","GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS","Standalone prespecified pathway",TRUE,22,"Fry",0.000474397697243125,"Down"
"icd","neo","Apoptosis","Five a priori ICD programs",FALSE,20,"Fry",0.000146780597703397,"Down"
"icd","neo","Necroptosis","Five a priori ICD programs",FALSE,8,"Fry",1.78400121538847e-05,"Down"
"icd","neo","Pyroptosis","Five a priori ICD programs",FALSE,12,"Fry",0.00509623938960914,"Down"
"icd","neo","PANoptosis","Five a priori ICD programs",FALSE,9,"Fry",0.00262058585836973,"Down"
"icd","neo","Ferroptosis","Five a priori ICD programs",FALSE,5,"Fry",0.0153783972438223,"Down"
"icd","neo","GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS","Standalone prespecified pathway",TRUE,23,"Fry",0.000154341008100854,"Down"
"icd","tnbc_cl","Apoptosis","Five a priori ICD programs",FALSE,20,"Fry",0.321310945800914,"Down"
"icd","tnbc_cl","Necroptosis","Five a priori ICD programs",FALSE,8,"Fry",0.34944684021578,"Down"
"icd","tnbc_cl","Pyroptosis","Five a priori ICD programs",FALSE,12,"Fry",0.115567877162012,"Down"
"icd","tnbc_cl","PANoptosis","Five a priori ICD programs",FALSE,9,"Fry",0.00890531122099069,"Down"
"icd","tnbc_cl","Ferroptosis","Five a priori ICD programs",FALSE,5,"Fry",0.0516376672231182,"Up"
"icd","tnbc_cl","GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS","Standalone prespecified pathway",TRUE,23,"Fry",0.205533953023574,"Down"
