scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"NKI.TNBCCL","Fun","Fun_only",0.3,"TNS1",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",41.0744968291167,2.59403933574393e-08,4.89443036958731e-06,"YES",5.65950318336439,7.59059167983789e-09,2.08507080135394e-06,"YES",0.583,12,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"COL6A6",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",40.7418427647909,3.03979641873153e-08,5.0876592692454e-06,"YES",5.61688522604455,9.72152394900375e-09,2.37803431983323e-06,"YES",0.558,13,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"TRIM22",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",40.3767292462563,3.61744622184893e-08,5.43306086930224e-06,"YES",5.59646846698403,1.09381044077093e-08,2.39469017878481e-06,"YES",0.595,14,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"GPR162",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",40.1873963302344,3.95886318495995e-08,5.43306086930224e-06,"YES",5.57967015437342,1.20487556165274e-08,2.39469017878481e-06,"YES",0.594,15,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"INPP5D",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",40.1826573284433,3.96780907451368e-08,5.43306086930224e-06,"YES",5.58145303039421,1.19258735292992e-08,2.39469017878481e-06,"YES",0.569,16,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"JAML",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",40.0279105849819,4.27127426831937e-08,5.43306086930224e-06,"YES",5.49312412601856,1.97442519247598e-08,3.00341469388927e-06,"YES",0.622,17,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"IRAG2",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",39.1354431158723,6.53179713977712e-08,6.73626479879226e-06,"YES",5.49493425126338,1.95428003630057e-08,3.00341469388927e-06,"YES",0.569,18,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"BCL6",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",39.3216418568635,5.97807741394054e-08,6.73626479879226e-06,"YES",5.51036627854908,1.79043881489149e-08,3.00341469388927e-06,"YES",0.568,19,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"MPEG1",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",39.1242080254011,6.56679901769056e-08,6.73626479879226e-06,"YES",5.49292551040022,1.97664783662159e-08,3.00341469388927e-06,"YES",0.565,20,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"LYSMD4",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",39.4357508773423,5.66214151769382e-08,6.66874445417272e-06,"YES",5.49232461393082,1.98338706200235e-08,3.00341469388927e-06,"YES",0.537,21,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"STAT4",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",41.6213891522263,1.9984794056784e-08,4.61276328202051e-06,"YES",5.48262448815749,2.09530956796576e-08,3.02867473915051e-06,"YES",0.647,22,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"LAX1",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",38.700921481864,8.03111646864231e-08,7.73907586978259e-06,"YES",5.45441748472736,2.45668219299023e-08,3.39663016248214e-06,"YES",0.581,23,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"JCHAIN",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",39.8126427968451,4.73229799244896e-08,5.78796446768757e-06,"YES",5.4170126470254,3.03015277723101e-08,4.01495242983108e-06,"YES",0.628,24,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"KMO",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",38.3422542722651,9.52391344067366e-08,8.90766021804183e-06,"YES",5.35309476797384,4.32312681331084e-08,4.79988112665488e-06,"YES",0.608,25,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"LCP2",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",37.7492896815923,1.2622496947129e-07,1.02339645385533e-05,"YES",5.36383601937716,4.0736436718277e-08,4.79988112665488e-06,"YES",0.582,26,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"FCRL5",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",37.7079179313423,1.28729113692494e-07,1.02339645385533e-05,"YES",5.36295340764023,4.09360649697757e-08,4.79988112665488e-06,"YES",0.543,27,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"TMEM273",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",37.5978692512361,1.35633899529721e-07,1.05198975732808e-05,"YES",5.35084392649423,4.37725008405634e-08,4.79988112665488e-06,"YES",0.54,28,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"MRC1",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",37.8635798068425,1.19556835982808e-07,1.02339645385533e-05,"YES",5.36743145275169,3.99329231185796e-08,4.79988112665488e-06,"YES",0.535,29,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"HLA-E",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",38.262422457351,9.89214416494063e-08,8.98771955557463e-06,"YES",5.31479537368736,5.33886241162395e-08,5.65919415632139e-06,"YES",0.613,30,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"STING1",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",41.0563989385526,2.61651937996806e-08,4.89443036958731e-06,"YES",5.30704723325827,5.5707657376373e-08,5.71452743409246e-06,"YES",0.645,31,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"TMEM86B",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",39.2425002520714,6.20746575416365e-08,6.73626479879226e-06,"YES",5.25810300056665,7.27744977777264e-08,6.80655596862265e-06,"YES",0.63,32,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"KLHL6",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",36.5481050992748,2.23178756986588e-07,1.42474482916297e-05,"YES",5.26633233013621,6.95881208589741e-08,6.80655596862265e-06,"YES",0.544,33,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"TENT5C",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",36.5182985619512,2.26354598852361e-07,1.42474482916297e-05,"YES",5.25865411305037,7.25567714772334e-08,6.80655596862265e-06,"YES",0.536,34,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"LENG8",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",36.5630686748685,2.21601199407064e-07,1.42474482916297e-05,"YES",5.2480147267988,7.68735050724736e-08,6.98450703229903e-06,"YES",0.579,35,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"TNFRSF14",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",36.324945300293,2.48078940439059e-07,1.46702426251459e-05,"YES",5.23817904295329,8.10843499408647e-08,7.16245091144305e-06,"YES",0.57,36,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"GPX3",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",40.7461399679452,3.03357707972146e-08,5.0876592692454e-06,"YES",5.23088270848259,8.43512643546264e-08,7.24964920669491e-06,"YES",0.642,37,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"ADA2",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",35.9795723317158,2.92183180335226e-07,1.65918305976075e-05,"YES",5.2134630494115,9.26737317096437e-08,7.75532807464913e-06,"YES",0.536,38,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"POU2AF1",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",35.6990100212883,3.33701700109683e-07,1.76861901058132e-05,"YES",5.19206609542345,1.03986570245224e-07,8.4789049584567e-06,"YES",0.544,39,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"CYSLTR2",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",36.3965827246393,2.3979772564237e-07,1.46645532219757e-05,"YES",5.18264914924947,1.09378153351414e-07,8.69556319143742e-06,"YES",0.593,40,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"SLA",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",35.7407875522964,3.27165542115926e-07,1.76861901058132e-05,"YES",5.17070917622074,1.16603632387718e-07,9.04389148763276e-06,"YES",0.513,41,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"AMPD1",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",36.3161313337899,2.49117327596817e-07,1.46702426251459e-05,"YES",5.16454633809824,1.20511382499777e-07,9.12443324641172e-06,"YES",0.594,42,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"CD28",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",35.1239758919142,4.38076574082657e-07,2.11073258421644e-05,"YES",5.14001516681512,1.3735814658593e-07,1.01581140963548e-05,"YES",0.545,43,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"SYK",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",40.0784052875245,4.16978964703365e-08,5.43306086930224e-06,"YES",5.13153997388625,1.43690587437927e-07,1.03849106375592e-05,"YES",0.636,44,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"VSIR",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",35.373295515114,3.8933000448276e-07,1.96518954643679e-05,"YES",5.12442906808726,1.49220335907914e-07,1.05449037374926e-05,"YES",0.576,45,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"IL18BP",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",35.0187103568575,4.60442023205339e-07,2.18538154297459e-05,"YES",5.10963986885448,1.61386732572093e-07,1.11567349908534e-05,"YES",0.566,46,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"TNFRSF1B",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",34.5987008593207,5.61595011972326e-07,2.41175054516381e-05,"YES",5.09127097149962,1.77835652248226e-07,1.1781611961445e-05,"YES",0.533,47,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"KCNA3",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",34.6390176837572,5.50993792943027e-07,2.40021953638195e-05,"YES",5.09280313931989,1.76403988275774e-07,1.1781611961445e-05,"YES",0.528,48,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"GIPC2",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",37.3087561565614,1.55584326172297e-07,1.17799561244739e-05,"YES",5.07570323891617,1.93032722123887e-07,1.25274297215094e-05,"YES",0.616,49,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"TSPYL2",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",37.1989299977368,1.63907641559342e-07,1.18460522763342e-05,"YES",5.03678002724889,2.36714157449531e-07,1.42593292290802e-05,"YES",0.615,50,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"MYH11",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",35.7255696018052,3.29531503310561e-07,1.76861901058132e-05,"YES",5.03399410607904,2.40182223225345e-07,1.42593292290802e-05,"YES",0.598,51,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"SAMD9L",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",35.1774271313161,4.27137882220476e-07,2.08968994686325e-05,"YES",5.02297249927752,2.54389160428967e-07,1.42593292290802e-05,"YES",0.59,52,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"EMILIN2",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",34.3524080042736,6.30917494858365e-07,2.57220209442257e-05,"YES",5.03451020255977,2.39536081644962e-07,1.42593292290802e-05,"YES",0.567,53,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"GRIA3",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",33.9245642010439,7.72211021787211e-07,2.85538494102713e-05,"YES",5.02253322922707,2.54971855155995e-07,1.42593292290802e-05,"YES",0.548,54,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"CASS4",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",34.1365050264412,6.98663844312499e-07,2.71994206688229e-05,"YES",5.04447853706568,2.27379936692696e-07,1.42593292290802e-05,"YES",0.547,55,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"ITIH4",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",33.84438593273,8.02003238586498e-07,2.9314601134541e-05,"YES",5.02206697673693,2.55591750332569e-07,1.42593292290802e-05,"YES",0.53,56,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"ZNF154",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",34.0105579748582,7.41482708360508e-07,2.77401766186637e-05,"YES",5.02705441178423,2.49035532884212e-07,1.42593292290802e-05,"YES",0.512,57,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"CLDN15",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",34.148409353194,6.94746427263405e-07,2.71994206688229e-05,"YES",5.01486681315232,2.65351073243036e-07,1.45485588433251e-05,"YES",0.565,58,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"HAAO",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",33.704780978355,8.56635723371084e-07,3.06078831496635e-05,"YES",5.00907762027088,2.73457570245378e-07,1.47388995488187e-05,"YES",0.53,59,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"CSAD",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",36.2223633798371,2.60436153643889e-07,1.50579448834103e-05,"YES",4.97806455739366,3.21116185581851e-07,1.67401552483653e-05,"YES",0.607,60,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"IL10RA",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",33.4188957608909,9.80356452161882e-07,3.35218657835998e-05,"YES",4.98092772266244,3.16400864562463e-07,1.67401552483653e-05,"YES",0.521,61,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"APOL1",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",34.7486602316508,5.23161550990071e-07,2.32686571492921e-05,"YES",4.97363353887913,3.28547361089398e-07,1.68373283380086e-05,"YES",0.588,62,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"CCDC146",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",34.1026602500141,7.09921986010156e-07,2.71994206688229e-05,"YES",4.96763923848473,3.38864469695772e-07,1.68373283380086e-05,"YES",0.575,63,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"ZNF366",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",33.6334361717358,8.85971679718797e-07,3.0960329027536e-05,"YES",4.96824441588145,3.3780886292394e-07,1.68373283380086e-05,"YES",0.56,64,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"IRF4",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",33.2129018092289,1.08039316538276e-06,3.61647396412334e-05,"YES",4.94865357300606,3.73643079761074e-07,1.82797691329264e-05,"YES",0.502,65,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"SLAMF1",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",33.1409698870527,1.11766995048356e-06,3.6641138582863e-05,"YES",4.94296902645216,3.84708558834269e-07,1.8535957834742e-05,"YES",0.502,66,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"CD38",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",33.019333225815,1.18364309544543e-06,3.79064069899661e-05,"YES",4.93842269030541,3.93784944597997e-07,1.86900914003229e-05,"YES",0.509,67,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"SERPING1",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",32.8759500066553,1.2664096558261e-06,3.80144311377401e-05,"YES",4.92995612128635,4.11240440659658e-07,1.88332298743899e-05,"YES",0.531,68,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"P2RX1",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",32.8747138812747,1.26714770459134e-06,3.80144311377401e-05,"YES",4.93033838793643,4.10436508736811e-07,1.88332298743899e-05,"YES",0.529,69,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NKI.TNBCCL","Fun","Fun_only",0.3,"HCFC2",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",32.9527870659399,1.22136374023046e-06,3.80144311377401e-05,"YES",4.92838151819001,4.14567953209841e-07,1.88332298743899e-05,"YES",0.504,70,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
