gene_id,H_value,p_value,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster2_mean,cluster2_sd,cluster2_sem,cluster1_penetrance,cluster2_penetrance,cluster1_cluster2_pval,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd
MED8,22,0.0652536318170993,0.200664926063319,-0.276961268544172,0.457556712346744,0.14469213697142,0.235906308818855,0.601534910696762,0.200511636898921,0.2,0.666666666666667,,-0.512867577363027,0.512867577363027,0.755779328772971,0.755779328772971
MED8-AS1,27,0.13764670809455,0.333776299793883,-0.139095391044147,0.249327039034752,0.0788441325615525,0.0363212646632647,0.190254063572571,0.0634180211908571,0.1,0.333333333333333,,-0.175416655707412,0.175416655707412,0.313624905101162,0.313624905101162
MED9,0,2.16501764489381e-05,0.00246424388271429,-1.20042381695461,0.674113738129445,0.213173481449934,0.579986898855219,0.468901142727334,0.156300380909111,0,1,,-1.78041071580983,1.78041071580983,0.821156266240387,0.821156266240387
MEDAG,25,0.112754118946069,0.287510869725033,-1.33038478433334,1.26768347987569,0.400876714857539,-0.22246438874539,1.27710756522694,0.425702521742313,0.2,0.333333333333333,,-1.10792039558795,1.10792039558795,1.79945134369052,1.79945134369052
MEF2A,12,0.00567234622962177,0.0373452145680958,-0.624729726818335,0.414772029803044,0.131162432390886,0.137648093393792,0.529279231439567,0.176426410479856,0.1,0.666666666666667,,-0.762377820212127,0.762377820212127,0.672437611634117,0.672437611634117
MEF2C,58,0.280592956887124,0.518111038627294,-0.00277747189396698,0.0105137762294852,0.00332474796945102,-0.0146806882503924,0.0381693704341648,0.0127231234780549,0.1,0.111111111111111,,0.0119032163564254,-0.0119032163564254,0.0395909122140951,0.0395909122140951
MEF2C-AS1,40.5,0.399075196548237,0.562113974409261,-0.00338070817280218,0.010690737930401,0.00338070817280218,0,0,0,0,0,,-0.00338070817280218,0.00338070817280218,0.010690737930401,0.010690737930401
MEF2C-AS2,40.5,0.607148751367279,0.745739230214793,-0.0674460651560259,0.213283185109162,0.0674460651560259,-0.017872667891924,0.203142198870298,0.0677140662900995,0,0.111111111111111,,-0.0495733972641019,0.0495733972641019,0.294544512785706,0.294544512785706
MEF2D,0,2.16501764489381e-05,0.00246424388271429,-1.62245815971867,0.817348811441346,0.258468388698614,0.635918112534043,0.545327798324348,0.181775932774783,0,0.888888888888889,,-2.25837627225271,2.25837627225271,0.982568820587068,0.982568820587068
MEFV,29.5,0.220468839620081,0.440886934532562,-0.122922629449355,0.190683796430041,0.0602995109606815,-0.0498541557874137,0.337631597502294,0.112543865834098,0.3,0.444444444444444,,-0.0730684736619413,0.0730684736619413,0.387756890142425,0.387756890142425
MEG3,34,0.400181861482171,0.562113974409261,-0.126196669413887,0.17046937942427,0.0539071510296136,-0.0565856943661434,0.247634138232125,0.0825447127440415,0.2,0.444444444444444,,-0.0696109750477436,0.0696109750477436,0.30063678374288,0.30063678374288
MEG8,31,0.277511961722488,0.513258304285578,-0.679413340937665,1.36892229549159,0.432891239353946,0.00943714969408751,1.47380539820153,0.491268466067178,0.4,0.555555555555556,,-0.688850490631753,0.688850490631753,2.01147970480985,2.01147970480985
MEG9,40.5,0.399075196548237,0.562113974409261,-0.00998741862699039,0.0315829908068813,0.00998741862699039,0,0,0,0,0,,-0.00998741862699039,0.00998741862699039,0.0315829908068813,0.0315829908068813
MEGF10,32,0.315378120331681,0.552952426109067,-0.223778707642475,0.321121426086181,0.101547511191374,-0.0170942816721611,0.502459019229142,0.167486339743047,0.2,0.444444444444444,,-0.206684425970314,0.206684425970314,0.596308675348878,0.596308675348878
MEGF11,23.5,0.0862727671159232,0.249633622877058,-0.0264411684177001,0.0233562368029364,0.00738589058675282,-0.00427296150887322,0.0630905427373338,0.0210301809124446,0.1,0.555555555555556,,-0.0221682069088269,0.0221682069088269,0.0672750353436264,0.0672750353436264
