gene,cim,cim_label,highlight,k_datasets,n_scope_datasets,k_concordant,direction_concordant,mean_abs_rrb,stouffer_padj,fisher_padj,stouffer_Z,is_proteostatic,proteostasis_branch
"EGR2","Fun","Fun-CIM","background",2,2,2,"YES",0.589,0.000000781198618127685,0.00000157608558593772,5.93447239067067,FALSE,NA
"APOL3","Fun","Fun-CIM","background",2,2,2,"YES",0.657,0.000000900898613331085,0.00000145321495235364,5.88559602152853,FALSE,NA
"TSHZ2","Fun","Fun-CIM","background",2,2,2,"YES",0.624,0.00000208507080135394,0.00000444905852912565,5.70139731349739,FALSE,NA
"APOL2","Fun","Fun-CIM","background",2,2,2,"YES",0.626,0.00000208507080135394,0.00000461276328202051,5.65333536988044,FALSE,NA
"PIK3CG","Fun","Fun-CIM","background",2,2,2,"YES",0.597,0.00000208507080135394,0.00000489443036958731,5.67172318514461,FALSE,NA
"TNS1","Fun","Fun-CIM","background",2,2,2,"YES",0.583,0.00000208507080135394,0.00000489443036958731,5.65950318336439,FALSE,NA
"COL6A6","Fun","Fun-CIM","background",2,2,2,"YES",0.558,0.00000237803431983323,0.0000050876592692454,5.61688522604455,FALSE,NA
"TRIM22","Fun","Fun-CIM","background",2,2,2,"YES",0.595,0.00000239469017878481,0.00000543306086930224,5.59646846698403,FALSE,NA
"GPR162","Fun","Fun-CIM","background",2,2,2,"YES",0.594,0.00000239469017878481,0.00000543306086930224,5.57967015437342,FALSE,NA
"INPP5D","Fun","Fun-CIM","background",2,2,2,"YES",0.569,0.00000239469017878481,0.00000543306086930224,5.58145303039421,FALSE,NA
"JAML","Fun","Fun-CIM","background",2,2,2,"YES",0.622,0.00000300341469388927,0.00000543306086930224,5.49312412601856,FALSE,NA
"LYSMD4","Fun","Fun-CIM","background",2,2,2,"YES",0.537,0.00000300341469388927,0.00000666874445417272,5.49232461393082,FALSE,NA
"BCL6","Fun","Fun-CIM","background",2,2,2,"YES",0.568,0.00000300341469388927,0.00000673626479879226,5.51036627854908,FALSE,NA
"IRAG2","Fun","Fun-CIM","background",2,2,2,"YES",0.569,0.00000300341469388927,0.00000673626479879226,5.49493425126338,FALSE,NA
"HMGA1","Dys","Dys-CIM","background",2,2,2,"YES",0.671,0.00000591957564421793,0.00000175060424518983,5.78054262029807,FALSE,NA
"OLA1","Dys","Dys-CIM","background",2,2,2,"YES",0.672,0.0000073018343250312,0.00000175060424518983,5.67613699556279,FALSE,NA
"RAC3","Dys","Dys-CIM","background",2,2,2,"YES",0.651,0.0000086907762471886,0.00000448666919923254,5.55773694304152,FALSE,NA
"NTHL1","Dys","Dys-CIM","background",2,2,2,"YES",0.604,0.0000086907762471886,0.0000109075400832547,5.55861914542109,FALSE,NA
"DAP3","Dys","Dys-CIM","background",2,2,2,"YES",0.681,0.0000138088455083167,0.000000317255866750554,5.44396025698612,FALSE,NA
"PSMD14","Dys","Dys-CIM","background",2,2,2,"YES",0.649,0.0000513162859375334,0.00000225491383519858,5.09528280977579,FALSE,NA
"SNHG16","Dys","Dys-CIM","background",2,2,2,"YES",0.617,0.0000513162859375334,0.0000267990427103474,4.96762969970062,FALSE,NA
"STRAP","Dys","Dys-CIM","background",2,2,2,"YES",0.61,0.0000513162859375334,0.0000322621630824335,4.99028756193333,FALSE,NA
"METTL5","Dys","Dys-CIM","background",2,2,2,"YES",0.581,0.0000513162859375334,0.0000426243315374861,5.14468772474893,FALSE,NA
"PTGES2","Dys","Dys-CIM","background",2,2,2,"YES",0.565,0.0000513162859375334,0.000048808087038516,5.12813010484928,FALSE,NA
"LDHA","Dys","Dys-CIM","background",2,2,2,"YES",0.589,0.0000513162859375334,0.000048808087038516,5.02450281583696,FALSE,NA
"TBC1D7","Dys","Dys-CIM","background",2,2,2,"YES",0.572,0.0000513162859375334,0.0000490533966934752,5.08728940694222,FALSE,NA
"DCAF13","Dys","Dys-CIM","background",2,2,2,"YES",0.564,0.0000513162859375334,0.0000592827010371261,5.02581558675766,FALSE,NA
"GLRX3","Dys","Dys-CIM","background",2,2,2,"YES",0.556,0.0000513162859375334,0.0000635991918810916,4.9851939670391,FALSE,NA
"EGR1","Fun","Fun-CIM","background",2,2,2,"YES",0.554,0.000281842628966577,0.0000438522391978213,4.03964408611101,FALSE,NA
"DUSP1","Fun","Fun-CIM","background",2,2,2,"YES",0.415,0.00352146401949428,0.00326489290883923,3.15688811039175,FALSE,NA
