scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,neg_log10_stouffer,cim_label,highlight,proteostasis_branch,is_proteostatic
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"BLNK",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",42.9114024963387,0.000000121448174495607,0.00000456466076043976,"YES",5.45907235650138,0.0000000239314344079587,0.00000156442687504755,"YES",0.568,5.80564473197803,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"MIGA2",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",42.8943420938017,0.000000122395725852412,0.00000457208968995872,"YES",5.04099536976825,0.00000023155833672662,0.00000582541366651314,"YES",0.537,5.23467322966586,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"CSAD",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",42.8820827634344,0.000000123081160754016,0.00000457713572758317,"YES",5.15589997045446,0.000000126207812483412,0.0000040636090071618,"YES",0.545,5.39108808571455,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"DOK3",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",42.4557290036729,0.000000149451122607969,0.00000515565827323756,"YES",5.45098576892919,0.000000025045689580419,0.00000157810328454522,"YES",0.559,5.80186457625959,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"FYB1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",42.4088121512182,0.000000152676340578683,0.00000518678796398999,"YES",5.37807149507831,0.0000000376439604511596,0.00000208224188931446,"YES",0.554,5.68146882089057,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"PDE4DIP",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",42.3068307883105,0.000000159927749018813,0.00000534890134218347,"YES",5.1890919857094,0.000000105660997109409,0.00000367640622603664,"YES",0.539,5.43457650708493,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"PPP1R12C",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",42.1289430250214,0.000000173406140903856,0.00000566788481007339,"YES",5.36378149425717,0.0000000407487417880114,0.00000210352198110143,"YES",0.559,5.67705294539114,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"VILL",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",41.9654272378798,0.000000186790013880172,0.00000592577584475002,"YES",5.25141026833342,0.0000000754695302282713,0.00000302941774339997,"YES",0.554,5.51864083523627,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"MOB3C",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",41.945822244363,0.000000188462183640167,0.0000059569237459011,"YES",5.42657377117274,0.0000000287230440950856,0.0000017211885242812,"YES",0.544,5.76417155816116,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"DTX2",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",41.7750110489787,0.000000203675952935196,0.00000625451885365767,"YES",5.1436964297742,0.000000134692353111663,0.00000425736379121076,"YES",0.563,5.37085923782733,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"CDKN1A",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",41.7510731109398,0.000000205903483919344,0.00000628167406419705,"YES",5.34411963733708,0.0000000454287732296731,0.00000224002790970771,"YES",0.565,5.64974657052453,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TNFAIP2",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",41.6620422192746,0.000000214403008820158,0.00000637959849347979,"YES",5.27113681132814,0.0000000677906783299039,0.00000289587011538981,"YES",0.57,5.53822092087077,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TRIM38",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",41.63635289867,0.000000216919758378204,0.00000638839793530896,"YES",5.32225098508823,0.0000000512455146963716,0.00000244308036638116,"YES",0.565,5.61206224645195,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"MYH11",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",41.5868976516822,0.000000221847876612236,0.000006489238397583,"YES",5.1000488596434,0.000000169782907178069,0.00000488174835564415,"YES",0.526,5.31142461135305,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"CDIP1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",41.5083620746746,0.000000229903672064463,0.00000659164508262392,"YES",5.1389447845388,0.00000013814278042274,0.00000435048924185336,"YES",0.571,5.36146190095579,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"SHFL",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",41.39609312926,0.000000241927557624764,0.00000682344465131203,"YES",5.13407578375608,0.000000141766919945169,0.00000441626986356268,"YES",0.569,5.35494439617668,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"EGR1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",41.3630082580762,0.000000245588810784872,0.00000688047353332031,"YES",4.63146344331014,0.00000181545056859268,0.0000228027990631532,"YES",0.542,4.64201183970701,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"EMILIN2",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",41.3499647105058,0.000000247047345274971,0.00000689893703034862,"YES",5.24446866109622,0.000000078366671078126,0.00000307375456696886,"YES",0.523,5.51233081298022,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"ELMO1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",41.3095787284123,0.000000251618193129789,0.00000696091427717307,"YES",5.34452046907922,0.0000000453283658670679,0.00000224002790970771,"YES",0.544,5.64974657052453,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"KLHL6",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",41.3019284810506,0.000000252493471868719,0.00000696091427717307,"YES",5.13707181975624,0.000000139526165847593,0.00000437807740035957,"YES",0.468,5.35871656477541,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"IL10RA",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",41.0602128010028,0.000000281764530684174,0.0000075742870257749,"YES",5.27493802316659,0.0000000664004801930048,0.00000287924494264039,"YES",0.502,5.54072138732333,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"SLC38A10",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",40.9327368143986,0.000000298536712106184,0.00000783199814255065,"YES",4.65434673353544,0.00000162504742808457,0.0000210232897405424,"YES",0.51,4.67729932425567,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"GRIA3",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",40.9321770075488,0.000000298612514648182,0.00000783199814255065,"YES",5.23563465092363,0.0000000822094525329101,0.00000312504566478626,"YES",0.511,5.50514363213757,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TNFRSF25",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",40.9193093194118,0.000000300360195336349,0.00000784717919164508,"YES",5.33772902815982,0.0000000470589885361366,0.00000228130343864226,"YES",0.532,5.64181694490164,"Fun-CIM","background",NA,FALSE
