scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,neg_log10_stouffer,cim_label,highlight,proteostasis_branch,is_proteostatic
"NKI.TNBCCL","Dys","Dys_only",0.3,"PAIP1",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",38.2268144748338,0.00000010060935234174,0.000018819867085102,"YES",4.75076204884639,0.00000101325744107752,0.0000976411715947432,"YES",0.614,4.01036701813155,"Dys-CIM","background",NA,FALSE
"NKI.TNBCCL","Dys","Dys_only",0.3,"SNHG16",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",37.3621323488248,0.000000151692694586872,0.0000267990427103474,"YES",4.96762969970062,0.000000338881133549749,0.0000513162859375334,"YES",0.617,4.28974478361442,"Dys-CIM","background",NA,FALSE
"NKI.TNBCCL","Dys","Dys_only",0.3,"ACBD6",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",37.0469993084846,0.000000176158654179846,0.0000285355005910076,"YES",4.91380122156775,0.000000446636593039547,0.0000645592893575345,"YES",0.614,4.19004125879714,"Dys-CIM","background",NA,FALSE
"NKI.TNBCCL","Dys","Dys_only",0.3,"MEMO1",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",37.0077583840112,0.000000179468557176149,0.0000285355005910076,"YES",4.04624672681899,0.0000260226889847828,0.000801346880978196,"YES",0.564,3.09617944910401,"Dys-CIM","background",NA,FALSE
"NKI.TNBCCL","Dys","Dys_only",0.3,"EIF3M",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",36.6260566676516,0.000000215081583543984,0.0000322621630824335,"YES",5.02036722399536,0.000000257863947206476,0.0000513162859375334,"YES",0.61,4.28974478361442,"Dys-CIM","Dys-CIM: Translation","Translation",TRUE
"NKI.TNBCCL","Dys","Dys_only",0.3,"STRAP",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",36.547929324784,0.000000223197354658345,0.0000322621630824335,"YES",4.99028756193333,0.000000301447363730283,0.0000513162859375334,"YES",0.61,4.28974478361442,"Dys-CIM","background",NA,FALSE
"NKI.TNBCCL","Dys","Dys_only",0.3,"EIF3E",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",36.0700342378155,0.000000279927042638357,0.0000387029563299989,"YES",4.6428144824686,0.00000171847466713706,0.000140121780551176,"YES",0.6,3.85349435266581,"Dys-CIM","Dys-CIM: Translation","Translation",TRUE
"NKI.TNBCCL","Dys","Dys_only",0.3,"GDI2",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",35.9670308618781,0.000000293924049721915,0.0000389449365881537,"YES",4.17277259203419,0.0000150457624265663,0.000569589577577154,"YES",0.572,3.2444379660744,"Dys-CIM","background",NA,FALSE
"NKI.TNBCCL","Dys","Dys_only",0.3,"METTL5",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",35.690197653372,0.000000335096946049419,0.0000426243315374861,"YES",5.14468772474893,0.000000133983088165196,0.0000513162859375334,"YES",0.581,4.28974478361442,"Dys-CIM","background",NA,FALSE
"NKI.TNBCCL","Dys","Dys_only",0.3,"CDK8",2,2,"YES",2,"YES","YES","Dys","NO",NA,"YES","Dys",35.5060764870443,0.000000365615915933793,0.0000447176389488255,"YES",4.11443662142617,0.0000194063088329905,0.000678154528449558,"YES",0.567,3.16867133385239,"Dys-CIM","background",NA,FALSE
