scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,neg_log10_stouffer,cim_label,highlight,proteostasis_branch,is_proteostatic
"NKI.NEO","Fun","Fun_only",0.3,"DYRK2",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,23.5319155140341,0.0000991203609394051,0.000316628014970231,"YES",3.67664856190539,0.000118159126570178,0.000330494586693814,"YES",0.521,3.48083564960726,"Fun-CIM","background",NA,FALSE
"NKI.NEO","Fun","Fun_only",0.3,"GNG2",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,23.5304816888654,0.00009918587664348,0.000316628014970231,"YES",3.8534131253808,0.0000582413024408913,0.000192153786155349,"YES",0.458,3.71635105387371,"Fun-CIM","background",NA,FALSE
"NKI.NEO","Fun","Fun_only",0.3,"SNHG14",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,23.5291729542756,0.0000992457141176677,0.000316628014970231,"YES",3.86607290202795,0.0000553009446879837,0.000185533848550912,"YES",0.463,3.73157684670741,"Fun-CIM","background",NA,FALSE
"NKI.NEO","Fun","Fun_only",0.3,"LXN",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,23.5288282245416,0.0000992614816842517,0.000316628014970231,"YES",3.88714679476174,0.000050714710198182,0.000173004143468515,"YES",0.473,3.76194349534541,"Fun-CIM","background",NA,FALSE
"NKI.NEO","Fun","Fun_only",0.3,"RGPD8",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,23.5163744909104,0.000099832772874856,0.000318225764029866,"YES",3.82325417867076,0.000065850944427856,0.000210946110118885,"YES",0.446,3.67582847867025,"Fun-CIM","background",NA,FALSE
"NKI.NEO","Fun","Fun_only",0.3,"CPNE5",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,23.50335581002,0.000100433469804744,0.000319914928483046,"YES",3.89237165082936,0.0000496345097076805,0.000170089449491066,"YES",0.523,3.76932262448219,"Fun-CIM","background",NA,FALSE
"NKI.NEO","Fun","Fun_only",0.3,"PODN",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,23.5015904281449,0.000100515202355923,0.000319949799048431,"YES",3.80680421936832,0.0000703870492474009,0.000221552550555886,"YES",0.441,3.65452324592137,"Fun-CIM","background",NA,FALSE
"NKI.NEO","Fun","Fun_only",0.3,"FAM225A",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,23.4972185184655,0.000100717894666128,0.000320369376418648,"YES",3.6885521946563,0.000112766881833644,0.000319765562037687,"YES",0.522,3.49516831051582,"Fun-CIM","background",NA,FALSE
"NKI.NEO","Fun","Fun_only",0.3,"COL24A1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,23.4954787141056,0.000100798669028349,0.00032040083263582,"YES",3.92259829240241,0.0000437995687459011,0.000154295055478467,"YES",0.499,3.81164799106468,"Fun-CIM","background",NA,FALSE
"NKI.NEO","Fun","Fun_only",0.3,"FHOD1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,23.4867884237211,0.000101203099354489,0.000321460301533585,"YES",3.53518240448346,0.000203746882242607,0.000501326024897433,"YES",0.511,3.2998797496539,"Fun-CIM","background",NA,FALSE
"NKI.NEO","Fun","Fun_only",0.3,"ATP8B4",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,23.4842359764127,0.000101322191379031,0.000321612573759284,"YES",3.83707617571382,0.00006225392980273,0.000202001265404407,"YES",0.453,3.69464590997699,"Fun-CIM","background",NA,FALSE
"NKI.NEO","Fun","Fun_only",0.3,"DET1",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,23.4633934105472,0.000102299884136848,0.000324260502313151,"YES",3.71528693901696,0.000101486615970647,0.000293111504273052,"YES",0.523,3.53296713569239,"Fun-CIM","background",NA,FALSE
"NKI.NEO","Fun","Fun_only",0.3,"ADAMTS14",2,2,"YES",2,"YES","YES","Fun","YES","Fun","NO",NA,23.4466407935851,0.000103092508147815,0.000326543894063157,"YES",3.91802808055602,0.0000446381540828148,0.000156771139436148,"YES",0.511,3.80473388512905,"Fun-CIM","background",NA,FALSE
