scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,neg_log10_stouffer,cim_label,highlight,proteostasis_branch,is_proteostatic
"NEO.TNBCCL","Fun","Fun_only",0.3,"MAFB",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",15.0349460847016,0.00462928274868725,0.010062876084585,"YES",2.81680760784056,0.00242517854791619,0.00699776188936169,"YES",0.422,2.15504083920316,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"OR5V1",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",15.0347272118451,0.00462972990290574,0.010062876084585,"YES",2.77997269921686,0.0027181734304411,0.00765529802123613,"YES",0.423,2.11603789752497,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"NASP",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",15.0297270124792,0.00463995680499792,0.0100730122873653,"YES",2.68995906804666,0.00357303917754685,0.00946958649078168,"YES",0.416,2.02366898495582,"Fun-CIM","background","Cytonuclear proteostasis",TRUE
"NEO.TNBCCL","Fun","Fun_only",0.3,"SLC2A5",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",15.0216774652017,0.0046564671699416,0.0101040709768965,"YES",2.74016846705387,0.00307038498139027,0.00838957994021119,"YES",0.42,2.07625978341627,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"SERPINB6",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",15.0137531900766,0.0046727769528913,0.0101298734416107,"YES",2.76659659669897,0.00283224002930437,0.00790853869327683,"YES",0.422,2.10190375620845,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"IL3RA",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",15.0033748339461,0.00469422263239586,0.0101715551840903,"YES",2.82079402000693,0.00239524757132669,0.00691574944240105,"YES",0.42,2.16016074960196,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"ECH1",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.9819940990426,0.00473870864580362,0.0102582526633662,"YES",2.77130407007185,0.00279161309502174,0.00781413067196256,"YES",0.422,2.10711933055201,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"SPMIP4",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.9655396920575,0.00477322636101194,0.0103171867687291,"YES",2.6249968770524,0.00433248810012783,0.0110052398554494,"YES",0.409,1.95840048770736,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"SLC9A3-OT1",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.9647724815082,0.00477484181083343,0.0103171867687291,"YES",2.7035865806416,0.00342977874472153,0.00917475819401879,"YES",0.417,2.03740537300363,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"MAP1A",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.9647289206928,0.00477493354923513,0.0103171867687291,"YES",2.73812481105393,0.00308953102478427,0.00842682911876019,"YES",0.42,2.07433581271599,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"JAM2",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.9596706663284,0.00478559793396459,0.0103353587033573,"YES",2.75363702156819,0.00294685467176198,0.00814426080170505,"YES",0.42,2.08914832747689,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"FSTL3",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.9261189063212,0.00485693009948393,0.0104537028084373,"YES",2.62216611990994,0.00436864157211359,0.0110725382023996,"YES",0.408,1.95575281264061,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"SALL4",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.9253230055362,0.00485863482765099,0.0104537028084373,"YES",2.801278264269,0.00254503037959999,0.00724780390712172,"YES",0.42,2.13979356522184,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"TMPRSS11D",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.9208329921712,0.00486826293456355,0.0104695054197814,"YES",2.77133549101342,0.0027913436984112,0.00781413067196256,"YES",0.421,2.10711933055201,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"LHX4",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.8989739495021,0.00491540440863562,0.0105609790129308,"YES",2.79586501779685,0.00258805069574329,0.00735661031617048,"YES",0.419,2.13332224817377,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"UNC5A",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.8960887463197,0.00492166006548249,0.0105694666980034,"YES",2.60457039286554,0.0045994761216241,0.0114861644976288,"YES",0.406,1.9398249683177,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"CHST13",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.8940357592018,0.00492611608308286,0.0105740834461306,"YES",2.48513182680122,0.0064751733983643,0.0148696771026384,"YES",0.391,1.82769846214818,"Fun-CIM","background",NA,FALSE
