scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"ARSA",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",47.5383963667247,1.46106519444096e-08,1.41657658009337e-06,"YES",5.76889587876417,3.98962913194165e-09,6.01210638503637e-07,"YES",0.6,22,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"LYSMD4",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",47.6946836849813,1.35976472530672e-08,1.38040115466726e-06,"YES",5.77262087565353,3.90239585524966e-09,6.01210638503637e-07,"YES",0.522,23,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"LZTS1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",46.114623202052,2.80899355724e-08,1.98678732831344e-06,"YES",5.75146671676992,4.42362502079154e-09,6.25761644334593e-07,"YES",0.582,24,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"ZNF154",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",45.8402693532375,3.18542654659636e-08,2.13077873415349e-06,"YES",5.73126462897704,4.98423017629844e-09,6.8268130462348e-07,"YES",0.545,25,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"DDB2",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",47.8567274578382,1.26211674985629e-08,1.37858296639366e-06,"YES",5.72100896526455,5.2946654469918e-09,6.96624815240587e-07,"YES",0.614,26,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"FBLN7",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",46.3412420114725,2.53171909648245e-08,1.8564776756454e-06,"YES",5.70104396517176,5.95379587150333e-09,7.13545896877809e-07,"YES",0.595,27,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"SERPING1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",45.0191114149597,4.63946682943308e-08,2.60043947463495e-06,"YES",5.67734900490587,6.839909351114e-09,7.66513997282633e-07,"YES",0.56,28,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TNS1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",47.3608184634867,1.58531678541898e-08,1.48692375449787e-06,"YES",5.68023365291394,6.72554315527005e-09,7.66513997282633e-07,"YES",0.523,29,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TSPYL2",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",48.2160810263749,1.06978139235764e-08,1.23081915128721e-06,"YES",5.66610941565952,7.30381330781531e-09,7.87807562914229e-07,"YES",0.605,30,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"MPEG1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",46.3824693989267,2.48429000635556e-08,1.8564776756454e-06,"YES",5.6598754215223,7.57414597132207e-09,8.06880315883187e-07,"YES",0.526,31,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"LCP2",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",45.9060681159974,3.09080295113565e-08,2.08363583323043e-06,"YES",5.65370554387337,7.85125643084826e-09,8.26201118802313e-07,"YES",0.55,32,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
