cohort,gene,nonfinite_n,variance,finite_complete,variable,retained,exclusion_reason
METABRIC,ACCSL,0,0.021440390679399842,TRUE,TRUE,TRUE,retained
METABRIC,ACD,0,0.14710869792378634,TRUE,TRUE,TRUE,retained
METABRIC,ACE,0,0.030553439121434538,TRUE,TRUE,TRUE,retained
METABRIC,ACE2,0,0.90663202059245,TRUE,TRUE,TRUE,retained
METABRIC,ACER1,0,0.015507819565698695,TRUE,TRUE,TRUE,retained
METABRIC,ACER2,0,0.029055060064843093,TRUE,TRUE,TRUE,retained
METABRIC,ACER3,0,0.504523693884088,TRUE,TRUE,TRUE,retained
METABRIC,ACHE,0,0.061874522277473545,TRUE,TRUE,TRUE,retained
METABRIC,ACIN1,0,0.16376142501839686,TRUE,TRUE,TRUE,retained
METABRIC,ACKR1,0,1.7387468724311286,TRUE,TRUE,TRUE,retained
METABRIC,ACKR2,0,1.8316077770187165,TRUE,TRUE,TRUE,retained
METABRIC,ACKR3,0,0.7781807492576145,TRUE,TRUE,TRUE,retained
METABRIC,ACKR4,0,0.13174746183836653,TRUE,TRUE,TRUE,retained
METABRIC,ACLY,0,0.303945309460801,TRUE,TRUE,TRUE,retained
METABRIC,ACMSD,0,0.12185411568036211,TRUE,TRUE,TRUE,retained
METABRIC,ACO1,0,0.2651937741457908,TRUE,TRUE,TRUE,retained
METABRIC,ACO2,0,0.16587427039538175,TRUE,TRUE,TRUE,retained
METABRIC,ACOT1,0,0.5732628880639833,TRUE,TRUE,TRUE,retained
METABRIC,ACOT11,0,0.20031399252873716,TRUE,TRUE,TRUE,retained
METABRIC,ACOT12,0,0.018630616970545345,TRUE,TRUE,TRUE,retained
METABRIC,ACOT13,0,0.26811773954162094,TRUE,TRUE,TRUE,retained
METABRIC,ACOT2,0,0.3952103028222862,TRUE,TRUE,TRUE,retained
METABRIC,ACOT4,0,0.8536876468205383,TRUE,TRUE,TRUE,retained
METABRIC,ACOT6,0,0.03250727021993476,TRUE,TRUE,TRUE,retained
METABRIC,ACOT7,0,0.39176002148220235,TRUE,TRUE,TRUE,retained
METABRIC,ACOT8,0,0.106221096922579,TRUE,TRUE,TRUE,retained
METABRIC,ACOT9,0,0.3436984522001725,TRUE,TRUE,TRUE,retained
METABRIC,ACOX1,0,0.23908497603378456,TRUE,TRUE,TRUE,retained
METABRIC,ACOX2,0,2.4292252919415604,TRUE,TRUE,TRUE,retained
METABRIC,ACOX3,0,0.367320754555737,TRUE,TRUE,TRUE,retained
METABRIC,ACOXL,0,0.015133344712103288,TRUE,TRUE,TRUE,retained
METABRIC,ACOXL-AS1,0,0.019657800325316728,TRUE,TRUE,TRUE,retained
METABRIC,ACP1,0,0.40533592203837265,TRUE,TRUE,TRUE,retained
METABRIC,ACP2,0,0.24763972598917783,TRUE,TRUE,TRUE,retained
METABRIC,ACP4,0,0.12483247140435216,TRUE,TRUE,TRUE,retained
METABRIC,ACP5,0,0.7267825332728906,TRUE,TRUE,TRUE,retained
METABRIC,ACP6,0,0.26289321059957893,TRUE,TRUE,TRUE,retained
METABRIC,ACP7,0,0.4636448653638521,TRUE,TRUE,TRUE,retained
METABRIC,ACPP,0,0.12023258625855923,TRUE,TRUE,TRUE,retained
METABRIC,ACR,0,0.025894936969173703,TRUE,TRUE,TRUE,retained
METABRIC,ACRBP,0,0.033790783144067776,TRUE,TRUE,TRUE,retained
METABRIC,ACRV1,0,0.05024780102213757,TRUE,TRUE,TRUE,retained
METABRIC,ACSBG1,0,0.20202681957287644,TRUE,TRUE,TRUE,retained
METABRIC,ACSBG2,0,0.022112124870554323,TRUE,TRUE,TRUE,retained
METABRIC,ACSF2,0,0.46357399417234635,TRUE,TRUE,TRUE,retained
METABRIC,ACSF3,0,0.05266800794087669,TRUE,TRUE,TRUE,retained
METABRIC,ACSL1,0,0.683141992914667,TRUE,TRUE,TRUE,retained
METABRIC,ACSL3,0,0.47393755508843916,TRUE,TRUE,TRUE,retained
METABRIC,ACSL4,0,0.41975006283289573,TRUE,TRUE,TRUE,retained
METABRIC,ACSL5,0,0.6010157720951446,TRUE,TRUE,TRUE,retained
METABRIC,ACSL6,0,0.03474386839979954,TRUE,TRUE,TRUE,retained
METABRIC,ACSM1,0,0.11006843784403181,TRUE,TRUE,TRUE,retained
METABRIC,ACSM2A,0,0.011920744117250566,TRUE,TRUE,TRUE,retained
