gene,signature,meta_scope_used,rho_threshold,k_datasets,n_scope_datasets,k_concordant,direction_concordant,fisher_padj,stouffer_padj,mean_abs_rrb,r_rb,source_p_adjust,passes_fisher,passes_stouffer,passes_k_mode,passes_effect_floor,selected,selection_source
PSENEN,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0750823986380617,0.999999999890737,0.481,0.481,0.999999999890737,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
PAFAH1B3,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,2,NO,0.0751411438789419,0.999999999890737,0.436,0.436,0.999999999890737,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
ADAMTS9-AS1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0751901539048205,0.585609347725409,0.376,0.376,0.585609347725409,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
SPSB2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0752463000342182,0.915603342950023,0.47,0.47,0.915603342950023,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
GFER,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0752911922750191,0.999999999890737,0.515,0.515,0.999999999890737,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
ITGA2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,2,NO,0.0753079708136185,0.321225246413414,0.433,0.433,0.321225246413414,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
UGCG,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.075539853338892,0.424901592607089,0.49,0.49,0.424901592607089,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
PCDHB10,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0756053399083101,0.31104586030508,0.44,0.44,0.31104586030508,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
SRP54,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0756778668632422,0.362139480633013,0.461,0.461,0.362139480633013,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
RIMS4,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0757049899149051,0.999999999890737,0.439,0.439,0.999999999890737,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
RABGAP1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0757697407382997,0.255080770649354,0.412,0.412,0.255080770649354,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
API5,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0758806044162,0.445299755314159,0.491,0.491,0.445299755314159,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
NMT2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0759004177557196,0.570161684870576,0.532,0.532,0.570161684870576,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
TTLL12,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,1,NO,0.0759329591533882,0.999999999890737,0.529,0.529,0.999999999890737,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
MAST4,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.07608653892232,0.353014362266142,0.457,0.457,0.353014362266142,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
CTXND1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0762390906045496,0.59340836294046,0.378,0.378,0.59340836294046,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
ELMO3,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0762761142894998,0.810197979561733,0.434,0.434,0.810197979561733,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
ADGRG1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0764924517509966,0.791848286635992,0.429,0.429,0.791848286635992,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
DOLK,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0766633357626118,0.744654375732135,0.416,0.416,0.744654375732135,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
PIMREG,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0766736688586109,0.999999999890737,0.543,0.543,0.999999999890737,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
SLC5A2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0767753250474866,0.880478624280059,0.457,0.457,0.880478624280059,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
LINC00472,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0768701094085453,0.163576314109595,0.349,0.349,0.163576314109595,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
KARS1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0768894793862747,0.808793392086318,0.433,0.433,0.808793392086318,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
ZNF217,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0768894793862747,0.299822996975077,0.432,0.432,0.299822996975077,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
MLLT10,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0768983584021429,0.495516097983486,0.507,0.507,0.495516097983486,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
NLE1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0772215992765322,0.807227681192438,0.604,0.604,0.807227681192438,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
CAPRIN1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0773260971814167,0.613206881822637,0.544,0.544,0.613206881822637,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
INPP5F,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,0.0773572345715968,0.292498962968219,0.428,0.428,0.292498962968219,FALSE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
