column,normalized_symbol,selected_signature_gene,detection_method
FAM83B,FAM83B,FALSE,user-specified first gene-column index: 39
LRRC8C,LRRC8C,FALSE,user-specified first gene-column index: 39
ZFP62,ZFP62,FALSE,user-specified first gene-column index: 39
DPPA4,DPPA4,FALSE,user-specified first gene-column index: 39
C9orf38,C9ORF38,FALSE,user-specified first gene-column index: 39
GAGE8,GAGE8,FALSE,user-specified first gene-column index: 39
DFFA,DFFA,FALSE,user-specified first gene-column index: 39
NDUFA3,NDUFA3,FALSE,user-specified first gene-column index: 39
GPR152,GPR152,FALSE,user-specified first gene-column index: 39
MRFAP1L1,MRFAP1L1,FALSE,user-specified first gene-column index: 39
EEPD1,EEPD1,TRUE,user-specified first gene-column index: 39
ARSH,ARSH,FALSE,user-specified first gene-column index: 39
FANK1,FANK1,FALSE,user-specified first gene-column index: 39
EEF1E1,EEF1E1,FALSE,user-specified first gene-column index: 39
DPYSL4,DPYSL4,FALSE,user-specified first gene-column index: 39
KCNA6,KCNA6,FALSE,user-specified first gene-column index: 39
ITPRIPL1,ITPRIPL1,FALSE,user-specified first gene-column index: 39
ZNF589,ZNF589,TRUE,user-specified first gene-column index: 39
MDFIC,MDFIC,FALSE,user-specified first gene-column index: 39
DUSP13,DUSP13,FALSE,user-specified first gene-column index: 39
SCAMP2,SCAMP2,FALSE,user-specified first gene-column index: 39
TMEM237,TMEM237,FALSE,user-specified first gene-column index: 39
SELENOH,SELENOH,FALSE,user-specified first gene-column index: 39
RANBP6,RANBP6,FALSE,user-specified first gene-column index: 39
DEFB136,DEFB136,FALSE,user-specified first gene-column index: 39
OR2AE1,OR2AE1,FALSE,user-specified first gene-column index: 39
RAB6C,RAB6C,FALSE,user-specified first gene-column index: 39
COPB2,COPB2,FALSE,user-specified first gene-column index: 39
ENO2,ENO2,FALSE,user-specified first gene-column index: 39
C12orf43,C12ORF43,FALSE,user-specified first gene-column index: 39
ZBTB2,ZBTB2,FALSE,user-specified first gene-column index: 39
INHBB,INHBB,FALSE,user-specified first gene-column index: 39
