gene,signature,meta_scope_used,rho_threshold,k_datasets,n_scope_datasets,k_concordant,direction_concordant,fisher_padj,stouffer_padj,mean_abs_rrb,r_rb,source_p_adjust,passes_fisher,passes_stouffer,passes_k_mode,passes_effect_floor,selected,selection_source
LRRC2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00165143785521921,7.2627734444058e-4,0.373,0.373,7.2627734444058e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
LRRC25,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,5.67085479768008e-5,1.79062741288333e-5,0.489,0.489,1.79062741288333e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
LRRC37B,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00167964144638891,0.00113823760343096,0.405,0.405,0.00113823760343096,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
LRRC4B,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00281452131830206,0.0015838886118747,0.369,0.369,0.0015838886118747,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
LRRN1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,4.6485972065092e-4,1.5928889635791e-4,0.414,0.414,1.5928889635791e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
LTB4R,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,6.0261739303407e-4,4.0983358130476e-4,0.439,0.439,4.0983358130476e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
LTB4R2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00120078474855911,5.4671103442839e-4,0.411,0.411,5.4671103442839e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
LY6G5B,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,3.22909531149161e-5,1.27566961560834e-5,0.512,0.512,1.27566961560834e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
LYSMD4,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.38040115466726e-6,6.01210638503637e-7,0.522,0.522,6.01210638503637e-7,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
LZTS1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.98678732831344e-6,6.25761644334593e-7,0.582,0.582,6.25761644334593e-7,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MAB21L3,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00121396934898403,8.1074587457018e-4,0.415,0.415,8.1074587457018e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MAFB,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,9.27630606086967e-6,3.06201904415091e-6,0.502,0.502,3.06201904415091e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MAN2B2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,3.54515645197462e-5,4.18440240244036e-5,0.498,0.498,4.18440240244036e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MAP1A,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,3.7084913473046e-4,1.4726686676602e-4,0.438,0.438,1.4726686676602e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MAP3K14,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,2.5314842617381e-6,8.26999599458259e-7,0.584,0.584,8.26999599458259e-7,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MAP3K6,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.20765347467823e-5,1.44061196083441e-5,0.543,0.543,1.44061196083441e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MAP6,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,5.7832637705725e-4,4.6676262088247e-4,0.442,0.442,4.6676262088247e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MBD1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,9.35524120100176e-5,7.73320309543423e-5,0.479,0.479,7.73320309543423e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MBD6,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.3134433822485e-4,4.5193206207584e-5,0.474,0.474,4.5193206207584e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MDGA1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.2305430530219e-4,7.82983878615608e-5,0.484,0.484,7.82983878615608e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MED15,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,3.60711744282355e-6,1.20559024257332e-5,0.516,0.516,1.20559024257332e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MEF2B,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,8.25416206697511e-6,2.65181247337434e-6,0.548,0.548,2.65181247337434e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MEOX2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,2.7578912408823e-4,1.4696357392353e-4,0.427,0.427,1.4696357392353e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MEP1A,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,2.5041292492979e-4,1.3732373413397e-4,0.462,0.462,1.3732373413397e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
METTL24,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,8.7196478567441e-4,5.8106592810767e-4,0.418,0.418,5.8106592810767e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MIGA2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,4.57208968995872e-6,5.82541366651314e-6,0.537,0.537,5.82541366651314e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
