gene,n_input_columns,method,cohort
AIDA,1,max_variance,METABRIC
AIDA.1,1,max_variance,METABRIC
AIF1,1,max_variance,METABRIC
AIF1L,1,max_variance,METABRIC
AIFM1,1,max_variance,METABRIC
AIFM2,1,max_variance,METABRIC
AIFM3,1,max_variance,METABRIC
AIG1,1,max_variance,METABRIC
AIM2,1,max_variance,METABRIC
AIMP1,1,max_variance,METABRIC
AIMP2,1,max_variance,METABRIC
AIP,1,max_variance,METABRIC
AIPL1,1,max_variance,METABRIC
AIRE,1,max_variance,METABRIC
AJAP1,1,max_variance,METABRIC
AJM1,1,max_variance,METABRIC
AJUBA,1,max_variance,METABRIC
AK000470,1,max_variance,METABRIC
AK022898,1,max_variance,METABRIC
AK055370,1,max_variance,METABRIC
AK056817,1,max_variance,METABRIC
AK057304,1,max_variance,METABRIC
AK057317,1,max_variance,METABRIC
AK094117,1,max_variance,METABRIC
AK094156,1,max_variance,METABRIC
AK096379,1,max_variance,METABRIC
AK096549,1,max_variance,METABRIC
AK096995,1,max_variance,METABRIC
AK097513,1,max_variance,METABRIC
AK097607,1,max_variance,METABRIC
AK1,1,max_variance,METABRIC
AK123889,1,max_variance,METABRIC
AK125333,1,max_variance,METABRIC
AK125594,1,max_variance,METABRIC
AK126075,1,max_variance,METABRIC
AK126318,1,max_variance,METABRIC
AK126744,1,max_variance,METABRIC
AK127557,1,max_variance,METABRIC
AK128161,1,max_variance,METABRIC
AK128708,1,max_variance,METABRIC
AK128837,1,max_variance,METABRIC
AK129567,1,max_variance,METABRIC
AK2,1,max_variance,METABRIC
AK225487,1,max_variance,METABRIC
AK3,1,max_variance,METABRIC
AK308544,1,max_variance,METABRIC
AK311113,1,max_variance,METABRIC
AK311398,1,max_variance,METABRIC
AK311627,1,max_variance,METABRIC
AK4,1,max_variance,METABRIC
AK5,1,max_variance,METABRIC
AK7,1,max_variance,METABRIC
AK8,1,max_variance,METABRIC
AK9,1,max_variance,METABRIC
AKAIN1,1,max_variance,METABRIC
AKAP1,1,max_variance,METABRIC
AKAP10,1,max_variance,METABRIC
AKAP11,1,max_variance,METABRIC
AKAP12,1,max_variance,METABRIC
AKAP13,1,max_variance,METABRIC
AKAP14,1,max_variance,METABRIC
AKAP17A,1,max_variance,METABRIC
AKAP3,1,max_variance,METABRIC
AKAP4,1,max_variance,METABRIC
AKAP5,1,max_variance,METABRIC
AKAP6,1,max_variance,METABRIC
AKAP7,1,max_variance,METABRIC
AKAP8,1,max_variance,METABRIC
AKAP8L,1,max_variance,METABRIC
AKAP9,1,max_variance,METABRIC
AKD1,1,max_variance,METABRIC
AKIP1,1,max_variance,METABRIC
AKIRIN1,1,max_variance,METABRIC
AKIRIN2,1,max_variance,METABRIC
AKNA,1,max_variance,METABRIC
AKNAD1,1,max_variance,METABRIC
AKR1A1,1,max_variance,METABRIC
AKR1B1,1,max_variance,METABRIC
AKR1B10,1,max_variance,METABRIC
AKR1B15,1,max_variance,METABRIC
AKR1C1,1,max_variance,METABRIC
AKR1C2,1,max_variance,METABRIC
AKR1C3,1,max_variance,METABRIC
AKR1C4,1,max_variance,METABRIC
AKR1C6P,1,max_variance,METABRIC
AKR1C8P,1,max_variance,METABRIC
AKR1D1,1,max_variance,METABRIC
AKR1E2,1,max_variance,METABRIC
AKR7A2,1,max_variance,METABRIC
AKR7A2P1,1,max_variance,METABRIC
AKR7A3,1,max_variance,METABRIC
AKR7L,1,max_variance,METABRIC
AKT1,1,max_variance,METABRIC
AKT1S1,1,max_variance,METABRIC
AKT2,1,max_variance,METABRIC
AKT3,1,max_variance,METABRIC
AKTIP,1,max_variance,METABRIC
AL137655,1,max_variance,METABRIC
ALAD,1,max_variance,METABRIC
ALAS1,1,max_variance,METABRIC
ALAS2,1,max_variance,METABRIC
ALB,1,max_variance,METABRIC
ALCAM,1,max_variance,METABRIC
ALDH16A1,1,max_variance,METABRIC
ALDH18A1,1,max_variance,METABRIC
ALDH1A1,1,max_variance,METABRIC
ALDH1A2,1,max_variance,METABRIC
ALDH1A3,1,max_variance,METABRIC
ALDH1B1,1,max_variance,METABRIC
ALDH1L1,1,max_variance,METABRIC
ALDH1L2,1,max_variance,METABRIC
ALDH2,1,max_variance,METABRIC
ALDH3A1,1,max_variance,METABRIC
ALDH3A2,1,max_variance,METABRIC
ALDH3B1,1,max_variance,METABRIC
ALDH3B2,1,max_variance,METABRIC
ALDH4A1,1,max_variance,METABRIC
ALDH5A1,1,max_variance,METABRIC
ALDH6A1,1,max_variance,METABRIC
ALDH7A1,1,max_variance,METABRIC
ALDH8A1,1,max_variance,METABRIC
ALDH9A1,1,max_variance,METABRIC
ALDOA,1,max_variance,METABRIC
ALDOB,1,max_variance,METABRIC
ALDOC,1,max_variance,METABRIC
ALG-2,1,max_variance,METABRIC
ALG1,1,max_variance,METABRIC
ALG10,1,max_variance,METABRIC
ALG10B,1,max_variance,METABRIC
ALG11,1,max_variance,METABRIC
ALG12,1,max_variance,METABRIC
ALG13,1,max_variance,METABRIC
ALG14,1,max_variance,METABRIC
ALG1L,1,max_variance,METABRIC
ALG1L2,1,max_variance,METABRIC
ALG1L9P,1,max_variance,METABRIC
ALG2,1,max_variance,METABRIC
ALG3,1,max_variance,METABRIC
ALG5,1,max_variance,METABRIC
ALG6,1,max_variance,METABRIC
ALG8,1,max_variance,METABRIC
ALG9,1,max_variance,METABRIC
ALK,1,max_variance,METABRIC
ALKAL1,1,max_variance,METABRIC
ALKAL2,1,max_variance,METABRIC
ALKBH1,1,max_variance,METABRIC
ALKBH2,1,max_variance,METABRIC
ALKBH3,1,max_variance,METABRIC
ALKBH4,1,max_variance,METABRIC
ALKBH5,1,max_variance,METABRIC
ALKBH6,1,max_variance,METABRIC
ALKBH7,1,max_variance,METABRIC
ALKBH8,1,max_variance,METABRIC
ALLC,1,max_variance,METABRIC
ALMS1,1,max_variance,METABRIC
ALMS1P1,1,max_variance,METABRIC
ALOX12,1,max_variance,METABRIC
ALOX12B,1,max_variance,METABRIC
ALOX12P2,1,max_variance,METABRIC
ALOX15,1,max_variance,METABRIC
ALOX15B,1,max_variance,METABRIC
ALOX5,1,max_variance,METABRIC
ALOX5AP,1,max_variance,METABRIC
ALOXE3,1,max_variance,METABRIC
ALPG,1,max_variance,METABRIC
ALPI,1,max_variance,METABRIC
ALPK1,1,max_variance,METABRIC
ALPK2,1,max_variance,METABRIC
ALPK3,1,max_variance,METABRIC
ALPL,1,max_variance,METABRIC
ALPP,1,max_variance,METABRIC
ALS2,1,max_variance,METABRIC
ALS2CL,1,max_variance,METABRIC
ALS2CR16,1,max_variance,METABRIC
ALX1,1,max_variance,METABRIC
ALX3,1,max_variance,METABRIC
ALX4,1,max_variance,METABRIC
ALYREF,1,max_variance,METABRIC
AMAC1L3,1,max_variance,METABRIC
AMACR,1,max_variance,METABRIC
AMBN,1,max_variance,METABRIC
AMBP,1,max_variance,METABRIC
AMBRA1,1,max_variance,METABRIC
AMD1,1,max_variance,METABRIC
AMDHD1,1,max_variance,METABRIC
AMDHD2,1,max_variance,METABRIC
AMELX,1,max_variance,METABRIC
AMELY,1,max_variance,METABRIC
AMER1,1,max_variance,METABRIC
AMER2,1,max_variance,METABRIC
AMER3,1,max_variance,METABRIC
AMFR,1,max_variance,METABRIC
AMH,1,max_variance,METABRIC
AMHR2,1,max_variance,METABRIC
AMIGO1,1,max_variance,METABRIC
AMIGO2,1,max_variance,METABRIC
AMIGO3,1,max_variance,METABRIC
AMMECR1,1,max_variance,METABRIC
AMMECR1L,1,max_variance,METABRIC
AMN,1,max_variance,METABRIC
AMN1,1,max_variance,METABRIC
AMOT,1,max_variance,METABRIC
AMOTL1,1,max_variance,METABRIC
AMOTL2,1,max_variance,METABRIC
AMPD1,1,max_variance,METABRIC
AMPD2,1,max_variance,METABRIC
AMPD3,1,max_variance,METABRIC
AMPH,1,max_variance,METABRIC
AMT,1,max_variance,METABRIC
AMTN,1,max_variance,METABRIC
AMY1A,1,max_variance,METABRIC
AMY2A,1,max_variance,METABRIC
AMY2B,1,max_variance,METABRIC
AMZ1,1,max_variance,METABRIC
AMZ2,1,max_variance,METABRIC
AMZ2P1,1,max_variance,METABRIC
ANAPC1,1,max_variance,METABRIC
ANAPC10,1,max_variance,METABRIC
ANAPC11,1,max_variance,METABRIC
ANAPC13,1,max_variance,METABRIC
ANAPC15,1,max_variance,METABRIC
ANAPC16,1,max_variance,METABRIC
ANAPC2,1,max_variance,METABRIC
ANAPC4,1,max_variance,METABRIC
ANAPC5,1,max_variance,METABRIC
ANAPC7,1,max_variance,METABRIC
ANG,1,max_variance,METABRIC
ANGEL1,1,max_variance,METABRIC
ANGEL2,1,max_variance,METABRIC
ANGPT1,1,max_variance,METABRIC
ANGPT2,1,max_variance,METABRIC
ANGPT4,1,max_variance,METABRIC
ANGPTL1,1,max_variance,METABRIC
ANGPTL2,1,max_variance,METABRIC
ANGPTL3,1,max_variance,METABRIC
ANGPTL4,1,max_variance,METABRIC
ANGPTL5,1,max_variance,METABRIC
