cohort,endpoint_original,endpoint_harmonized,signature,model_id,model_label,model_role,parameterization,exposure_variable,sample_mode,formula_text,configured_covariates,raw_median_cutoff,z_median_cutoff,n,events,censored,low_n,high_n,low_events,high_events,n_endpoint_score,excluded_covariate_missing,parameters_n,events_per_parameter,concordance,concordance_se,aic,log_likelihood,lr_chisq,lr_df,lr_p,wald_chisq,wald_df,wald_p,score_chisq,score_df,score_p,global_ph_p,max_vif,model_status,warning_text
METABRIC,RFI,RFI,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.23083688127430485,-0.03729392320029222,400,215,185,202,198,112,103,410,10,8,26.875,0.5910596307681856,0.019978789985333142,2384.9059662788372,-1184.4529831394186,14.89173251332204,8,0.061285158543141705,14.9,8,0.06115504167892698,15.047174766475313,8,0.05823464097169331,2.5144991955436838e-8,1.5367661603860578,converged,NA
METABRIC,RFI,RFI,Fun-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.23083688127430485,-0.03729392320029222,410,220,190,206,204,115,105,410,0,1,220,0.5264636095104354,0.017655695833795833,2452.5263606219837,-1225.2631803109919,2.2627326177334908,1,0.1325200403968255,2.26,1,0.13280857147410274,2.267006246877876,1,0.1321549710501683,0.9084206888917714,NA,converged,NA
METABRIC,RFI,RFI,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.23083688127430485,-0.03729392320029222,400,215,185,202,198,112,103,410,10,8,26.875,0.5934458805346559,0.01978513306746075,2384.7823131099117,-1184.3911565549558,15.015385682247597,8,0.058846984421815296,15.07,8,0.05782421148197056,15.204549737757144,8,0.055288045581908314,2.5253717430421878e-8,1.523167467787403,converged,NA
SCANB,OS,OS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z",,0.3886774662091883,-0.05189421448763552,2462,261,2201,1231,1231,130,131,2462,0,1,261,0.5233303356279652,0.018655920325674105,3892.0749300898137,-1945.0374650449069,2.3972671402448213,1,0.12154742275164422,2.41,1,0.12047736960188218,2.414119672903327,1,0.12024555029909537,0.8230292855191512,NA,converged,NA
SCANB,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.3886774662091883,-0.05189421448763552,2462,261,2201,1231,1231,130,131,2462,0,8,32.625,0.7080221437721148,0.01636390093253578,3765.2830728789245,-1874.6415364394622,143.18912435113407,8,5.148576381131215e-27,145.89,8,1.4087267404833918e-27,152.54966014383692,8,5.760300384535149e-29,2.677735640991308e-6,1.1868377842327185,converged,NA
SCANB,OS,OS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.3886774662091883,-0.05189421448763552,2462,261,2201,1231,1231,130,131,2462,0,1,261,0.515792764500131,0.01627407341353689,3893.3582120841584,-1945.6791060420792,1.1139851459001875,1,0.2912173039920837,1.11,1,0.29109002380011373,1.1161459771050082,1,0.2907498408142646,0.9610968158675112,NA,converged,NA
SCANB,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.3886774662091883,-0.05189421448763552,2462,261,2201,1231,1231,130,131,2462,0,8,32.625,0.7071147119665285,0.016456092728948043,3765.5272417224514,-1874.7636208612257,142.94495550760712,8,5.787828490763569e-27,146.01,8,1.3299704538091584e-27,152.38537180979668,8,6.233538428839929e-29,4.0376732566267255e-6,1.1822337605788202,converged,NA
SCANB,OS,OS,Fun-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z",,0.12885907966821492,-0.055289421812261076,2462,261,2201,1231,1231,126,135,2462,0,1,261,0.5262069147521615,0.01908973130175323,3890.3280811569066,-1944.1640405784533,4.144116073151963,1,0.041779462898038695,4.09,1,0.04303682796276648,4.095068717929298,1,0.04300848163349841,0.21437559336991524,NA,converged,NA
SCANB,OS,OS,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.12885907966821492,-0.055289421812261076,2462,261,2201,1231,1231,126,135,2462,0,8,32.625,0.7101780555786755,0.01633916727715301,3763.5613272708656,-1873.7806636354328,144.91086995919295,8,2.255114247103117e-27,146.28,8,1.1687275766580088e-27,153.36391476458587,8,3.8947176788494666e-29,1.7851519099498215e-6,1.2082295718337832,converged,NA
SCANB,OS,OS,Fun-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.12885907966821492,-0.055289421812261076,2462,261,2201,1231,1231,126,135,2462,0,1,261,0.5141849658647297,0.01637357144779177,3892.5229814137506,-1945.2614907068753,1.9492158163079694,1,0.1626713790513223,1.95,1,0.16206090475992807,1.9595793340333085,1,0.16155831507744975,0.22696536397300848,NA,converged,NA
