cohort,endpoint_original,endpoint_harmonized,signature,model_id,model_label,model_role,parameterization,exposure_variable,sample_mode,formula_text,configured_covariates,raw_median_cutoff,z_median_cutoff,n,events,censored,low_n,high_n,low_events,high_events,n_endpoint_score,excluded_covariate_missing,term,harmonized_variable,display_label,reference_level,comparison_level,estimate,hazard_ratio,conf_low,conf_high,p_value,term_ph_p,model_status,warning_text,p_adjust_model_terms,p_adjust_signature,exposure_coefficient,cox_fdr_supported,significance_value,significance_cutoff,significant,model_color,source_column,source_derivation
METABRIC,RFI,RFI,Dys-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z",,0.7514332257467629,-0.01821328144254894,400,215,185,197,203,103,112,410,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.005086624003286827,1.0050995828380853,0.8802514617708048,1.1476552045582746,0.9400825684787124,0.027620707095365443,converged,NA,0.9400825684787124,0.9400825684787124,TRUE,FALSE,0.9400825684787124,0.05,FALSE,#4DAF4A,ssGSEA score,within-cohort z standardization
METABRIC,RFI,RFI,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,400,215,185,197,203,103,112,410,10,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.010780897641966646,0.9892770079567559,0.8636198575104651,1.1332173408947024,0.8763877604025772,0.026359375539283445,converged,NA,0.8763877604025772,0.8763877604025772,TRUE,FALSE,0.8763877604025772,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization
METABRIC,RFI,RFI,Fun-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z",,0.23083688127430485,-0.03729392320029222,400,215,185,202,198,112,103,410,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.07757696387968889,0.9253558026832552,0.8090524013960907,1.0583781224578035,0.2576222354514097,0.8055940257364448,converged,NA,0.2576222354514097,0.5152444709028194,TRUE,FALSE,0.5152444709028194,0.05,FALSE,#4DAF4A,ssGSEA score,within-cohort z standardization
METABRIC,RFI,RFI,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.23083688127430485,-0.03729392320029222,400,215,185,202,198,112,103,410,10,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.08009321975726807,0.9230302977156759,0.80626420383302555,1.056706879023904,0.24578051122614508,0.8410545937384333,converged,NA,0.32770734830152676,0.49156102245229016,TRUE,FALSE,0.49156102245229016,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization
SCANB,OS,OS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z",,0.3886774662091883,-0.05189421448763552,2462,261,2201,1231,1231,130,131,2462,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.09595475248809968,1.100709258511927,0.9751512758583993,1.242433765681506,0.12047736960188131,0.8230292855191512,converged,NA,0.12047736960188131,0.12047736960188131,TRUE,FALSE,0.12047736960188131,0.05,FALSE,#4DAF4A,ssGSEA score,within-cohort z standardization
SCANB,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.3886774662091883,-0.05189421448763552,2462,261,2201,1231,1231,130,131,2462,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.11699778714711898,1.1241169421823705,0.9923333634499539,1.2734016070045917,0.06591607035883205,0.6595065376953922,converged,NA,0.10546571257413129,0.06591607035883205,TRUE,FALSE,0.06591607035883205,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization
SCANB,OS,OS,Fun-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z",,0.12885907966821492,-0.055289421812261076,2462,261,2201,1231,1231,126,135,2462,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.13142773725531287,0.8768426359039869,0.7720252267830493,0.9958910427613669,0.043036827962766505,0.21437559336991524,converged,NA,0.043036827962766505,0.08607365592553301,TRUE,FALSE,0.08607365592553301,0.05,FALSE,#4DAF4A,ssGSEA score,within-cohort z standardization
SCANB,OS,OS,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.12885907966821492,-0.055289421812261076,2462,261,2201,1231,1231,126,135,2462,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.1476108181227691,0.8627668228238154,0.7582489780215895,0.9816915184082275,0.025063423754464506,0.17579474200353407,converged,NA,0.04010147800714321,0.05012684750892901,TRUE,FALSE,0.05012684750892901,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization
SCANB,DRFi,DRFi,Dys-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z",,0.3886774662091883,-0.05189421448763552,1867,177,1690,982,885,95,82,1867,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.0498785686634711,1.0511434468722187,0.9070394124158204,1.218141715539788,0.5073209515935524,0.530046761599777,converged,NA,0.5073209515935524,0.5073209515935524,TRUE,FALSE,0.5073209515935524,0.05,FALSE,#4DAF4A,ssGSEA score,within-cohort z standardization
SCANB,DRFi,DRFi,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.3886774662091883,-0.05189421448763552,1867,177,1690,982,885,95,82,1867,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.012614059497215571,1.0126939523165635,0.8707184353470843,1.1778193724010673,0.8699876127208849,0.5218737900969908,converged,NA,0.8699876127208849,0.8699876127208849,TRUE,FALSE,0.8699876127208849,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization
