cohort,endpoint_original,endpoint_harmonized,signature,model_id,model_label,model_role,parameterization,exposure_variable,sample_mode,formula_text,configured_covariates,raw_median_cutoff,z_median_cutoff,n,events,censored,low_n,high_n,low_events,high_events,n_endpoint_score,excluded_covariate_missing,term,harmonized_variable,display_label,reference_level,comparison_level,estimate,hazard_ratio,conf_low,conf_high,p_value,term_ph_p,model_status,warning_text,p_adjust_model_terms,p_adjust_signature,exposure_coefficient,cox_fdr_supported,significance_value,significance_cutoff,significant,model_color,source_column,source_derivation
SCANB,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.3886774662091883,-0.05189421448763552,2462,261,2201,1231,1231,130,131,2462,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.11699778714711898,1.1241169421823705,0.9923333634499539,1.2734016070045917,0.06591607035883205,0.6595065376953922,converged,NA,0.10546571257413129,0.06591607035883205,TRUE,FALSE,0.06591607035883205,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization
SCANB,OS,OS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.3886774662091883,-0.05189421448763552,2462,261,2201,1231,1231,130,131,2462,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.13100351292627524,1.1399717859417962,0.8938620031229785,1.4538437344948165,0.29109002380011373,NA,converged,NA,0.29109002380011373,0.29109002380011373,TRUE,FALSE,0.29109002380011373,0.05,FALSE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
SCANB,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.3886774662091883,-0.05189421448763552,2462,261,2201,1231,1231,130,131,2462,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.22197803562087245,1.2485439540703467,0.9757812825272262,1.5975526823062633,0.07755998403331738,NA,converged,NA,0.1240959744533078,0.13265839870906362,TRUE,FALSE,0.13265839870906362,0.05,FALSE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
SCANB,OS,OS,Fun-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z",,0.12885907966821492,-0.055289421812261076,2462,261,2201,1231,1231,126,135,2462,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.13142773725531287,0.8768426359039869,0.7720252267830493,0.9958910427613669,0.043036827962766505,0.21437559336991524,converged,NA,0.043036827962766505,0.08607365592553301,TRUE,FALSE,0.08607365592553301,0.05,FALSE,#4DAF4A,ssGSEA score,within-cohort z standardization
SCANB,OS,OS,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.12885907966821492,-0.055289421812261076,2462,261,2201,1231,1231,126,135,2462,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.1476108181227691,0.8627668228238154,0.7582489780215895,0.9816915184082275,0.025063423754464506,0.17579474200353407,converged,NA,0.04010147800714321,0.05012684750892901,TRUE,FALSE,0.05012684750892901,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization
SCANB,OS,OS,Fun-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.12885907966821492,-0.055289421812261076,2462,261,2201,1231,1231,126,135,2462,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.17521219172051802,0.8392789138367459,0.6565048810259159,1.072938093179511,0.162060904759928,NA,converged,NA,0.162060904759928,0.29109002380011373,TRUE,FALSE,0.29109002380011373,0.05,FALSE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
SCANB,OS,OS,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.12885907966821492,-0.055289421812261076,2462,261,2201,1231,1231,126,135,2462,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.1913851340568491,0.8258144776175562,0.6434946028663311,1.0597906313511354,0.13265839870906362,NA,converged,NA,0.2122534379345018,0.13265839870906362,TRUE,FALSE,0.13265839870906362,0.05,FALSE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
SCANB,DRFi,DRFi,Dys-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z",,0.3886774662091883,-0.05189421448763552,1867,177,1690,982,885,95,82,1867,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.0498785686634711,1.0511434468722187,0.9070394124158204,1.218141715539788,0.5073209515935524,0.530046761599777,converged,NA,0.5073209515935524,0.5073209515935524,TRUE,FALSE,0.5073209515935524,0.05,FALSE,#4DAF4A,ssGSEA score,within-cohort z standardization
SCANB,DRFi,DRFi,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.3886774662091883,-0.05189421448763552,1867,177,1690,982,885,95,82,1867,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.012614059497215571,1.0126939523165635,0.8707184353470843,1.1778193724010673,0.8699876127208849,0.5218737900969908,converged,NA,0.8699876127208849,0.8699876127208849,TRUE,FALSE,0.8699876127208849,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization
SCANB,DRFi,DRFi,Dys-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.3886774662091883,-0.05189421448763552,1867,177,1690,982,885,95,82,1867,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.010476284805089718,1.010531353212853,0.7519286140562039,1.3580725573370331,0.9446195732003398,NA,converged,NA,0.9446195732003398,0.9446195732003398,TRUE,FALSE,0.9446195732003398,0.05,FALSE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
