gene_id,H_value,p_value.x,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster1_penetrance,cluster2_mean,cluster2_sd,cluster2_sem,cluster2_penetrance,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,limma_test,r_rb,p_value.y,padj,trajectory
PSMD4,252,2.33826405002579e-05,0.000977634668821059,0.418766955498261,0.272225962777348,0.0820792160659745,1,-0.229150739884062,0.407050219047402,0.0814100438094804,0.16,0.647917695382323,-0.647917695382323,0.489690571316818,0.489690571316818,limma_2grp(mod_t),-0.631778886323434,2.33826405002579e-05,0.000977634668821059,Dys-CIM
PSMB4,238,3.8961834852839e-05,0.00133378087078748,0.403689048671687,0.40700144099512,0.122715551719526,0.909090909090909,-0.1514803004296,0.294224942904522,0.0588449885809045,0.32,0.555169349101287,-0.555169349101287,0.502213590018503,0.502213590018503,limma_2grp(mod_t),-0.61832062574479,3.8961834852839e-05,0.00133378087078748,Dys-CIM
SLX9,228,5.03309641954278e-05,0.00152839639049798,0.546990100307841,0.7200874679584,0.217114540677735,0.818181818181818,-0.320768779161594,0.423498968792215,0.0846997937584429,0.16,0.867758879469436,-0.867758879469436,0.83539053027839,0.83539053027839,limma_2grp(mod_t),-0.61132967640685,5.03309641954278e-05,0.00152839639049798,Dys-CIM
FDPS,261,3.16714704738748e-06,0.000347171828676319,0.552211600998259,0.34130998911681,0.102908833736431,1,-0.341897813767042,0.491728467813926,0.0983456935627853,0.16,0.894109414765302,-0.894109414765302,0.598572798187112,0.598572798187112,limma_2grp(mod_t),-0.678994904043841,3.16714704738748e-06,0.000347171828676319,Dys-CIM
SPC24,245,4.48351325073867e-05,0.00145008341462659,0.495170107365842,0.882582029351763,0.266108494370021,0.818181818181818,-1.13630608163802,1.01328807138544,0.202657614277087,0.16,1.63147618900387,-1.63147618900387,1.34376476890366,1.34376476890366,limma_2grp(mod_t),-0.61450749445934,4.48351325073867e-05,0.00145008341462659,Dys-CIM
MAIP1,241,5.07352415951127e-05,0.00153555761256968,0.652970381766271,0.414777096795177,0.125060000154775,0.909090909090909,-0.00345759672473994,0.386677933416614,0.0773355866833228,0.52,0.656427978491011,-0.656427978491011,0.567062487048103,0.567062487048103,limma_2grp(mod_t),-0.611108529660807,5.07352415951127e-05,0.00153555761256968,Dys-CIM
VPS72,246,4.77390101870909e-05,0.00150292633856859,0.564684655803543,0.345748001287971,0.104246944753411,1,-0.0938871965005226,0.415771195292042,0.0831542390584083,0.36,0.658571852304065,-0.658571852304065,0.5407470455113,0.5407470455113,limma_2grp(mod_t),-0.612787010513026,4.77390101870909e-05,0.00150292633856859,Dys-CIM
POC1A,258,6.19672276849266e-06,0.00049421686082131,0.617166355917621,0.459343745545735,0.138497350342881,0.909090909090909,-0.697409160695345,0.766443468971971,0.153288693794394,0.2,1.31457551661297,-1.31457551661297,0.89355037222407,0.89355037222407,limma_2grp(mod_t),-0.664040629094142,6.19672276849266e-06,0.00049421686082131,Dys-CIM
CHMP4C,254,6.58315296667538e-05,0.00179028035953189,1.01167242376816,0.359379801501598,0.108357087164837,1,-0.261874085046059,0.915647903536875,0.183129580707375,0.44,1.27354650881422,-1.27354650881422,0.983648781313129,0.983648781313129,limma_2grp(mod_t),-0.603816475826986,6.58315296667538e-05,0.00179028035953189,Dys-CIM
DCAF13,247,1.48822169254943e-05,0.000758670316327125,0.532679809367218,0.404534643176461,0.121971784192421,0.909090909090909,-0.299595910303086,0.488696779242002,0.0977393558484003,0.24,0.832275719670304,-0.832275719670304,0.63440745548221,0.63440745548221,limma_2grp(mod_t),-0.643181102946365,1.48822169254943e-05,0.000758670316327125,Dys-CIM
CARD19,240,3.82972325351116e-05,0.00131914770333003,0.639341898861921,0.505986711511161,0.152560733726211,0.909090909090909,-0.245181165184252,0.539926693304086,0.107985338660817,0.28,0.884523064046173,-0.884523064046173,0.739961746557323,0.739961746557323,limma_2grp(mod_t),-0.618784458509364,3.82972325351116e-05,0.00131914770333003,Dys-CIM
NUDT5,246,5.87340622121949e-06,0.000483914318701247,0.395410018901254,0.50689312430647,0.152834027466867,0.727272727272727,-0.399202082078614,0.364715052906212,0.0729430105812424,0.12,0.794612100979868,-0.794612100979868,0.624465939251738,0.624465939251738,limma_2grp(mod_t),-0.665265960265907,5.87340622121949e-06,0.000483914318701247,Dys-CIM
ATP5F1C,264,1.87224485788249e-08,5.20976432791329e-05,0.557722409284267,0.31874473278385,0.0961051529587385,0.909090909090909,-0.270478736801655,0.321501377394828,0.0643002754789657,0.24,0.828201146085922,-0.828201146085922,0.452726562446053,0.452726562446053,limma_2grp(mod_t),-0.770324905519136,1.87224485788249e-08,5.20976432791329e-05,Dys-CIM
COMTD1,260,2.64230017178137e-05,0.00105274015883628,0.58453578254722,0.443579678801286,0.133744305382748,1,-0.369607054075497,0.594795212716615,0.118959042543323,0.24,0.954142836622717,-0.954142836622717,0.74198670912359,0.74198670912359,limma_2grp(mod_t),-0.628613647322471,2.64230017178137e-05,0.00105274015883628,Dys-CIM
HPRT1,252,2.66287876647123e-05,0.00105894479668168,0.502095296884134,0.485335573828858,0.146334181436559,0.909090909090909,-0.297513730011827,0.455672494798895,0.091134498959779,0.16,0.799609026895961,-0.799609026895961,0.665723697745571,0.665723697745571,limma_2grp(mod_t),-0.628411580902984,2.66287876647123e-05,0.00105894479668168,Dys-CIM
PSMC3,249,3.0281719435059e-06,0.000340765987429844,0.443072324942464,0.388311498011147,0.117080321880346,0.818181818181818,-0.17229672389436,0.272855236715759,0.0545710473431518,0.28,0.615369048836824,-0.615369048836824,0.474590138636354,0.474590138636354,limma_2grp(mod_t),-0.679964960964438,3.0281719435059e-06,0.000340765987429844,Dys-CIM
DPCD,245,1.61033445577578e-05,0.000786605961489,0.512589539145909,0.655638657892452,0.197682493298314,0.727272727272727,-0.403229152101615,0.438513619440992,0.0877027238881985,0.12,0.915818691247524,-0.915818691247524,0.788768815406805,0.788768815406805,limma_2grp(mod_t),-0.641223956503345,1.61033445577578e-05,0.000786605961489,Dys-CIM
CCT2,252,8.84450506131951e-06,0.000586565357609014,0.413575424355235,0.356852967314045,0.107595217991422,0.818181818181818,-0.439786476184368,0.489511621037988,0.0979023242075976,0.16,0.853361900539603,-0.853361900539603,0.605776912247469,0.605776912247469,limma_2grp(mod_t),-0.655760965490874,8.84450506131951e-06,0.000586565357609014,Dys-CIM
PHB1,247,2.20329559412172e-05,0.000946129426165966,0.726234818275984,0.54838634806936,0.165344705154482,1,-0.164745586919943,0.495075051212725,0.099015010242545,0.32,0.890980405195927,-0.890980405195927,0.73880098340631,0.73880098340631,limma_2grp(mod_t),-0.633305773623995,2.20329559412172e-05,0.000946129426165966,Dys-CIM
C19ORF48P,248,6.68971537916929e-06,0.000509842285807751,0.467378433794184,0.560317903415906,0.168942204449923,0.818181818181818,-0.49348278896252,0.478966963732576,0.0957933927465151,0.12,0.960861222756704,-0.960861222756704,0.73713330221582,0.73713330221582,limma_2grp(mod_t),-0.662280413672721,6.68971537916929e-06,0.000509842285807751,Dys-CIM
NDUFV1,238,5.67052982186637e-05,0.00164111804256368,0.4789264901654,0.285411200712739,0.0860547148844519,1,0.0791141451107037,0.208214982813938,0.0416429965627876,0.6,0.399812345054696,-0.399812345054696,0.353288879757764,0.353288879757764,limma_2grp(mod_t),-0.606745326777101,5.67052982186637e-05,0.00164111804256368,Dys-CIM
PRDX2,237,3.71426714529945e-05,0.00130920420927573,0.624760614369872,0.634890999881799,0.191426839034682,0.818181818181818,-0.312580543930469,0.525855368129226,0.105171073625845,0.28,0.93734115830034,-0.93734115830034,0.824384891856489,0.824384891856489,limma_2grp(mod_t),-0.619607891447087,3.71426714529945e-05,0.00130920420927573,Dys-CIM
MRPL58,254,6.69957248319884e-06,0.000509842285807751,0.582719879630332,0.370300367467518,0.111649761692771,0.909090909090909,-0.278104115058315,0.490896767485498,0.0981793534970997,0.28,0.860823994688648,-0.860823994688648,0.61489999062798,0.61489999062798,limma_2grp(mod_t),-0.662246444399961,6.69957248319884e-06,0.000509842285807751,Dys-CIM
ATP5PD,243,3.62434683558839e-05,0.00129329311094762,0.381073438682705,0.407813458613226,0.122960384243382,0.818181818181818,-0.325508055741257,0.41811884430544,0.083623768861088,0.24,0.706581494423962,-0.706581494423962,0.584067791432979,0.584067791432979,limma_2grp(mod_t),-0.620265456653306,3.62434683558839e-05,0.00129329311094762,Dys-CIM
TK1,253,4.97194735938255e-05,0.00152573077475682,0.7282055871932,0.689150838004635,0.20778679578367,0.818181818181818,-1.33728644224736,1.42229037278286,0.284458074556572,0.16,2.06549202944056,-2.06549202944056,1.58045524518516,1.58045524518516,limma_2grp(mod_t),-0.611667250575537,4.97194735938255e-05,0.00152573077475682,Dys-CIM
ECI1,256,3.76817025406654e-06,0.00037781710850726,0.567867215529262,0.463945621606351,0.139884868181497,0.909090909090909,-0.452654598790606,0.542084843655852,0.10841696873117,0.16,1.02052181431987,-1.02052181431987,0.713513501994947,0.713513501994947,limma_2grp(mod_t),-0.675204128568356,3.76817025406654e-06,0.00037781710850726,Dys-CIM
