rowname,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030500,GO:0030500,regulation of bone mineralization,17/1487,77/16754,0.220779220779221,2.48751517480502,4.08293746999605,0.000344081010737361,0.00310231482733004,0.00232660382687583,ADRB2/ALOX5/ATP2B1/BMP2K/BMP6/CCL3/CCR1/HIF1A/LTF/MEF2C/NELL1/P2RX7/PKDCC/PTK2B/S1PR1/SLC8A1/SRGN,17
GO:0033622,GO:0033622,integrin activation,9/1487,27/16754,0.333333333333333,3.75566016588209,4.47222286535133,0.00035728213036493,0.00321091416188806,0.00240804869673655,CXCL12/FERMT3/JAM3/P2RY12/PLEK/PTGER4/RASIP1/SELP/TLN1,9
GO:0141085,GO:0141085,regulation of inflammasome-mediated signaling pathway,13/1487,51/16754,0.254901960784314,2.87197542096866,4.17842792567918,0.000387752006621733,0.00345124141791203,0.00258828389035459,BTK/CARD8/CD36/GBP2/IFI16/NEK9/NLRP3/OGT/P2RX7/PRKD1/PTPN22/TLR4/TLR6,13
GO:0098760,GO:0098760,response to interleukin-7,8/1487,22/16754,0.363636363636364,4.09708381732592,4.53644131567961,0.000388520806090214,0.00345255129124007,0.00258926623949301,BTK/IL2RG/IL7/IL7R/JAK1/JAK3/LSP1/STAT5A,8
GO:0071496,GO:0071496,cellular response to external stimulus,17/1487,78/16754,0.217948717948718,2.45562395461521,4.02138337182929,0.000404167907297039,0.00357444037759196,0.00268067785647734,ABCB1/BMP6/CASP1/CD40/COL1A1/FAS/MAP3K14/PDE2A/PECAM1/PTGER4/TEK/TLR4/TLR5/TLR7/TLR8/TNFRSF10B/TNFRSF8,17
GO:0042092,GO:0042092,type 2 immune response,12/1487,45/16754,0.266666666666667,3.00452813270567,4.20211669532111,0.000411868169287937,0.00362522315725072,0.00271876277566497,BCL3/BCL6/CCR2/CD74/CD86/HLX/IL10/IL18/IL33/IL4R/NLRP3/STAT6,12
GO:0150146,GO:0150146,cell junction disassembly,11/1487,39/16754,0.282051282051282,3.17786629420792,4.2494747431861,0.000420857887904242,0.00369848846427241,0.00277370863164072,C1QA/C1QB/C1QC/C3/EPHA4/IQSEC1/ITGAM/MAPRE2/PLXNC1/RHOU/SNAI2,11
GO:0019058,GO:0019058,viral life cycle,43/1487,286/16754,0.15034965034965,1.69398657831745,3.6943546497921,0.00042924627797024,0.00376548337841208,0.00282395196034657,APOBEC3C/APOBEC3D/APOBEC3G/APOBEC3H/ATG16L2/AXL/CBL/CCL2/CCL8/CCR5/CD209/CD28/CD4/CD74/CD80/CD86/CH25H/CR1/CTSB/CTSL/CXCR4/CXCR6/DPP4/GAS6/GBP2/HLA-DRB1/IFI16/ITGA5/LGALS9/LTF/MRC1/NOTCH1/NR5A2/PCBP3/PIKFYVE/PROX1/RNASEL/SELPLG/SIGLEC1/SLAMF1/TNFRSF14/TPCN1/TRIM38,43
GO:0003279,GO:0003279,cardiac septum development,21/1487,108/16754,0.194444444444444,2.19080176343122,3.87455051479491,0.000471076867770295,0.00410087919058968,0.00307548451702204,ADAMTS6/ANK2/APLNR/CNTRL/ENG/HEG1/KCNJ8/NOTCH1/NPHP3/PDE2A/PLXND1/PRDM1/PROX1/RARB/RBPJ/ROBO1/SLIT2/TGFBR2/TGFBR3/WNT5A/ZFPM2,21
GO:0097306,GO:0097306,cellular response to alcohol,21/1487,108/16754,0.194444444444444,2.19080176343122,3.87455051479491,0.000471076867770295,0.00410087919058968,0.00307548451702204,ABCA1/ADCY2/ADCY7/BTG2/CES1/CYBB/GNG2/GRAMD1B/KLF9/OSBPL7/PRKAA1/PRKD1/PTCH1/PTGDR/PTGER4/PTGFR/SGK1/SLC23A2/SOD2/SPI1/XRN1,21
GO:0010919,GO:0010919,regulation of inositol phosphate biosynthetic process,6/1487,13/16754,0.461538461538462,5.20014484506751,4.72792056545868,0.000480089144883962,0.00410217709336235,0.00307645788875439,ADCYAP1R1/CD244/P2RY1/PLEK/PRKG1/SNCA,6
