gene_id,H_value,p_value.x,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster2_mean,cluster2_sd,cluster2_sem,cluster1_penetrance,cluster2_penetrance,limma_test,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,r_rb,p_value.y,padj,trajectory
C19orf18,166,0.000360557884452647,0.040540676546462,0.493785868115449,0.357392659864015,0.0922783879806734,-0.0653612492933352,0.122412679798436,0.0353374968169253,0.866666666666667,0.166666666666667,limma_dupcor_2grp(mod_t),0.559147117408784,-0.559147117408784,0.377775564985495,0.377775564985495,-0.634190432053395,0.000360557884452647,0.040540676546462,Fun-CIM
ERICH5,176,8.92156548924517e-05,0.018904409879375,0.414594113631966,0.292415512276292,0.0755013606145859,-0.176838795326257,0.222101801858106,0.0641152675451392,1,0.0833333333333333,limma_dupcor_2grp(mod_t),0.591432908958223,-0.591432908958223,0.367200275338164,0.367200275338164,-0.679963300539641,8.92156548924517e-05,0.018904409879375,Fun-CIM
GATA2,165,0.000471143132103484,0.0470123502022191,1.20381855744758,0.462238836159845,0.119349554294492,0.409432499237463,0.307053150326735,0.0886386094983315,1,0.916666666666667,limma_dupcor_2grp(mod_t),0.794386058210117,-0.794386058210117,0.554929165551767,0.554929165551767,-0.624506190412032,0.000471143132103484,0.0470123502022191,Fun-CIM
CDC42EP4,166,5.58046891530997e-05,0.0138514959881524,0.442828450081024,0.115127364013629,0.0297257575678364,-0.05128631932945,0.29713503634208,0.0857754966088847,1,0.5,limma_dupcor_2grp(mod_t),0.494114769410474,-0.494114769410474,0.318658970949722,0.318658970949722,-0.693743489862919,5.58046891530997e-05,0.0138514959881524,Fun-CIM
SPEN-AS1,180,3.68404579228738e-06,0.00293378503569448,1.29911646066971,0.455205066098664,0.117533442673958,0.00883564407556426,0.27095332346725,0.0782174871208201,1,0.5,limma_dupcor_2grp(mod_t),1.29028081659415,-1.29028081659415,0.529742725952738,0.529742725952738,-0.761042921849823,3.68404579228738e-06,0.00293378503569448,Fun-CIM
TMEM86B,175,0.000213695803636314,0.0302283820297877,0.42958780927597,0.270063359478678,0.069730059578783,-0.120289797711971,0.150513244317328,0.0434494310616066,1,0.25,limma_dupcor_2grp(mod_t),0.549877606987941,-0.549877606987941,0.309173826265804,0.309173826265804,-0.652232518382429,0.000213695803636314,0.0302283820297878,Fun-CIM
S1PR5,176,6.37060845811488e-05,0.0151004464509286,0.499179764611132,0.199313908700135,0.0514626299375419,-0.246763096809812,0.283412770056805,0.0818142195420369,1,0.0833333333333333,limma_dupcor_2grp(mod_t),0.745942861420944,-0.745942861420944,0.346480637889907,0.346480637889907,-0.689928225907178,6.37060845811488e-05,0.0151004464509286,Fun-CIM
NXPH4,156,9.54384831452052e-05,0.0192663691857221,0.577017039202804,0.451750218592941,0.116641404883735,-0.112763709009256,0.162678639494127,0.0469612781516682,0.8,0.333333333333333,limma_dupcor_2grp(mod_t),0.68978074821206,-0.68978074821206,0.480148518425737,0.480148518425737,-0.677921768896761,9.54384831452052e-05,0.0192663691857221,Fun-CIM
SKA2,165,0.000389282422343745,0.0421493006316001,0.725928029151047,0.223334190115175,0.0576646399303195,0.104748501870888,0.381069049653212,0.110005159198558,1,0.666666666666667,limma_dupcor_2grp(mod_t),0.621179527280159,-0.621179527280159,0.441691952697809,0.441691952697809,-0.631448308013738,0.000389282422343745,0.0421493006316001,Fun-CIM
NGRN,170,3.00976192109409e-05,0.00954082441589553,0.368450415406441,0.219114995562178,0.0565752485811086,-0.0259557171034125,0.0658629904116164,0.0190130076218902,0.933333333333333,0.416666666666667,limma_dupcor_2grp(mod_t),0.394406132509854,-0.394406132509854,0.228799726368224,0.228799726368224,-0.710806250739285,3.00976192109409e-05,0.00954082441589554,Fun-CIM
