"gene_id","r_rb","p_value","padj","trajectory"
"LOC105379035",0,1,1,"NS"
"LINC01333",0,1,1,"NS"
"LINC01331",0,1,1,"NS"
"ENC1",0.4413231087495,0.057236577593621,0.283132139505154,"NS"
"HEXB",0.493675892307187,0.0308151376884222,0.185832794241132,"NS"
"GFM2",-0.141358600283629,0.561716092392363,1,"NS"
"NSA2",-0.156658767372662,0.519669704729244,0.98535198927628,"NS"
"FAM169A",0.056360114033685,0.817795863380763,1,"NS"
"FAM169A-AS1",0,1,1,"NS"
"LOC105379039",0,1,1,"NS"
"LOC105379040",0,1,1,"NS"
"GCNT4",-0.223604631350945,0.354901132065225,0.763014401006015,"NS"
"ANKRD31",-0.105909400091595,0.664432198215786,1,"NS"
"HMGCR",0.23325937699108,0.333971138413535,0.763014401006015,"NS"
"CERT1",0.521904523061576,0.0212172285350091,0.142663444912978,"NS"
"POLK",0.553111439435388,0.0135361253906381,0.106295646121985,"NS"
"ANKDD1B",0.191911671342473,0.428801402344038,0.867818606946396,"NS"
"LOC107986424",0.255893805034174,0.287779610056695,0.74339308847199,"NS"
"POC5",0.173909955285191,0.474112106633291,0.927135245781848,"NS"
"LOC441087",0.392757694977038,0.0944915672325308,0.396160234726818,"NS"
"SV2C",0.0561035668022478,0.818612067726199,1,"NS"
"SV2C-AS1",0,1,1,"NS"
"LOC105379042",0,1,1,"NS"
"IQGAP2",0.0829455490278968,0.734331070713012,1,"NS"
"LOC101929109",0,1,1,"NS"
"F2RL2",0.249128423010934,0.301153427298055,0.74339308847199,"NS"
"NCRUPAR",-0.00329837198719325,0.989251319776392,1,"NS"
"F2R",0.377626245032881,0.109073647995138,0.433808362540888,"NS"
"F2RL1",0.423064111034668,0.0696371064418579,0.323192240430417,"NS"
"S100Z",0.27310868592779,0.255421949831725,0.725324436053793,"NS"
"CRHBP",-0.0888787825283395,0.716052650275718,1,"NS"
"AGGF1",0.375121559779387,0.111635069625241,0.440810292000515,"NS"
"ZBED3",0.599112082592553,0.00643043672024639,0.0643191121529053,"NS"
"SNORA47",-0.389600605614888,0.0974096666210347,0.403865888887443,"NS"
"ZBED3-AS1",-0.0179101667932418,0.941680359846629,1,"NS"
"PDE8B",0.172848031089313,0.476857395449959,0.929909819589207,"NS"
"WDR41",0.311904831657799,0.191267063389191,0.606147371778838,"NS"
"OTP",-0.310601264946994,0.193227849420588,0.609753765331588,"NS"
"TBCA",-0.0979327010000219,0.688446315397551,1,"NS"
"LOC101929154",0,1,1,"NS"
"AP3B1",0.601595437582866,0.00615794797997021,0.0625628718174326,"NS"
"SCAMP1-AS1",-0.289963516024246,0.226066578639756,0.670581625297935,"NS"
"SCAMP1",0.109711997959499,0.653092016722362,1,"NS"
"LHFPL2",0.558288951494504,0.0125122690413823,0.100577225695255,"NS"
"ARSB",0.751458901851508,0.000192477580152698,0.00781026816565877,"Fun-CIM"
"DMGDH",0.3987795551522,0.0891029756705548,0.380475714797728,"NS"
"BHMT2",0.233873994934212,0.33266249540994,0.763014401006015,"NS"
"BHMT",0.483883099926192,0.034837780799729,0.201729749661669,"NS"
"JMY",0.68247658683488,0.00121001781829651,0.0221981726768703,"Fun-CIM"
"LOC102724530",0,1,1,"NS"
"LOC101929201",-0.368795993023792,0.118295446429001,0.457552801118834,"NS"
"HOMER1",-0.0300456005695208,0.902308353396242,1,"NS"
"LOC107986426",0,1,1,"NS"
"LOC105379047",0,1,1,"NS"
"TENT2",0.588739948479547,0.00767712435919299,0.0725011458519811,"NS"
"CMYA5",0.212687597460455,0.379497456931383,0.799696927871331,"NS"
"LOC102724557",0,1,1,"NS"
"LOC105379048",0,1,1,"NS"
"LINC01455",0,1,1,"NS"
"MTX3",0.489494124662253,0.0324860247658218,0.192450406863045,"NS"
"THBS4",0.343362834198048,0.147936147383751,0.525024878877117,"NS"
"THBS4-AS1",-0.124218710836041,0.610512901120463,1,"NS"
"SERINC5",0.650822465301246,0.00241639319060117,0.0337359856088391,"Fun-CIM"
"LOC644936",0.202183920640731,0.404014352569353,0.83400201255113,"NS"
"SPZ1",0.339847480809023,0.152404666501502,0.535598328181583,"NS"
"CRSP8P",0.537406349039754,0.0170590124100514,0.123427896831221,"NS"
"ZFYVE16",0.35390713106723,0.135080712044458,0.495018545146398,"NS"
"FAM151B",0.604080206112024,0.0058948234543751,0.0609975946218535,"NS"
"ANKRD34B",0.367290615179748,0.119921345042041,0.461665447816928,"NS"
"LINC01337",0,1,1,"NS"
"DHFR",0.226147786032961,0.34933181865631,0.763014401006015,"NS"
"MTRNR2L2",0.0959361054734208,0.694503181270837,1,"NS"
"MSH3",0.509027166965958,0.025248439881104,0.161170372573625,"NS"
"LOC107986428",0.38250670377412,0.104204477322754,0.421627850281831,"NS"
"RASGRF2-AS1",0,1,1,"NS"
"RASGRF2",0.544310268202994,0.0154299690192273,0.115869386711141,"NS"
"LOC107986359",0,1,1,"NS"
"CKMT2",0.0711162011525251,0.771176339566639,1,"NS"
"CKMT2-AS1",0.119216169908175,0.625069805528256,1,"NS"
"ZCCHC9",0.368431084932562,0.118688117820316,0.458394177816801,"NS"
"ACOT12",-0.0706688279698655,0.77257958924391,1,"NS"
"SSBP2",0.0513126830683022,0.833886257340362,1,"NS"
"LOC107986384",0,1,1,"NS"
"LOC107986385",0,1,1,"NS"
"ATG10",0.411504388797332,0.0784615229604033,0.350495401418975,"NS"
"RPS23",-0.12608597486185,0.605114669873215,1,"NS"
"ATP6AP1L",0.357387534398522,0.131015381090494,0.486068983548368,"NS"
"LOC105379050",0,1,1,"NS"
"MIR3977",0,1,1,"NS"
"LINC01338",0,1,1,"NS"
"LOC107986430",0,1,1,"NS"
"LOC105379051",0.223605766713665,0.354919735425293,0.763014401006015,"NS"
"LOC105379052",0.223604164419069,0.354851819589235,0.763014401006015,"NS"
"TMEM167A",0.407919360520019,0.0813592074138997,0.358522968218912,"NS"
"SCARNA18",-0.417578710915219,0.0737270801055239,0.336290395940835,"NS"
"XRCC4",-0.401974583923181,0.0863370482782521,0.37271895517439,"NS"
"LOC105379053",0,1,1,"NS"
"VCAN",0.520266027588553,0.0216998218446262,0.144809332959065,"NS"
"LOC107986431",0.202056140846247,0.404317802554595,0.834416895888707,"NS"
"VCAN-AS1",0,1,1,"NS"
"HAPLN1",0.0698397646525543,0.775181850525181,1,"NS"
"LOC105379055",0,1,1,"NS"
"LOC107986386",0,1,1,"NS"
"EDIL3",0.192715815625106,0.426832517040382,0.865637864783984,"NS"
"EDIL3-DT",0.361350460985032,0.126380152532319,0.477724614233024,"NS"
"LOC105379059",0,1,1,"NS"
"LOC101929321",0,1,1,"NS"
"LOC105379061",0,1,1,"NS"
"LOC105379062",0.223606787319976,0.354917481669401,0.763014401006015,"NS"
"LOC105379063",0,1,1,"NS"
"NBPF22P",-0.360258988241208,0.127726892922537,0.479207768467689,"NS"
"LOC105379064",0,1,1,"NS"
"COX7C",-0.264621941037229,0.271073534596764,0.74339308847199,"NS"
"SNORD138",0,1,1,"NS"
"LINC02059",0,1,1,"NS"
"LOC645261",0.390204343235226,0.0968466328958008,0.402211145758621,"NS"
"LOC105379065",0,1,1,"NS"
"MIR4280",0,1,1,"NS"
"LOC101929380",0,1,1,"NS"
"LINC01949",0,1,1,"NS"
"RASA1",0.173681600305288,0.474701782804142,0.927826211844459,"NS"
"CCNH",0.150783672676755,0.535638627765406,1,"NS"
"LOC644285",-0.156190427416513,0.520934434259343,0.986939723703676,"NS"
"LOC105379066",0,1,1,"NS"
"MYRACL",0,1,1,"NS"
"LINC02144",0,1,1,"NS"
"LOC105379070",0,1,1,"NS"
"TMEM161B",0.176397674234467,0.467711917157673,0.919186847036078,"NS"
"LOC112267943",0.432062617519188,0.0632976783284721,0.303493350451574,"NS"
"TMEM161B-DT",0.176504030966886,0.467439266306927,0.918800288186233,"NS"
"MIR9-2",0,1,1,"NS"
"MEF2C-AS2",-0.209759604352023,0.386246483309662,0.809142446228874,"NS"
"MEF2C",-0.243160739157263,0.313257273678494,0.76027245965282,"NS"
"LOC107986361",0.159720187941207,0.51143815410114,0.974523409499204,"NS"
"MEF2C-AS1",0.248450802518777,0.302513338363472,0.74339308847199,"NS"
"LOC107986360",0.223606774834111,0.354917509241289,0.763014401006015,"NS"
"LOC105379074",0,1,1,"NS"
"LOC105379073",0,1,1,"NS"
"LOC107986387",0,1,1,"NS"
"LINC02161",0,1,1,"NS"
"LOC102724637",0,1,1,"NS"
"MIR3660",0,1,1,"NS"
"LINC01339",0,1,1,"NS"
"CETN3",-0.0852953706218121,0.727075013661107,1,"NS"
"LOC731157",0,1,1,"NS"
"MBLAC2",0.391344743552036,0.0957895785629274,0.399808958622365,"NS"
"POLR3G",0.357046927795223,0.131409376888698,0.48711176728103,"NS"
"LYSMD3",0.338097432344193,0.154663685546301,0.540876593590983,"NS"
"ADGRV1",-0.119511117010437,0.624207769300527,1,"NS"
"LOC105379077",0.394272575936369,0.0931142017935266,0.392404529690125,"NS"
"LOC107986432",-0.223600619244057,0.354617324050513,0.763014401006015,"NS"
"LOC107986433",0,1,1,"NS"
"LUCAT1",0,1,1,"NS"
"ARRDC3",0.104414678366363,0.668909155131195,1,"NS"
"ARRDC3-AS1",0.459916409755205,0.0464025448026352,0.245547581400007,"NS"
"LOC107986434",0.248451292631715,0.302512353419685,0.74339308847199,"NS"
"LOC105379078",0,1,1,"NS"
"LOC105379080",0,1,1,"NS"
"LOC105379082",0,1,1,"NS"
"LINC02058",0,1,1,"NS"
"LOC107986388",0,1,1,"NS"
"LOC105379083",0,1,1,"NS"
"NR2F1-AS1",0.4296304368942,0.0649666255196357,0.30874285816189,"NS"
"NR2F1",0.445967992712848,0.0543669100000997,0.272974871427793,"NS"
"ARB2A",0.64297354250026,0.00283499566714442,0.0374825850078375,"Fun-CIM"
"MIR2277",0,1,1,"NS"
"POU5F2",0.54041042589256,0.016334120922175,0.119884324786627,"NS"
"LOC105379087",0,1,1,"NS"
"KIAA0825",0.372999744493542,0.113838464296598,0.446416924419125,"NS"
"LOC105379086",0,1,1,"NS"
"SLF1",0.386260261283422,0.100567850016459,0.412193525441998,"NS"
"MCTP1",0.409160448006274,0.0803472787163066,0.356062062887852,"NS"
"LOC105379085",0.223606388947748,0.35491836137468,0.763014401006015,"NS"
"LOC105379089",0,1,1,"NS"
"FAM81B",0.0631694352680977,0.796200113459546,1,"NS"
"SKIC3",0.421713358186103,0.070628146002726,0.326479498872133,"NS"
"ARSK",0.429690332393329,0.064925133522852,0.308655684371655,"NS"
"GPR150",0.126390816225985,0.604235229700589,1,"NS"
"LOC112267933",0,1,1,"NS"
"RFESD",0.50818389740907,0.0255320486479814,0.162220860636204,"NS"
"SPATA9",0.521499814003723,0.0213356319217688,0.143182149336192,"NS"
"LOC105379090",0,1,1,"NS"
"RHOBTB3",0.135258885205933,0.578884279010305,1,"NS"
"GLRX",0.105417573670401,0.665904112850347,1,"NS"
"LOC102724720",-0.223606785111814,0.354917486545572,0.763014401006015,"NS"
"LINC01554",-0.11060557359668,0.650437610675434,1,"NS"
"LOC105379091",0.248451474073858,0.302511988789298,0.74339308847199,"NS"
"ELL2",0.430679416266491,0.0642428248078196,0.306216757905307,"NS"
"LOC101929710",0,1,1,"NS"
"LOC105379096",-0.248451691712191,0.30251155141855,0.74339308847199,"NS"
"MIR583",0,1,1,"NS"
"LOC105379675",0,1,1,"NS"
"LOC107986365",0,1,1,"NS"
"PCSK1",0.498368795502643,0.0290206619559996,0.178311819620898,"NS"
"LOC107986362",0,1,1,"NS"
"CAST",0.699873349459498,0.000798018001163128,0.0174590440806484,"Fun-CIM"
"LOC107986364",0.127611634143622,0.600718523671514,1,"NS"
"LOC107986363",0.246983937690529,0.305469876481771,0.748198071202378,"NS"
"LOC105379094",-0.38547396471271,0.101321926056958,0.41421302162718,"NS"
"ERAP1",0.635865648902682,0.00326427430139122,0.0407868061102221,"Fun-CIM"
"LOC102724748",0.114394390311058,0.639227827398311,1,"NS"
"ERAP2",0.208807779209707,0.38845469870487,0.812241508136112,"NS"
"LNPEP",0.274298045213329,0.253275143983776,0.721546643285175,"NS"
"LIX1-AS1",0,1,1,"NS"
"LIX1",0.273027756321094,0.255568445195437,0.725582990304286,"NS"
"RIOK2",-0.025464382072419,0.91715072787295,1,"NS"
"LINC01340",0,1,1,"NS"
"LINC01846",0,1,1,"NS"
"RGMB",0.732635822425874,0.00033542216700271,0.0105881216539728,"Fun-CIM"
"RGMB-AS1",-0.346410097462361,0.144136966044518,0.516585096762985,"NS"
"LOC107986435",0,1,1,"NS"
"LOC105379099",0,1,1,"NS"
"CHD1",-0.0137564727816364,0.955190848450182,1,"NS"
"CHD1-DT",0.283685622914584,0.236732372997332,0.690709584758584,"NS"
"LOC100289230",0.571436984485,0.0101896839366478,0.0873061548818979,"NS"
"LOC107986436",0.223606486218503,0.354918146576466,0.763014401006015,"NS"
"LOC100652833",0.114381132299325,0.639266924590734,1,"NS"
"LINC02113",-0.237179221433906,0.325676784735281,0.763014401006015,"NS"
"LOC105379101",0,1,1,"NS"
"GUSBP19",0.326943953034913,0.169605164263074,0.575433110115777,"NS"
"LOC105379100",-0.248451510991158,0.302511914599459,0.74339308847199,"NS"
"FAM174A",0.190751108340524,0.431651399097713,0.871048068378884,"NS"
"ST8SIA4",0.402662544965042,0.0857498243731963,0.371007879166632,"NS"
"MIR548P",0,1,1,"NS"
"LOC107986437",-0.223605002521031,0.354921422960557,0.763014401006015,"NS"
"LOC107986438",0,1,1,"NS"
"LOC105379102",-0.223606645170222,0.354917795571384,0.763014401006015,"NS"
"SLCO4C1",0.334750825789864,0.15904775676138,0.550962312070504,"NS"
"SLCO6A1",0.223605171180543,0.354921050516276,0.763014401006015,"NS"
"LINC00492",0,1,1,"NS"
"LINC00491",0.271434792433629,0.258462768635238,0.730831135491184,"NS"
