"gene_id","r_rb","p_value","padj","trajectory"
"HAUS8",-0.557045381496605,0.0024374450658579,0.111467215491481,"NS"
"ADGRE3",-0.428658646872158,0.025063749034505,0.354985077838068,"NS"
"MRPS25",0.0122320214999474,0.951509208302237,1,"NS"
"SH3BP5",-0.357171268704106,0.0662482622644096,0.510206450035298,"NS"
"HACL1",0.159722994137115,0.424181411439127,1,"NS"
"TBC1D5",0.593163908250546,0.00105731673232155,0.0712038838283387,"NS"
"CAPN7",0.238123458778028,0.229687009127543,0.821052262327576,"NS"
"RFTN1",0.805965692849304,3.48372241045417e-07,0.000833264173642328,"Dys-CIM"
"C3orf20",-0.0944293554897657,0.638001922859956,1,"NS"
"RBSN",0.433842749550378,0.0231752355804451,0.341581563501183,"NS"
"GALNT15",-0.369141440486661,0.0570458895838944,0.477901018300222,"NS"
"SLC6A6",0.600592963624344,0.000879537927914826,0.0650195902089772,"NS"
"KCNC3",0.0549895587162128,0.784408370304753,1,"NS"
"NAPSA",-0.0067628315223772,0.973179671901985,1,"NS"
"NAPSB",-0.107327364937762,0.592573245681359,1,"NS"
"NR1H2",-0.0767168691072194,0.702498855945033,1,"NS"
"LRRC4B",-0.392614274729762,0.0419179578451258,0.413435890667121,"NS"
"PDLIM4",-0.230486325647174,0.245419102427613,0.843693208406607,"NS"
"KIF3A",0.055591512395643,0.782104039308924,1,"NS"
"MGAT1",0.405297974905832,0.0351850981331059,0.407450806351243,"NS"
"GFPT2",0.229017131552061,0.248524978660056,0.847924367531835,"NS"
"TUBG1",-0.569514921738087,0.00184650744769449,0.0980151485281918,"NS"
"PSME3",0.112579004402976,0.574484941520798,1,"NS"
"RPL27",0.159681090537486,0.424304568090233,1,"NS"
"PSMC3IP",-0.658504841940265,0.000176741313471572,0.0277899309859324,"Fun-CIM"
"AOC3",-0.0360120980730537,0.857870035491252,1,"NS"
"ACLY",0.16645056014792,0.404664873318361,1,"NS"
"VPS25",0.0802216402061212,0.689558699765875,1,"NS"
"RAMP2",0.078777470167484,0.694880720174881,1,"NS"
"AOC2",-0.515653807032404,0.00569834015657132,0.174740242905395,"NS"
"G6PC1",-0.304137691084415,0.12139913888062,0.628718845247473,"NS"
"NDUFA2",-0.605268022860209,0.000781513173734168,0.0609628273953821,"NS"
"ANKHD1",0.206234778483083,0.299988179124702,0.909703290739982,"NS"
"DIAPH1",0.209883169169911,0.291328815215651,0.901086279429876,"NS"
"NDFIP1",0.55813724561249,0.00237991804977826,0.109995903706957,"NS"
"UBE2D2",0.502845307868946,0.00725980258698435,0.197725866499897,"NS"
"TTTY6",0,1,1,"NS"
"TTTY6B",0,1,1,"NS"
"EXOC4",0.579544247618446,0.00146515357991101,0.085034928212894,"NS"
"ACAP3",-0.00804359980151719,0.968102685554042,1,"NS"
"C1orf159",-0.203935938702943,0.305526281249736,0.916300352036306,"NS"
"ANO1",-0.241956051638526,0.222051855639467,0.811097092384397,"NS"
"PPFIA1",-0.061797706075057,0.75845408358133,1,"NS"
"TMEM204",0.100126476690717,0.617765284596142,1,"NS"
"KREMEN2",0.033294049442596,0.868501937415067,1,"NS"
"THOC6",-0.509045226525644,0.00646413383950701,0.185763598010299,"NS"
"TRAF7",0.175165347966952,0.38014984740706,0.984836147943222,"NS"
"BARX1",-0.116924108606076,0.559707386354002,1,"NS"
"NINJ1",-0.399068319677053,0.0383745497111359,0.407450806351243,"NS"
"CA6",-0.217940379313742,0.272770298203645,0.881450306141411,"NS"
"NPHP4",0.104638615733577,0.601927974810229,1,"NS"
"MAP1B",0.289959144103507,0.14065606148583,0.669672836177765,"NS"
"RHOXF2",-0.0467695827045699,0.816045164515566,1,"NS"
"IL13RA1",0.399090741795617,0.0383626702218061,0.407450806351243,"NS"
"WDR44",0.284995170606811,0.147892542810312,0.684941277304675,"NS"
"CKMT2",-0.187112835797093,0.347973567420016,0.963298628819197,"NS"
"ZCCHC9",-0.0115497298113462,0.954211110305412,1,"NS"
"KRT34",-0.392992594623939,0.041703330528501,0.412704022727638,"NS"
"KRT33B",-0.326770438188678,0.094778846470832,0.59274693831858,"NS"
"TNS4",-0.0971933017147217,0.628151350298532,1,"NS"
"TOP2A",-0.326339775170416,0.0952404256986764,0.59274693831858,"NS"
"STARD3",0.33316440976753,0.0881221938343103,0.579590117800998,"NS"
"RARA",-0.482518303016961,0.0104700620656081,0.23889274012036,"NS"
"PPP1R1B",-0.31658252991957,0.106157035200116,0.59274693831858,"NS"
"KHDRBS3",0.36086513149054,0.0632939270163157,0.500248215548424,"NS"
"CHD1L",0.548679122924869,0.00291921805147463,0.122207224507529,"NS"
"PEX11B",0.328447797034453,0.092997102170965,0.59274693831858,"NS"
