"gene_id","r_rb","p_value","padj","trajectory"
"CRYGB",0.126104395350301,0.451971779879361,0.657076007738606,"NS"
"LDOC1",-0.312979535975643,0.0571166267647606,0.165528678881545,"NS"
"ARL6IP4",-0.361074749053621,0.0267894240569332,0.0977377379291862,"NS"
"EXT1",0.0895057723125878,0.595166512796856,0.766176387046993,"NS"
"SHMT2",-0.478272275166028,0.00252822168408314,0.0183112146348726,"NS"
"MOB2",0.0365689838905026,0.828416502938333,0.918407982820488,"NS"
"HHIPL1",0.192417913850466,0.249809032334829,0.454894120164886,"NS"
"ATP6AP2",0.149391377374154,0.373406859947507,0.585485145254641,"NS"
"ZAR1",0.00879824953318832,0.95831607763787,0.991287305522876,"NS"
"CYB5D1",-0.0122794841934043,0.942001076886183,0.981849144542072,"NS"
"FAM153B",0.22204034140495,0.182786375499978,0.368200673113395,"NS"
"BACE2",-0.135803133744636,0.418889757138626,0.626823574906265,"NS"
"UBE2E2",0.324806101493602,0.0478848975270622,0.146861828368009,"NS"
"SYNM",0.404820506483855,0.0121833052214998,0.0556455106360211,"NS"
"KCNA4",-0.0900793720632288,0.59181509753868,0.763488029973067,"NS"
"GABRG3",-0.306508426390609,0.0627372858640942,0.176616103757921,"NS"
"PRR34",0.470095319915257,0.00300536289300862,0.0208258949769048,"NS"
"NLRP10",-0.148074907076255,0.376411554962246,0.588340219086778,"NS"
"FIGN",0.153999668167758,0.358673798461661,0.571164993166347,"NS"
"IZUMO1",-0.0121843633776628,0.942449605628533,0.981976248188453,"NS"
"TMIGD1",0.020250951770652,0.904235417273907,0.960621162661199,"NS"
"B4GALNT4",-0.297063320942996,0.0717166779674015,0.194293512495626,"NS"
"AP1S2",0.268154704021489,0.105546848868482,0.253140135433806,"NS"
"C8ORF33",-0.45160569754695,0.00465554737548832,0.0282670866258792,"NS"
"DCAF4L1",0.251778466005282,0.128436155241285,0.288235419569813,"NS"
"SPACA6",0.280512557448162,0.0898478875481651,0.226774267354925,"NS"
"MBD3L3",0.131877123392194,0.43258840464368,0.639825017292448,"NS"
"ZSCAN22",0.296621951312867,0.0721597025626773,0.194969433897318,"NS"
"KCNJ14",0.334616288719939,0.0411731992625813,0.132239290056045,"NS"
"FBXL6",-0.285030209932248,0.0845813491838472,0.217662452661899,"NS"
"C1S",0.575798384200929,0.000169218659378351,0.00313089204947197,"NS"
"GLTPD2",-0.0556271904788186,0.741400100525511,0.865219376867888,"NS"
"PRAMEF8",0.176389426701797,0.29090050414711,0.501149702117333,"NS"
"LIPF",0.129669505911755,0.440398907057498,0.646390958631083,"NS"
"OR5P3",0.0600300197885083,0.721144381450507,0.853100408485269,"NS"
"DAOA",0.0893257428209482,0.594931452310169,0.766029697726689,"NS"
"ZNF804B",-0.112391372585436,0.503542381657188,0.700022514544584,"NS"
"CD300LD-AS1",0.0351335813261882,0.835056921523302,0.922001160260267,"NS"
"KBTBD3",0.0705203418856127,0.675702975819224,0.820571273545233,"NS"
"YBEY",0.143136027480316,0.393969398017646,0.604092510849307,"NS"
"CLN8",0.437625111039689,0.00629319794761119,0.0352130455069198,"NS"
"PLCXD1",-0.236358888491525,0.15543982104386,0.329441480064506,"NS"
"NXPH4",-0.319391512990834,0.0519501682613376,0.155519705637025,"NS"
"CACNB4",0.711538904976162,6.3737740958361e-07,0.000154992603185642,"Fun-CIM"
"IFNL1",-0.25438645721724,0.125398839141448,0.284101289449183,"NS"
"DNM1P46",0.322627360720978,0.0494887881717602,0.150169937257854,"NS"
"TRAPPC6B",0.193540841531452,0.247003173383423,0.451650746421754,"NS"
"PGBD4",0.21665251010669,0.193910945092455,0.383435830860453,"NS"
"CDY2A",0.0659111575519169,0.695079531299296,0.834379401053558,"NS"
"NPLOC4",-0.132850937290409,0.429167629261053,0.636653100429459,"NS"
"OTOL1",-0.24179030621227,0.145886809094276,0.315065468885106,"NS"
"KCNK4",0.215835597897806,0.195232544968762,0.384969682296499,"NS"
"TEX19",-0.263995138272412,0.111274297505214,0.261976300692222,"NS"
"TSHZ2",0.703543398690488,9.63803612264977e-07,0.000185365720191617,"Fun-CIM"
"CAPN12",0.0307057189119155,0.855610062399497,0.934766126202861,"NS"
"EXOC7",-0.0853830892194778,0.612297262607693,0.777824394677461,"NS"
"KPNA2",-0.626960081170137,2.81503635369569e-05,0.00110491482558045,"Dys-CIM"
"WASH6P",-0.0118270128246699,0.944134796550596,0.982784676039383,"NS"
"NCF1B",0.599441919691241,7.67325199016982e-05,0.00198940342039256,"NS"
"XKRX",-0.00518810343904131,0.97547835669127,0.999732996318572,"NS"
"BGN",0.417197947203285,0.00956615386369906,0.0472302336383704,"NS"
"CEP97",0.273184171897506,0.0989238370653257,0.242394335991896,"NS"
"LHFPL1",0.192355765667401,0.249964941807495,0.455086623015831,"NS"
"FES",0.624737347707804,3.06340137317469e-05,0.00116773548560151,"Fun-CIM"
"GLRX5",-0.514700298013566,0.00101098478086266,0.00991121131785467,"NS"
"VCF2",-0.365214139352021,0.0249704537053706,0.0929406964445498,"NS"
"TBPL2",0.224602900366661,0.176505449537717,0.359744632988434,"NS"
