gene_id,H_value,p_value.x,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster2_mean,cluster2_sd,cluster2_sem,cluster1_penetrance,cluster2_penetrance,limma_test,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,r_rb,p_value.y,padj,trajectory
RAP1GDS1,10,7.26177350961416e-05,0.0166140958452425,-0.786177811200603,0.539219205647575,0.13922580022855,0.0764211530159298,0.211113700399717,0.0609432758776972,0,0.583333333333333,limma_dupcor_2grp(mod_t),-0.862598964216533,0.862598964216533,0.579073696722328,0.579073696722328,0.686099441745016,7.26177350961416e-05,0.0166140958452425,Dys-CIM
PPA2,15,0.00021201172330774,0.0301684346690995,-1.02998040738235,0.583655864827048,0.150699296292763,-0.16039357258719,0.296014995738769,0.0854521687369721,0,0.5,limma_dupcor_2grp(mod_t),-0.86958683479516,0.86958683479516,0.654430321920701,0.654430321920701,0.652496741542002,0.00021201172330774,0.0301684346690994,Dys-CIM
PPP3CA,31,0.000229675087089856,0.0315111115257496,-1.57166477713217,1.17386990043655,0.303091905000327,-0.0377575814586694,0.169155054596234,0.0488308581529607,0.2,0.333333333333333,limma_dupcor_2grp(mod_t),-1.5339071956735,1.5339071956735,1.18599493070012,1.18599493070012,0.649812712486599,0.000229675087089856,0.0315111115257496,Dys-CIM
SLC39A8,17,0.00027679887773093,0.0354057624911734,-0.51176028689928,0.382414925406911,0.098739109162808,0.0874829726418432,0.147167923603852,0.042483720154381,0.133333333333333,0.666666666666667,limma_dupcor_2grp(mod_t),-0.599243259541123,0.599243259541123,0.409755503821294,0.409755503821294,0.643451773135927,0.00027679887773093,0.0354057624911734,Dys-CIM
SINHCAF,10,5.93653615685584e-05,0.0144590260815793,-0.512555842191937,0.409075884698983,0.105622939251615,0.270871597104918,0.299068568492621,0.0863336592626853,0.133333333333333,0.75,limma_dupcor_2grp(mod_t),-0.783427439296855,0.783427439296855,0.506739665017927,0.506739665017927,0.691968502208414,5.93653615685584e-05,0.0144590260815793,Dys-CIM
PHLDA1,4,0.000204875428564687,0.0296185538699926,-1.0343316592519,0.816700500321734,0.210871162439023,0.314292492685288,0.482838910151761,0.139383587375672,0,0.666666666666667,limma_dupcor_2grp(mod_t),-1.34862415193719,1.34862415193719,0.948753456058164,0.948753456058164,0.653637303198127,0.000204875428564687,0.0296185538699927,Dys-CIM
WDFY2,10,3.39096253418607e-05,0.0100165549355566,-0.610834533848533,0.303165514055258,0.0782769991386951,0.0540923678214199,0.215950110115796,0.0623394271034421,0.0666666666666667,0.5,limma_dupcor_2grp(mod_t),-0.664926901669953,0.664926901669953,0.37221469472794,0.37221469472794,0.707600772623805,3.39096253418607e-05,0.0100165549355566,Dys-CIM
UBE2Q2,6,6.91500884622599e-05,0.016006319010273,-0.607102515103323,0.290744954419811,0.0750700244307841,-0.0117043671755124,0.171406065926598,0.0494806691517281,0,0.5,limma_dupcor_2grp(mod_t),-0.595398147927811,0.595398147927811,0.337509507950534,0.337509507950534,0.68753695895864,6.91500884622599e-05,0.016006319010273,Dys-CIM
MEAK7,8,0.000134123482786349,0.0234736912268117,-0.421286139326654,0.192105643496864,0.0496014638650543,0.0709876851029659,0.2145652951145,0.0619396654465539,0,0.583333333333333,limma_dupcor_2grp(mod_t),-0.49227382442962,0.49227382442962,0.28799799327585,0.28799799327585,0.667372441760409,0.000134123482786349,0.0234736912268117,Dys-CIM
CLTC,0,1.0062715245378e-05,0.0056711173744049,-0.667237813562381,0.429138835013256,0.110803170747813,0.0926606138533523,0.115357547442553,0.0333008555345066,0,0.75,limma_dupcor_2grp(mod_t),-0.759898427415733,0.759898427415733,0.444373157907288,0.444373157907288,0.738397010566494,1.0062715245378e-05,0.00567111737440493,Dys-CIM
GALNT1,5,8.02792656762105e-05,0.0177994466245917,-0.75121398560208,0.520991308084168,0.134519377315253,0.0593273057579482,0.172008782245878,0.0496546583663187,0,0.666666666666667,limma_dupcor_2grp(mod_t),-0.810541291360028,0.810541291360028,0.548651951850135,0.548651951850135,0.683127525072722,8.02792656762105e-05,0.0177994466245917,Dys-CIM
DYM,9,0.000238534373017758,0.0321936745031238,-0.898923087904962,0.632350730490789,0.163272256543528,0.0359166827498482,0.174177106549331,0.0502805996764632,0.0666666666666667,0.5,limma_dupcor_2grp(mod_t),-0.93483977065481,0.93483977065481,0.655900229301783,0.655900229301783,0.648534270454718,0.000238534373017758,0.0321936745031237,Dys-CIM
CARM1,0,1.83208061625063e-05,0.00741588652317409,-0.542636460378408,0.203903842628328,0.0526477457818141,-0.107008290017617,0.143980175958311,0.0415634966737502,0,0.333333333333333,limma_dupcor_2grp(mod_t),-0.435628170360791,0.435628170360791,0.249613837972946,0.249613837972946,0.723710506321906,1.83208061625063e-05,0.00741588652317408,Dys-CIM
NME7,21,0.000432133122508449,0.0451178989759747,-0.792141145132942,0.553131579573211,0.142817959729897,0.00976210082432687,0.337529153877682,0.0974362739253132,0.2,0.583333333333333,limma_dupcor_2grp(mod_t),-0.801903245957269,0.801903245957269,0.647981846997691,0.647981846997691,0.627670353197649,0.000432133122508449,0.0451178989759747,Dys-CIM
COP1,20,0.000153161360013718,0.0255588424283357,-0.827675377295856,0.604780319888356,0.156153607136106,0.0293868904393823,0.147461475537686,0.0425684612983913,0.133333333333333,0.583333333333333,limma_dupcor_2grp(mod_t),-0.857062267735238,0.857062267735238,0.622498290834613,0.622498290834613,0.663142738019169,0.000153161360013718,0.0255588424283357,Dys-CIM
XPR1,12,3.48116885856395e-05,0.01016129293535,-0.602902566997452,0.553216676330127,0.142839931618053,0.288081822311598,0.169152260484925,0.0488300515625024,0.2,1,limma_dupcor_2grp(mod_t),-0.89098438930905,0.89098438930905,0.578499073635311,0.578499073635311,0.706889402478856,3.48116885856395e-05,0.01016129293535,Dys-CIM
CEP170,21,0.000177098322121407,0.0277907052916241,-1.004121592476,0.592956603129428,0.153100736596266,-0.0770335088361401,0.234353538143455,0.0676520391663326,0,0.333333333333333,limma_dupcor_2grp(mod_t),-0.92708808363986,0.92708808363986,0.637588514666902,0.637588514666902,0.658438921489336,0.000177098322121407,0.027790705291624,Dys-CIM
