scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"SHOX2",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",44.2167598821196,6.695362881198e-08,3.22761375988031e-06,"YES",5.56440302368977,1.31525681694717e-08,1.08089057842259e-06,"YES",0.552,43,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"PIK3CG",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",46.4849919874683,2.37014688012475e-08,1.84690014211263e-06,"YES",5.5491665138319,1.43517350400019e-08,1.14667705240904e-06,"YES",0.513,44,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TRANK1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",43.2839772333521,1.02482384310383e-07,4.09407636210321e-06,"YES",5.52515272384848,1.64599560941721e-08,1.29120873760556e-06,"YES",0.563,45,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"CASS4",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",43.596263586875,8.88781371547203e-08,3.7229584733402e-06,"YES",5.52275898650036,1.66858682186206e-08,1.29713835007637e-06,"YES",0.543,46,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"COL6A6",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",46.0821475078774,2.85113182295698e-08,2.00019646343868e-06,"YES",5.51709465712157,1.72324911081049e-08,1.32767112296283e-06,"YES",0.489,47,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"SYT11",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",52.0212769942104,1.84653608255181e-09,4.48524470840444e-07,"YES",5.51163638370409,1.77756396168089e-08,1.33379125437777e-06,"YES",0.617,48,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TMEM175",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",50.5849899052269,3.58814834904127e-09,6.62559841975379e-07,"YES",5.50964917634775,1.79774786523403e-08,1.33730744216418e-06,"YES",0.623,49,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"CCDC159",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",45.906078464491,3.09078829159757e-08,2.08363583323043e-06,"YES",5.50643613811088,1.8308535447586e-08,1.35029361006171e-06,"YES",0.599,50,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TYK2",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",45.4108926355152,3.87782657658178e-08,2.36086222565243e-06,"YES",5.50207330724788,1.87675406939091e-08,1.37241617498086e-06,"YES",0.589,51,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"ITIH4",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",43.257983457113,1.0370410343457e-07,4.1237912835802e-06,"YES",5.49931439170522,1.9063540219963e-08,1.38234696267278e-06,"YES",0.531,52,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"SIRPA",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",45.3115716713221,4.05823680270083e-08,2.43184203961843e-06,"YES",5.46654391838874,2.29447383150648e-08,1.51876971319672e-06,"YES",0.589,53,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"BLNK",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",42.9114024963387,1.21448174495607e-07,4.56466076043976e-06,"YES",5.45907235650138,2.39314344079587e-08,1.56442687504755e-06,"YES",0.568,54,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"PHACTR4",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",53.5332771006548,9.16170131477954e-10,3.75978561916524e-07,"YES",5.45091922329816,2.5055064315992e-08,1.57810328454522e-06,"YES",0.626,55,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TMEM86B",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",46.4286205950075,2.43224552528893e-08,1.84690014211263e-06,"YES",5.45445631958429,2.45614539627269e-08,1.57810328454522e-06,"YES",0.568,56,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"DOK3",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",42.4557290036729,1.49451122607969e-07,5.15565827323756e-06,"YES",5.45098576892919,2.5045689580419e-08,1.57810328454522e-06,"YES",0.559,57,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"DNM1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",43.6903314769391,8.51441935896624e-08,3.60711744282355e-06,"YES",5.44896895916835,2.53313267794012e-08,1.5839421650685e-06,"YES",0.584,58,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TTC7A",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",46.3168415580457,2.56021373741804e-08,1.8564776756454e-06,"YES",5.44345477681229,2.61285025087875e-08,1.6117162798976e-06,"YES",0.551,59,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"MOB3C",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",41.945822244363,1.88462183640167e-07,5.9569237459011e-06,"YES",5.42657377117274,2.87230440950856e-08,1.7211885242812e-06,"YES",0.544,60,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"GAL3ST4",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",42.9574000980806,1.18929644808375e-07,4.52089826013863e-06,"YES",5.39488965190393,3.42828388124545e-08,1.94138283783663e-06,"YES",0.574,61,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"SLA",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",42.9945608410678,1.16932978368428e-07,4.48450964596073e-06,"YES",5.38916058373136,3.5393767007262e-08,1.98320010068613e-06,"YES",0.491,62,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"FYB1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",42.4088121512182,1.52676340578683e-07,5.18678796398999e-06,"YES",5.37807149507831,3.76439604511596e-08,2.08224188931446e-06,"YES",0.554,63,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
