gene,endpoint,firth_hr,firth_conf_low,firth_conf_high,firth_p_value,firth_status,firth_fdr,signature_direction,signature_r_rb,signature_correlation_p_value,signature_correlation_padj
ACY3,RFS,0.4835826300184639,0.17045144902071127,1.2380607148771816,0.14037697671242677,converged,0.347075630235566,Fun-CIM,0.331,0.00398755493979274,0.0119529920884768
ADA2,RFS,0.7305986214396842,0.3191202232770461,1.6666678940398545,0.448485682988072,converged,0.6812382528259843,Fun-CIM,0.536,9.26737317096437e-8,7.75532807464913e-6
ADAD2,RFS,0.12816301588465268,0.024120455459500388,0.506422024501752,0.00396297407821955,converged,0.04192363295592625,Fun-CIM,0.371,9.3177631962308e-4,0.00389648238600741
ADAMDEC1,RFS,0.9300155416027819,0.45805040253602536,2.199814890089433,0.8545473465456742,converged,0.9347843414692169,Fun-CIM,0.476,3.71900589620303e-5,3.5572983388699e-4
ADAMTSL3,RFS,2.743608675987343,1.1913439979201461,6.784765940208297,0.018597894092313494,converged,0.09597031759831458,Fun-CIM,0.39,0.00127308811783186,0.00490141894755995
ADAP2,RFS,1.1861191787485927,0.5152514627158046,2.883567523351185,0.6943811118486851,converged,0.8478497868332202,Fun-CIM,0.525,8.81455764561736e-6,1.4213642703396e-4
ADCK2,RFS,8.505598157565762,1.559337185067087,116.45061602991227,0.006500090810506287,converged,0.05220657629575364,Dys-CIM,-0.348,0.00267509182949897,0.0208499804358008
ADGRG5,RFS,0.5877500345884559,0.24296162088696258,1.3484601778696372,0.20886774013708398,converged,0.4326051143490232,Fun-CIM,0.558,1.21933180388864e-6,3.59025475589434e-5
ADGRG7,RFS,2.0828877696980186,1.1411753825710191,3.8916870992009227,0.021794773622676122,converged,0.10672804208223903,Fun-CIM,0.465,2.3372448646493e-4,0.00138118357600161
ADGRL4,RFS,0.5671105192886566,0.2434143187188228,1.3444153276523692,0.1999954464971967,converged,0.4249544566174295,Fun-CIM,0.589,5.24562655794509e-7,2.19488058608755e-5
ADH1C,RFS,0.6124168136238868,0.29082306456461765,1.3151837939516333,0.20204209281319374,converged,0.4265951086618415,Fun-CIM,0.449,7.1131386034377e-4,0.00325464471351541
ADH4,RFS,0.5395532187795211,0.29148168742968544,1.0926904562495354,0.08278229358930944,converged,0.24668124105788186,Fun-CIM,0.368,0.00206872177935885,0.00720540554037366
ADH6,RFS,0.8341647921354539,0.35383246879024743,1.8753534642357026,0.6689529203000064,converged,0.8356320904904943,Fun-CIM,0.363,0.00115820813808374,0.00458097248645063
ADHFE1,RFS,0.5494181399837232,0.2009354526035573,1.273543299661864,0.16736775015078864,converged,0.38251795983536724,Fun-CIM,0.423,1.530304718049e-4,9.9516748535704e-4
ADK,RFS,3.2223394515332044,1.3898605460382094,8.535488253689309,0.006449134180255722,converged,0.05220657629575364,Dys-CIM,-0.567,1.24634322224888e-5,5.2844952623352e-4
ADPGK-AS1,RFS,0.737526672470983,0.4333474823517042,1.6542255311898535,0.3825649380451055,converged,0.6131803822995685,Fun-CIM,0.441,2.2974111655657e-4,0.00136301632583937
AGAP5,RFS,0.21990666945999354,0.06523823600416793,0.5628889452364998,0.001512192767314846,converged,0.02767326920609972,Fun-CIM,0.48,1.2054147243743e-5,1.6594020880996e-4
AGTR2,RFS,0.7320001425653853,0.40029260194437566,1.567696891351232,0.38157507474147445,converged,0.6122564308690397,Fun-CIM,0.347,0.00517818349556131,0.0146630663543054
AIF1,RFS,1.2622625048765639,0.5328334357895917,3.0356854448514308,0.5919416993980411,converged,0.7883683964105206,Fun-CIM,0.462,3.03651178325178e-5,3.085018361259e-4
AIM2,RFS,0.7885315450593589,0.31579913313623037,1.8153813441697833,0.5800211699999815,converged,0.7784569528942044,Fun-CIM,0.514,1.53144466489502e-5,1.9023414196742e-4
AKAP17A,RFS,1.2601339609094337,0.4969257287607893,2.2821575212556557,0.5572690766265982,converged,0.7613611646531291,Fun-CIM,0.53,1.72983985872272e-5,2.0680040416309e-4
AKAP5,RFS,0.6518198781008924,0.2690457298864015,1.498948807980788,0.33467555518837433,converged,0.5697178129126235,Fun-CIM,0.47,1.8391067655937e-4,0.00116038879257702
AKAP9,RFS,0.6919182651537855,0.33994826093446195,1.5195009928464664,0.34218959646683234,converged,0.579771006819349,Fun-CIM,0.374,0.00228099889304582,0.00770837032931532
AKNA,RFS,1.1821300390797325,0.5235520794568619,2.4847043473697927,0.669354930387331,converged,0.8356320904904943,Fun-CIM,0.477,4.18826881770396e-6,8.33007679344822e-5
AKNAD1,RFS,0.6364987107773792,0.22932816860791158,1.4918148493866612,0.33013429749600776,converged,0.564583019158877,Fun-CIM,0.401,0.00227338580338365,0.0077072141308742
ALAS2,RFS,0.7010835825581956,0.31714778263775156,1.6982066697875633,0.42810720176577677,converged,0.6618233463623334,Fun-CIM,0.381,0.00223702520415698,0.00760827823445905
ALDH1A1,RFS,0.7533248066967375,0.38182617061028823,1.7698341451562236,0.47833960189871727,converged,0.7011139607521772,Fun-CIM,0.566,9.170621922406e-6,1.4436919660025e-4
ALDH1A2,RFS,1.0909742055812768,0.48055564394093686,2.601142085600208,0.8349170224889412,converged,0.9255330166961989,Fun-CIM,0.411,2.9261842122765e-4,0.00162960229369537
ALDOB,RFS,1.5439033159408575,0.7560065893829945,2.7037139025454984,0.20220780977759134,converged,0.4265951086618415,Fun-CIM,0.375,0.00358225826940452,0.0110383539696767
ALK,RFS,1.0778477375808588,0.5819402365474914,5.699202067744637,0.8690839557613567,converged,0.9418976702466518,Fun-CIM,0.348,0.00353902775440752,0.0109369370835918
ALKAL2,RFS,0.7100331050470142,0.4119532196691107,1.5033258455041563,0.31834247790816994,converged,0.5559731247429242,Fun-CIM,0.468,1.29960746807294e-5,1.7511659951152e-4
ALPL,RFS,1.407952925857158,0.6153161586373512,3.6629654298085415,0.4432085840577916,converged,0.6750892186745568,Fun-CIM,0.441,3.53648697602155e-5,3.4286672511428e-4
AMPD1,RFS,0.16496953960050834,0.020543729775433506,0.6397060042331381,0.005121704995577625,converged,0.04831366304745518,Fun-CIM,0.594,1.20511382499777e-7,9.12443324641172e-6
AMY2B,RFS,0.34725284440877174,0.11154011189871878,0.9235391770050029,0.03372794565244008,converged,0.1383686634661046,Fun-CIM,0.493,9.91092923751506e-6,1.5107874616973e-4
AMZ2,RFS,2.0343995083762083,0.8252968987100636,6.192778094905073,0.12916358682940887,converged,0.3258795095304166,Dys-CIM,-0.494,9.06371464609907e-6,4.1771902282021e-4
ANGPTL1,RFS,0.7906844496031559,0.38060025869927105,1.7083546294890326,0.5408843138274169,converged,0.7463770251184373,Fun-CIM,0.491,1.99077895684206e-5,2.277221972215e-4
ANKDD1B,RFS,0.19036074987987292,0.04632544155430014,0.5973535443494795,0.0032196135413647964,converged,0.03935409289921733,Fun-CIM,0.512,7.05439908342175e-5,5.7177901954047e-4
ANKHD1-EIF4EBP3,RFS,1.4564142864849086,0.6573996935202234,2.8182020163547694,0.32852960036418466,converged,0.563139280253886,Fun-CIM,0.344,0.00438744063312038,0.0128590425929242
ANKRD12,RFS,0.3440085141634641,0.10342975945669654,1.0483531475986174,0.06136066446203203,converged,0.2001655155688754,Fun-CIM,0.347,0.00344466092992096,0.0107182208974057
ANKRD20A5P,RFS,1.040029913772775,0.5282334798842806,2.6895048431309743,0.92156222607283,converged,0.9652288944935369,Fun-CIM,0.344,0.00484486153728208,0.0139426784511828
ANKRD39,RFS,2.4930118582064265,0.9174043662388247,8.10452178188769,0.07514985518229378,converged,0.2309065052385417,Dys-CIM,-0.535,1.70730119579892e-6,1.4012178055117e-4
ANKRD53,RFS,0.5951381217799205,0.2592556093360859,1.2822161890529624,0.18250460985906503,converged,0.4028156888245534,Fun-CIM,0.303,0.00984946982540242,0.0259927917384064
ANKRD55,RFS,0.8536817271445197,0.5263769899076616,2.224742644637656,0.6363914959288082,converged,0.8117965594061713,Fun-CIM,0.431,3.0372554702952e-4,0.00167101598538734
ANO10,RFS,2.7964125697222464,1.1587364673301188,7.131576961134583,0.022669459436572947,converged,0.1093598352624252,Dys-CIM,-0.425,0.00132523386049765,0.0124681765573447
AP1S1,RFS,3.0787683514209028,1.0969051441527307,13.130974378472718,0.03067258898078007,converged,0.13128931872987076,Dys-CIM,-0.435,1.5782449423834e-4,0.00277282813081727
AP3B2,RFS,0.816296906230212,0.32696381285836873,1.8762803620104398,0.6391505061311624,converged,0.8139139291317726,Fun-CIM,0.511,2.50163404101191e-5,2.6695289430932e-4
APEH,RFS,3.929620824715228,1.544294843394444,12.490307572435508,0.003321581102229687,converged,0.03935409289921733,Dys-CIM,-0.589,1.19395772313631e-6,1.1167016351686e-4
APIP,RFS,1.0175401358624572,0.38198791568187346,2.4184510614754076,0.9701249876334548,converged,0.9832165906286741,Dys-CIM,-0.334,0.00345096736476969,0.025112302562855002
APOB,RFS,0.782440369905622,0.2552242342613711,1.6761734673823603,0.5665821863733189,converged,0.7684141190649133,Fun-CIM,0.384,0.0022835721369906,0.00770887409302559
APOBEC3F,RFS,0.8985863515065307,0.4120243967232264,1.9490055687457415,0.7830038818860499,converged,0.8965379642955074,Fun-CIM,0.426,6.7990503533395e-4,0.00314258432029356
APOBEC3G,RFS,0.8036610398413371,0.3301038570220741,1.8525746495089186,0.6091055755365387,converged,0.7972611193207714,Fun-CIM,0.616,6.55153528086647e-7,2.34088563968038e-5
APOBEC3H,RFS,1.0524147114158664,0.44542535409913026,2.3015278559121084,0.9004414018057495,converged,0.955952484641086,Fun-CIM,0.446,2.27199446215344e-5,2.526203632744e-4
APOC1,RFS,1.4696592929018897,0.6351568535095867,3.481707783017052,0.372478138038585,converged,0.608170958060879,Fun-CIM,0.544,6.36714361155953e-5,5.24547064372e-4
APOD,RFS,1.92966634490947,0.7799957126462193,5.109965551455209,0.1673224544367341,converged,0.38251795983536724,Fun-CIM,0.399,8.0293468164447e-4,0.0035361435820674
APOL1,RFS,1.7064215875682083,0.7848965854027645,3.296405114402958,0.16019257470997872,converged,0.3736144931424858,Fun-CIM,0.588,3.28547361089398e-7,1.68373283380086e-5
APOL2,RFS,0.9872371207116728,0.3351424790615869,2.383130954389226,0.9796078026297792,converged,0.9880267393538311,Fun-CIM,0.626,7.86819170322241e-9,2.08507080135394e-6
APOL3,RFS,0.4003813814511619,0.13607234770023371,0.9862299673526713,0.046436855939015365,converged,0.16571803288116085,Fun-CIM,0.657,1.98311015513132e-9,9.00898613331085e-7
APOL6,RFS,0.9204123991007933,0.38608377831914137,2.01346393596482,0.8416422359299773,converged,0.930148435072404,Fun-CIM,0.571,1.61690185791182e-6,4.32079656147863e-5
AQP9,RFS,1.9668333314876452,0.9141090018197491,4.141149643036308,0.08172477735330774,converged,0.24550587273884134,Fun-CIM,0.443,4.1001233323766e-4,0.00210636384441968
ARAP3,RFS,0.8366429750804073,0.35504737898911176,1.941040675462294,0.6730345381690735,converged,0.8369136448601158,Fun-CIM,0.444,4.77969009465528e-5,4.2575390759114e-4
ARHGAP15,RFS,0.8828823837679172,0.3930807710143622,2.051554377450881,0.7619136039776226,converged,0.8864053790187425,Fun-CIM,0.558,1.12428568550999e-6,3.37285705652997e-5
ARHGAP20,RFS,0.8732582285796668,0.36089370351532957,1.887608721125616,0.7383002330363864,converged,0.8747381161015106,Fun-CIM,0.456,1.465044135383e-4,9.685738774466e-4
ARHGAP23,RFS,0.9846700834396912,0.4471966215357543,2.234317734387439,0.9689572203259558,converged,0.9832165906286741,Fun-CIM,0.35,0.00325204129221658,0.0102391003061869
ARHGAP6,RFS,0.7408689913340223,0.31789621815411273,1.6431657063654563,0.4558479327293099,converged,0.6860357073303931,Fun-CIM,0.557,2.66365124547787e-6,6.0084024266804e-5
ARHGEF18,RFS,4.511946536546382,1.8299349667117064,14.226112337190667,9.336598397083895e-4,converged,0.023213513979298068,Fun-CIM,0.365,0.0038395853702332702,0.0116609416820248
ARMH1,RFS,0.5915129575860403,0.2362580249863639,1.3740002653860544,0.22226052528900497,converged,0.45215362356183564,Fun-CIM,0.458,4.22510746109693e-5,3.8388119217966e-4
ARSA,RFS,0.9440730180893169,0.41585664253467625,2.2757089010433735,0.8917158168814241,converged,0.9520816360794719,Fun-CIM,0.515,6.55556048629186e-6,1.1329718666526e-4
ASB13,RFS,2.0995492076473328,0.9106834808849414,5.23390030424952,0.08197690683015224,converged,0.2457647753349301,Dys-CIM,-0.536,2.76555978962553e-5,8.2191403093543e-4
ASCC1,RFS,5.891959231488417,2.0393112899954615,22.832873429987718,7.278204457537019e-4,converged,0.02199800163594352,Dys-CIM,-0.383,0.00127648327993835,0.0120888950289704
ASIP,RFS,0.7834428275560785,0.3793556181881985,1.7444471617090673,0.531400603641168,converged,0.7375860299836643,Fun-CIM,0.372,0.00295796197221449,0.00949558476309707
ASL,RFS,2.1875831431179797,1.0128655267945874,5.291693234042217,0.04631347714573386,converged,0.1656769556831687,Dys-CIM,-0.486,1.4185444443296e-4,0.00263703924348131
ASPHD2,RFS,0.7958828324355298,0.3276803703842077,1.8656407693917856,0.6055277868839328,converged,0.7968663695694055,Fun-CIM,0.415,3.8654641381306e-4,0.00200852548353848
ATF7,RFS,3.645369031723657,0.8428118982584586,24.864106401810783,0.10078513353509999,converged,0.28131015601154813,Fun-CIM,0.347,0.0030617944945443,0.00976580390436398
ATF7IP2,RFS,0.723385472140545,0.3311042778494425,1.5768683783961968,0.40399681525487285,converged,0.6392300036244302,Fun-CIM,0.436,2.8461217863422e-4,0.00159623761562053
ATG14,RFS,0.826594343205738,0.33023079800095156,1.9463065773629464,0.6751355115637021,converged,0.8381187700132797,Fun-CIM,0.392,0.00168958927260367,0.00618996991575997
ATG4A,RFS,1.2610197879503933,0.5049808371750673,2.7190027492992632,0.6005911776275357,converged,0.7955302385713244,Fun-CIM,0.365,0.00109950233878628,0.00438697294522005
ATG5,RFS,23.203508448969394,3.066158954545339,547.737128674589,0.004253309248185122,converged,0.04314486983946689,Dys-CIM,-0.517,1.1140701869796e-4,0.00213418264734651
ATOH8,RFS,0.6436664437957881,0.32058163187259087,1.3638010677591281,0.24043994788073542,converged,0.4733133216855678,Fun-CIM,0.414,9.9241579852492e-4,0.00407210611523776
ATP2B2,RFS,0.9835506850505847,0.3775714450507633,2.09270675520414,0.9690954468985167,converged,0.9832165906286741,Fun-CIM,0.471,9.61899794673085e-5,7.1748634918867e-4
ATP5F1A,RFS,2.92599203214464,1.2408858233852875,7.782045511388791,0.014278151820201979,converged,0.08272450389545095,Dys-CIM,-0.563,1.18705217394612e-5,5.256884453485e-4
ATP5F1B,RFS,9.340756470238441,2.1686335391597567,67.25986229376889,0.001330502961383151,converged,0.025927301129058507,Dys-CIM,-0.473,2.56864799510467e-5,8.008137867091e-4
ATP5F1C,RFS,3.199547154784376,1.3553927847017302,8.918154293600532,0.007825922774669536,converged,0.05681466484943913,Dys-CIM,-0.702,1.7825553388813697e-11,5.66852597764275e-8
ATP5PO,RFS,2.518696078024812,1.0781310046788004,7.168572739411713,0.032382852217545555,converged,0.1359284827349307,Dys-CIM,-0.456,1.19797073329526e-5,5.256884453485e-4
ATP6V1H,RFS,2.5993313333610626,1.0196375609693973,7.76449909098922,0.045111740606754824,converged,0.16335082601125647,Dys-CIM,-0.45,2.9557767616142e-4,0.00427244095542427
ATP8B4,RFS,1.032223716477964,0.42757847582537983,2.2180018176083225,0.9392736293500933,converged,0.9727721993478937,Fun-CIM,0.541,2.66183683446917e-6,6.0084024266804e-5
ATPAF1,RFS,2.416581737271377,1.0476760306599828,5.85277018697329,0.038673983648480736,converged,0.14915669214427077,Dys-CIM,-0.393,0.00035940391393822003,0.00482238163005723
AVPR1A,RFS,0.5858391176135473,0.19072856166686508,1.368220029890065,0.23311307849911744,converged,0.4652836512900174,Fun-CIM,0.408,1.6790946979803e-4,0.00107651635878581
AVPR2,RFS,0.5264531818111226,0.2426445590677083,1.2438249082676829,0.14375793107022616,converged,0.35237879764616453,Fun-CIM,0.367,0.00119605810524388,0.00467256114825003
AZIN1,RFS,4.101205842526128,1.570391544845894,13.596018845734697,0.003416430936871606,converged,0.03984042690950275,Dys-CIM,-0.382,0.00294476194658373,0.0222430949884472
B3GNT9,RFS,1.6973355446607246,0.7051317193005368,5.012804902966621,0.25173790267793694,converged,0.48798931134296414,Fun-CIM,0.333,0.00412864292255956,0.0122701724240555
B9D1,RFS,1.9892033383316359,0.7990019178861446,5.484587663568298,0.14535660797638839,converged,0.3539773405034438,Dys-CIM,-0.442,5.0909130850356e-4,0.00615555270357917
BANK1,RFS,1.2444814364282877,0.582066576784474,3.5137087562637848,0.6092912607968552,converged,0.7972611193207714,Fun-CIM,0.473,3.83287389986952e-5,3.5848644122309e-4
BASP1-AS1,RFS,0.6901289587778615,0.295365557910838,1.5210352707357762,0.3642939491754963,converged,0.6001327460833259,Fun-CIM,0.41,0.00175508997518413,0.00636205636989669
BATF,RFS,1.4395758925271793,0.6704896836040077,2.537914930926567,0.2999111364731971,converged,0.5411251855048981,Fun-CIM,0.445,3.6276590002565e-4,0.00190992642728738
BATF3,RFS,0.7933968572187857,0.38845750153230874,1.8847637582553811,0.5731815981864563,converged,0.7726263709059039,Fun-CIM,0.366,0.00181861831632697,0.00651261964630605
BCAP31,RFS,3.440319363918376,1.4912191762782785,9.15338234423023,0.003676226161823948,converged,0.04032956256045383,Dys-CIM,-0.444,2.586484197956e-4,0.00395545686296745
BCAT2,RFS,2.399092423484908,1.0419950718713051,5.286238386876327,0.04020597884102595,converged,0.1532579621130544,Dys-CIM,-0.518,7.20568556346843e-6,3.5803250143483e-4
BCL6,RFS,0.3573715394686869,0.13448656670580528,0.8632418168015848,0.02217341644982207,converged,0.10766829430225078,Fun-CIM,0.568,1.79043881489149e-8,3.00341469388927e-6
BDP1,RFS,1.6119348936931543,0.8367268606530607,2.641306059100677,0.1307028677756834,converged,0.32920229111528426,Fun-CIM,0.324,0.00758547526913712,0.0203731514829865
BFAR,RFS,8.50562982917522,2.618114325266357,48.92341320901743,9.559502862066527e-5,converged,0.018450619437219297,Dys-CIM,-0.367,0.00162764612276277,0.0146212278824452
BHLHE22,RFS,0.6330830671027929,0.20647772304433062,1.4435743571619681,0.29643757834065043,converged,0.5360489053998819,Fun-CIM,0.45,3.12635901126843e-5,3.1396300192272e-4
BHMT2,RFS,1.6729168741757852,0.7596512110699852,3.634700603356857,0.1927180997724599,converged,0.41788507432359173,Fun-CIM,0.386,8.6289023411722e-4,0.00370747383924425
BICRA,RFS,2.7393134664397807,0.9433939065664346,13.011270388951353,0.06699390094798519,converged,0.2124581740984284,Fun-CIM,0.362,0.00444641772251979,0.0129959635639825
BLNK,RFS,0.6725538893772112,0.2850348310045298,1.5204730479936073,0.33907746796966687,converged,0.5765484845729927,Fun-CIM,0.54,1.6938880791451e-6,4.37802738771641e-5
BMAL1,RFS,1.1989392723013625,0.5491443582911429,2.929868879182754,0.6698479454242066,converged,0.8356320904904943,Fun-CIM,0.334,0.00458531723729658,0.0132677969195661
BMP3,RFS,0.5319259838433537,0.11597588467317213,1.3236353831351628,0.20692284739083588,converged,0.43014647781528786,Fun-CIM,0.33,0.00540778211871151,0.0152049046308599
BNIP1,RFS,3.2780524351812104,1.2494392613145662,10.940808673087414,0.01435193288683645,converged,0.08272450389545095,Dys-CIM,-0.426,2.6579159798415e-4,0.00400356665876878
BOD1L1,RFS,1.5119515821802811,0.7711480323023775,2.5162775289344803,0.19446752560005698,converged,0.4197643635427613,Fun-CIM,0.51,5.76553245224086e-5,4.8664312586894e-4
BOLL,RFS,0.2800011577152013,0.1101041482628683,0.6272007642403834,0.0026043189557859447,converged,0.03469993843535738,Fun-CIM,0.434,0.00109134626348135,0.00437374470622855
BORA,RFS,4.1556979203581665,1.4824011895969074,13.866025899313488,0.006795203541484218,converged,0.05324707113723877,Dys-CIM,-0.394,6.0102496518213e-4,0.00702668893117346
BORCS7,RFS,4.040797803127996,1.4392471992265707,14.431407810635744,0.0062996096327483375,converged,0.0518317881450016,Fun-CIM,0.397,0.0022317301581101902,0.00760583525454346
BPHL,RFS,1.989283672309109,0.8583163210689353,4.606875761133449,0.10779133437621646,converged,0.29471205293228625,Dys-CIM,-0.434,3.1528469066905e-4,0.00445602362812264
BST1,RFS,2.452058737549122,1.0289234660010957,6.0270365331395865,0.043065258799876105,converged,0.1590514919765998,Fun-CIM,0.503,3.58606712886208e-5,3.4556646878125e-4
BTF3,RFS,4.3255316546444655,1.633112669985901,15.088054793386823,0.0026023850261022163,converged,0.03469993843535738,Dys-CIM,-0.392,6.7102608160974e-4,0.00759381829010316
BTG2,RFS,0.4256539007413277,0.17437096491290668,0.9615602064499221,0.04014208999394708,converged,0.1532579621130544,Fun-CIM,0.612,6.36686982751774e-7,2.30075523312573e-5
BTLA,RFS,0.9017676440930672,0.40973836856137447,1.9385688184376406,0.7967718728467931,converged,0.9056171478788185,Fun-CIM,0.385,8.8275879273018e-4,0.00375792899716466
BTN2A2,RFS,0.9485139489639346,0.4071835003765948,2.0799444303016568,0.9001744048632693,converged,0.955952484641086,Fun-CIM,0.453,2.75679873387572e-5,2.893273918721e-4
BTNL8,RFS,0.6687209751607133,0.23470123786531796,1.5591164547056098,0.40658224780710406,converged,0.6412655047948042,Fun-CIM,0.39,0.00226803540267949,0.00769728130258355
BUB1,RFS,5.6668418367214555,1.7995919517901058,27.739127643363567,0.0015695844789415103,converged,0.02767326920609972,Dys-CIM,-0.461,2.53995007795162e-5,7.9970705424615e-4
BZW1,RFS,9.58635055754355,2.235578239117756,72.05940741771866,7.877203209666339e-4,converged,0.022189061609359205,Dys-CIM,-0.388,0.0022637320740301,0.0182707309528317
BZW2,RFS,2.349168526421223,0.8679158632582269,8.783193198721822,0.09905852414309602,converged,0.280573563531488,Dys-CIM,-0.629,2.7352269498736e-7,5.13162859375334e-5
C1QB,RFS,1.1319200115006138,0.5094716932777859,2.653718151902137,0.7636608903137723,converged,0.8868777251787461,Fun-CIM,0.419,3.2707210104062e-4,0.00176286318865965
C1QTNF2,RFS,0.8427447028620507,0.34691083426794517,1.8082382795805332,0.6775795983434774,converged,0.8390429641694731,Fun-CIM,0.539,2.90554937083416e-5,2.9901770224118e-4
C1QTNF7,RFS,0.46314578536850753,0.1712625472586524,1.0905274458273264,0.07933412680726182,converged,0.24007744796944713,Fun-CIM,0.372,0.0011025947027321,0.00439379843945875
C3,RFS,1.2985929527463151,0.5954295929102138,2.802330009724044,0.5042084584335422,converged,0.7145767721914603,Fun-CIM,0.524,1.2730591597398e-5,1.7226928204138e-4
C4BPA,RFS,1.2316527916768734,0.5388183140895835,3.0400957312540524,0.6267285130373524,converged,0.8085234562790234,Fun-CIM,0.479,3.4320837341295e-4,0.00181900437908864
C5AR1,RFS,2.1368980731399976,0.798716140540119,7.7937643389737525,0.14924069555259512,converged,0.3576318568889799,Fun-CIM,0.456,9.58011038689783e-5,7.16817671302e-4
CA11,RFS,0.7120558429890413,0.34689783342424363,1.5616234173826342,0.37994601381292337,converged,0.6104220869670255,Fun-CIM,0.469,5.4565219094655e-4,0.00264508226708848
CA4,RFS,0.7947473711180562,0.3207921528555827,1.7645679203757267,0.632220339463309,converged,0.8117965594061713,Fun-CIM,0.394,0.00164996425601041,0.00610813310141223
CACNA1E,RFS,0.5750159788205199,0.08290401991859518,1.3946928711442104,0.26972329996105004,converged,0.508219093183607,Fun-CIM,0.437,2.3758951297166e-4,0.00139655203558206
CACNA1G,RFS,0.5515391922259422,0.2123095170487423,1.2507841150530907,0.15756426086714148,converged,0.3686456087586675,Fun-CIM,0.52,5.79072990602931e-6,1.0287441955962e-4
CACNB2,RFS,0.7350599154822244,0.38411618942844095,1.5515859414849809,0.3917731099630667,converged,0.6238881460809697,Fun-CIM,0.322,0.00542039148713301,0.0152268948136775
CALHM5,RFS,2.0157117123601687,0.992242065901614,3.8516279431128786,0.05228814390511394,converged,0.17925634519322625,Fun-CIM,0.355,0.00194205907187437,0.0068543261360272
CALM2,RFS,2.4556611932303913,1.0204429114424232,7.165189098714459,0.04473980124645094,converged,0.16240109226959273,Dys-CIM,-0.411,0.00116310660873932,0.0112764604139971
CALML4,RFS,0.43649574294063853,0.1953301406744415,0.9656927143040327,0.04091823804568706,converged,0.15341749505231023,Fun-CIM,0.403,0.00202451102450465,0.00712950726237516
CAMKMT,RFS,1.774621234743316,0.818403832482063,3.986300807914055,0.14418971936084646,converged,0.35238444616074854,Dys-CIM,-0.461,4.1029485707842e-4,0.00528808468297911
CANT1,RFS,8.805484216127864,2.224843437093213,64.07618287485691,6.26677050952873e-4,converged,0.02132194462507313,Dys-CIM,-0.476,2.976160749074e-4,0.00428243944889384
CAPN1,RFS,3.3509585112672604,1.2963311846957664,10.494124051546502,0.011777077375278555,converged,0.0729784585472282,Dys-CIM,-0.479,7.25232566326345e-5,0.00154781178585086
CAPN3,RFS,0.6921205204513323,0.3880651270591909,1.5562742355476462,0.315645343367576,converged,0.553875300387891,Fun-CIM,0.528,1.31646180311474e-5,1.7589699722289e-4
CAPN6,RFS,2.91308722302002,1.1585823706049905,7.991566155007538,0.02444363767720159,converged,0.11528989617813873,Fun-CIM,0.436,0.00116395892655294,0.00459229452411707
CARD16,RFS,1.020505084669887,0.4777734633903432,2.3219801490175898,0.95890871167133,converged,0.9807622941887015,Fun-CIM,0.491,9.46854240287722e-6,1.4759786686838e-4
CARD8-AS1,RFS,0.9416362832485721,0.4620436858374042,2.318852926525422,0.8809825209057036,converged,0.9448581057770292,Fun-CIM,0.469,8.88091047169541e-6,1.4213642703396e-4
CARINH,RFS,0.20653829350566466,0.04784420707498624,0.6156126887034123,0.0032637174710781203,converged,0.03935409289921733,Fun-CIM,0.546,1.57953095807989e-6,4.29308414247355e-5
CASC15,RFS,1.743027337495364,0.6777207563352192,5.121224337736068,0.2584380161031189,converged,0.4973532371114633,Fun-CIM,0.366,0.00133679287602014,0.00511552508513123
