"Method","Cell_Type","cluster","n_candidates","n_pairs_used","n_dropped","n_missing_biopsy","n_missing_surgery","n_missing_both","dropped_patient_ids"
"quantiseq","T cell CD4+ (non-regulatory)","C1",14,14,0,0,0,0,""
"quantiseq","T cell CD8+","C1",14,14,0,0,0,0,""
"quantiseq","T cell regulatory (Tregs)","C1",14,14,0,0,0,0,""
"quantiseq","uncharacterized cell","C1",14,14,0,0,0,0,""
"quantiseq","B cell","C2",11,11,0,0,0,0,""
"quantiseq","Macrophage M1","C2",11,11,0,0,0,0,""
"quantiseq","Macrophage M2","C2",11,11,0,0,0,0,""
"quantiseq","Monocyte","C2",11,11,0,0,0,0,""
"quantiseq","Myeloid dendritic cell","C2",11,11,0,0,0,0,""
"quantiseq","NK cell","C2",11,11,0,0,0,0,""
"quantiseq","Neutrophil","C2",11,11,0,0,0,0,""
"quantiseq","T cell CD4+ (non-regulatory)","C2",11,11,0,0,0,0,""
"quantiseq","T cell CD8+","C2",11,11,0,0,0,0,""
"quantiseq","T cell regulatory (Tregs)","C2",11,11,0,0,0,0,""
"quantiseq","uncharacterized cell","C2",11,11,0,0,0,0,""
"quantiseq","B cell","C3",11,11,0,0,0,0,""
"quantiseq","Macrophage M1","C3",11,11,0,0,0,0,""
"quantiseq","Macrophage M2","C3",11,11,0,0,0,0,""
"quantiseq","Monocyte","C3",11,11,0,0,0,0,""
"quantiseq","Myeloid dendritic cell","C3",11,11,0,0,0,0,""
"quantiseq","NK cell","C3",11,11,0,0,0,0,""
"quantiseq","Neutrophil","C3",11,11,0,0,0,0,""
"quantiseq","T cell CD4+ (non-regulatory)","C3",11,11,0,0,0,0,""
"quantiseq","T cell CD8+","C3",11,11,0,0,0,0,""
"quantiseq","T cell regulatory (Tregs)","C3",11,11,0,0,0,0,""
"quantiseq","uncharacterized cell","C3",11,11,0,0,0,0,""
"timer","B cell","C1",14,14,0,0,0,0,""
"timer","Macrophage","C1",14,14,0,0,0,0,""
"timer","Myeloid dendritic cell","C1",14,14,0,0,0,0,""
"timer","Neutrophil","C1",14,14,0,0,0,0,""
"timer","T cell CD4+","C1",14,14,0,0,0,0,""
"timer","T cell CD8+","C1",14,14,0,0,0,0,""
"timer","B cell","C2",11,11,0,0,0,0,""
"timer","Macrophage","C2",11,11,0,0,0,0,""
"timer","Myeloid dendritic cell","C2",11,11,0,0,0,0,""
"timer","Neutrophil","C2",11,11,0,0,0,0,""
"timer","T cell CD4+","C2",11,11,0,0,0,0,""
"timer","T cell CD8+","C2",11,11,0,0,0,0,""
"timer","B cell","C3",11,11,0,0,0,0,""
"timer","Macrophage","C3",11,11,0,0,0,0,""
"timer","Myeloid dendritic cell","C3",11,11,0,0,0,0,""
"timer","Neutrophil","C3",11,11,0,0,0,0,""
"timer","T cell CD4+","C3",11,11,0,0,0,0,""
"timer","T cell CD8+","C3",11,11,0,0,0,0,""
"xcell","B cell","C1",14,14,0,0,0,0,""
"xcell","B cell memory","C1",14,14,0,0,0,0,""
"xcell","B cell naive","C1",14,14,0,0,0,0,""
"xcell","B cell plasma","C1",14,14,0,0,0,0,""
"xcell","Cancer associated fibroblast","C1",14,14,0,0,0,0,""
"xcell","Class-switched memory B cell","C1",14,14,0,0,0,0,""
"xcell","Common lymphoid progenitor","C1",14,14,0,0,0,0,""
"xcell","Common myeloid progenitor","C1",14,14,0,0,0,0,""
"xcell","Endothelial cell","C1",14,14,0,0,0,0,""
"xcell","Eosinophil","C1",14,14,0,0,0,0,""
"xcell","Granulocyte-monocyte progenitor","C1",14,14,0,0,0,0,""
"xcell","Hematopoietic stem cell","C1",14,14,0,0,0,0,""
