"Method","Cell_Type","cluster","n_pairs","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","FDR","zscore_delta"
"consensus_tme","Macrophage","C1",14,0.118578502785332,0.0811216100988484,0.109648688873393,0.0994263640002921,-0.00892981391193832,0.0683710114784914,0.801732212656982,0.848892931048569,-0.034905723188406
"consensus_tme","Macrophage","C2",11,0.289918338777707,0.117015074503723,0.151505436396141,0.0703578874624791,-0.138412902381566,0.0955387491761846,0.00509932237899739,0.00834434571108664,-1.14207202174553
"consensus_tme","Macrophage","C3",11,0.0888301693074222,0.126035702164691,0.254216033725646,0.176971696848624,0.165385864418224,0.119398486981387,0.00385729282994253,0.0049593764956404,1.4556089582138
"consensus_tme","Macrophage M1","C1",14,0.0603820104332073,0.0983548836781695,0.0358442203643515,0.107654540827765,-0.0245377900688558,0.0612194714769908,0.148778617087727,0.243455918870827,-0.168364272824992
"consensus_tme","Macrophage M1","C2",11,0.252351441757264,0.127907162152425,0.106267622360724,0.0763294253227578,-0.146083819396539,0.109361802633154,0.00669228378824031,0.0100384256823605,-1.20766345069881
"consensus_tme","Macrophage M1","C3",11,0.0389138065286513,0.152761971146693,0.175445848426295,0.191527213828254,0.136532041897644,0.116350754616855,0.00385729282994253,0.0049593764956404,1.20888963558327
"consensus_tme","Macrophage M2","C1",14,0.177933699699855,0.0831221124784625,0.167610161758484,0.0962153976905999,-0.010323537941371,0.0683069669129272,0.900085797418725,0.900085797418725,-0.0468229881618861
"consensus_tme","Macrophage M2","C2",11,0.324724829679866,0.128040372748278,0.18699800998949,0.0652516377549755,-0.137726819690376,0.108469662945213,0.00871925545288926,0.0104631065434671,-1.13620555962537
"consensus_tme","Macrophage M2","C3",11,0.141176949941541,0.127665117801562,0.315194638198915,0.181384073321473,0.174017688257373,0.122699222659516,0.00385729282994253,0.0049593764956404,1.52941677792787
"consensus_tme","Mast cell","C1",14,-0.0628601532817891,0.0836978119465158,-0.0612986335313113,0.0993508235990154,0.00156151975047785,0.0719478914864202,0.70642711574737,0.794730505215791,0.0548021390137666
"consensus_tme","Mast cell","C2",11,0.110026433617789,0.123157412150382,-0.0316723245430477,0.0789293145778827,-0.141698758160837,0.122086547049217,0.011278190116074,0.0119416130640784,-1.17016826831893
"consensus_tme","Mast cell","C3",11,-0.0786303899441766,0.131277665767141,0.0652830076977793,0.160326384547604,0.143913397641956,0.119689308209691,0.00385729282994253,0.0049593764956404,1.27200512359297
"consensus_tme","Monocyte","C1",14,0.0875588818757357,0.0764178655274514,0.0766905943026412,0.0956542127439596,-0.0108682875730945,0.0608771310303718,0.530158014945287,0.681631733501083,-0.0514809588708339
"consensus_tme","Monocyte","C2",11,0.196979924822643,0.114403392650641,0.0663989557516375,0.0610479074502993,-0.130580969071005,0.0987516552095868,0.00871925545288926,0.0104631065434671,-1.0751037966554
"consensus_tme","Monocyte","C3",11,0.0412479796609627,0.111086976732507,0.194780793624399,0.157125257615617,0.153532813963437,0.105763818117806,0.00385729282994253,0.0049593764956404,1.35425751414691
