"Method","Cell_Type","cluster","n_candidates","n_pairs","n_dropped","n_zero_delta","n_nonzero_delta","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","note","FDR"
"CIBERSORTx","T cells follicular helper","C1",14,14,0,0,14,0.0648498398324561,0.0326682203373247,0.0619985443380012,0.026432858557915,-0.00285129549445494,0.0354055289042484,0.70642711574737,NA,0.83109072440867
"CIBERSORTx","T cells gamma delta","C1",14,14,0,10,4,0.00455733979591168,0.0132573471578412,0.000892140551174593,0.00333808428334299,-0.00366519924473709,0.013505428421034,0.361310428526179,NA,0.481747238034905
"CIBERSORTx","T cells regulatory (Tregs)","C1",14,14,0,0,14,0.0274112238265097,0.0184131465321771,0.00315711973373154,0.0058654816497363,-0.0242541040927782,0.0176707626525212,0.00136666351919497,NA,0.0273332703838994
"CIBERSORTx","B cells memory","C2",11,11,0,1,10,0.0226813920537093,0.0233969602510068,0.00418292487386878,0.00708047284652067,-0.0184984671798405,0.0251325836060654,0.0190588916017305,NA,0.190588916017305
"CIBERSORTx","B cells naive","C2",11,11,0,1,10,0.0204770093036824,0.0344391769101266,0.0158176760184542,0.0115400328384876,-0.0046593332852282,0.0289977396089921,1,NA,1
"CIBERSORTx","Dendritic cells activated","C2",11,11,0,5,6,0.00324231153983111,0.00724862540178718,0.0071212100092515,0.0148493055513194,0.00387889846942039,0.0178366979542045,0.674986713970489,NA,0.899982285293986
"CIBERSORTx","Dendritic cells resting","C2",11,11,0,0,11,0.0206559146500413,0.0284500921115006,0.0160693407393746,0.013432280737696,-0.00458657391066671,0.0294800143441757,0.755657737671463,NA,0.926594904542836
"CIBERSORTx","Eosinophils","C2",11,11,0,6,5,0.0000488238858387372,0.000161930510134238,0.00156794704071286,0.00329786875094455,0.00151912315487412,0.00332724765784968,0.105645429201877,NA,0.399074705068856
"CIBERSORTx","Macrophages M0","C2",11,11,0,0,11,0.0739402078378143,0.0469827469906172,0.0812519952932911,0.0473476902020694,0.00731178745547679,0.0606838951596649,0.893903721815722,NA,0.940951286121812
"CIBERSORTx","Macrophages M1","C2",11,11,0,0,11,0.101119985216593,0.0393632045240564,0.0886963592071588,0.0225094276104773,-0.0124236260094346,0.0366578780001866,0.306556273379373,NA,0.681236163065273
"CIBERSORTx","Macrophages M2","C2",11,11,0,0,11,0.272239793624829,0.0897817003240465,0.298419691525964,0.057712264795928,0.0261798979011352,0.0804774823846835,0.0829604137452953,NA,0.399074705068856
"CIBERSORTx","Mast cells activated","C2",11,11,0,5,6,0.00326732802525327,0.00587462932236714,0.0186988507253777,0.0256387808830938,0.0154315227001245,0.0231265129458954,0.0934924836898357,NA,0.399074705068856
"CIBERSORTx","Mast cells resting","C2",11,11,0,0,11,0.0367337213184849,0.0375405933416907,0.053278849631773,0.0587166845544801,0.0165451283132881,0.0656892296418067,0.624834867127387,NA,0.892621238753411
"CIBERSORTx","Monocytes","C2",11,11,0,0,11,0.0194499196801955,0.0215869220812097,0.0220757373601044,0.0223952458759907,0.00262581767990892,0.0116640766529578,0.119722411520657,NA,0.399074705068856
"CIBERSORTx","NK cells activated","C2",11,11,0,0,11,0.0352836208235052,0.025393604618729,0.042489241136704,0.0293183033775599,0.00720562031319877,0.0223373735537829,0.504879873834092,NA,0.841466456390153
"CIBERSORTx","NK cells resting","C2",11,11,0,5,6,0.00313765641306731,0.00385226518394863,0.00931076432684054,0.0201048897010859,0.00617310791377322,0.0207443706258463,0.833935414088552,NA,0.926594904542836
"CIBERSORTx","Neutrophils","C2",11,11,0,2,9,0.00196312996613605,0.00429942853884294,0.0088244523393048,0.00912457083834629,0.00686132237316875,0.00868915024223328,0.00915168885265007,NA,0.183033777053001
"CIBERSORTx","Plasma cells","C2",11,11,0,2,9,0.00560769977956455,0.00922874059947654,0.00320555830939402,0.00271224848433052,-0.00240214147017053,0.00935218686882137,0.812703686128436,NA,0.926594904542836
"CIBERSORTx","T cells CD4+ (general)","C2",11,11,0,0,11,0.14456721707441,0.0462097034911995,0.1235161646966,0.0222888857693479,-0.0210510523778091,0.0425514244495541,0.142368182702515,NA,0.406766236292901
