"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","C1_n","C2_n","C3_n","C1_mean","C2_mean","C3_mean","C1_sd","C2_sd","C3_sd"
"epic","Macrophage","Biopsy","kruskal",0.0542230917268154,0.117833173718297,3,NA,14,11,11,0.0135842780968754,0.0364709195133684,0.0106994544351018,0.009218214053333,0.0589183524007623,0.00734660004342166
"epic","NK cell","Biopsy","kruskal",0.483423002580131,0.552971432611395,3,NA,14,11,11,0.000113915503051296,0.00218835991850015,0.000126294547322646,0.000231264275771464,0.00641899666050944,0.000285141029953334
"epic","T cell CD4+","Biopsy","kruskal",0.897346810100507,0.914277881989196,3,NA,14,11,11,0.0418609232826433,0.0431617187035612,0.0353397359869494,0.0314378387866685,0.0194697712902265,0.0195249732599132
"epic","T cell CD8+","Biopsy","kruskal",0.00730232550256695,0.0375548168703443,3,NA,14,11,11,0.0141485419185961,0.0228739513490432,0.00859876535641539,0.0122716751595189,0.01044424558722,0.00709445036579756
"epic","uncharacterized cell","Biopsy","kruskal",0.249675766318869,0.343502965126596,3,NA,14,11,11,0.589757759457216,0.738953114952814,0.678968364885537,0.288835320832867,0.202447763905897,0.146765962828853
"estimate","ESTIMATEScore","Biopsy","kruskal",0.028107437112892,0.0809537914497696,3,NA,14,11,11,1294.05063561424,2318.20464145057,1097.71064741399,1009.58306277046,1158.10383949853,1220.6561918901
"estimate","ImmuneScore","Biopsy","kruskal",0.00261413127042067,0.0211127262853599,3,NA,14,11,11,874.530931132351,1767.46865871973,607.245653638541,525.441172631563,753.261347865681,808.898354722595
"estimate","StromalScore","Biopsy","kruskal",0.992017522528054,0.992017522528054,3,NA,14,11,11,419.519704481891,550.735982730842,490.464993775452,715.972322439571,536.483984397391,556.260703501325
"estimate","TumorPurity","Biopsy","kruskal",0.028107437112892,0.0809537914497696,3,NA,14,11,11,0.692802394353175,0.577639199887204,0.710037837298778,0.0953944423332134,0.132922188593435,0.121645772805889
"mcp_counter","B cell","Biopsy","kruskal",0.166987129259384,0.255810070354801,3,NA,14,11,11,4.22589285714286,7.05380681818182,3.03585227272727,4.5133000483659,7.20373340952532,3.78293396668602
"mcp_counter","Cancer associated fibroblast","Biopsy","kruskal",0.258451337299288,0.348909305354038,3,NA,14,11,11,911.342901785714,360.269545454545,735.736875,1129.19550190235,254.54306832202,462.750254265867
"mcp_counter","Endothelial cell","Biopsy","kruskal",0.0537367892457809,0.117833173718297,3,NA,14,11,11,9.46486607142857,6.70778409090909,6.83225852272727,4.65724097686504,4.60195207912526,3.09447173033807
