"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","C1_n","C2_n","C3_n","C1_mean","C2_mean","C3_mean","C1_sd","C2_sd","C3_sd"
"xcell","Cancer associated fibroblast","Biopsy","kruskal",0.243501990335575,0.337156602003104,3,NA,14,11,11,0.0661832240999897,0.0341151339182139,0.0736202219756645,0.0693876253652131,0.0278351438398915,0.0520108069373099
"xcell","Class-switched memory B cell","Biopsy","kruskal",0.350420400545506,0.435004635159939,3,NA,14,11,11,0.0250515653367699,0.0426771864272712,0.0188225927624418,0.0203569630751785,0.0416567903747515,0.0250664754923362
"xcell","Common lymphoid progenitor","Biopsy","kruskal",0.897346810100507,0.914277881989196,3,NA,14,11,11,0.0104930593553101,0.008250663749513,0.00972396710871136,0.0115580035582977,0.00817321163953562,0.00817592228547517
"xcell","Common myeloid progenitor","Biopsy","kruskal",0.0649070966191011,0.134807046824287,3,NA,14,11,11,0.00834364682338413,0.000877354147832005,0.00774322284616331,0.010706933642743,0.00201561139600976,0.0117864124218996
"xcell","Endothelial cell","Biopsy","kruskal",0.315175688110075,0.412593628071371,3,NA,14,11,11,0.0390357515222503,0.0191835187654726,0.0194104357104949,0.0443182823663829,0.038029220517562,0.0195796673554498
"xcell","Eosinophil","Biopsy","kruskal",0.253626644495668,0.344549403843172,3,NA,14,11,11,0.0047973384075681,0.00422706528275579,0.00105116235272074,0.00608910439725597,0.0104544192042184,0.0017704425114272
"xcell","Granulocyte-monocyte progenitor","Biopsy","kruskal",0.368971105222074,0.443694867508406,3,NA,14,11,11,0.00257964858288337,0.00109826874926603,0.00224811935966634,0.00772393558788444,0.00364254536028833,0.00745616839994727
"xcell","Hematopoietic stem cell","Biopsy","kruskal",0.252989049612127,0.344549403843172,3,NA,14,11,11,0.155933372563959,0.0902685667876781,0.140328561767423,0.116591705459868,0.0929423560347986,0.095056871185045
"xcell","Macrophage","Biopsy","kruskal",0.0126967313249039,0.0498635266578045,3,NA,14,11,11,0.0189027383318757,0.0527505661717588,0.0144169956205777,0.0175139181055102,0.05672828566624,0.0278952723588481
"xcell","Macrophage M1","Biopsy","kruskal",0.00933015572852304,0.0403062727472195,3,NA,14,11,11,0.0184328364493298,0.0523037029714511,0.016018495497671,0.0183356453212989,0.0360721748146199,0.030127587771141
"xcell","Macrophage M2","Biopsy","kruskal",0.220398784753203,0.311151225533934,3,NA,14,11,11,0.00720579674065639,0.0165626179110699,0.00228078184035628,0.00893963445905977,0.0441866842631735,0.0040849310571317
"xcell","Mast cell","Biopsy","kruskal",0.12276054649326,0.207158422207376,3,NA,14,11,11,0.0172592111059448,0.0119331743348348,0.0185616905462666,0.00933295300361141,0.0154325796183235,0.0135152971091902
"xcell","Monocyte","Biopsy","kruskal",0.399040901831449,0.476203507157972,3,NA,14,11,11,0.00046742996189573,0.00529372892232717,0.00123572393384561,0.00118831307062307,0.00963964981406912,0.00357146756084415
"xcell","Myeloid dendritic cell","Biopsy","kruskal",0.00372986054822222,0.0253622493381625,3,NA,14,11,11,0.00277237800063198,0.0362753521689119,0.00571453986798779,0.00495512574578042,0.049188072774428,0.00951734732030112
"xcell","Myeloid dendritic cell activated","Biopsy","kruskal",0.00263909078566998,0.0211127262853599,3,NA,14,11,11,0.032742128218163,0.119520807457759,0.0343219663978072,0.035881662008462,0.0705613497380022,0.0537797180589385
