"Method","Cell_Type","Timepoint","comparison","cluster1","cluster2","n1","mean1","sd1","n2","mean2","sd2","z","p_unadj","fdr"
"quantiseq","Monocyte","Biopsy","C1 - C2","C1","C2",14,0.0123021553267815,0.0224538401696018,11,0.0136678891326533,0.0165663829582056,-0.41171024536018,0.680551814634124,0.680551814634124
"quantiseq","Monocyte","Biopsy","C3 - C2","C3","C2",11,0.00117538882380818,0.00347149706770054,11,0.0136678891326533,0.0165663829582056,-2.05652999691034,0.0397314579595232,0.11919437387857
"quantiseq","Monocyte","Biopsy","C1 - C3","C1","C3",14,0.0123021553267815,0.0224538401696018,11,0.00117538882380818,0.00347149706770054,1.76471652886749,0.0776114192379226,0.116417128856884
"quantiseq","Myeloid dendritic cell","Biopsy","C1 - C2","C1","C2",14,0.00810412787486549,0.00798248018676488,11,0.00913470128049262,0.014813566251026,0.809441994289534,0.418260955185851,1
"quantiseq","Myeloid dendritic cell","Biopsy","C3 - C2","C3","C2",11,0.0078657793708075,0.00767769902982295,11,0.00913470128049262,0.014813566251026,0.767042341555256,0.443056341395836,0.664584512093754
"quantiseq","Myeloid dendritic cell","Biopsy","C1 - C3","C1","C3",14,0.00810412787486549,0.00798248018676488,11,0.0078657793708075,0.00767769902982295,-0.00231931803521412,0.998149453607199,0.998149453607199
"quantiseq","NK cell","Biopsy","C1 - C2","C1","C2",14,0.0135267504841359,0.00897187288868343,11,0.00913692704837289,0.00425673154981323,1.62607813592401,0.103933034525275,0.311799103575825
"quantiseq","NK cell","Biopsy","C3 - C2","C3","C2",11,0.00957457955076283,0.00380756221179358,11,0.00913692704837289,0.00425673154981323,0.263069514017815,0.792497000852561,0.792497000852561
"quantiseq","NK cell","Biopsy","C1 - C3","C1","C3",14,0.0135267504841359,0.00897187288868343,11,0.00957457955076283,0.00380756221179358,1.34767153127851,0.177764052458929,0.266646078688393
"quantiseq","Neutrophil","Biopsy","C1 - C2","C1","C2",14,0.0290524488842592,0.0180428615922178,11,0.0379673468133632,0.0209282150790092,-0.982071649353918,0.326064551295399,0.978193653886198
"quantiseq","Neutrophil","Biopsy","C3 - C2","C3","C2",11,0.0326789266878412,0.0111811659832605,11,0.0379673468133632,0.0209282150790092,-0.242833397554906,0.80813446227547,0.80813446227547
"quantiseq","Neutrophil","Biopsy","C1 - C3","C1","C3",14,0.0290524488842592,0.0180428615922178,11,0.0326789266878412,0.0111811659832605,-0.725080937373454,0.468402378235553,0.702603567353329
"quantiseq","T cell CD4+ (non-regulatory)","Biopsy","C1 - C2","C1","C2",14,0.0361097919278132,0.0320020371266457,11,0.00926515904669426,0.0226044148496555,2.82744100503718,0.00469216601681726,0.0140764980504518
"quantiseq","T cell CD4+ (non-regulatory)","Biopsy","C3 - C2","C3","C2",11,0.0288245865615164,0.0193253293798733,11,0.00926515904669426,0.0226044148496555,2.54557495199871,0.0109097939849634,0.0163646909774451
"quantiseq","T cell CD4+ (non-regulatory)","Biopsy","C1 - C3","C1","C3",14,0.0361097919278132,0.0320020371266457,11,0.0288245865615164,0.0193253293798733,0.133457698371678,0.89383141675094,0.89383141675094
"quantiseq","T cell CD8+","Biopsy","C1 - C2","C1","C2",14,0.0146612423227392,0.0127361745392255,11,0.0275784778838819,0.0179448782960071,-1.83041176045596,0.0671883904523373,0.100782585678506
"quantiseq","T cell CD8+","Biopsy","C3 - C2","C3","C2",11,0.00949665128789822,0.012531551776976,11,0.0275784778838819,0.0179448782960071,-2.60050831374573,0.00930857634905138,0.0279257290471542
"quantiseq","T cell CD8+","Biopsy","C1 - C3","C1","C3",14,0.0146612423227392,0.0127361745392255,11,0.00949665128789822,0.012531551776976,0.921707551754884,0.356681140424333,0.356681140424333
"quantiseq","T cell regulatory (Tregs)","Biopsy","C1 - C2","C1","C2",14,0.0155217203437423,0.00643176195899331,11,0.0244808598196516,0.012534896795408,-1.49758277993378,0.134241683509647,0.134241683509647
"quantiseq","T cell regulatory (Tregs)","Biopsy","C3 - C2","C3","C2",11,0.0113947784053604,0.00761612865334604,11,0.0244808598196516,0.012534896795408,-2.93423688712178,0.00334368908975881,0.0100310672692764
"quantiseq","T cell regulatory (Tregs)","Biopsy","C1 - C3","C1","C3",14,0.0155217203437423,0.00643176195899331,11,0.0113947784053604,0.00761612865334604,1.60772165649683,0.107896153320143,0.161844229980214
"quantiseq","uncharacterized cell","Biopsy","C1 - C2","C1","C2",14,0.768437295469377,0.0689870956459285,11,0.749933612131169,0.0960505724789538,0.258520418599396,0.796005292611243,0.796005292611243
"quantiseq","uncharacterized cell","Biopsy","C3 - C2","C3","C2",11,0.812886082561759,0.0485596908383066,11,0.749933612131169,0.0960505724789538,1.8414865981247,0.0655502827646736,0.196650848294021
"quantiseq","uncharacterized cell","Biopsy","C1 - C3","C1","C3",14,0.768437295469377,0.0689870956459285,11,0.812886082561759,0.0485596908383066,-1.69032581391913,0.0909656391707233,0.136448458756085
"timer","B cell","Biopsy","C1 - C2","C1","C2",14,0.0990890249088847,0.0212149175742824,11,0.12531322259514,0.048634568735926,-1.35837947761103,0.174343302812951,0.261514954219426
"timer","B cell","Biopsy","C3 - C2","C3","C2",11,0.0983425938100251,0.0274265895760673,11,0.12531322259514,0.048634568735926,-1.57841708410689,0.114469822949536,0.343409468848609
