"Method","Cell_Type","cluster","n_candidates","n_pairs_used","n_dropped","n_missing_biopsy","n_missing_surgery","n_missing_both","dropped_patient_ids"
"consensus_tme","T cell CD8+","Fun-CIM",10,10,0,0,0,0,""
"consensus_tme","T cell gamma delta","Fun-CIM",10,10,0,0,0,0,""
"consensus_tme","T cell regulatory (Tregs)","Fun-CIM",10,10,0,0,0,0,""
"consensus_tme","cytotoxicity score","Fun-CIM",10,10,0,0,0,0,""
"consensus_tme","immune score","Fun-CIM",10,10,0,0,0,0,""
"epic","B cell","Dys-CIM",9,9,0,0,0,0,""
"epic","Cancer associated fibroblast","Dys-CIM",9,9,0,0,0,0,""
"epic","Endothelial cell","Dys-CIM",9,9,0,0,0,0,""
"epic","Macrophage","Dys-CIM",9,9,0,0,0,0,""
"epic","NK cell","Dys-CIM",9,9,0,0,0,0,""
"epic","T cell CD4+","Dys-CIM",9,9,0,0,0,0,""
"epic","T cell CD8+","Dys-CIM",9,9,0,0,0,0,""
"epic","uncharacterized cell","Dys-CIM",9,9,0,0,0,0,""
"epic","B cell","Fun-CIM",10,10,0,0,0,0,""
"epic","Cancer associated fibroblast","Fun-CIM",10,10,0,0,0,0,""
"epic","Endothelial cell","Fun-CIM",10,10,0,0,0,0,""
"epic","Macrophage","Fun-CIM",10,10,0,0,0,0,""
"epic","NK cell","Fun-CIM",10,10,0,0,0,0,""
"epic","T cell CD4+","Fun-CIM",10,10,0,0,0,0,""
"epic","T cell CD8+","Fun-CIM",10,10,0,0,0,0,""
"epic","uncharacterized cell","Fun-CIM",10,10,0,0,0,0,""
"estimate","ESTIMATEScore","Dys-CIM",9,9,0,0,0,0,""
"estimate","ImmuneScore","Dys-CIM",9,9,0,0,0,0,""
"estimate","StromalScore","Dys-CIM",9,9,0,0,0,0,""
"estimate","TumorPurity","Dys-CIM",9,9,0,0,0,0,""
"estimate","ESTIMATEScore","Fun-CIM",10,10,0,0,0,0,""
"estimate","ImmuneScore","Fun-CIM",10,10,0,0,0,0,""
"estimate","StromalScore","Fun-CIM",10,10,0,0,0,0,""
"estimate","TumorPurity","Fun-CIM",10,10,0,0,0,0,""
"mcp_counter","B cell","Dys-CIM",9,9,0,0,0,0,""
"mcp_counter","Cancer associated fibroblast","Dys-CIM",9,9,0,0,0,0,""
"mcp_counter","Endothelial cell","Dys-CIM",9,9,0,0,0,0,""
"mcp_counter","Macrophage/Monocyte","Dys-CIM",9,9,0,0,0,0,""
"mcp_counter","Monocyte","Dys-CIM",9,9,0,0,0,0,""
"mcp_counter","Myeloid dendritic cell","Dys-CIM",9,9,0,0,0,0,""
"mcp_counter","NK cell","Dys-CIM",9,9,0,0,0,0,""
"mcp_counter","Neutrophil","Dys-CIM",9,9,0,0,0,0,""
"mcp_counter","T cell","Dys-CIM",9,9,0,0,0,0,""
"mcp_counter","T cell CD8+","Dys-CIM",9,9,0,0,0,0,""
"mcp_counter","cytotoxicity score","Dys-CIM",9,9,0,0,0,0,""
"mcp_counter","B cell","Fun-CIM",10,10,0,0,0,0,""
"mcp_counter","Cancer associated fibroblast","Fun-CIM",10,10,0,0,0,0,""
"mcp_counter","Endothelial cell","Fun-CIM",10,10,0,0,0,0,""
"mcp_counter","Macrophage/Monocyte","Fun-CIM",10,10,0,0,0,0,""
"mcp_counter","Monocyte","Fun-CIM",10,10,0,0,0,0,""
"mcp_counter","Myeloid dendritic cell","Fun-CIM",10,10,0,0,0,0,""
"mcp_counter","NK cell","Fun-CIM",10,10,0,0,0,0,""
"mcp_counter","Neutrophil","Fun-CIM",10,10,0,0,0,0,""
"mcp_counter","T cell","Fun-CIM",10,10,0,0,0,0,""
"mcp_counter","T cell CD8+","Fun-CIM",10,10,0,0,0,0,""
"mcp_counter","cytotoxicity score","Fun-CIM",10,10,0,0,0,0,""
"quantiseq","B cell","Dys-CIM",9,9,0,0,0,0,""
"quantiseq","Macrophage M1","Dys-CIM",9,9,0,0,0,0,""
"quantiseq","Macrophage M2","Dys-CIM",9,9,0,0,0,0,""
"quantiseq","Monocyte","Dys-CIM",9,9,0,0,0,0,""
"quantiseq","Myeloid dendritic cell","Dys-CIM",9,9,0,0,0,0,""
"quantiseq","NK cell","Dys-CIM",9,9,0,0,0,0,""
"quantiseq","Neutrophil","Dys-CIM",9,9,0,0,0,0,""
"quantiseq","T cell CD4+ (non-regulatory)","Dys-CIM",9,9,0,0,0,0,""
"quantiseq","T cell CD8+","Dys-CIM",9,9,0,0,0,0,""
"quantiseq","T cell regulatory (Tregs)","Dys-CIM",9,9,0,0,0,0,""
