"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","Dys-CIM_n","Fun-CIM_n","Dys-CIM_mean","Fun-CIM_mean","Dys-CIM_sd","Fun-CIM_sd"
"consensus_tme","Monocyte","Biopsy","wilcox_rank_sum",0.59561089947573,0.97332032972522,2,NA,9,10,0.747069810049219,0.719673535726888,0.145606449183592,0.142132237529891
"consensus_tme","Myeloid dendritic cell","Biopsy","wilcox_rank_sum",1,1,2,NA,9,10,0.745600929185414,0.755505456347533,0.184751280282454,0.125830251431579
"consensus_tme","NK cell","Biopsy","wilcox_rank_sum",0.967435545139537,1,2,NA,9,10,0.608353356754136,0.637754119056495,0.256486166899785,0.187994248964111
"consensus_tme","Neutrophil","Biopsy","wilcox_rank_sum",0.713303173878458,0.97332032972522,2,NA,9,10,0.67145537485928,0.651050643470546,0.152714982972501,0.139871287083548
"consensus_tme","T cell CD4+","Biopsy","wilcox_rank_sum",1,1,2,NA,9,10,0.708374192825816,0.705229633705723,0.150303008323623,0.153798146425177
"consensus_tme","T cell CD8+","Biopsy","wilcox_rank_sum",1,1,2,NA,9,10,0.688001060931376,0.69473871124763,0.174296493318236,0.163654817645614
"consensus_tme","T cell gamma delta","Biopsy","wilcox_rank_sum",0.967435545139537,1,2,NA,9,10,0.676950302582077,0.691132398204461,0.201179310215456,0.182228835629364
"consensus_tme","T cell regulatory (Tregs)","Biopsy","wilcox_rank_sum",0.713303173878458,0.97332032972522,2,NA,9,10,0.707117790406944,0.681098438825702,0.1557814334598,0.170840724299966
"consensus_tme","cytotoxicity score","Biopsy","wilcox_rank_sum",0.653378910693694,0.97332032972522,2,NA,9,10,0.682986289732938,0.730594171836914,0.229385851115976,0.187381441185015
"consensus_tme","immune score","Biopsy","wilcox_rank_sum",0.902523250177679,1,2,NA,9,10,0.699968045055519,0.690241011646956,0.148898234518967,0.14508281229122
"epic","B cell","Biopsy","wilcox_rank_sum",0.838256486385826,0.994853851974387,2,NA,9,10,0.00969742370546134,0.0182394482449923,0.0153100644740617,0.0447593563355179
"epic","Cancer associated fibroblast","Biopsy","wilcox_rank_sum",0.177909594986983,0.97332032972522,2,NA,9,10,0.161129277018072,0.0692488391852625,0.130272244849931,0.0654824153764539
"epic","Endothelial cell","Biopsy","wilcox_rank_sum",0.775051373670082,0.97332032972522,2,NA,9,10,0.0164817984159713,0.0124797886363227,0.0141702204018366,0.00794052617811643
"epic","Macrophage","Biopsy","wilcox_rank_sum",0.347745598910698,0.97332032972522,2,NA,9,10,0.0189541029948409,0.0127920250206504,0.0174138542673756,0.0116383084069684
"epic","NK cell","Biopsy","wilcox_rank_sum",0.307434165927395,0.97332032972522,2,NA,9,10,0.00302295668995351,0.000995229782718612,0.00461028200889807,0.00199286338635287
"epic","T cell CD4+","Biopsy","wilcox_rank_sum",0.487668353458931,0.97332032972522,2,NA,9,10,0.0369864584477118,0.0359805283314016,0.0207728406798812,0.0404324320036546
"epic","T cell CD8+","Biopsy","wilcox_rank_sum",0.15304188415882,0.97332032972522,2,NA,9,10,0.00439777489528807,0.00757317186453379,0.00624082673369917,0.00647904889163239
"epic","uncharacterized cell","Biopsy","wilcox_rank_sum",0.0661925797221934,0.97332032972522,2,NA,9,10,0.749330207832701,0.842690968934118,0.136299208911142,0.104054778648648
"estimate","ESTIMATEScore","Biopsy","wilcox_rank_sum",0.775051373670082,0.97332032972522,2,NA,9,10,2956.67201043665,2891.22981218744,1547.47321429495,1162.86236952986
"estimate","ImmuneScore","Biopsy","wilcox_rank_sum",0.902523250177679,1,2,NA,9,10,1942.82614329569,1820.05995003422,722.948938016706,821.816838176755
"estimate","StromalScore","Biopsy","wilcox_rank_sum",0.54029137460742,0.97332032972522,2,NA,9,10,1013.84586714095,1071.16986215322,1052.64250711009,538.052023303611
"estimate","TumorPurity","Biopsy","wilcox_rank_sum",0.775051373670082,0.97332032972522,2,NA,9,10,0.493189483758619,0.508451866542689,0.167351490997813,0.142944054808587
"mcp_counter","B cell","Biopsy","wilcox_rank_sum",0.713303173878458,0.97332032972522,2,NA,9,10,22.2507809876543,28.1964291111111,28.7604053752438,51.1781595362948
"mcp_counter","Cancer associated fibroblast","Biopsy","wilcox_rank_sum",0.177909594986983,0.97332032972522,2,NA,9,10,558.325871666667,287.306406125,411.619441860158,235.46825947226
"mcp_counter","Endothelial cell","Biopsy","wilcox_rank_sum",0.27034414065478,0.97332032972522,2,NA,9,10,7.12539864583333,5.248344609375,4.33964124076436,2.72727193899063
"mcp_counter","Macrophage/Monocyte","Biopsy","wilcox_rank_sum",0.487668353458931,0.97332032972522,2,NA,9,10,19.3233179365079,14.2979162857143,13.7246794706289,10.8487291280353
"mcp_counter","Monocyte","Biopsy","wilcox_rank_sum",0.487668353458931,0.97332032972522,2,NA,9,10,19.3233179365079,14.2979162857143,13.7246794706289,10.8487291280353
"mcp_counter","Myeloid dendritic cell","Biopsy","wilcox_rank_sum",0.307434165927395,0.97332032972522,2,NA,9,10,5.5645612962963,4.793544,1.94079660651736,3.85431026232242
"mcp_counter","NK cell","Biopsy","wilcox_rank_sum",0.487668353458931,0.97332032972522,2,NA,9,10,0.549761388888889,0.5343465,0.604061565698141,0.755287577465163
