"Method","Cell_Type","cluster","n_candidates","n_pairs","n_dropped","n_zero_delta","n_nonzero_delta","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","note","FDR"
"consensus_tme","immune score","Dys-CIM",9,9,0,0,9,0.699968045055519,0.148898234518967,0.709050420476707,0.0809036637060911,0.0090823754211877,0.181580616777441,1,NA,1
"consensus_tme","B cell","Fun-CIM",10,10,0,0,10,0.502743784127511,0.185609868697785,0.511395496275858,0.156819431265536,0.00865171214834693,0.188102829061481,1,NA,1
"consensus_tme","Cancer associated fibroblast","Fun-CIM",10,10,0,0,10,0.802120017106023,0.0940548895502118,0.757704958919264,0.112791351996285,-0.0444150581867593,0.163827218113439,0.414823067184775,NA,1
"consensus_tme","Endothelial cell","Fun-CIM",10,10,0,0,10,0.840034997886561,0.0728773113998747,0.780033175840375,0.0967101634375372,-0.0600018220461864,0.144890158273423,0.475532659596901,NA,1
"consensus_tme","Eosinophil","Fun-CIM",10,10,0,0,10,0.871797934094306,0.150507494478483,0.856124558908942,0.129752291462173,-0.015673375185364,0.152561130531625,0.838463781922464,NA,1
"consensus_tme","Macrophage","Fun-CIM",10,10,0,0,10,0.803410781120155,0.132324828446951,0.810163955591686,0.137077838428535,0.00675317447153089,0.144407938513756,0.918812683274642,NA,1
"consensus_tme","Macrophage M1","Fun-CIM",10,10,0,0,10,0.829330255892747,0.127518596555547,0.846899155898358,0.1557336369127,0.0175689000056112,0.164785792245987,0.838463781922464,NA,1
"consensus_tme","Macrophage M2","Fun-CIM",10,10,0,0,10,0.936893439001001,0.125788025734028,0.925870645956844,0.116819638426104,-0.0110227930441563,0.14275565795877,0.759765825978067,NA,1
"consensus_tme","Mast cell","Fun-CIM",10,10,0,0,10,0.820113862869257,0.156007518428565,0.80869411946328,0.135747957760842,-0.0114197434059765,0.168976991646957,0.759765825978067,NA,1
"consensus_tme","Monocyte","Fun-CIM",10,10,0,0,10,0.719673535726888,0.142132237529891,0.730022021456557,0.129061503788279,0.01034848572967,0.150785486384251,0.918812683274642,NA,1
"consensus_tme","Myeloid dendritic cell","Fun-CIM",10,10,0,0,10,0.755505456347533,0.125830251431579,0.765123042222426,0.144579740180479,0.00961758587489289,0.157966852097555,0.838463781922464,NA,1
"consensus_tme","NK cell","Fun-CIM",10,10,0,0,10,0.637754119056495,0.187994248964111,0.652733302843166,0.236270348224305,0.0149791837866711,0.275433785057757,1,NA,1
"consensus_tme","Neutrophil","Fun-CIM",10,10,0,0,10,0.651050643470546,0.139871287083548,0.659241354975181,0.136176933095289,0.00819071150463514,0.155938376272809,0.838463781922464,NA,1
"consensus_tme","T cell CD4+","Fun-CIM",10,10,0,0,10,0.705229633705723,0.153798146425177,0.723176399707526,0.17196560938422,0.0179467660018036,0.193121541076773,1,NA,1
"consensus_tme","T cell CD8+","Fun-CIM",10,10,0,0,10,0.69473871124763,0.163654817645614,0.70776412553529,0.184218104492422,0.0130254142876595,0.211868196414161,1,NA,1
"consensus_tme","T cell gamma delta","Fun-CIM",10,10,0,0,10,0.691132398204461,0.182228835629364,0.707351056740322,0.213056142783825,0.0162186585358607,0.247997587533414,0.918812683274642,NA,1
"consensus_tme","T cell regulatory (Tregs)","Fun-CIM",10,10,0,0,10,0.681098438825702,0.170840724299966,0.710790072758799,0.208253661725883,0.0296916339330967,0.234250931484192,0.918812683274642,NA,1
"consensus_tme","cytotoxicity score","Fun-CIM",10,10,0,0,10,0.730594171836914,0.187381441185015,0.736805295752492,0.188777009552371,0.00621112391557752,0.215756131005843,1,NA,1
"consensus_tme","immune score","Fun-CIM",10,10,0,0,10,0.690241011646956,0.14508281229122,0.705502844514164,0.150780096767112,0.0152618328672078,0.175215041633718,1,NA,1
"epic","B cell","Dys-CIM",9,9,0,0,9,0.00969742370546134,0.0153100644740617,0.012643030370273,0.0119946969818269,0.00294560666481164,0.0238070063882019,0.47719661998877,NA,0.636262159985027
"epic","Cancer associated fibroblast","Dys-CIM",9,9,0,0,9,0.161129277018072,0.130272244849931,0.0604326256148258,0.0323208137128956,-0.100696651403247,0.103050678699424,0.0580240199462214,NA,0.15473071985659
