"Patient_ID","Biopsy","Surgery","Delta","Method","Cell_Type","cluster"
"2472",0.0854961982212793,0.0541483674405306,-0.0313478307807487,"CIBERSORTx","Macrophages M1","Fun-CIM"
"2653",0.0132729345259326,0.0177771762239547,0.0045042416980221,"CIBERSORTx","Macrophages M1","Fun-CIM"
"2661",0,0.00327252283391855,0.00327252283391855,"CIBERSORTx","Macrophages M1","Fun-CIM"
"2677",0.0435295352154238,0.0332254245983714,-0.0103041106170524,"CIBERSORTx","Macrophages M1","Fun-CIM"
"2739",0.0537779259922094,0.0174128671369974,-0.036365058855212,"CIBERSORTx","Macrophages M1","Fun-CIM"
"2789",0.0845176080356474,0.0875979320612836,0.00308032402563621,"CIBERSORTx","Macrophages M1","Fun-CIM"
"2817",0.0351206080192091,0.110884118374665,0.0757635103554559,"CIBERSORTx","Macrophages M1","Fun-CIM"
"2852",0.10622106508826,0.0217167379351725,-0.0845043271530875,"CIBERSORTx","Macrophages M1","Fun-CIM"
"2976",0.0786817540566682,0.0592315299595674,-0.0194502240971008,"CIBERSORTx","Macrophages M1","Fun-CIM"
"3001",0.029549573096582,0.0424356871705523,0.0128861140739703,"CIBERSORTx","Macrophages M1","Fun-CIM"
"3036",0.052562515648185,0.0203687052378071,-0.0321938104103779,"CIBERSORTx","Macrophages M1","Fun-CIM"
"3065",0.0726397073486457,0.0103114836925006,-0.0623282236561451,"CIBERSORTx","Macrophages M1","Fun-CIM"
"3067",0.0421682412106456,0.0235159978667257,-0.0186522433439199,"CIBERSORTx","Macrophages M1","Fun-CIM"
"3130",0.191942871855089,0.0848166959212871,-0.107126175933802,"CIBERSORTx","Macrophages M1","Fun-CIM"
"3161",0.00887143126776575,0.010519102193888,0.00164767092612225,"CIBERSORTx","Macrophages M1","Fun-CIM"
"97",0.0194775971918773,0.00666069383045126,-0.012816903361426,"CIBERSORTx","Macrophages M1","Fun-CIM"
"OB_0001",0.11117741855032,0.0681383053559167,-0.0430391131944033,"CIBERSORTx","Macrophages M1","Fun-CIM"
"OB_0038",0.0465032869675421,0.0269089722470928,-0.0195943147204493,"CIBERSORTx","Macrophages M1","Fun-CIM"
"OB_0080",0.0206765268364074,0.00495062837389311,-0.0157258984625143,"CIBERSORTx","Macrophages M1","Fun-CIM"
"OB_0139",0.173317776965319,0.0811461827149509,-0.0921715942503681,"CIBERSORTx","Macrophages M1","Fun-CIM"
"OB_0163",0.0361982564865634,0.0336687390928029,-0.0025295173937605,"CIBERSORTx","Macrophages M1","Fun-CIM"
"OB_0168",0.0432090750822369,0.0095312341453633,-0.0336778409368736,"CIBERSORTx","Macrophages M1","Fun-CIM"
"OB_0235",0.0797692656513428,0.0154078460256932,-0.0643614196256496,"CIBERSORTx","Macrophages M1","Fun-CIM"
"OB_0315",0.172649534883636,0.106999112923262,-0.065650421960374,"CIBERSORTx","Macrophages M1","Fun-CIM"
"2046",0.083852957986849,0.119758262562712,0.035905304575863,"CIBERSORTx","Macrophages M1","Dys-CIM"
"2492",0.154782888289041,0.181995035671932,0.027212147382891,"CIBERSORTx","Macrophages M1","Dys-CIM"
"2691",0.0388186865819526,0.0752037369399663,0.0363850503580137,"CIBERSORTx","Macrophages M1","Dys-CIM"
"OB_0095",0.253122731129462,0.124789535535652,-0.12833319559381,"CIBERSORTx","Macrophages M1","Dys-CIM"
"OB_0157",0.166961744911447,0.122686319915342,-0.044275424996105,"CIBERSORTx","Macrophages M1","Dys-CIM"
"OB_0190",0.0955620775681615,0.0689721022444231,-0.0265899753237384,"CIBERSORTx","Macrophages M1","Dys-CIM"
"OB_0234",0.105605329241582,0.0592020237990937,-0.0464033054424883,"CIBERSORTx","Macrophages M1","Dys-CIM"
"OB_0237",0.133342461677749,0.0856527443249512,-0.0476897173527978,"CIBERSORTx","Macrophages M1","Dys-CIM"
"OB_0261",0.0978408259118411,0.115197441814235,0.0173566159023939,"CIBERSORTx","Macrophages M1","Dys-CIM"
"OB_0273",0.0930170401928145,0.0428298875128773,-0.0501871526799372,"CIBERSORTx","Macrophages M1","Dys-CIM"
"OB_0344",0.102969600496552,0.133726725835761,0.030757125339209,"CIBERSORTx","Macrophages M1","Dys-CIM"
"2271",0.233316791731572,0.429803677001111,0.196486885269539,"CIBERSORTx","Macrophages M2","Fun-CIM"
"2472",0.285085698206939,0.36639150641119,0.081305808204251,"CIBERSORTx","Macrophages M2","Fun-CIM"
"2653",0.200912594627179,0.437622512285936,0.236709917658757,"CIBERSORTx","Macrophages M2","Fun-CIM"
"2661",0.256005968579105,0.416486083039848,0.160480114460743,"CIBERSORTx","Macrophages M2","Fun-CIM"
"2677",0.185460034463253,0.539460353484026,0.354000319020773,"CIBERSORTx","Macrophages M2","Fun-CIM"
"2739",0.474274177747703,0.387104864459541,-0.087169313288162,"CIBERSORTx","Macrophages M2","Fun-CIM"
"2789",0.222031051913794,0.140185981894985,-0.081845070018809,"CIBERSORTx","Macrophages M2","Fun-CIM"
"2817",0.44671465003308,0.188373747399916,-0.258340902633164,"CIBERSORTx","Macrophages M2","Fun-CIM"
"2852",0.179780066351931,0.254488846855927,0.074708780503996,"CIBERSORTx","Macrophages M2","Fun-CIM"
"2976",0.25037697365573,0.270085660990023,0.019708687334293,"CIBERSORTx","Macrophages M2","Fun-CIM"
"3001",0.169915810613905,0.236989131601012,0.067073320987107,"CIBERSORTx","Macrophages M2","Fun-CIM"
"3036",0.20326963375925,0.373326887335686,0.170057253576436,"CIBERSORTx","Macrophages M2","Fun-CIM"
"3065",0.331703406415536,0.379185528269829,0.047482121854293,"CIBERSORTx","Macrophages M2","Fun-CIM"
"3067",0.425503600685877,0.477037711214973,0.051534110529096,"CIBERSORTx","Macrophages M2","Fun-CIM"
"3130",0.129878595067378,0.298892155887345,0.169013560819967,"CIBERSORTx","Macrophages M2","Fun-CIM"
"3161",0.386678390964693,0.163961274916018,-0.222717116048675,"CIBERSORTx","Macrophages M2","Fun-CIM"
"97",0.663562477843402,0.408816466311126,-0.254746011532276,"CIBERSORTx","Macrophages M2","Fun-CIM"
"OB_0001",0.189101425423898,0.40423270221022,0.215131276786322,"CIBERSORTx","Macrophages M2","Fun-CIM"
"OB_0038",0.430342167673391,0.377493389726385,-0.052848777947006,"CIBERSORTx","Macrophages M2","Fun-CIM"
