"version","plot_type","Method","Cell_Type","Timepoint","cluster","n_values","n_groups","output_file","file_exists","status","error_message"
"AGGREGATED","paired","CIBERSORTx","NK cells activated",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_NK_cells_activated_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","NK cells activated",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_NK_cells_activated_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","NK cells resting",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_NK_cells_resting_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","NK cells resting",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_NK_cells_resting_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","Neutrophils",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Neutrophils_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","Neutrophils",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Neutrophils_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","Plasma cells",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Plasma_cells_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","Plasma cells",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_Plasma_cells_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","T cells CD4+ (general)",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_T_cells_CD4_general_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","T cells CD4+ (general)",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_T_cells_CD4_general_clusterDys_CIM.png",TRUE,"saved",NA
