"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","Fun-CIM_n","Dys-CIM_n","Fun-CIM_mean","Dys-CIM_mean","Fun-CIM_sd","Dys-CIM_sd"
"epic","NK cell","Biopsy","wilcox",0.353807458171601,0.49812365821528,2,NA,25,11,0.00011936228253069,0.00218835991850015,0.000250772072873136,0.00641899666050944
"epic","T cell CD4+","Biopsy","wilcox",0.705608807329843,0.820653721568404,2,NA,25,11,0.038991600872538,0.0431617187035612,0.0265538724815319,0.0194697712902265
"epic","T cell CD8+","Biopsy","wilcox",0.00486211367558536,0.021676923470318,2,NA,25,11,0.0117066402312366,0.0228739513490432,0.0105094452127611,0.01044424558722
"epic","uncharacterized cell","Biopsy","wilcox",0.0992690238263269,0.212435710988339,2,NA,25,11,0.629010425845677,0.738953114952814,0.237079714934626,0.202447763905897
"estimate","ESTIMATEScore","Biopsy","wilcox",0.00818550393779792,0.0307315410998027,2,NA,25,11,1207.66104080613,2318.20464145057,1087.57821796447,1158.10383949853
"estimate","ImmuneScore","Biopsy","wilcox",0.00086485698709489,0.00841625882832557,2,NA,25,11,756.925409035075,1767.46865871973,663.714112774433,753.261347865681
"estimate","StromalScore","Biopsy","wilcox",1,1,2,NA,25,11,450.735631771057,550.735982730842,638.659963940806,536.483984397391
"estimate","TumorPurity","Biopsy","wilcox",0.00818550393779792,0.0307315410998027,2,NA,25,11,0.70038598924924,0.577639199887204,0.105693765233262,0.132922188593435
"mcp_counter","B cell","Biopsy","wilcox",0.139756441685602,0.267034629649275,2,NA,25,11,3.702275,7.05380681818182,4.16652368197373,7.20373340952532
"mcp_counter","Cancer associated fibroblast","Biopsy","wilcox",0.130778145161627,0.252130838419714,2,NA,25,11,834.07625,360.269545454545,887.585890070869,254.54306832202
"mcp_counter","Endothelial cell","Biopsy","wilcox",0.0992690238263269,0.212435710988339,2,NA,25,11,8.30651875,6.70778409090909,4.18538530309162,4.60195207912526
"mcp_counter","Macrophage/Monocyte","Biopsy","wilcox",0.00110444420329964,0.00841625882832557,2,NA,25,11,12.1284285714286,27.6578571428571,6.77283320020677,17.0711589339136
"mcp_counter","Monocyte","Biopsy","wilcox",0.00110444420329964,0.00841625882832557,2,NA,25,11,12.1284285714286,27.6578571428571,6.77283320020677,17.0711589339136
"mcp_counter","Myeloid dendritic cell","Biopsy","wilcox",0.0110442595198971,0.037515421226317,2,NA,25,11,2.41473333333333,8.3994696969697,1.78490096467667,7.91740397682998
"mcp_counter","NK cell","Biopsy","wilcox",0.114076895455125,0.234926858962799,2,NA,25,11,0.25245,0.375909090909091,0.11484306547415,0.280993127645661
"mcp_counter","Neutrophil","Biopsy","wilcox",0.114170062299678,0.234926858962799,2,NA,25,11,8.03264285714286,5.95168831168831,4.28163034831661,2.50853728565943
"mcp_counter","T cell","Biopsy","wilcox",0.00486211367558536,0.021676923470318,2,NA,25,11,3.29565714285714,6.14957792207792,2.03014560421654,2.97701571576174
"mcp_counter","T cell CD8+","Biopsy","wilcox",0.0110390939351656,0.037515421226317,2,NA,25,11,3.2276,7.59590909090909,3.21868442328021,6.10441226416672
"mcp_counter","cytotoxicity score","Biopsy","wilcox",0.010005558888388,0.0356864933685837,2,NA,25,11,2.83908571428571,7.05837662337662,2.21865159569078,6.68232853136638
"quantiseq","B cell","Biopsy","wilcox",0.890740465989802,0.953092298609088,2,NA,25,11,0.0200836528648362,0.0260432047177373,0.0108044485062865,0.0225713015634436
"quantiseq","Macrophage M1","Biopsy","wilcox",0.0741356835039068,0.172446046411261,2,NA,25,11,0.0294774596527291,0.0429617702448739,0.0166000452643327,0.0296361884469117
"quantiseq","Macrophage M2","Biopsy","wilcox",0.94524142742881,0.963246026046502,2,NA,25,11,0.0456036089776635,0.0498300518811102,0.0173838203605859,0.0304190601340966
"quantiseq","Monocyte","Biopsy","wilcox",0.192242565006216,0.33177345896234,2,NA,25,11,0.00740637806547325,0.0136678891326533,0.0176037703155423,0.0165663829582056
"quantiseq","Myeloid dendritic cell","Biopsy","wilcox",0.376067358976171,0.519215579489681,2,NA,25,11,0.00799925453307997,0.00913470128049262,0.00768705742005267,0.014813566251026
"quantiseq","NK cell","Biopsy","wilcox",0.257096546009365,0.408094430295789,2,NA,25,11,0.0117877952734518,0.00913692704837289,0.00732467552182132,0.00425673154981323
"quantiseq","Neutrophil","Biopsy","wilcox",0.47079976151308,0.621920672616044,2,NA,25,11,0.0306480991178353,0.0379673468133632,0.0152250890764774,0.0209282150790092
"quantiseq","T cell CD4+ (non-regulatory)","Biopsy","wilcox",0.00217092061130261,0.0129049169671877,2,NA,25,11,0.0329043015666426,0.00926515904669426,0.0269067182424259,0.0226044148496555
"quantiseq","T cell CD8+","Biopsy","wilcox",0.0134070106168033,0.0428223921193419,2,NA,25,11,0.0123888222674092,0.0275784778838819,0.0126547675920965,0.0179448782960071
"quantiseq","T cell regulatory (Tregs)","Biopsy","wilcox",0.0147577540794236,0.0464435201911272,2,NA,25,11,0.0137058658908543,0.0244808598196516,0.00713777341520938,0.012534896795408
"quantiseq","uncharacterized cell","Biopsy","wilcox",0.27179488795719,0.424555518414881,2,NA,25,11,0.787994761790025,0.749933612131169,0.0637771401994367,0.0960505724789538
"timer","B cell","Biopsy","wilcox",0.0992690238263269,0.212435710988339,2,NA,25,11,0.0987605952253865,0.12531322259514,0.0236083986816141,0.048634568735926
"timer","Macrophage","Biopsy","wilcox",0.0378377833018414,0.0987473856901715,2,NA,25,11,0.0465923962657568,0.038110115617313,0.0311367020059556,0.0795421047939025
"timer","Myeloid dendritic cell","Biopsy","wilcox",0.00818550393779792,0.0307315410998027,2,NA,25,11,0.463922371857138,0.526349028103039,0.062895393507924,0.0719649386452868
"timer","Neutrophil","Biopsy","wilcox",0.017808005291388,0.0552306251066237,2,NA,25,11,0.117406863440656,0.131426715391355,0.0148777346394176,0.0233083411899462
"timer","T cell CD4+","Biopsy","wilcox",0.287058482382502,0.441946152732773,2,NA,25,11,0.114191242574768,0.126184239665368,0.0230289284417264,0.0353209991766167
"timer","T cell CD8+","Biopsy","wilcox",0.917942744258585,0.958242669616279,2,NA,25,11,0.202482573806725,0.201590198732194,0.0211977291532482,0.0222130201390754
"xcell","B cell","Biopsy","wilcox",0.061630200433477,0.149873441963228,2,NA,25,11,0.0255003649805614,0.101535870706712,0.0402978585035201,0.129312319654907
"xcell","B cell memory","Biopsy","wilcox",0.307684021996524,0.463692821882086,2,NA,25,11,0.00621875885065605,0.0311537396984106,0.0178974416430997,0.0541578072077812
"xcell","B cell naive","Biopsy","wilcox",0.913279826641099,0.958242669616279,2,NA,25,11,0.001523055887412,0.00350240207841751,0.00534531765850277,0.011354100249201
"xcell","B cell plasma","Biopsy","wilcox",0.0119838709796166,0.0394851852112041,2,NA,25,11,0.0084982930615934,0.0337579115505797,0.0149766328231585,0.0403587276160827
"xcell","Cancer associated fibroblast","Biopsy","wilcox",0.149201745949782,0.280080470467134,2,NA,25,11,0.0694555031652866,0.0341151339182139,0.0612312204669057,0.0278351438398915
"xcell","Class-switched memory B cell","Biopsy","wilcox",0.302267340181617,0.458760360275645,2,NA,25,11,0.0223108174040655,0.0426771864272712,0.0222762652477705,0.0416567903747515
"xcell","Common lymphoid progenitor","Biopsy","wilcox",0.705608807329843,0.820653721568404,2,NA,25,11,0.0101546587668067,0.008250663749513,0.0100181866107812,0.00817321163953562
"xcell","Common myeloid progenitor","Biopsy","wilcox",0.030773290996928,0.0844292855556743,2,NA,25,11,0.00807946027340697,0.000877354147832005,0.0109577131839657,0.00201561139600976
"xcell","Endothelial cell","Biopsy","wilcox",0.159019309574177,0.295914193468469,2,NA,25,11,0.0304006125650779,0.0191835187654726,0.0363659687069433,0.038029220517562
"xcell","Eosinophil","Biopsy","wilcox",0.385498712876488,0.528825157407489,2,NA,25,11,0.00314902094343526,0.00422706528275579,0.00499915239215796,0.0104544192042184
"xcell","Granulocyte-monocyte progenitor","Biopsy","wilcox",0.335765881094171,0.486221080406845,2,NA,25,11,0.00243377572466787,0.00109826874926603,0.00745036598724681,0.00364254536028833
"xcell","Hematopoietic stem cell","Biopsy","wilcox",0.102818211581728,0.217852448301879,2,NA,25,11,0.149067255813483,0.0902685667876781,0.10578579872802,0.0929423560347986
"xcell","Macrophage","Biopsy","wilcox",0.00665357799256156,0.0279189351060426,2,NA,25,11,0.0169290115389046,0.0527505661717588,0.0222607635801268,0.05672828566624
"xcell","Macrophage M1","Biopsy","wilcox",0.00279284894384148,0.0153248634354379,2,NA,25,11,0.0173705264305999,0.0523037029714511,0.0237022932353516,0.0360721748146199
"xcell","Macrophage M2","Biopsy","wilcox",0.49162771319063,0.641433757439413,2,NA,25,11,0.00503879018452434,0.0165626179110699,0.00751444167062132,0.0441866842631735
"xcell","Mast cell","Biopsy","wilcox",0.042747584263079,0.10890455990832,2,NA,25,11,0.0178323020596864,0.0119331743348348,0.0111232393008614,0.0154325796183235
