"analysis","Method","Cell_Type","Timepoint","reason","k","n_total","n_unique_value","min_cluster_n"
"unpaired_dunn","consensus_tme","Neutrophil","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","T cell CD4+","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","T cell CD8+","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","T cell gamma delta","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","T cell regulatory (Tregs)","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","cytotoxicity score","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","immune score","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","epic","B cell","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","epic","Cancer associated fibroblast","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","epic","Endothelial cell","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","epic","Macrophage","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","epic","NK cell","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","epic","T cell CD4+","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","epic","T cell CD8+","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","epic","uncharacterized cell","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","estimate","ESTIMATEScore","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","estimate","ImmuneScore","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","estimate","StromalScore","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","estimate","TumorPurity","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","mcp_counter","B cell","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","mcp_counter","Cancer associated fibroblast","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","mcp_counter","Endothelial cell","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","mcp_counter","Macrophage/Monocyte","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","mcp_counter","Monocyte","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","mcp_counter","Myeloid dendritic cell","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","mcp_counter","NK cell","Surgery","k<3_after_filter",2,36,35,11
"unpaired_dunn","mcp_counter","Neutrophil","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","mcp_counter","T cell","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","mcp_counter","T cell CD8+","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","mcp_counter","cytotoxicity score","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","quantiseq","B cell","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","quantiseq","Macrophage M1","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","quantiseq","Macrophage M2","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","quantiseq","Monocyte","Surgery","k<3_after_filter",2,36,10,11
"unpaired_dunn","quantiseq","Myeloid dendritic cell","Surgery","k<3_after_filter",2,36,28,11
"unpaired_dunn","quantiseq","NK cell","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","quantiseq","Neutrophil","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","quantiseq","T cell CD4+ (non-regulatory)","Surgery","k<3_after_filter",2,36,23,11
"unpaired_dunn","quantiseq","T cell CD8+","Surgery","k<3_after_filter",2,36,34,11
"unpaired_dunn","quantiseq","T cell regulatory (Tregs)","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","quantiseq","uncharacterized cell","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","timer","B cell","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","timer","Macrophage","Surgery","k<3_after_filter",2,36,33,11
"unpaired_dunn","timer","Myeloid dendritic cell","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","timer","Neutrophil","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","timer","T cell CD4+","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","timer","T cell CD8+","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","xcell","B cell","Surgery","k<3_after_filter",2,36,21,11
"unpaired_dunn","xcell","B cell memory","Surgery","k<3_after_filter",2,36,22,11
"unpaired_dunn","xcell","B cell naive","Surgery","k<3_after_filter",2,36,18,11
"unpaired_dunn","xcell","B cell plasma","Surgery","k<3_after_filter",2,36,29,11
"unpaired_dunn","xcell","Cancer associated fibroblast","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","xcell","Class-switched memory B cell","Surgery","k<3_after_filter",2,36,28,11
"unpaired_dunn","xcell","Common lymphoid progenitor","Surgery","k<3_after_filter",2,36,30,11
