scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"NEO.TNBCCL","Fun","Fun_only",0.3,"MYPOP",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",56.8029495640883,1.36070925744072e-11,6.23885194536572e-08,"YES",6.73198822177656,8.3680096531384e-12,3.83673242596396e-08,"YES",0.824,1,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NEO.TNBCCL","Fun","Fun_only",0.3,"MSRA",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",19.2078913928218,0.000715363660101401,0.00265367506599104,"YES",3.40183997309477,0.000334669093922443,0.00159585937945828,"YES",0.482,962,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NEO.TNBCCL","Fun","Fun_only",0.3,"SLC25A35",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",19.2258479319185,0.000709569957255759,0.0026343143757228,"YES",3.40193773910576,0.000334549396169962,0.00159585937945828,"YES",0.481,963,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NEO.TNBCCL","Fun","Fun_only",0.3,"ITPK1",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",19.1621800112392,0.000730324531150937,0.00268472657686894,"YES",3.40065255519454,0.000336126066068729,0.0015986908847771,"YES",0.491,964,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NEO.TNBCCL","Fun","Fun_only",0.3,"POMZP3",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",22.5307131024211,0.000157107888095499,0.000925886461334013,"YES",3.3999940122517,0.000336936643970213,0.00159922827391659,"YES",0.514,965,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NEO.TNBCCL","Fun","Fun_only",0.3,"TP53I3",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",19.2338162893939,0.00070701384718699,0.00262695177419153,"YES",3.40024280815932,0.000336630196276667,0.00159922827391659,"YES",0.496,966,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NEO.TNBCCL","Fun","Fun_only",0.3,"MT-CYB",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",20.4590177135572,0.000405267253252863,0.00176966700587083,"YES",3.39901569119242,0.000338144181476283,0.00159999078644866,"YES",0.511,967,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NEO.TNBCCL","Fun","Fun_only",0.3,"COLQ",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",19.1765730052633,0.000725580771647019,0.00267840954428322,"YES",3.39909909434284,0.000338041080665747,0.00159999078644866,"YES",0.494,968,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NEO.TNBCCL","Fun","Fun_only",0.3,"DEPDC7",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",19.1428579979702,0.000736741101553894,0.00269804948132956,"YES",3.39925980212029,0.000337842500283723,0.00159999078644866,"YES",0.489,969,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NEO.TNBCCL","Fun","Fun_only",0.3,"COPS6",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",19.3626414827707,0.000666930809991512,0.00251470210839727,"YES",3.39730736703975,0.000340262409712554,0.00160835376137326,"YES",0.501,970,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NEO.TNBCCL","Fun","Fun_only",0.3,"UBB",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",20.1185102290543,0.000473202345023529,0.00198139977345468,"YES",3.39633674756971,0.000341471413050506,0.00161240620889451,"YES",0.509,971,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
